year, MIROC-ES2L, CNRM-ESM2-1, NorESM2-LM, CESM2-WACCM, UKESM1-0-LL, CMCC-CM2-SR5, NorESM2-MM, INM-CM5-0, GFDL-ESM4, ACCESS-ESM1-5, INM-CM4-8, MPI-ESM1-2-LR, IPSL-CM6A-LR, EC-Earth3-Veg, TaiESM1, CanESM5
2.025000000000000000e+03, 1.127322034236413550e+01, 1.005283981889248679e+01, 9.825370063074846172e+00, 1.113149546029755221e+01, 1.134511508583379502e+01, 1.033446045782427447e+01, 9.960945136989257875e+00, 1.019973898216946040e+01, 1.085737168798095986e+01, 9.091690707088060819e+00, 9.744986796331749801e+00, 1.154826459714199949e+01, 9.551140545058190767e+00, 1.009442123474815567e+01, 7.230756691627196808e+00, 1.092649897984300544e+01
2.026000000000000000e+03, 1.229613920742243138e+01, 1.047063819256311490e+01, 9.010480658017298694e+00, 1.022125294652575533e+01, 1.217075718979770649e+01, 1.024463557279413628e+01, 1.022709436357416557e+01, 1.009857767535600992e+01, 1.085051936052032140e+01, 9.137229466215417872e+00, 8.676953286669489174e+00, 1.144394482898137788e+01, 8.864542677204587662e+00, 9.351876175216697007e+00, 7.712834575956757810e+00, 1.126909229514601307e+01
2.027000000000000000e+03, 1.218337840983444664e+01, 1.070025742807591840e+01, 9.699208788342154719e+00, 1.083633929890004666e+01, 1.128192749176942122e+01, 1.049220447777721787e+01, 1.012871293921544513e+01, 1.046038395481416927e+01, 1.065193441679573283e+01, 9.459653547620540337e+00, 1.006704319164467698e+01, 1.202602399342139172e+01, 9.081549555597939971e+00, 9.288491776563196467e+00, 7.254554115849664697e+00, 1.070169230635747404e+01
2.028000000000000000e+03, 1.238981381628705236e+01, 1.060986189646998312e+01, 9.685504510261543132e+00, 1.059558537622138097e+01, 1.273724335690356746e+01, 1.081078200573501213e+01, 9.307852791805142800e+00, 1.077262829370688202e+01, 1.092109725088139704e+01, 9.167404873073154548e+00, 9.491260053570874433e+00, 1.249363051558908388e+01, 9.461747337096797494e+00, 1.032560136611649781e+01, 7.529148452257447666e+00, 1.144045369982765692e+01
2.029000000000000000e+03, 1.306128275634318747e+01, 1.034142414527342169e+01, 9.279862815059267689e+00, 1.012045626559297240e+01, 1.238063341480787471e+01, 1.113434477657552968e+01, 1.004558973452858339e+01, 1.059511893930187831e+01, 1.194476895844546505e+01, 9.369541596346138590e+00, 9.897390889373706813e+00, 1.264411712962506584e+01, 9.874932115329075444e+00, 9.844034377792679535e+00, 7.921870103149397657e+00, 1.170357519374681665e+01
2.030000000000000000e+03, 1.303847242463721479e+01, 1.046754256969178520e+01, 9.667800496591251402e+00, 1.084389198438598001e+01, 1.214715526342725660e+01, 1.055971897648285740e+01, 1.070926555852005713e+01, 9.779421925585257469e+00, 1.135857440282081754e+01, 9.356586221993957508e+00, 9.734417610401660426e+00, 1.203908591467822120e+01, 9.598258872482018589e+00, 1.028610574476253881e+01, 7.620076964643998529e+00, 1.189744648423607387e+01
2.031000000000000000e+03, 1.237601643048046007e+01, 1.044281105913032093e+01, 1.065706019205198629e+01, 1.098422258100080384e+01, 1.166773161471612497e+01, 1.109787795547798339e+01, 1.030927375327734907e+01, 1.063939046078175643e+01, 1.169912981034276811e+01, 9.396417729214107339e+00, 9.236362824351017409e+00, 1.263297963985474404e+01, 9.450893616318653656e+00, 1.019248904142334666e+01, 7.569338395436363776e+00, 1.122933971505583983e+01
2.032000000000000000e+03, 1.241761725352864687e+01, 1.087845345415355958e+01, 8.864713589350737166e+00, 1.117561074344201444e+01, 1.261027890231851423e+01, 1.157789662941725872e+01, 1.022282149679566388e+01, 1.023514959456473150e+01, 1.200049258649218054e+01, 9.712229901776348484e+00, 9.795038475888992124e+00, 1.185564778308246581e+01, 9.484635383904031158e+00, 9.505824199885354986e+00, 7.812581295539089865e+00, 1.129942811824261462e+01
2.033000000000000000e+03, 1.222332466162942488e+01, 1.069466563990075514e+01, 1.108360001213515034e+01, 1.154650737284019435e+01, 1.302906963198800661e+01, 1.105719884149057997e+01, 1.056724203362655956e+01, 1.040163946976429443e+01, 1.157078947004440650e+01, 9.480627007054172495e+00, 9.954730439251148866e+00, 1.166323004374501338e+01, 9.644495957519973572e+00, 9.662466080801188184e+00, 7.538070889651146800e+00, 1.183778612021528431e+01
2.034000000000000000e+03, 1.245768286869930463e+01, 1.072954801901197897e+01, 9.999228587904791965e+00, 1.149231564828675722e+01, 1.214400188646477119e+01, 1.110709221701365124e+01, 1.125212913803996173e+01, 1.091599141141658613e+01, 1.166564855958887037e+01, 9.329303837280525258e+00, 9.737664668678258195e+00, 1.193825924745474154e+01, 1.038512103410149656e+01, 9.661673726084863745e+00, 7.619205335516626931e+00, 1.151929154085351925e+01
