year, INM-CM5-0, EC-Earth3-Veg, NorESM2-MM, MIROC-ES2L, ACCESS-ESM1-5, CMCC-CM2-SR5, CNRM-ESM2-1, TaiESM1, IPSL-CM6A-LR, GFDL-ESM4, UKESM1-0-LL, CESM2-WACCM, INM-CM4-8, NorESM2-LM, MPI-ESM1-2-LR, CanESM5
2.035000000000000000e+03, 6.340786173242719315e+01, 2.637406482585873491e+01, 5.939089042194078871e+01, 5.508989430609339166e+01, 9.292990270296260746e+01, 4.157393600574685877e+01, 7.234234470727976429e+01, 2.809842030651544320e+01, 2.727982108497615954e+01, 7.018139992494234036e+01, 4.749417013362680251e+01, 6.574931604425648857e+01, 6.124984645853507459e+01, 5.996081816946417575e+01, 3.760464746306553963e+01, 6.062409366779760234e+01
2.036000000000000000e+03, 6.366552879910488372e+01, 2.670024212245374073e+01, 5.936512543490856331e+01, 5.556774546498686362e+01, 9.329171667465026019e+01, 4.200497221752501531e+01, 7.258153848008210218e+01, 2.828903591531729589e+01, 2.754739306605788940e+01, 7.045010486327038279e+01, 4.790713409621285024e+01, 6.622551821925627280e+01, 6.138577859255453717e+01, 6.035835005183366775e+01, 3.780037228212847111e+01, 6.121870653757160596e+01
2.037000000000000000e+03, 6.389797717182643311e+01, 2.694497418474888661e+01, 5.958790679688043923e+01, 5.598198175182435676e+01, 9.360373471730164852e+01, 4.199510679088666620e+01, 7.297093091622396344e+01, 2.841919971762713715e+01, 2.792516816546863367e+01, 7.099783203345189975e+01, 4.817830933499876522e+01, 6.649275404538263956e+01, 6.153655675939050695e+01, 6.088342885539423577e+01, 3.787145196755636078e+01, 6.196295047305164161e+01
2.038000000000000000e+03, 6.402607777869857841e+01, 2.709010213294782332e+01, 5.983096501288395075e+01, 5.620103647030017413e+01, 9.376803344319350231e+01, 4.169775276973098954e+01, 7.321965817535381404e+01, 2.851728350335920936e+01, 2.827137145564376652e+01, 7.147451940099794854e+01, 4.857949036593650760e+01, 6.671801597199963396e+01, 6.160348461741452297e+01, 6.116964442860458462e+01, 3.799421078773120541e+01, 6.274532662349585621e+01
2.039000000000000000e+03, 6.422096587085123076e+01, 2.732619747180511638e+01, 6.024285811990588257e+01, 5.627305507128323825e+01, 9.390435636723918833e+01, 4.179301008640150883e+01, 7.364043772484272665e+01, 2.865147346723477995e+01, 2.862938052835152902e+01, 7.188345686223733821e+01, 4.890575850150632675e+01, 6.698602019290009935e+01, 6.182505870641800527e+01, 6.146586232902372871e+01, 3.829479043671433658e+01, 6.359332887841669901e+01
2.040000000000000000e+03, 6.442270864038430034e+01, 2.745809477542474042e+01, 6.064384120970800751e+01, 5.649779161334201660e+01, 9.408973925653732806e+01, 4.129266264703802136e+01, 7.406557833920334133e+01, 2.891013208197487216e+01, 2.900026484477276156e+01, 7.236746853779034439e+01, 4.905185656667664063e+01, 6.739148841070081630e+01, 6.191167783234246969e+01, 6.179774664455177913e+01, 3.844488678514461810e+01, 6.438778113129686176e+01
2.041000000000000000e+03, 6.455113482285273108e+01, 2.766409389207528235e+01, 6.095295397309214991e+01, 5.666982229991788955e+01, 9.439903288076965282e+01, 4.130773528689705643e+01, 7.441429175493350101e+01, 2.924660612604163390e+01, 2.937699544295103493e+01, 7.282063823970314331e+01, 4.944045875122926503e+01, 6.784897109977228524e+01, 6.183075661256127376e+01, 6.200971801603029832e+01, 3.857185777057075171e+01, 6.515872107919547318e+01
2.042000000000000000e+03, 6.453444711565651914e+01, 2.796415648100589380e+01, 6.165723571694707061e+01, 5.705737899051663931e+01, 9.471557529002492970e+01, 4.146370889525925918e+01, 7.483593934260430558e+01, 2.927308414455411523e+01, 2.973188330385119826e+01, 7.301973472656951003e+01, 4.983189162798240091e+01, 6.857819474590941411e+01, 6.194765647640202388e+01, 6.213022467010947736e+01, 3.877273872968112300e+01, 6.562339195273847281e+01
2.043000000000000000e+03, 6.465596010945020566e+01, 2.803136980168699921e+01, 6.217065716269028286e+01, 5.750111656964793383e+01, 9.495555140181085108e+01, 4.226620827630586064e+01, 7.529025704525398055e+01, 2.929112242566141688e+01, 3.011499956009846457e+01, 7.348829300937356379e+01, 5.027625041653914195e+01, 6.882014028918260351e+01, 6.218242851792754777e+01, 6.198140006480685571e+01, 3.869031649328219657e+01, 6.611916718693763073e+01
2.044000000000000000e+03, 6.477921024618537160e+01, 2.834772636195635798e+01, 6.248570251996569169e+01, 5.784997404073788374e+01, 9.523602336898507303e+01, 4.274856774527840741e+01, 7.555633152207184366e+01, 2.933423021899819005e+01, 3.043602559443948508e+01, 7.383935744557156511e+01, 5.056827160804314758e+01, 6.908265933408040382e+01, 6.216685314201857437e+01, 6.204812822214101686e+01, 3.896062653902752260e+01, 6.679699181219105242e+01
2.045000000000000000e+03, 6.476711307046730326e+01, 2.863786933092880105e+01, 6.277990483082341200e+01, 5.832993744872668174e+01, 9.533269274877200417e+01, 4.245767282766225037e+01, 7.575752890749137691e+01, 2.953298346022642207e+01, 3.073512242405227113e+01, 7.417931911818450885e+01, 5.073036566083077759e+01, 6.943079442610485330e+01, 6.223379195581617296e+01, 6.256814061204019595e+01, 3.924175976600663063e+01, 6.714096884564408185e+01
2.046000000000000000e+03, 6.485495998522509353e+01, 2.885995348283621098e+01, 6.284601184199924262e+01, 5.866418767638821663e+01, 9.543004757306867702e+01, 4.254971803911031003e+01, 7.622766989150436245e+01, 2.993460234324255964e+01, 3.115765143914682511e+01, 7.458940083295300383e+01, 5.100080205224435304e+01, 6.967429661144318231e+01, 6.245554587647724532e+01, 6.302072587468006049e+01, 3.946245909043079081e+01, 6.733426260074067216e+01
2.047000000000000000e+03, 6.486457363624940342e+01, 2.914020209688795759e+01, 6.317293188017515604e+01, 5.894273984473468175e+01, 9.560455560481322834e+01, 4.298924342654667896e+01, 7.655990449437983614e+01, 3.011757679438940727e+01, 3.160078016012518987e+01, 7.494728506515842525e+01, 5.134030643108084035e+01, 6.987706700558950956e+01, 6.259795840967723279e+01, 6.321124445441714101e+01, 3.957758506199471782e+01, 6.746275410445203136e+01
2.048000000000000000e+03, 6.496692459958781285e+01, 2.932138752278207861e+01, 6.357434482963045497e+01, 5.916579848951957388e+01, 9.595974895837359497e+01, 4.318509944232825148e+01, 7.698257423298676372e+01, 3.008064320740648512e+01, 3.205749303611945322e+01, 7.513401924271437338e+01, 5.172790241174835302e+01, 7.047418647426184179e+01, 6.260226764258968757e+01, 6.343141843518704803e+01, 3.969137468120897694e+01, 6.786835741569083780e+01
2.049000000000000000e+03, 6.515796511454725248e+01, 2.961555859456221285e+01, 6.364439876631360704e+01, 5.942190988297775078e+01, 9.632826238273108288e+01, 4.303324957295114928e+01, 7.722396245739622600e+01, 3.027132600572474175e+01, 3.255234132312427420e+01, 7.535376361903165332e+01, 5.192956543899201449e+01, 7.099842892126535787e+01, 6.271226876599891398e+01, 6.369890029266275633e+01, 3.994349070169865001e+01, 6.847947180980736448e+01
2.050000000000000000e+03, 6.532611998019031319e+01, 2.992314705164806909e+01, 6.359621783471668977e+01, 5.967306574013001352e+01, 9.654478129756773797e+01, 4.282671533185807533e+01, 7.749411000476135314e+01, 3.024294632583023201e+01, 3.294219112746340983e+01, 7.566608070795619767e+01, 5.211145089386342022e+01, 7.120753379899210245e+01, 6.282805511978829571e+01, 6.398402660336746806e+01, 4.008083401982680982e+01, 6.898109038851127650e+01
