year, CNRM-ESM2-1, IPSL-CM6A-LR, CESM2-WACCM, UKESM1-0-LL
2.054000000000000000e+03, 1.560821669284052200e-11, -6.518722809874914897e-10, 1.355397675449477565e-10, 2.758870509204873675e-10
2.055000000000000000e+03, 1.657847555590879963e-11, -7.981387992461735847e-10, 1.363315917643103915e-10, 2.808815286581102400e-10
2.056000000000000000e+03, 1.139699060683632973e-11, -7.747134937619299946e-10, 1.347002525099003417e-10, 2.675168782023942339e-10
2.057000000000000000e+03, 1.172684222141004242e-11, -7.776313287626928606e-10, 1.351002276122838320e-10, 2.574869715104236331e-10
2.058000000000000000e+03, 1.203823860631952317e-11, -7.168099103057989958e-10, 1.350513120421931611e-10, 2.335567902474596502e-10
2.059000000000000000e+03, 1.267488696738582124e-11, -5.761127912076832901e-10, 1.354235441423423641e-10, 2.521936829488594782e-10
2.060000000000000000e+03, 1.332919943411173843e-11, -6.608312400847896568e-10, 1.371755317283941254e-10, 2.543869882678608631e-10
2.061000000000000000e+03, 1.284370781832576071e-11, -6.828265984065925358e-10, 1.370912224750411496e-10, 2.801385925430340326e-10
2.062000000000000000e+03, 1.271781133142467776e-11, -6.640156583096027035e-10, 1.375749511630669138e-10, 2.663828857728555711e-10
2.063000000000000000e+03, 1.437970667371514054e-11, -7.735810863395673083e-10, 1.381596813591751160e-10, 2.361229889252228157e-10
2.064000000000000000e+03, 1.657958058515814007e-11, -6.252826408001356422e-10, 1.382230713343830427e-10, 3.059223773308655088e-10
2.065000000000000000e+03, 1.640041359382354177e-11, -7.434771269720202055e-10, 1.383634656295598273e-10, 2.607503193129834184e-10
2.066000000000000000e+03, 1.211068322179449266e-11, -6.989183445843956863e-10, 1.331921497162947257e-10, 2.042335905092614149e-10
2.067000000000000000e+03, 1.248372056322153935e-11, -7.114416180409773558e-10, 1.328223188593067763e-10, 2.239997042231851545e-10
2.068000000000000000e+03, 1.242614539612759969e-11, -6.489668384197793551e-10, 1.327157974615588512e-10, 2.665223473000553392e-10
2.069000000000000000e+03, 1.246215022214840257e-11, -7.665274318397399139e-10, 1.299540929446132061e-10, 2.713206544374103446e-10
2.070000000000000000e+03, 1.243382709838832752e-11, -7.267889952062302920e-10, 1.256862472470756366e-10, 2.833907677484975125e-10
2.071000000000000000e+03, 1.855770784082899853e-11, -7.586019478271501255e-10, 1.303524111340511550e-10, 3.004742387704652076e-10
2.072000000000000000e+03, 1.959398522560437445e-11, -8.542057436656839064e-10, 1.291631544713545722e-10, 2.611493775175376155e-10
2.073000000000000000e+03, 2.003439707774245620e-11, -7.765336617136523671e-10, 1.277572437030634265e-10, 2.704382342159147163e-10
2.074000000000000000e+03, 2.312496848901996790e-11, -6.575004020692194725e-10, 1.261080459298391488e-10, 3.041066267614242011e-10
2.075000000000000000e+03, 2.856020082578573908e-11, -7.568363688386512467e-10, 1.250717745091284689e-10, 3.321417924458337582e-10
2.076000000000000000e+03, 4.413702175422575907e-11, -8.342702254197412462e-10, 1.455978504963506374e-10, 3.097463845370366437e-10
2.077000000000000000e+03, 4.678898506013126423e-11, -8.634966854961121025e-10, 1.475255579625081564e-10, 3.021341001481923370e-10
2.078000000000000000e+03, 4.870426223956454183e-11, -8.050170083391009416e-10, 1.481352465673528430e-10, 2.756292460393258724e-10
2.079000000000000000e+03, 5.107680516615145631e-11, -7.591166771927472733e-10, 1.479243724566979014e-10, 2.715962135205723433e-10
2.080000000000000000e+03, 5.557698361877530737e-11, -7.474561261824810800e-10, 1.471956105665341455e-10, 3.276528773967695117e-10
2.081000000000000000e+03, 5.026939270168587131e-11, -7.451801773097912864e-10, 1.348991162742521208e-10, 2.661070008267388974e-10
2.082000000000000000e+03, 5.317993946042403937e-11, -6.770445624662887478e-10, 1.360613733491455993e-10, 3.057012298939758543e-10
2.083000000000000000e+03, 5.525004323382153687e-11, -8.087296917399285332e-10, 1.348893528424583021e-10, 3.307280277909123969e-10
2.084000000000000000e+03, 5.543095362570488700e-11, -6.779911590951341518e-10, 1.320090050286154400e-10, 2.636883827775537106e-10
2.085000000000000000e+03, 5.698315373907104391e-11, -8.390829320527987044e-10, 1.312325175211831306e-10, 3.044306898339918045e-10
2.086000000000000000e+03, 2.769615360649330777e-11, -7.631633862315306525e-10, 1.083558034440323123e-10, 2.932179352262208695e-10
2.087000000000000000e+03, 2.604862339686357030e-11, -8.929170562218130413e-10, 1.062119958697490157e-10, 2.811586017465323657e-10
2.088000000000000000e+03, 2.519392320784706703e-11, -9.033749447193063492e-10, 1.042684208830717054e-10, 2.866723201770398626e-10
2.089000000000000000e+03, 2.404428874535603438e-11, -7.200868221752349354e-10, 1.021974169814686808e-10, 3.379652904997429560e-10
2.090000000000000000e+03, 2.307688395854841602e-11, -8.350478952739894715e-10, 1.010500889192860122e-10, 3.486772251239902627e-10
2.091000000000000000e+03, 1.779641614311988973e-11, -8.093839778460150653e-10, 9.659158255269553295e-11, 2.797366184605418606e-10
2.092000000000000000e+03, 1.590773832845771399e-11, -7.324785673621966896e-10, 9.514056314442500065e-11, 2.984564941479841381e-10
2.093000000000000000e+03, 1.431802376527621661e-11, -7.707803458074786036e-10, 9.367230365693909043e-11, 3.067308629686050554e-10
2.094000000000000000e+03, 1.316307336474986775e-11, -6.568238795509285347e-10, 9.261114230583531417e-11, 3.327441929152925853e-10
2.095000000000000000e+03, 1.240780046816189495e-11, -7.347514383322936375e-10, 9.158752007279271492e-11, 3.312814790165419574e-10
2.096000000000000000e+03, 7.150427200711241492e-12, -6.587133274344340239e-10, 8.187345078256721940e-11, 3.300335083833104090e-10
2.097000000000000000e+03, 6.776566562115910019e-12, -7.111100443761827046e-10, 7.949777646343889092e-11, 3.243411301872153301e-10
2.098000000000000000e+03, 6.462032655716753454e-12, -7.161434576969719865e-10, 7.817446569869888625e-11, 2.884475330490909598e-10
2.099000000000000000e+03, 6.025724375126874882e-12, -7.840857057288576073e-10, 7.695508839259928624e-11, 3.248131048866979856e-10
2.100000000000000000e+03, 5.539001017237511264e-12, -7.134029333544513320e-10, 7.524150134074159279e-11, 2.963096914270414957e-10
