year, UKESM1-0-LL, CanESM5, CESM2-WACCM, CMCC-CM2-SR5, TaiESM1, EC-Earth3-Veg, NorESM2-LM, GFDL-ESM4, INM-CM4-8, CNRM-ESM2-1, MIROC-ES2L, NorESM2-MM, IPSL-CM6A-LR, MPI-ESM1-2-LR, ACCESS-ESM1-5, INM-CM5-0
2.062000000000000000e+03, 2.779438050612591269e+02, 2.796071411931511079e+02, 2.796348673042898554e+02, 2.801057241854621225e+02, 2.798041203741385630e+02, 2.770942655030846709e+02, 2.790453258840334456e+02, 2.775649915089352362e+02, 2.780667189712652316e+02, 2.776153302840705237e+02, 2.807442610203366371e+02, 2.782867790514428634e+02, 2.779770371355786551e+02, 2.775633439644449822e+02, 2.797552849776814128e+02, 2.783085277266572461e+02
2.063000000000000000e+03, 2.789026854065700718e+02, 2.798407403761137857e+02, 2.799968369504445604e+02, 2.799965857505679310e+02, 2.796915667080239132e+02, 2.775149644874695127e+02, 2.789059513118577343e+02, 2.773620016156057204e+02, 2.780335352629510339e+02, 2.781514027199970087e+02, 2.815454548395569532e+02, 2.783121313769370317e+02, 2.788261135618290609e+02, 2.778554162049469483e+02, 2.796978643405332718e+02, 2.785217232967000882e+02
2.064000000000000000e+03, 2.783208837038128536e+02, 2.794821382860373546e+02, 2.801197457709263290e+02, 2.797154939748205038e+02, 2.783342566224748680e+02, 2.773603634363808510e+02, 2.785308491520315783e+02, 2.776022223159214377e+02, 2.782141854180939617e+02, 2.779495514015947606e+02, 2.816114035353401164e+02, 2.788075757053406960e+02, 2.778729403340130943e+02, 2.777120314067915388e+02, 2.794839771384321239e+02, 2.783104124478604717e+02
2.065000000000000000e+03, 2.778494374433720964e+02, 2.793968570349811102e+02, 2.798398770791567358e+02, 2.806789073588662404e+02, 2.794862334743605743e+02, 2.777530900579537274e+02, 2.791715421789901939e+02, 2.774369382070832444e+02, 2.784887609742143013e+02, 2.774858788453437342e+02, 2.809366912460801586e+02, 2.782017354353399128e+02, 2.776780608038502010e+02, 2.772063042600330505e+02, 2.792637374967170558e+02, 2.780904636066213698e+02
2.066000000000000000e+03, 2.782439998332592950e+02, 2.790692078619731546e+02, 2.795800940991279049e+02, 2.809969549049006901e+02, 2.782792487912407182e+02, 2.777895260538290358e+02, 2.794046810760477797e+02, 2.776810065413746997e+02, 2.780168462474946978e+02, 2.781761614917592169e+02, 2.804614675241862756e+02, 2.781784770730908463e+02, 2.779702920065281546e+02, 2.772132937177951817e+02, 2.790810373425485977e+02, 2.780883985980877924e+02
2.067000000000000000e+03, 2.786251242130981041e+02, 2.797632797365446891e+02, 2.790745358482005827e+02, 2.809733294884766792e+02, 2.787138249695688614e+02, 2.777156926453426991e+02, 2.788404336175531171e+02, 2.775430688834730404e+02, 2.780959266019876850e+02, 2.774089873229089562e+02, 2.810547001475826505e+02, 2.788197181932389981e+02, 2.777668133332488196e+02, 2.772671580837223928e+02, 2.795813047291248381e+02, 2.778623838449160530e+02
2.068000000000000000e+03, 2.782334321061634910e+02, 2.796166457503494485e+02, 2.799146806246595816e+02, 2.801102249202073722e+02, 2.785944332223602942e+02, 2.779118890586545376e+02, 2.795157774198313518e+02, 2.775240331366652526e+02, 2.775330812662346034e+02, 2.775005396288505040e+02, 2.816665990574033458e+02, 2.789298150822243656e+02, 2.774849492355530174e+02, 2.770914617853569553e+02, 2.794538595825417246e+02, 2.782137637656704783e+02
2.069000000000000000e+03, 2.785456566832465342e+02, 2.791898808427479253e+02, 2.797645015866888798e+02, 2.802329268861884657e+02, 2.792383279168906256e+02, 2.779523685114543810e+02, 2.785314023948669728e+02, 2.774300036258584896e+02, 2.779736569750541548e+02, 2.772709496484562806e+02, 2.812299681219876675e+02, 2.781847586164058157e+02, 2.778070146379725429e+02, 2.777377530682219913e+02, 2.794600764680923248e+02, 2.781541471506402559e+02
2.070000000000000000e+03, 2.781838493404055725e+02, 2.798041289944933396e+02, 2.799458151677400224e+02, 2.801357167299588014e+02, 2.789525907256336268e+02, 2.777710165230513439e+02, 2.789900206823078292e+02, 2.774035076105202506e+02, 2.782037768898770764e+02, 2.779290598012087230e+02, 2.810152684842485087e+02, 2.785260146085565793e+02, 2.783182473284623484e+02, 2.777921286544211057e+02, 2.799274647764231645e+02, 2.779179408681537211e+02
2.071000000000000000e+03, 2.784421608750892574e+02, 2.800688133485521121e+02, 2.797151487319307535e+02, 2.800912965419599914e+02, 2.786059647369725667e+02, 2.776169956881512917e+02, 2.787400955976805790e+02, 2.772241010833938049e+02, 2.783460917415173981e+02, 2.786573508202671405e+02, 2.805980825694549026e+02, 2.783117517222453330e+02, 2.778350433137767936e+02, 2.774737020661447673e+02, 2.799070292348265525e+02, 2.773856540977454301e+02
2.072000000000000000e+03, 2.782917109415187724e+02, 2.798146639288986535e+02, 2.802136950142840988e+02, 2.810933134137220577e+02, 2.786848964069976660e+02, 2.774794764375142222e+02, 2.790063316342954636e+02, 2.775887072308195229e+02, 2.782940911421965779e+02, 2.781600994518543075e+02, 2.810269646076971526e+02, 2.778955056859010142e+02, 2.773914664815080187e+02, 2.776419767583038833e+02, 2.795825948135565682e+02, 2.777729999479135472e+02
2.073000000000000000e+03, 2.779205593946003887e+02, 2.791001115604321399e+02, 2.801377974968489184e+02, 2.809777279262699494e+02, 2.788861175892968163e+02, 2.778426520855716717e+02, 2.790008818453300137e+02, 2.775420721020852284e+02, 2.780042852854362536e+02, 2.779184071218231225e+02, 2.816042548371132170e+02, 2.781522448520236139e+02, 2.778485593794129613e+02, 2.777188068346400200e+02, 2.791764230692048159e+02, 2.781945446104876396e+02
