year, NorESM2-LM, ACCESS-ESM1-5, MIROC-ES2L, NorESM2-MM, GFDL-ESM4, CanESM5, INM-CM5-0, CESM2-WACCM, CMCC-ESM2, INM-CM4-8, UKESM1-0-LL, EC-Earth3-Veg, MPI-ESM1-2-LR, TaiESM1, CNRM-ESM2-1, IPSL-CM6A-LR
2.025000000000000000e+03, 1.279549974429179393e+00, 1.281510782149722250e+00, 1.122554836292988245e+00, 1.297770805892365598e+00, 2.022741777199024593e+00, 1.183415398162062315e+00, 1.584999516481123027e+00, 1.404531804033515963e+00, 2.356480459117644699e+00, 1.590635691987202005e+00, 2.316292173438303958e+00, 1.706514388130101034e+00, 1.380205538779057495e+00, 1.723313529274538736e+00, 1.301997139760288080e+00, 1.488997134472398676e+00
2.026000000000000000e+03, 1.306598028727362859e+00, 1.288903484060951676e+00, 1.111751503922260520e+00, 1.337641761082812408e+00, 2.113850380993623546e+00, 1.211329440014017100e+00, 1.618937804736967134e+00, 1.389087999525229877e+00, 2.260631416093398016e+00, 1.567640670990153806e+00, 2.304202134669961932e+00, 1.660499870887895524e+00, 1.386889879129870717e+00, 1.788396016790194665e+00, 1.255138709801102870e+00, 1.480744240921608501e+00
2.027000000000000000e+03, 1.314428894868556519e+00, 1.258437776128854324e+00, 1.138952702217955082e+00, 1.329487551925531141e+00, 2.117812050643629096e+00, 1.214874621964231904e+00, 1.617871961536751169e+00, 1.345697709565823796e+00, 2.150936801195475478e+00, 1.565826864848991473e+00, 2.351804718101551561e+00, 1.646771981118193784e+00, 1.392191128848120352e+00, 1.785435042035376396e+00, 1.281286578435013368e+00, 1.480857294017386305e+00
2.028000000000000000e+03, 1.347478517882087168e+00, 1.272552640206895402e+00, 1.160790585546679354e+00, 1.358047445509509066e+00, 2.152073184091781055e+00, 1.212184211095711506e+00, 1.601822874817456777e+00, 1.379583793356745858e+00, 2.182876676645467917e+00, 1.601892534390179534e+00, 2.354061849475760138e+00, 1.662847079275656004e+00, 1.405885126487950609e+00, 1.661555424887148025e+00, 1.281214031637445627e+00, 1.479900750917287455e+00
2.029000000000000000e+03, 1.340607023518929575e+00, 1.299913787091079742e+00, 1.130472106052897052e+00, 1.380961031012007068e+00, 2.120777475241438115e+00, 1.213187479107372457e+00, 1.654482307608831304e+00, 1.356770994414022269e+00, 2.189298252559693569e+00, 1.612143186841155096e+00, 2.331800358520200955e+00, 1.652283745005645121e+00, 1.384168217499216036e+00, 1.636873138158526642e+00, 1.206734713272951565e+00, 1.519028699063930565e+00
2.030000000000000000e+03, 1.365187577572362754e+00, 1.281058755011446726e+00, 1.141907980730444416e+00, 1.357629963367407377e+00, 2.149378277768459800e+00, 1.233300108953897301e+00, 1.641343076967550108e+00, 1.409897215717648367e+00, 2.147905344354026802e+00, 1.598864074596657359e+00, 2.331645981277641777e+00, 1.641481992975837745e+00, 1.383895359543837023e+00, 1.679538190212538584e+00, 1.213351564179978803e+00, 1.497707129209595367e+00
2.031000000000000000e+03, 1.365309803615554429e+00, 1.232336620125936033e+00, 1.106117545037713423e+00, 1.349538967405555123e+00, 2.148482527118469765e+00, 1.226401723667736920e+00, 1.582024621300745393e+00, 1.390533814589292039e+00, 2.159486948215888269e+00, 1.604483365521333527e+00, 2.358858745909977461e+00, 1.661248007193354193e+00, 1.423120429932323461e+00, 1.775310794180620322e+00, 1.272020916321667805e+00, 1.543397604503516485e+00
2.032000000000000000e+03, 1.361285832629519410e+00, 1.225806230900629901e+00, 1.172094480305369002e+00, 1.373186614872453859e+00, 2.136759219910400187e+00, 1.252090008761023388e+00, 1.626642414920324686e+00, 1.393919105111289358e+00, 2.216956285949786665e+00, 1.616587709546455809e+00, 2.329088759999294211e+00, 1.642470524391500319e+00, 1.410059564201580073e+00, 1.739481551226854439e+00, 1.300261517360021157e+00, 1.538548775150814896e+00
2.033000000000000000e+03, 1.313616922944509824e+00, 1.219729020352433579e+00, 1.192476514552059941e+00, 1.374149423567259776e+00, 2.210624862601734630e+00, 1.244017280991938312e+00, 1.649212136728501754e+00, 1.431559754878525936e+00, 2.245072563232413998e+00, 1.575352615223756025e+00, 2.324563481532788689e+00, 1.664152383043481676e+00, 1.403269266561894657e+00, 1.735784489707860034e+00, 1.266840147201524047e+00, 1.558914027377119149e+00
2.034000000000000000e+03, 1.330138160380301082e+00, 1.240346955195369860e+00, 1.154009793500376801e+00, 1.371500422902060645e+00, 2.292675351967790487e+00, 1.227322750196096379e+00, 1.690198737802225626e+00, 1.453736047537534271e+00, 2.267735205066367055e+00, 1.573884375464435603e+00, 2.416152363593582653e+00, 1.711305590319910586e+00, 1.404905640845794723e+00, 1.707877271701254696e+00, 1.270619569314602737e+00, 1.584140504514864878e+00
2.035000000000000000e+03, 1.359979684033967517e+00, 1.247150920930707008e+00, 1.158838280697408685e+00, 1.337384162481956684e+00, 2.182829765268634592e+00, 1.220095193538880851e+00, 1.649359102910726627e+00, 1.494384278325543214e+00, 2.249959556781775838e+00, 1.640624277210996240e+00, 2.371172291274851407e+00, 1.650399865472274685e+00, 1.394507025511313225e+00, 1.745030833003470505e+00, 1.274515882736828587e+00, 1.512701965279715344e+00
2.036000000000000000e+03, 1.367196246739378340e+00, 1.245331744811229324e+00, 1.134071362653646498e+00, 1.365152494538688144e+00, 2.254790883030597382e+00, 1.269244595151294952e+00, 1.682938886153978242e+00, 1.452725202796027126e+00, 2.216831955536828325e+00, 1.612529148441668836e+00, 2.394229220049041817e+00, 1.743581729343387510e+00, 1.415839485138770559e+00, 1.749669642260343716e+00, 1.317215399709595003e+00, 1.536416509435078570e+00
2.037000000000000000e+03, 1.416162752217740461e+00, 1.255621794876518704e+00, 1.175926327384352321e+00, 1.374916026444434225e+00, 2.259383234158240938e+00, 1.247150604212846847e+00, 1.694038705157248970e+00, 1.504312651550144375e+00, 2.191863698296561580e+00, 1.630846092837953787e+00, 2.414041854351677507e+00, 1.686810398608055150e+00, 1.416839933345639846e+00, 1.754497708272703127e+00, 1.268134659511004569e+00, 1.535093198322683872e+00
2.038000000000000000e+03, 1.435532101759225299e+00, 1.254343332978788084e+00, 1.199377920430244604e+00, 1.371146469267250367e+00, 2.271451869357714592e+00, 1.274296156953028225e+00, 1.640765693780869894e+00, 1.520724521630673509e+00, 2.348983234324180103e+00, 1.684628752784604444e+00, 2.387609713812796297e+00, 1.677643335854627216e+00, 1.409876043847649640e+00, 1.725660146782858506e+00, 1.212169993573481763e+00, 1.579882958405992577e+00
2.039000000000000000e+03, 1.390975412259768396e+00, 1.266483229217473472e+00, 1.204149397263815091e+00, 1.401381211472843669e+00, 2.189532453148874236e+00, 1.285503005138795452e+00, 1.636191694499358418e+00, 1.489384694599922510e+00, 2.341412520103863582e+00, 1.635210551915104338e+00, 2.378328743412779556e+00, 1.654354734670850480e+00, 1.424299024697852412e+00, 1.739312183400544498e+00, 1.257714782394422359e+00, 1.609369764753853183e+00
2.040000000000000000e+03, 1.401868439840000535e+00, 1.287809521278757030e+00, 1.169866166755347825e+00, 1.417987856832674476e+00, 2.204359529004077611e+00, 1.283389779621140203e+00, 1.660985979827002801e+00, 1.509021898543339457e+00, 2.264911921933353334e+00, 1.695583608685298227e+00, 2.355374352228947199e+00, 1.637538000799928950e+00, 1.409231826972555446e+00, 1.679403901215506645e+00, 1.326510051335662244e+00, 1.623146128023103651e+00
