year, INM-CM5-0, CMCC-CM2-SR5, MIROC-ES2L, NorESM2-MM, TaiESM1, NorESM2-LM, MPI-ESM1-2-LR, INM-CM4-8, CNRM-ESM2-1, CESM2-WACCM, GFDL-ESM4, IPSL-CM6A-LR, UKESM1-0-LL, CanESM5, ACCESS-ESM1-5, EC-Earth3-Veg
2.025000000000000000e+03, 1.429516008065132571e-01, -2.900259988608657191e-01, 2.268649547210788431e-01, 6.585449238931114779e-01, 1.406874187044241109e-01, 2.906240657885326706e-01, 5.616866883790454512e-01, -1.620476645228461632e-01, 8.249110180322062336e-01, 6.032774648735668155e-01, 1.526944714003416748e-01, 7.370866375215676669e-01, 5.054602888257399007e-01, 3.009822980447977581e-01, 7.918631855520731344e-01, 5.658206293602944248e-01
2.026000000000000000e+03, -2.723747718016133468e-01, 4.021186779697630970e-02, 5.550492057861340367e-01, 5.074292602722280110e-01, 1.582816241305905550e-02, 6.118880491873520677e-01, 4.618759009404055926e-01, -4.947040781544534416e-01, 8.294246150726041211e-01, 3.342401106900919627e-01, 8.139530377737578259e-01, 5.724979466979315257e-01, 1.919096249780055663e-01, 8.303181156214393122e-01, 6.915706603120356233e-01, 3.464614150522068448e-01
2.027000000000000000e+03, 1.268043155500845787e+00, 5.992926030763887635e-01, 4.931154693625603436e-01, 5.279751264424756840e-01, -1.152372841266791209e-01, 5.310295423690118977e-01, 4.852604142841639434e-01, 1.968989683195474794e-01, 6.599354491456969063e-01, 3.541475799799322366e-01, 7.376235788673726201e-01, 7.379316667232589388e-01, 8.662488710818319060e-01, 5.704795797632566945e-01, 2.448034977480131880e-01, 6.489849540822850704e-02
2.028000000000000000e+03, 2.546539809727108583e-01, 3.336089017718266159e-01, 5.884856901264826634e-01, 7.022269919387185144e-01, 1.361442372409827628e-01, 3.987524019209338078e-01, 9.481544698068324062e-02, -4.362777848706085870e-01, 8.932853376827979419e-01, 5.798702494147908171e-01, 7.105297321697858770e-01, 5.750241207122086529e-01, 5.088031885241122154e-01, 2.053746703729212031e-01, 7.354789143031900123e-01, 1.350434406428686063e-01
2.029000000000000000e+03, 5.203742885967097553e-01, -1.178990478709577823e-03, -3.257153169484945376e-01, 5.962532593705631712e-01, -5.597342257792630171e-01, 5.382399218994851076e-01, -3.831151381146875867e-02, 7.266023071151056500e-01, 7.596743070944886878e-01, 6.314057058405506684e-01, 2.010463611119541194e-01, 9.608330984769680727e-01, 2.491525483198480106e-01, 5.831874118735129731e-01, 8.084423762833568006e-01, 2.810357763227149669e-02
2.030000000000000000e+03, 1.213595785688018902e-01, -4.309837723441032331e-01, 1.952021409832515042e-01, 3.769191878282582286e-01, 8.324459645494074467e-01, 4.950777095394874872e-01, 1.230084973144534022e-01, 1.428802404606428711e+00, 9.772927388469971888e-01, 5.071751629371198389e-01, 6.720013650593074095e-01, 5.916055486867287661e-01, 1.644961341539331601e-01, 4.814499994687890250e-01, 3.344894757153555331e-01, 5.872084312904511938e-01
2.031000000000000000e+03, 1.719970963134357378e-01, -3.807681290347834230e-02, 1.255760150095150962e-01, 5.687198801189577990e-01, 2.226360404191930070e-02, 4.407206620219001891e-01, 6.720494998140486009e-01, 6.220133793257615062e-01, 8.134391478098195183e-01, 3.847057459360702092e-01, 4.270069306991015612e-01, 1.080649387841040143e+00, 5.034060255300226716e-01, 2.968040432962056330e-01, -2.044486279225595227e-01, 5.270974735966973412e-01
2.032000000000000000e+03, 1.705803176437554192e-01, 5.450005056706563877e-02, 9.888204650119706285e-01, 6.785323242394267762e-01, -2.900567296705001685e-01, 4.433474074666863829e-01, 7.408312416218468810e-01, 3.533001552050565319e-01, 9.976368493155199912e-01, 4.909931555962028238e-01, 1.919531308558391769e-01, 8.735928931287535448e-01, 4.510303803675622114e-01, 7.658928061208248872e-01, 2.756040229760690075e-01, 2.269040829538038206e-01
2.033000000000000000e+03, 6.114273685378446288e-01, 2.823663794316078057e-01, 9.205277606682712443e-01, 6.203689292891423346e-01, -1.710702479668397280e-01, 2.761793493780763664e-01, 4.347618195360106186e-01, -3.039606673865736797e-01, 7.032254536424766833e-01, 6.378185819639055065e-01, 9.065571855076384189e-01, 1.080018101486575954e+00, 8.656985514763272660e-02, 6.655524702382945579e-01, 1.881985379506157796e-01, 1.026643584481798266e+00
2.034000000000000000e+03, 1.841693756772269541e+00, 3.308022808249033164e-01, -4.190263749398076554e-01, 3.823820599452776858e-01, 4.606658237485904417e-01, 4.512400218432581211e-01, 3.646620558290354919e-01, 2.833610535815124232e-01, 1.161901919047728882e+00, 7.999646500134420801e-01, 1.079615931205852419e+00, 6.427368869730578638e-01, 6.160111587887463491e-01, 3.678874454174200226e-01, 3.766324711311325735e-01, 4.339688178122432793e-01
2.035000000000000000e+03, 7.380131286122035839e-01, -1.605074142383287883e-01, 2.822503662958764648e-01, 5.356385325981709578e-01, 3.584940299795250085e-02, 5.525855539107096259e-01, 1.805826961604539704e-01, 2.142689875300312352e-01, 7.775790189397673302e-01, 6.762029166720060491e-01, 2.648195353146289288e-01, 3.632982158081080049e-01, 3.367770373528308769e-01, 3.552134767524996461e-01, 3.550060758855561049e-01, 4.228283462361413503e-01
2.036000000000000000e+03, 8.516620597707401652e-01, 2.572116715755843330e-01, -7.581952554457616067e-02, 4.933326588983857341e-01, 7.457711766521374352e-02, 5.321398614035312002e-01, 5.605926180727782704e-01, 4.503226676286377073e-01, 1.134404023719535415e+00, 5.133074782739388553e-01, 8.584315417502397239e-01, 8.333103289743725162e-01, 3.466628896635143842e-01, 9.976626235133773113e-01, 2.269651288480199203e-01, 1.009098882497742183e-01
2.037000000000000000e+03, -1.790476175229150091e-01, -1.843771664328787141e-01, 1.123138169009168408e+00, 2.828438873712180723e-01, 2.314941921060927610e-01, 5.827873073658180747e-01, 6.592880567000934944e-01, 8.266861014781730077e-01, 7.729753691513593372e-01, 7.765965147259572543e-01, 8.976048402258455239e-01, 6.219813767835051799e-01, 5.764822213279733321e-01, 3.785924279984930196e-01, 3.724812425321312181e-01, 3.581638298966716150e-02
