year, NorESM2-MM, GFDL-ESM4, TaiESM1, CNRM-ESM2-1, CNRM-ESM2-1, EC-Earth3-Veg, GFDL-ESM4, TaiESM1, NorESM2-MM, CESM2-WACCM, NorESM2-LM, MPI-ESM1-2-LR
2.033000000000000000e+03, 1.445346363381044966e-10, 6.048859889560450142e-10, 2.785294914206282338e-10, 6.281331423108955208e-10, 6.281331423108955208e-10, 3.486513292152758392e-10, 6.077322116740763002e-10, 2.785294914206282338e-10, 1.445346363381044966e-10, 1.176768199598756404e-10, 1.370459515304661478e-10, 5.357308500860720014e-10
2.034000000000000000e+03, 1.478644499491941440e-10, 7.279435612049007572e-10, 2.412277308288395476e-10, 7.089742498023272981e-10, 7.089742498023272981e-10, 3.685314798315382519e-10, 7.308677641483225898e-10, 2.412277308288395476e-10, 1.478644499491941440e-10, 1.572437085618633224e-10, 9.979577082135730767e-11, 4.304285776752460223e-10
2.035000000000000000e+03, 1.328561695116093727e-10, 8.617552898366085003e-10, 2.579139585232594255e-10, 7.016321163220848387e-10, 7.016321163220848387e-10, 5.195128069367975813e-10, 8.646826390577821700e-10, 2.579139585232594255e-10, 1.328561695116093727e-10, 1.289407993101298109e-10, 7.395689175343776234e-11, 6.300998452451878705e-10
2.036000000000000000e+03, 1.417714900888565550e-10, 7.403046451495585247e-10, 2.460183163447864354e-10, 6.426711564157838187e-10, 6.426711564157838187e-10, 5.225532223080937394e-10, 7.432683157452291401e-10, 2.460183163447864354e-10, 1.417714900888565550e-10, 1.672001460005215587e-10, 9.925638281520175161e-11, 4.975053017098610349e-10
2.037000000000000000e+03, 1.392146675313603423e-10, 6.938144962521857752e-10, 2.176886965955745357e-10, 6.895967442426930434e-10, 6.895967442426930434e-10, 4.299897982858868863e-10, 6.970027428762430372e-10, 2.176886965955745357e-10, 1.392146675313603423e-10, 1.633684667376563608e-10, 6.816987639773752074e-11, 6.042493476752231124e-10
2.038000000000000000e+03, 1.630120114471027456e-10, 8.582199670235612033e-10, 2.422160085977664003e-10, 8.088632899277610876e-10, 8.088632899277610876e-10, 4.318889594188221923e-10, 8.614969674677927487e-10, 2.422160085977664003e-10, 1.630120114471027456e-10, 1.334301390952587731e-10, 1.139354716449336330e-10, 5.362975066312763199e-10
2.039000000000000000e+03, 1.508274680453913259e-10, 9.234013289087880572e-10, 2.493672662370948299e-10, 6.649352493946918892e-10, 6.649352493946918892e-10, 5.326785804255360839e-10, 9.267378745872062601e-10, 2.493672662370948299e-10, 1.508274680453913259e-10, 1.702676072084506699e-10, 1.173006517205050412e-10, 6.685423489876478457e-10
2.040000000000000000e+03, 1.842196601000295772e-10, 7.612839105972250505e-10, 2.587680311804457632e-10, 7.345847835431890224e-10, 7.345847835431890224e-10, 4.950235182827130550e-10, 7.645160384989374714e-10, 2.587680311804457632e-10, 1.842196601000295772e-10, 1.863513872838272661e-10, 8.353608721284020160e-11, 6.414148574928058431e-10
2.041000000000000000e+03, 1.560288478372182584e-10, 6.680190536362242879e-10, 2.125601581725870873e-10, 7.825435305332021498e-10, 7.825435305332021498e-10, 3.981235469577183816e-10, 6.713159635702881356e-10, 2.125601581725870873e-10, 1.560288478372182584e-10, 2.220364466454978033e-10, 1.015204044071780177e-10, 5.814847772978098388e-10
2.042000000000000000e+03, 1.986497132848140169e-10, 9.460764530227237296e-10, 2.458721427092497913e-10, 7.327373188183348051e-10, 7.327373188183348051e-10, 5.327740097206024682e-10, 9.495184206948265837e-10, 2.458721427092497913e-10, 1.986497132848140169e-10, 2.392704826304624823e-10, 8.410065620125006039e-11, 6.040736433854195111e-10
