year, MPI-ESM1-2-LR, GFDL-ESM4, MIROC-ES2L, CanESM5, CNRM-ESM2-1, CMCC-ESM2, UKESM1-0-LL, CESM2-WACCM
2.062000000000000000e+03, 4.016666801726837922e-10, 6.288595284662761529e-10, -3.696303961243642560e-11, 1.462586230685138006e-10, 7.535580587138116679e-10, 3.479453847935248005e-10, -1.588644630946879648e-10, 3.149565268909272752e-10
2.063000000000000000e+03, 7.491304707775607380e-11, 1.846762012277595029e-10, -1.440481514965324124e-10, 6.007184525214780058e-10, 1.860810468933980894e-10, -1.001242796586376998e-09, 9.271773259165459724e-10, 8.840106651146946879e-10
2.064000000000000000e+03, 5.700818886016248109e-10, 5.176568300599952980e-10, -1.104046016917678518e-09, 5.694062473203773003e-10, -2.534706109899894363e-10, -5.562795141492866952e-10, 3.878744273006014965e-10, 5.602852643202372787e-10
2.065000000000000000e+03, 2.628657366832700690e-10, 6.086868763503471527e-10, -3.927823151321153600e-10, 5.515880620308731570e-10, 1.223835535139561963e-09, 4.977069602231275200e-11, -4.368873575589084358e-10, 6.783199989672426616e-10
2.066000000000000000e+03, 1.163124973370996974e-09, 2.039488669337175032e-10, -1.551402802720400323e-10, 1.342985553062780106e-10, -4.099063511525017609e-10, -7.350337318741346499e-11, 5.729107881361153145e-10, 4.157413370586673649e-10
2.067000000000000000e+03, 4.523313911484916494e-10, 7.357313468922705666e-10, 2.777558898889125629e-10, 5.332860408805131498e-10, 8.814446758865885685e-10, 1.509239624779166336e-10, 2.519815893750320041e-10, 2.549863552016523248e-10
2.068000000000000000e+03, 1.074879594805416844e-10, 8.185850632975860971e-10, -1.009110024960402089e-09, 4.501523742248840727e-10, 9.579030192084828472e-10, 7.165380350558440210e-10, 2.050614845927172933e-10, 5.611036697334247806e-10
2.069000000000000000e+03, 1.972888005916515863e-10, 5.330003347714262806e-10, -2.478322609561772040e-10, 6.075692891868105716e-10, 8.685301115378348159e-10, 6.615326855874596365e-12, 3.800804965633034537e-10, 3.676932873410655818e-10
2.070000000000000000e+03, 4.889107022624924545e-10, 8.004021520330324220e-10, -2.780591672710983754e-10, 8.235090562418404751e-10, 2.850915624846510708e-10, 6.184977264056363725e-10, -3.353972523742584272e-11, 3.259823791043272808e-10
2.071000000000000000e+03, 2.739074574212350187e-10, -8.279490034887672664e-11, -2.882591372764222098e-10, 6.959212266998401213e-10, -1.811793728790855118e-10, 3.020947224853138570e-10, 8.940276260581202692e-10, 7.845441685196299378e-10
2.072000000000000000e+03, -1.068913566502865776e-11, 4.636332614894487861e-10, -9.537886921185115015e-11, 1.556387716967295898e-10, 6.129168609051420347e-10, -1.801757148337758341e-09, -1.684571396780925665e-10, 3.061981135047254758e-10
2.073000000000000000e+03, 2.140676263294967245e-10, -1.827156272672260276e-10, -3.952150933547026311e-10, 4.597077345748304053e-10, 3.693087835167906689e-10, -5.929784588790614118e-10, -2.232568386697071473e-10, 6.545756148319414420e-10
2.074000000000000000e+03, -2.032619515846522583e-11, -2.873637390315635289e-11, -2.107385340526304079e-10, 8.545388006576359440e-10, 6.305831259032174031e-10, 2.109792329003169037e-09, 5.863630391683733195e-10, 3.781308904376890249e-10
2.075000000000000000e+03, 1.826198253514178420e-10, 3.144670614191766485e-10, 1.513150492728397919e-10, 1.506754112788001760e-10, 6.864636439540903229e-10, 2.804663835165901653e-10, 1.726726526423626297e-10, 4.962392043666535609e-10
2.076000000000000000e+03, -5.181817231523953168e-10, 7.584392869350205449e-10, 3.141675301546675443e-10, 7.841645401057394994e-10, 1.022698696942821255e-10, -4.444923799517738568e-10, 5.127967082090997450e-10, 1.558752482597414646e-10
2.077000000000000000e+03, -6.667499706132821915e-12, 4.411701833629018633e-10, -6.244546063872337300e-11, 3.513951457756252156e-10, 7.607634421211689072e-10, 1.661371304264941866e-10, -1.950116486313062616e-10, 2.670727311528098257e-10
2.078000000000000000e+03, 1.356723221368435046e-10, 4.368654380960561186e-10, 4.957881706371939938e-10, -1.133384132356220885e-10, 6.641890963890056755e-10, -1.644917656107288721e-10, 8.820365322455395693e-11, 6.608261740476939245e-11
2.079000000000000000e+03, 1.041694343672859604e-09, 6.013757600442361492e-10, -3.256717151184362544e-12, 4.217731772892792255e-10, 1.736396182192703875e-10, -1.477286435742959527e-10, 1.829396347589346957e-10, 4.047450415117726625e-10
2.080000000000000000e+03, -4.986972128767723784e-10, 7.343465027357958306e-10, -2.983105849334793729e-10, 1.619089148528377580e-10, 2.927707958025671693e-10, 7.488018621900701208e-10, 3.235172883280590259e-10, 6.141521309608107829e-10
2.081000000000000000e+03, 6.666193393181120864e-10, 5.739193721764518869e-10, 4.206351744823938199e-10, 5.359942081259974705e-10, 3.467814973141907731e-11, 2.251878929442626754e-10, -2.918045102426700754e-10, -5.806865976268397109e-11
2.082000000000000000e+03, -4.389229466887886456e-10, 1.252071324989737385e-09, -6.063661285481778488e-10, 2.291120996112442357e-10, -1.486533187854370021e-11, -4.755667029243110696e-10, 8.185783813584713019e-11, -2.347205752612512129e-10
2.083000000000000000e+03, 4.759879602492254223e-10, -6.058239537936533625e-10, 4.693342762131144344e-10, 5.661072507239928033e-10, 6.053359260951343404e-10, 2.194832653862410709e-10, 4.796503316810945288e-11, 3.593424658631814689e-10
2.084000000000000000e+03, 8.353812421442442670e-11, 5.117177476369138106e-10, -2.651976990770672502e-10, 5.947783752577790367e-10, 7.874359452628235619e-10, 6.498033179505400637e-10, -6.143192854659043090e-11, 3.536012253500181951e-10
2.085000000000000000e+03, -7.294863396214291021e-12, 2.715124888969684914e-12, -1.206579825393547771e-11, 1.346227747245024583e-10, 3.000710860873259201e-10, 4.120529896381877576e-10, 1.325510088533141278e-11, 3.936337218486719390e-10
2.086000000000000000e+03, 2.234053274203653851e-10, -2.208267682869719833e-10, -5.131256311579485041e-11, 3.322946211889509502e-10, 3.792426838563906912e-10, 7.092001982175904179e-11, 5.751947291681368827e-11, 2.990418989029715329e-10
2.087000000000000000e+03, 9.255499633044215262e-10, 5.587908296965158774e-10, 2.628486090904654290e-10, 1.126568808731958272e-10, 9.259939232523874314e-10, -6.964038373428831196e-10, -5.935932196115951589e-10, 3.108096180588628023e-10
2.088000000000000000e+03, -1.869485488592062024e-10, 7.630986567926308615e-10, 1.946591409007360177e-10, -1.822944692957067416e-10, -1.569662586569240951e-10, -5.354776334785618464e-10, -8.074430430389047966e-11, 1.785026459493387998e-10
2.089000000000000000e+03, -9.119614208524891237e-11, 3.024141860555937414e-10, 4.215467262504798969e-10, 1.079134026182473443e-10, 5.278973718312857501e-11, 3.363803647751625933e-10, 5.156742682747947209e-10, 3.437886849071094199e-10
