year, MIROC-ES2L, EC-Earth3-Veg, GFDL-ESM4, CESM2-WACCM, CMCC-CM2-SR5, TaiESM1, MPI-ESM1-2-LR, CNRM-ESM2-1, IPSL-CM6A-LR, ACCESS-ESM1-5, CanESM5, NorESM2-LM, NorESM2-MM
2.058000000000000000e+03, 7.688198248109488020e+01, 1.153889989794344650e+01, 5.910965714516446923e+01, 7.803213126548171452e+00, 1.072119314776864130e+01, 1.694047217017875528e+00, 6.025384121175767405e+01, 7.129388512038856618e+01, 2.167208827457499609e+01, 1.083098238706970307e+01, 1.825097018708405017e+01, 7.672504091602024623e+00, 8.077608535571162207e+00
2.059000000000000000e+03, 7.678582791001853991e+01, 1.161720700290078234e+01, 5.930556655574509506e+01, 7.766029770784111719e+00, 1.051445006328675191e+01, 1.971450093048647600e+00, 6.022348575347800193e+01, 7.142796423308105602e+01, 2.172739350941726855e+01, 1.089798964874936082e+01, 1.843355070420143704e+01, 7.743123572169825053e+00, 8.014663766491130659e+00
2.060000000000000000e+03, 7.691666294049397834e+01, 1.166493407197957843e+01, 5.964687157152094699e+01, 7.906876373716646533e+00, 1.008038505929184581e+01, 1.876502546753960887e+00, 6.017682747251966902e+01, 7.146340006785426624e+01, 2.176574560611785358e+01, 1.094756510815981088e+01, 1.832813693859103310e+01, 7.748896603266859806e+00, 8.187832759930500970e+00
2.061000000000000000e+03, 7.711174031778232063e+01, 1.185711062961920170e+01, 6.011870626502335568e+01, 7.904229895689701024e+00, 1.050491439236963132e+01, 1.814933583285879504e+00, 6.024957034480018336e+01, 7.154125579458106188e+01, 2.179048381504731324e+01, 1.094683180438541470e+01, 1.863758029273177286e+01, 7.744435480798103733e+00, 8.138749126800522760e+00
2.062000000000000000e+03, 7.741409484426694121e+01, 1.211960331626957377e+01, 6.028846217319951251e+01, 7.983470565315113454e+00, 1.109938713784457676e+01, 1.909626240421805177e+00, 6.052609294334824597e+01, 7.179550830986683252e+01, 2.186385195271972393e+01, 1.091235536189052979e+01, 1.894354744641835353e+01, 7.855546479295958839e+00, 8.211032038924448884e+00
2.063000000000000000e+03, 7.729074265727111026e+01, 1.211008694705307320e+01, 6.054013182258455572e+01, 7.912509266040373745e+00, 1.097306816649173022e+01, 2.124432329514322149e+00, 6.061417953210270326e+01, 7.171593139404693318e+01, 2.190020840719427753e+01, 1.091818529694591255e+01, 1.889152718201980719e+01, 7.772410348036421723e+00, 8.132954462516858385e+00
2.064000000000000000e+03, 7.697432758471084924e+01, 1.210322851801327637e+01, 6.059482821810820496e+01, 7.867825976673332278e+00, 1.065520962361000912e+01, 2.199746171340621892e+00, 6.078173664094840944e+01, 7.172670747674597180e+01, 2.198296946939752416e+01, 1.093467862741418450e+01, 1.887390599638750999e+01, 7.830680798718688607e+00, 8.168146428323820984e+00
2.065000000000000000e+03, 7.695308345960815188e+01, 1.217808214369706654e+01, 6.093581396110866422e+01, 7.894496999317754948e+00, 1.020168024580852872e+01, 1.737181933626600339e+00, 6.088600847218043555e+01, 7.157337640103921217e+01, 2.212920867871121899e+01, 1.090043600385745215e+01, 1.912064419201741927e+01, 7.877232254246782972e+00, 8.213531081285353252e+00
2.066000000000000000e+03, 7.710731113148708005e+01, 1.202772091023403611e+01, 6.107020566186423594e+01, 8.087175777315964709e+00, 1.015327011320083095e+01, 1.916775287084155455e+00, 6.098539706757141943e+01, 7.174397999279064209e+01, 2.219708046161772330e+01, 1.093434126286191344e+01, 1.933392221587531523e+01, 7.760110255318568129e+00, 8.206976958274797340e+00
2.067000000000000000e+03, 7.705592582309702721e+01, 1.201365439728561313e+01, 6.117155515859585790e+01, 8.210986369410111507e+00, 1.098231820355434074e+01, 2.040974803986122854e+00, 6.127510396311767238e+01, 7.158683622491393805e+01, 2.209502895842488712e+01, 1.093193852598693461e+01, 1.928314903427521898e+01, 7.888517978177835843e+00, 8.129171188578903084e+00
