year, MIROC-ES2L, CNRM-ESM2-1, IPSL-CM6A-LR, ACCESS-ESM1-5, CMCC-CM2-SR5, UKESM1-0-LL, EC-Earth3-Veg, CESM2-WACCM, MPI-ESM1-2-LR
2.073000000000000000e+03, 2.415846683272144801e+00, 1.660623536897391228e-01, 6.334404327000627832e-01, 2.253703760025347780e+00, 1.482745813285499148e+00, 2.888470912157599726e-02, 1.962423382674692920e-02, 1.548604327690247251e+00, 2.367611323266000323e+00
2.074000000000000000e+03, 2.413335787055425730e+00, 1.682561059216164945e-01, 6.364485811785778324e-01, 2.280708403149529051e+00, 1.482129063742829711e+00, 2.907859857634991288e-02, 2.055929720395867008e-02, 1.566436779097339027e+00, 2.371095220334891618e+00
2.075000000000000000e+03, 2.434470146241923594e+00, 1.749535952751513634e-01, 6.400819479445774007e-01, 2.308303271357698083e+00, 1.488057822253008311e+00, 2.963215874384291307e-02, 2.148356169313185224e-02, 1.574340768901747678e+00, 2.362032842667653565e+00
2.076000000000000000e+03, 2.452399113822717247e+00, 2.112758516658137242e-01, 6.573384876093990581e-01, 2.337515922303756710e+00, 1.498940141521703850e+00, 3.377162542964962100e-02, 2.194284124355219343e-02, 1.618803742615051444e+00, 2.361348790106656992e+00
2.077000000000000000e+03, 2.469354824268709336e+00, 2.426918493459075676e-01, 6.731039134150592629e-01, 2.363823838991342630e+00, 1.507326861424041375e+00, 3.742254557488222666e-02, 2.260406021813036667e-02, 1.620101032182941436e+00, 2.359487174468853254e+00
2.078000000000000000e+03, 2.485834110249974138e+00, 2.694194100528466973e-01, 6.864959501371427075e-01, 2.392302869001142085e+00, 1.513504596810691050e+00, 4.047088058217412909e-02, 2.341015537448677339e-02, 1.626032470327820834e+00, 2.359009148755843999e+00
2.079000000000000000e+03, 2.500429738459967410e+00, 2.915982104857169910e-01, 6.989978696658684099e-01, 2.417191199467896290e+00, 1.517993457607112573e+00, 4.585869550452661286e-02, 2.441533677202586267e-02, 1.644303834216814142e+00, 2.367268113253299333e+00
2.080000000000000000e+03, 2.506265744054407385e+00, 3.089829448143270318e-01, 7.107403581747970822e-01, 2.444971044739578048e+00, 1.518014013510637916e+00, 5.155623554608820130e-02, 2.572324933873301051e-02, 1.643396947692620014e+00, 2.368024668643256003e+00
2.081000000000000000e+03, 2.517896136988627909e+00, 3.149772286856584169e-01, 7.148902234047718185e-01, 2.406048655441369366e+00, 1.514545665718347589e+00, 4.658365151394918552e-02, 2.554671741618671707e-02, 1.635894949127005837e+00, 2.355994568099218700e+00
2.082000000000000000e+03, 2.531901677174061671e+00, 3.185721198896904194e-01, 7.188015370376586999e-01, 2.376065009574427123e+00, 1.511141971158779018e+00, 4.313181569977445756e-02, 2.547572358410810436e-02, 1.616834171181322777e+00, 2.362570514398936616e+00
2.083000000000000000e+03, 2.543404589547947570e+00, 3.200481157832365531e-01, 7.221197294913100917e-01, 2.350104723278506391e+00, 1.507613356759585743e+00, 4.142809232421951898e-02, 2.552142276085664699e-02, 1.625573481552942567e+00, 2.344854563059945551e+00
2.084000000000000000e+03, 2.554388886396571134e+00, 3.193963780439479927e-01, 7.250511937201927770e-01, 2.327562274846452617e+00, 1.504067737984084774e+00, 4.005094724316668464e-02, 2.567783128308865140e-02, 1.636591922787086650e+00, 2.340526843874634277e+00
2.085000000000000000e+03, 2.532138633128011129e+00, 3.153502094399430744e-01, 7.271095185166961405e-01, 2.306560983542549348e+00, 1.497816873051204700e+00, 3.915434086566350197e-02, 2.593634208253937576e-02, 1.638500291257281472e+00, 2.326465105279921453e+00
2.086000000000000000e+03, 2.524038412447248803e+00, 2.956445266560617791e-01, 7.176666210364404108e-01, 2.274394020140622530e+00, 1.488998617878561470e+00, 3.747056350728446283e-02, 2.578894215905077475e-02, 1.617064686009873409e+00, 2.317475747792943519e+00
2.087000000000000000e+03, 2.519419560279560155e+00, 2.776653464580199904e-01, 7.080319914137739312e-01, 2.242237527946846054e+00, 1.480780788481349086e+00, 3.605710918991762021e-02, 2.584958302191964208e-02, 1.612614349529247093e+00, 2.315358994119736114e+00
2.088000000000000000e+03, 2.520169609487396212e+00, 2.615936397223855292e-01, 6.999268053811120716e-01, 2.215975027654992768e+00, 1.472994786052217009e+00, 3.517495410681092255e-02, 2.588953348441036528e-02, 1.598171208300539270e+00, 2.308218676845845252e+00
2.089000000000000000e+03, 2.523145707831417450e+00, 2.469458601625175997e-01, 6.919003959370274570e-01, 2.188098802689617539e+00, 1.465505597963125739e+00, 3.495005010321294847e-02, 2.595720357930188238e-02, 1.599061021679409889e+00, 2.296138080270745174e+00
2.090000000000000000e+03, 2.497700991686224281e+00, 2.353644245815502134e-01, 6.847050267417582603e-01, 2.165112538483035642e+00, 1.453539931433583732e+00, 3.446680536935840117e-02, 2.604708515513710562e-02, 1.606083155589695055e+00, 2.276256568073045550e+00
2.091000000000000000e+03, 2.482389509212208800e+00, 2.120238755625196425e-01, 6.656057451215159348e-01, 2.138801999755907346e+00, 1.437821490090901655e+00, 3.304134183475933295e-02, 2.508773087825116183e-02, 1.580113468875647964e+00, 2.266708218446063405e+00
2.092000000000000000e+03, 2.469233321300443595e+00, 1.910014996684688549e-01, 6.492121941251846051e-01, 2.114418740539349972e+00, 1.423256690197487462e+00, 3.182477105797844319e-02, 2.416703505390608436e-02, 1.568013440593952090e+00, 2.252437833733893946e+00
2.093000000000000000e+03, 2.454515644939595731e+00, 1.723954719167933580e-01, 6.343535831827169513e-01, 2.092014180015419722e+00, 1.409552412712899105e+00, 3.084401830305589717e-02, 2.328378081581087417e-02, 1.561681090224768420e+00, 2.242023201110491026e+00
2.094000000000000000e+03, 2.442333531570658245e+00, 1.562216561780090385e-01, 6.213462187572952322e-01, 2.070053385090932618e+00, 1.396622608230150053e+00, 2.991599025915349375e-02, 2.245112717458094126e-02, 1.526770996193127061e+00, 2.233892802630009555e+00
2.095000000000000000e+03, 2.428998081885117788e+00, 1.439003946630416919e-01, 6.102610398111264489e-01, 2.049191192821176344e+00, 1.384372585028095015e+00, 2.916397798403371974e-02, 2.165386894964119527e-02, 1.518797660042771946e+00, 2.226427867359071389e+00
2.096000000000000000e+03, 2.418489131460534125e+00, 1.336727322098932580e-01, 6.010757884120042638e-01, 2.029608188666949253e+00, 1.372544573921235189e+00, 2.868278883198665044e-02, 2.043978590814625809e-02, 1.499789705164153997e+00, 2.195959862057152989e+00
2.097000000000000000e+03, 2.402666060852679308e+00, 1.243479528018391761e-01, 5.928083613026386978e-01, 2.006380204598647410e+00, 1.361236942925054816e+00, 2.819185536195773292e-02, 1.931373901458769554e-02, 1.485525243903233150e+00, 2.180572726887447743e+00
2.098000000000000000e+03, 2.380440854690823560e+00, 1.158611215424949215e-01, 5.846101587734530147e-01, 1.988935487818954018e+00, 1.350284821561395399e+00, 2.749243541477754127e-02, 1.826005946775267202e-02, 1.473236881950414912e+00, 2.180595976548084014e+00
2.099000000000000000e+03, 2.354232738531222502e+00, 1.084971617918677744e-01, 5.770005491962042488e-01, 1.967376480711774400e+00, 1.339599547226272502e+00, 2.696948129245099746e-02, 1.729548201379422015e-02, 1.460570113947595505e+00, 2.165454860513174484e+00
2.100000000000000000e+03, 2.332279916070702619e+00, 1.033551865824459404e-01, 5.695427420612053648e-01, 1.947806659613227076e+00, 1.292908151062178712e+00, 2.642230599558980861e-02, 1.638420880503493882e-02, 1.460365031925935364e+00, 2.140612794416704379e+00
