year, CanESM5, MPI-ESM1-2-LR, MIROC-ES2L, TaiESM1, CESM2-WACCM, NorESM2-LM, INM-CM5-0, CNRM-ESM2-1, GFDL-ESM4, INM-CM4-8, NorESM2-MM, EC-Earth3-Veg, UKESM1-0-LL, CMCC-CM2-SR5, ACCESS-ESM1-5, IPSL-CM6A-LR
2.028000000000000000e+03, 8.338797735586486226e+01, 4.011967500293818034e+01, 9.085442261160424948e+01, 3.553704906820257037e+01, 7.118631542189268657e+01, 6.622136975597118180e+01, 1.288125529333023849e+02, 1.076176508420478086e+02, 7.620599452498187532e+01, 1.242783112992436685e+02, 6.931019602781195488e+01, 5.151528042755037262e+01, 7.347784205329926976e+01, 6.008775068427499377e+01, 1.125823536269107734e+02, 5.463939864366534493e+01
2.029000000000000000e+03, 8.381948694111365228e+01, 4.009669361702332679e+01, 9.098909821936564413e+01, 3.536138256115903289e+01, 7.170456897550810993e+01, 6.656167683938737412e+01, 1.291288474114998621e+02, 1.081114658355672162e+02, 7.650428317347505924e+01, 1.245738643593684287e+02, 6.967288440587374510e+01, 5.166946367984309774e+01, 7.377593959532420342e+01, 5.977405586794720449e+01, 1.132070786801982365e+02, 5.533119390552317896e+01
2.030000000000000000e+03, 8.437492919876650888e+01, 4.020709316830318869e+01, 9.102961396360849733e+01, 3.560124253099768765e+01, 7.217784230612531360e+01, 6.697536583847714553e+01, 1.293808522894457838e+02, 1.087410709722452538e+02, 7.698988048817966501e+01, 1.252791521148076583e+02, 6.977510832134207419e+01, 5.197353168232818632e+01, 7.412504460684033347e+01, 5.990112730855435075e+01, 1.135934893397250960e+02, 5.586909813885343112e+01
2.031000000000000000e+03, 8.483723971594547208e+01, 4.080279593457081688e+01, 9.106042130859765393e+01, 3.644949305933194239e+01, 7.255939145119330647e+01, 6.735755521186250405e+01, 1.294996539562142459e+02, 1.096140453518981985e+02, 7.732863681180545257e+01, 1.257767234376542120e+02, 7.023346791112612664e+01, 5.245595761238084975e+01, 7.450232111363851573e+01, 5.964656071207701871e+01, 1.135211559362556244e+02, 5.667106290447541284e+01
2.032000000000000000e+03, 8.552211742755400792e+01, 4.123774229421498205e+01, 9.177757239522830446e+01, 3.599262613626493135e+01, 7.294996867399312634e+01, 6.768595989216845510e+01, 1.297999352366690005e+02, 1.103325935039839294e+02, 7.732505596530253911e+01, 1.258215793549442196e+02, 7.083949349339860646e+01, 5.285262735838708181e+01, 7.467392270258420695e+01, 5.907660960728555466e+01, 1.135924895571548632e+02, 5.731664634179073659e+01
2.033000000000000000e+03, 8.626788832166586474e+01, 4.144679684716560075e+01, 9.274700630649333277e+01, 3.585492593126880934e+01, 7.353313787124272949e+01, 6.783279883315698555e+01, 1.300682638370448956e+02, 1.109156680031215956e+02, 7.767561003625601757e+01, 1.256688244818453626e+02, 7.115569938808336303e+01, 5.310810269172998233e+01, 7.478103073085745223e+01, 6.000917987597654246e+01, 1.137349407896944911e+02, 5.799473750758145485e+01
2.034000000000000000e+03, 8.673408293175165795e+01, 4.165065152448045183e+01, 9.297342693037482775e+01, 3.614611888958319241e+01, 7.413813982332345631e+01, 6.810831467104563330e+01, 1.309663278706292999e+02, 1.115062542000800789e+02, 7.837790941465581795e+01, 1.256628179091616744e+02, 7.141541318617790068e+01, 5.353555030804857040e+01, 7.524174473969037535e+01, 6.017074348050935129e+01, 1.140573928839515929e+02, 5.877993598265098285e+01
2.035000000000000000e+03, 8.694407155802289822e+01, 4.179051569215879880e+01, 9.295754565150720339e+01, 3.629970043501587895e+01, 7.477198771332248839e+01, 6.854570611063405750e+01, 1.314389189771546569e+02, 1.121950210690229142e+02, 7.846609500406478332e+01, 1.259934970522029687e+02, 7.164827085656591521e+01, 5.378080751507481949e+01, 7.552118465393417068e+01, 6.038631391156427952e+01, 1.143983956389897543e+02, 5.903739858616243907e+01
2.036000000000000000e+03, 8.757101643338650376e+01, 4.215732108955815249e+01, 9.276843842890021108e+01, 3.638506750525493771e+01, 7.511858577462103881e+01, 6.906216044923397135e+01, 1.317247473913635076e+02, 1.130281662586318276e+02, 7.884187594472918192e+01, 1.261681281970399908e+02, 7.199106761829754930e+01, 5.442384731902842532e+01, 7.581014094376354251e+01, 6.034439958065587462e+01, 1.146678894600301106e+02, 5.963620039470319512e+01
2.037000000000000000e+03, 8.819751073358348492e+01, 4.253145449240354026e+01, 9.323644332817346481e+01, 3.666268974604373199e+01, 7.574385641228478505e+01, 6.965662706234908796e+01, 1.318272173877847706e+02, 1.136022419923966709e+02, 7.927187342534682557e+01, 1.264314396505715337e+02, 7.237310380398656662e+01, 5.458502442973456681e+01, 7.625109675889089544e+01, 6.013667603233464121e+01, 1.149856280358592642e+02, 6.020127601957442209e+01
