year, CMCC-CM2-SR5, TaiESM1, NorESM2-LM, ACCESS-ESM1-5, GFDL-ESM4, IPSL-CM6A-LR, CanESM5, CESM2-WACCM, INM-CM4-8, MPI-ESM1-2-LR, NorESM2-MM, CNRM-ESM2-1, INM-CM5-0, MIROC-ES2L, EC-Earth3-Veg, UKESM1-0-LL
2.031000000000000000e+03, 7.643107534250828117e+00, 5.410430959894093839e+00, 6.706711571925036530e+00, 7.275721712515444750e+00, 9.686749254051669311e+00, 8.757688088026721829e+00, 1.041277162533825873e+01, 6.987916098137187504e+00, 9.689778838853200682e+00, 1.248108134234964872e+01, 7.322641303613351305e+00, 9.909419374184922802e+00, 9.863485239571872398e+00, 1.066375917870314893e+01, 8.742772798374661036e+00, 1.034264784614128097e+01
2.032000000000000000e+03, 7.726047549308523443e+00, 5.375873200960369580e+00, 6.838621470591254692e+00, 7.681333445440322372e+00, 9.424776540851022233e+00, 8.487735504431885403e+00, 1.096981476710545245e+01, 7.152485865534984555e+00, 9.344967186665462222e+00, 1.243946125244219658e+01, 7.189902583065250319e+00, 1.026772567530826308e+01, 9.873399066185031714e+00, 1.174291267892515300e+01, 8.449452504311608436e+00, 1.014297886798370207e+01
2.033000000000000000e+03, 7.985626492650366615e+00, 5.395145094490760407e+00, 6.223920235796146727e+00, 7.646482996719911718e+00, 1.013863241699348627e+01, 8.775784593743022555e+00, 1.074369027185325010e+01, 7.377245512055840670e+00, 8.963393261230391929e+00, 1.185667356651155302e+01, 7.169660116185140986e+00, 9.617209193779256537e+00, 1.021869559942398453e+01, 1.205468086289888774e+01, 9.063370527133638888e+00, 9.866854538791891116e+00
2.034000000000000000e+03, 8.006929880876603178e+00, 5.854530960840852671e+00, 6.534808452232279130e+00, 7.844117510475660637e+00, 1.078001000637094187e+01, 8.626402272933527016e+00, 1.023530126065888268e+01, 7.674569449095158369e+00, 9.411575328253825035e+00, 1.195144900381856523e+01, 6.804650390522365200e+00, 1.018997376729761584e+01, 1.124434615032342855e+01, 1.053415552066987182e+01, 8.391979676243471076e+00, 1.135073269752717451e+01
2.035000000000000000e+03, 7.980225460268033366e+00, 5.461828270934849350e+00, 6.847440134092278363e+00, 7.855864141826767622e+00, 9.915139234374047206e+00, 7.872108420236900272e+00, 1.035760707812753445e+01, 7.498005326611842492e+00, 9.491370432976795612e+00, 1.173793201673678155e+01, 6.916534738289855433e+00, 9.658253750936230730e+00, 1.046002272018069945e+01, 1.112627458984304596e+01, 9.243480784418071750e+00, 1.015605556210153004e+01
2.036000000000000000e+03, 7.914650986389129450e+00, 5.605382056113685785e+00, 6.926962182032453619e+00, 7.739936109099536665e+00, 1.054114736737387048e+01, 8.393346576680929871e+00, 1.123355369449026142e+01, 7.508303276869012777e+00, 9.419064199300404283e+00, 1.227658091307591270e+01, 6.907768093744755866e+00, 1.030838594117458307e+01, 1.048278989211024559e+01, 1.052449553742042276e+01, 8.932941929861865304e+00, 1.096122682056453357e+01
2.037000000000000000e+03, 8.148538440204616151e+00, 5.660413246944089316e+00, 7.304843898385760426e+00, 8.008995089402603185e+00, 1.079818103473185964e+01, 8.193739390075883477e+00, 1.055603012572284527e+01, 7.669881112139922408e+00, 9.779942111331859422e+00, 1.222767011895544087e+01, 7.107008157796522951e+00, 9.745190942160141034e+00, 1.006541668182885552e+01, 1.191837292879556642e+01, 8.544647900249398020e+00, 1.095983690029147084e+01
2.038000000000000000e+03, 8.151997361269962994e+00, 5.524208648781558040e+00, 6.905484308623098144e+00, 7.959409314666132218e+00, 1.060484013149257265e+01, 8.791364860682039151e+00, 1.109681935965794075e+01, 7.702935160082454047e+00, 1.013931595509850503e+01, 1.184588558528906610e+01, 7.563941552979513538e+00, 9.408845764590019201e+00, 9.892240280602434765e+00, 1.181446425597199301e+01, 8.819930239001267935e+00, 1.081122086054909381e+01
2.039000000000000000e+03, 8.375014599175015562e+00, 5.526891121442917942e+00, 6.722791882095097371e+00, 8.219742705318321185e+00, 1.028846946313159805e+01, 9.062731531835138910e+00, 1.120251233737123009e+01, 7.672325372057157367e+00, 9.574530287722708977e+00, 1.191531606674171684e+01, 7.162365950097274947e+00, 1.003855257433673387e+01, 1.001545895346073856e+01, 1.152493171174758224e+01, 8.656456113115808648e+00, 1.061204987314370918e+01
2.040000000000000000e+03, 7.964247864071027472e+00, 5.496730760691087347e+00, 6.993574809919932633e+00, 8.217481694211299370e+00, 1.014437770627093904e+01, 8.906118087138858996e+00, 1.085298951206812745e+01, 7.345140293106603657e+00, 9.832470913587933126e+00, 1.140368011818719651e+01, 7.215654359740449664e+00, 1.043461746593554906e+01, 1.044308946098609958e+01, 1.099840167328430773e+01, 8.542397468536913507e+00, 9.966588767532343240e+00
