year, MPI-ESM1-2-LR, GFDL-ESM4, CESM2-WACCM, UKESM1-0-LL, CMCC-ESM2, CNRM-ESM2-1, ACCESS-ESM1-5, IPSL-CM6A-LR, MIROC-ES2L
2.032000000000000000e+03, 6.339508338036314801e-10, 1.196079920980669894e-09, 5.596003137378749672e-10, 1.022635904666194123e-12, 1.376339845621244081e-10, 1.164724246853326532e-11, 5.323530347155781627e-11, 1.305329225786986915e-09, 8.868747170438994691e-10
2.033000000000000000e+03, 6.397971420231859451e-10, 1.130295109100463260e-09, 5.992791699903319612e-10, 9.280867343943553090e-13, 1.384493860517018823e-10, 1.164030109433681842e-11, 5.411714091099457156e-11, 1.311936206426737530e-09, 8.968408428334296357e-10
2.034000000000000000e+03, 6.363346476032649036e-10, 1.255046860921243865e-09, 6.503309777330870149e-10, 8.933054314990649158e-13, 1.391328563556623143e-10, 1.163885975188859774e-11, 5.341618058406310558e-11, 1.323306423069781848e-09, 8.964522045972680325e-10
2.035000000000000000e+03, 6.360208004052846772e-10, 1.380970201954968483e-09, 6.422468260128976023e-10, 8.920656003053648899e-13, 1.398951300307696933e-10, 1.160599812198997391e-11, 5.388778581438544849e-11, 1.221778340731935254e-09, 8.986491223606579756e-10
2.036000000000000000e+03, 6.315187420504489877e-10, 1.213274175227525929e-09, 6.371085938836923961e-10, 9.985889198136129754e-13, 1.405960285784782075e-10, 1.141879783594994324e-11, 5.157732834154009608e-11, 1.245609796815259662e-09, 8.952343286673704405e-10
2.037000000000000000e+03, 6.369881185694647393e-10, 1.310970451321414009e-09, 6.452872917949380643e-10, 1.055093103951222746e-12, 1.411801927345825558e-10, 1.146174233925520267e-11, 4.918514270053968782e-11, 1.187035325256972783e-09, 8.981975633860233552e-10
2.038000000000000000e+03, 6.402482160755966470e-10, 1.436043425387739663e-09, 5.950086782909169608e-10, 1.066826339418144715e-12, 1.415727419592636570e-10, 1.154343636118411302e-11, 4.747148889899479004e-11, 1.295053326158489004e-09, 9.069278216328450145e-10
2.039000000000000000e+03, 6.441625894725217456e-10, 1.327414315542135993e-09, 6.249957695685424773e-10, 1.045712339110742120e-12, 1.418955744531112770e-10, 1.165878729400385771e-11, 4.665924799348251065e-11, 1.347482709467265348e-09, 9.108225366584460349e-10
2.040000000000000000e+03, 6.392507271717352602e-10, 1.231516943676206453e-09, 5.949774174225653178e-10, 1.001217021580213354e-12, 1.423168097196613686e-10, 1.172776459903568344e-11, 4.611291156704697603e-11, 1.413493920348857359e-09, 9.022457811619372778e-10
2.041000000000000000e+03, 6.262366313002774458e-10, 1.203796384109960739e-09, 5.792123318857717708e-10, 9.548965329464181059e-13, 1.427625778059930416e-10, 1.191484209997245358e-11, 5.270712325010510681e-11, 1.436628365969569505e-09, 9.028322509461958424e-10
2.042000000000000000e+03, 6.382453913444510625e-10, 1.374590013323086596e-09, 5.494263705573541881e-10, 9.751715611118015723e-13, 1.431098357835231563e-10, 1.224033077744195253e-11, 5.506319682664704712e-11, 1.223699123103063256e-09, 9.072053663858291824e-10
2.043000000000000000e+03, 6.347015253473307201e-10, 1.309120862590647197e-09, 5.852845957837162686e-10, 1.026960240764630083e-12, 1.434422989037860091e-10, 1.217023850229692263e-11, 5.640825214502785259e-11, 1.247238785249869334e-09, 9.105065431769116181e-10
2.044000000000000000e+03, 6.329334458006462583e-10, 1.299228639913106549e-09, 6.088207714207423522e-10, 1.056913231966990132e-12, 1.438379422180573517e-10, 1.256256928755029994e-11, 6.256148477485083288e-11, 1.285137760907389338e-09, 9.166224705950588705e-10
2.045000000000000000e+03, 6.343899792144934003e-10, 1.155848031068547994e-09, 5.641048035764540613e-10, 1.180041829653258625e-12, 1.441355152732583480e-10, 1.290899951483967324e-11, 6.073132682909918972e-11, 1.236125047097111202e-09, 9.259014098093200337e-10
2.046000000000000000e+03, 6.239877202759644200e-10, 1.351675482196186608e-09, 5.787894466491782488e-10, 1.098734939537098590e-12, 1.443066279332075783e-10, 1.308678029063921007e-11, 4.935639920926068797e-11, 1.278867635505988305e-09, 9.293683950270442072e-10
2.047000000000000000e+03, 6.153946988289776026e-10, 1.165216316028113390e-09, 6.099657264216404695e-10, 9.981801434727890534e-13, 1.444910216152741018e-10, 1.193116966083729967e-11, 4.410956086118374058e-11, 1.196646739106588849e-09, 9.303216936762568185e-10
2.048000000000000000e+03, 6.146375583029134973e-10, 1.290134964340455667e-09, 6.288667768000071822e-10, 9.621727276346432418e-13, 1.446625909396817030e-10, 1.103957772928856878e-11, 4.179923045735720979e-11, 1.345528022369502783e-09, 9.412164209664742696e-10
2.049000000000000000e+03, 6.242045345608061929e-10, 1.235799470840646213e-09, 6.317251872827462497e-10, 9.354326447903146177e-13, 1.448028195571014498e-10, 1.082100435080931638e-11, 4.031375196206851694e-11, 1.286500073245578331e-09, 9.548018838898792318e-10
2.050000000000000000e+03, 6.172897776590497058e-10, 1.360210062375447920e-09, 6.456612967361926531e-10, 8.704829710357447332e-13, 1.448742800355913346e-10, 1.068962669273690678e-11, 3.939807354693462576e-11, 1.358090085446672027e-09, 9.608538770756795083e-10
2.051000000000000000e+03, 6.173820507212389635e-10, 1.121431771388271852e-09, 6.231763293351338350e-10, 8.445629494931673692e-13, 1.450932124184534362e-10, 1.050516598001478070e-11, 4.879207665008862013e-11, 1.180826131788825712e-09, 9.645699261863377676e-10
2.052000000000000000e+03, 6.198098218471445358e-10, 1.403433900775471261e-09, 5.930186396716029132e-10, 8.907979225866560480e-13, 1.454500847724635158e-10, 8.417328567285686168e-12, 4.601593360828184039e-11, 1.219027322685060044e-09, 9.621517079859988413e-10
2.053000000000000000e+03, 6.223050930140463269e-10, 1.275553693628500655e-09, 5.730569764120612586e-10, 8.759929853764331885e-13, 1.456615692244956667e-10, 8.052578152900348216e-12, 4.592960076441895415e-11, 1.145162200706224558e-09, 9.551938239160437753e-10
2.054000000000000000e+03, 6.136500183846752186e-10, 1.246382281955612768e-09, 5.988408866277773823e-10, 8.444186348609531304e-13, 1.457244876856945231e-10, 5.836935634400660745e-12, 4.536181338261890504e-11, 1.257015863387476695e-09, 9.452818219859612940e-10
2.055000000000000000e+03, 6.219729740008383958e-10, 1.294346853646682611e-09, 6.074298781150280821e-10, 8.196535045846213296e-13, 1.460282602014355551e-10, 5.377400081049825457e-12, 4.635086132092384682e-11, 1.293192684571219582e-09, 9.455504351988528556e-10
2.056000000000000000e+03, 6.261441389592348467e-10, 1.282381821194820945e-09, 5.964121451726025594e-10, 1.020439174292944723e-12, 1.465267815650405947e-10, 5.343134017557752606e-12, 4.369618035416050715e-11, 1.346403801742954745e-09, 9.437773025162308867e-10
2.057000000000000000e+03, 6.181673140026780328e-10, 1.365975219033773303e-09, 5.533526090553439223e-10, 1.073520973452196047e-12, 1.468449817177588411e-10, 6.860361676186802856e-12, 4.179545239267959917e-11, 1.359587515990042601e-09, 9.386819739597179312e-10
2.058000000000000000e+03, 6.271686387729578569e-10, 1.369824481359804724e-09, 6.044306846796643832e-10, 1.083234981937560429e-12, 1.469603451487911946e-10, 8.471042232468281639e-12, 4.115435498288135009e-11, 1.367911769503122439e-09, 9.316047655131361140e-10
2.059000000000000000e+03, 6.278815358467701316e-10, 1.323012401795826175e-09, 6.129016215874224638e-10, 1.271077522317131829e-12, 1.468954248606614454e-10, 1.018314997457677178e-11, 4.075574927921215178e-11, 1.284580170123729114e-09, 9.292994219095775539e-10
2.060000000000000000e+03, 6.403834531531157965e-10, 1.299292713801438003e-09, 5.781731302738829802e-10, 1.384625850970367430e-12, 1.480244741592426924e-10, 1.187776696555678300e-11, 4.068762451510732220e-11, 1.204054283523531364e-09, 9.865295169420983945e-10
2.061000000000000000e+03, 6.583410622728807616e-10, 1.352880049810887281e-09, 6.066695117514421649e-10, 1.753127934469680416e-12, 1.500168767656112547e-10, 1.366167382340523826e-11, 7.602566730709008610e-11, 1.289726694283874291e-09, 9.876756912898178453e-10
2.062000000000000000e+03, 6.594284219541136529e-10, 1.306893104575544159e-09, 5.960160245905677755e-10, 1.946263376016727110e-12, 1.515030215329790929e-10, 2.200986723069290599e-11, 8.729899043938192398e-11, 1.362596263844853067e-09, 9.914477955479872249e-10
2.063000000000000000e+03, 6.479818459943423566e-10, 1.295090556767687464e-09, 6.114543568658183222e-10, 1.893597910751079203e-12, 1.525610194371361458e-10, 3.035909386429307134e-11, 9.358226110076774454e-11, 1.390871038248549956e-09, 9.976055332804642783e-10
2.064000000000000000e+03, 6.450710744433788521e-10, 1.351366201843816487e-09, 6.378503771719610565e-10, 1.760529314932314876e-12, 1.533235837505268456e-10, 3.879430145790163233e-11, 9.832821881923342644e-11, 1.453421180916078970e-09, 9.924067710445481398e-10
2.065000000000000000e+03, 6.479372132623452435e-10, 1.263960223390822602e-09, 7.244562055000674366e-10, 1.523290034832768319e-12, 1.528373819216829660e-10, 4.718345034586970167e-11, 1.022110575109581089e-10, 1.496036578018253511e-09, 9.695499615962125524e-10
2.066000000000000000e+03, 6.607974063615142175e-10, 1.359610437269551780e-09, 6.878854562599301883e-10, 1.284510164102406406e-12, 1.514192873645194847e-10, 5.411580159564163322e-11, 1.042044259397034918e-10, 1.374157556939744849e-09, 9.669837969610696162e-10
2.067000000000000000e+03, 6.867960091169963347e-10, 1.220723264135049768e-09, 6.331483478631358675e-10, 1.209199889048971905e-12, 1.501675624920211533e-10, 5.662358847595021584e-11, 1.043905448651050389e-10, 1.309323429738115818e-09, 9.678240722803189955e-10
2.068000000000000000e+03, 6.857579920381233551e-10, 1.347010758304246407e-09, 6.415267476035107904e-10, 1.324938003871296006e-12, 1.491569878873552662e-10, 5.907451431370732074e-11, 1.079187219115352302e-10, 1.420714990681075542e-09, 9.620920099892294813e-10
2.069000000000000000e+03, 6.884857340655195788e-10, 1.303583633539147671e-09, 6.652162057682276099e-10, 1.363532992680314365e-12, 1.483818158089926459e-10, 6.156021203664685230e-11, 1.084170528363953043e-10, 1.397355420756218328e-09, 9.593639376417674845e-10
2.070000000000000000e+03, 7.005345292716333246e-10, 1.311640093273893203e-09, 6.894864551565570535e-10, 1.403820555815544677e-12, 1.481299298197838223e-10, 6.403196449848694842e-11, 1.120676275355863416e-10, 1.511324449720447778e-09, 9.560947399737214803e-10
2.071000000000000000e+03, 7.196140692373351268e-10, 1.391859549564290316e-09, 6.725882782260678946e-10, 1.712410722609288072e-12, 1.481414640406151725e-10, 6.052389650589656853e-11, 1.128338786302459329e-10, 1.408449199160520643e-09, 9.505410892238405116e-10
2.072000000000000000e+03, 7.267959633589561022e-10, 1.182563942618518680e-09, 5.925005458881157194e-10, 1.847152394667106443e-12, 1.479476632198250752e-10, 6.070480073674839374e-11, 1.133375550411244445e-10, 1.510781723994039766e-09, 9.460068160999379412e-10
2.073000000000000000e+03, 7.419711377519552066e-10, 1.304966916938863898e-09, 5.815667468859014503e-10, 1.890894488521182334e-12, 1.476002223295110144e-10, 6.081165227850092500e-11, 1.151530225187266786e-10, 1.427480818760988752e-09, 9.418700937877462203e-10
2.074000000000000000e+03, 7.394156231543519841e-10, 1.148406175521031336e-09, 6.351577390347908295e-10, 2.172848173509581421e-12, 1.472388100177905853e-10, 6.087182705465591396e-11, 1.167467073568600398e-10, 1.479599265962934053e-09, 9.438630897044094880e-10
2.075000000000000000e+03, 7.205325874321939272e-10, 1.283931721497452447e-09, 6.594506898727013553e-10, 2.621428875694118661e-12, 1.481968426035039588e-10, 6.100945495919049515e-11, 1.187114851269266199e-10, 1.470689264202710126e-09, 9.752419970173172521e-10
2.076000000000000000e+03, 7.176168333251246063e-10, 1.344224429435369225e-09, 7.556230076349553747e-10, 5.734237607529814047e-12, 1.500964201480411139e-10, 6.598525721479813059e-11, 1.212904427147486326e-10, 1.566804834786170439e-09, 9.891714128552416506e-10
2.077000000000000000e+03, 7.146397889940076723e-10, 1.321525847129083575e-09, 7.296743294540664609e-10, 7.802993355057331344e-12, 1.514453467806767185e-10, 7.324272162695023387e-11, 1.222954510165268082e-10, 1.501628845442639067e-09, 9.991809701474422931e-10
2.078000000000000000e+03, 7.144481139846543350e-10, 1.285069779723759768e-09, 7.241270520055658292e-10, 9.109291518977724803e-12, 1.520992983758268153e-10, 8.054638558353013925e-11, 1.245452592753610158e-10, 1.566573730346875676e-09, 1.009435661818471876e-09
2.079000000000000000e+03, 7.274328548402206966e-10, 1.265188890104861551e-09, 7.608194111967109606e-10, 1.201056964676714874e-11, 1.524533689247502428e-10, 8.790651592300008508e-11, 1.250209328037921260e-10, 1.678540896971974832e-09, 1.016363584321132188e-09
2.080000000000000000e+03, 7.271349255330772374e-10, 1.392437808588829427e-09, 7.442178245999321011e-10, 1.448669023058012130e-11, 1.520331465886257927e-10, 9.521472143749792442e-11, 1.272128176588492644e-10, 1.649386136456624193e-09, 1.013500701375113613e-09
2.081000000000000000e+03, 7.154120939928764191e-10, 1.378820987229676244e-09, 7.258302688467635340e-10, 8.616651380016291452e-12, 1.511080229850702025e-10, 9.915435488555049066e-11, 1.007900513615960647e-10, 1.696123654886880754e-09, 1.024552911301658733e-09
2.082000000000000000e+03, 7.342934282032330482e-10, 1.337605955951924380e-09, 6.730978667449015031e-10, 5.519873654100573072e-12, 1.502734078042729286e-10, 9.987284185440733203e-11, 8.964135756698377920e-11, 1.758741660143690185e-09, 1.032306051349638752e-09
2.083000000000000000e+03, 7.176293463188810778e-10, 1.479720997701866689e-09, 7.048345797080732453e-10, 4.510336758511121924e-12, 1.493727516481702641e-10, 1.005817097741489659e-10, 8.404044830631991035e-11, 1.653800793759251355e-09, 1.039299628621212678e-09
2.084000000000000000e+03, 7.197608662296802165e-10, 1.256152105841165568e-09, 7.438601077068035974e-10, 3.943810036721668235e-12, 1.484592409028439325e-10, 1.012220724780185586e-10, 8.104491222044733353e-11, 1.681707153867358978e-09, 1.042888259175847497e-09
2.085000000000000000e+03, 7.068892879871841585e-10, 1.406415253208744360e-09, 7.551136473082361203e-10, 3.834966111944962559e-12, 1.469432221074972104e-10, 1.010952506076929188e-10, 7.871396640812392904e-11, 1.636317279171905014e-09, 1.006383324990069509e-09
2.086000000000000000e+03, 7.033033441707285358e-10, 1.347153966946835982e-09, 7.198210609182364153e-10, 3.096831156218652262e-12, 1.449321763328259679e-10, 9.874067205826714509e-11, 7.144215164961172334e-11, 1.599297057328190473e-09, 1.003083108728620723e-09
2.087000000000000000e+03, 7.101604947530073731e-10, 1.303582095294978072e-09, 7.321934174211680387e-10, 2.665076556818715369e-12, 1.431320644572713138e-10, 9.340688506280709567e-11, 6.608747410281784292e-11, 1.674278415498951007e-09, 1.003538907795517278e-09
2.088000000000000000e+03, 7.098189627729314645e-10, 1.407780532402964804e-09, 7.127517800623011896e-10, 2.638128471001102075e-12, 1.414790579702474746e-10, 8.793382724035969258e-11, 6.419059058777974917e-11, 1.534027236899239891e-09, 1.007747391332621379e-09
2.089000000000000000e+03, 7.019885478221027499e-10, 1.483386059304099163e-09, 7.377401009285967906e-10, 3.010070284285463130e-12, 1.399482334097127936e-10, 8.246047081713532344e-11, 6.109238987683150378e-11, 1.634673105162952698e-09, 1.011077979784639272e-09
2.090000000000000000e+03, 6.816778555336620098e-10, 1.368191452369744505e-09, 7.798200688991004663e-10, 3.044010345872955072e-12, 1.373618199099924306e-10, 7.683111781585984430e-11, 6.017053628708556523e-11, 1.655708686075666597e-09, 9.747504956962387510e-10
2.091000000000000000e+03, 6.825782763247021465e-10, 1.339586998280911270e-09, 7.486934492766978560e-10, 2.381828820541216081e-12, 1.339532764311310761e-10, 7.416890077744518829e-11, 5.708703062449905904e-11, 1.607284316602861318e-09, 9.666530325388447961e-10
2.092000000000000000e+03, 6.794533504684455109e-10, 1.259786475293484263e-09, 7.547865187052462852e-10, 2.010342881305185974e-12, 1.310314662337567096e-10, 6.700984047546434137e-11, 5.509997387198814587e-11, 1.541708344097141268e-09, 9.594443517565416972e-10
2.093000000000000000e+03, 6.815268104185080805e-10, 1.360084719287479087e-09, 7.746306974132573917e-10, 1.869168382724454567e-12, 1.284937805329891730e-10, 5.981875551111173900e-11, 5.379309608012237453e-11, 1.732018011165137254e-09, 9.488084945870029582e-10
2.094000000000000000e+03, 6.861369507802962534e-10, 1.326587909574688816e-09, 7.064162435160133198e-10, 1.715695028312900768e-12, 1.262324913914279243e-10, 5.259671382225470724e-11, 5.229745177321162551e-11, 1.602268770733665973e-09, 9.432487476389840018e-10
2.095000000000000000e+03, 6.919459368500749093e-10, 1.411809144558260452e-09, 7.159956269319187431e-10, 1.712845646529398375e-12, 1.241152591143736851e-10, 4.550248039743291124e-11, 5.105274691861550578e-11, 1.624650748975431553e-09, 9.345092896504322872e-10
2.096000000000000000e+03, 6.636450765642525741e-10, 1.320996495834990942e-09, 6.940365609714118500e-10, 2.006986530770983191e-12, 1.221447110137891685e-10, 4.096961830767691250e-11, 5.009301037016844637e-11, 1.499498337383585630e-09, 9.308344765433059825e-10
2.097000000000000000e+03, 6.559491735705440549e-10, 1.191762087684996950e-09, 6.840480617384644751e-10, 2.237171742776154212e-12, 1.203390592453687316e-10, 3.658858187514216143e-11, 4.727253527695522811e-11, 1.504466786840956757e-09, 9.144031874071234875e-10
2.098000000000000000e+03, 6.702026086730315533e-10, 1.327129733098602221e-09, 6.778149501119874185e-10, 2.124883052667982080e-12, 1.186276764620126428e-10, 3.220674669567324155e-11, 4.742385342139711799e-11, 1.593337535875865238e-09, 8.970956095154739109e-10
2.099000000000000000e+03, 6.619242604824961870e-10, 1.253460714090756362e-09, 6.697638706045680541e-10, 2.181644725256093869e-12, 1.170244045946053250e-10, 2.781962051949277412e-11, 4.508798351218471161e-11, 1.622872965768159699e-09, 8.773348886703382637e-10
2.100000000000000000e+03, 6.361751235831916738e-10, 1.385562035078305454e-09, 6.995063441592333078e-10, 2.184134728371735403e-12, 1.070016260084636866e-10, 2.348327141582112245e-11, 4.399095402235673666e-11, 1.607985683465967970e-09, 8.673157155115001581e-10
