year, EC-Earth3-Veg, UKESM1-0-LL, CESM2-WACCM, NorESM2-MM, MPI-ESM1-2-LR, CNRM-ESM2-1, CMCC-ESM2, NorESM2-LM, IPSL-CM6A-LR, TaiESM1
2.031000000000000000e+03, 8.131955581570520542e-11, 1.319936019579633934e-12, 1.513399520563426989e-10, 5.626492429123944123e-10, 2.856734742853620759e-11, 1.818533895178169205e-11, 1.520684039173419684e-10, 6.236245324789696987e-10, 1.434306256778009816e-11, 1.111499672178294572e-10
2.032000000000000000e+03, 7.911155629184231460e-11, 1.022635900107401838e-12, 1.519328010963559112e-10, 5.775206416587829651e-10, 2.936228083471496815e-11, 1.857940225592925109e-11, 1.532825222338838526e-10, 5.900824654410335877e-10, 1.478965831455254776e-11, 1.102603337898257507e-10
2.033000000000000000e+03, 7.998062214781461808e-11, 9.280867280056975396e-13, 1.520104959688045399e-10, 6.068232789602668614e-10, 3.023915865573342894e-11, 1.887503492272754363e-11, 1.545211828369664149e-10, 5.187002935057664127e-10, 1.507705424446156565e-11, 1.104950241168278132e-10
2.034000000000000000e+03, 8.040808211321184307e-11, 8.933054266294522459e-13, 1.521468252649869815e-10, 5.814799721354680941e-10, 2.979835929281272082e-11, 1.858350479799354021e-11, 1.555350711617695586e-10, 5.223990492593583846e-10, 1.543972075743781016e-11, 1.112887866498383057e-10
2.035000000000000000e+03, 7.937929058572905261e-11, 8.920656004465452940e-13, 1.527915662838760390e-10, 5.549782141535170143e-10, 3.122797233396130317e-11, 1.879849668223543729e-11, 1.637352842508904840e-10, 6.002537486851788661e-10, 1.578903094101711820e-11, 1.148444867912222757e-10
2.036000000000000000e+03, 8.565971423434168382e-11, 9.985889142564017765e-13, 1.580788080744329640e-10, 5.539098331075416517e-10, 3.196599971234320357e-11, 2.375723021266769376e-11, 1.623957601150914914e-10, 6.458427748339480111e-10, 1.907178994862528018e-11, 1.151064032604063330e-10
2.037000000000000000e+03, 8.367247270427323075e-11, 1.055093105634194201e-12, 1.583561009834289109e-10, 5.760617303900314036e-10, 3.281985634213253553e-11, 2.367097593700205247e-11, 1.635751516383309792e-10, 6.692736773747334219e-10, 1.933790085206353402e-11, 1.150548194004087721e-10
2.038000000000000000e+03, 8.180756305393276577e-11, 1.066826343475605974e-12, 1.587593184308776413e-10, 6.815566998597012287e-10, 3.447335433039986896e-11, 2.354999829584853989e-11, 1.659169424516682600e-10, 7.242200591401405480e-10, 1.967176453409798342e-11, 1.149637371039579285e-10
2.039000000000000000e+03, 8.347308776826852699e-11, 1.045712334226943585e-12, 1.593911736981377262e-10, 6.669738329704243197e-10, 3.561668973932823841e-11, 2.360747467525063901e-11, 1.661758356095230735e-10, 6.748258878762330383e-10, 1.999808796397941545e-11, 1.151668764010792199e-10
2.040000000000000000e+03, 8.291840217875617770e-11, 1.001217022538864995e-12, 1.601975626205055054e-10, 6.886151517414419930e-10, 3.451770642124525666e-11, 2.408792752473266811e-11, 1.644145582002392671e-10, 6.698198379704759501e-10, 2.030112137402180301e-11, 1.150973252837105252e-10
2.041000000000000000e+03, 8.160869123132532695e-11, 9.548965346120286642e-13, 1.580967700361107105e-10, 6.388764036752829482e-10, 3.262019933984321073e-11, 2.520475627963730457e-11, 1.630408527999078351e-10, 7.209479442280673220e-10, 1.882603439062504798e-11, 1.158084298181620592e-10
2.042000000000000000e+03, 8.542808067346115368e-11, 9.751715634962625772e-13, 1.589684612193490713e-10, 5.999748392578852969e-10, 3.208149199424698711e-11, 2.586694816817434178e-11, 1.653023334332059217e-10, 7.182088638314095381e-10, 1.898096255200446884e-11, 1.165968712387365515e-10
2.043000000000000000e+03, 8.579438297057109678e-11, 1.026960244652364421e-12, 1.591480114728408496e-10, 5.750928735925252141e-10, 3.201247653920664137e-11, 2.702794077211279119e-11, 1.699098076769286920e-10, 6.374059185192417512e-10, 1.969065755041165991e-11, 1.160349172196436983e-10
2.044000000000000000e+03, 8.424368636022211866e-11, 1.056913233220229345e-12, 1.596057988807127396e-10, 5.403932289797920849e-10, 3.270187495341553771e-11, 2.852008638013012673e-11, 1.672389116668944201e-10, 6.208855255848806277e-10, 2.009411434180603001e-11, 1.164660047025245264e-10
2.045000000000000000e+03, 8.128520385858818335e-11, 1.180041816265014264e-12, 1.602269518158701097e-10, 5.641336449326591216e-10, 3.260866004819342274e-11, 2.871661068383066149e-11, 1.649466197292711237e-10, 5.914573605869051884e-10, 2.019658012276593504e-11, 1.149219604903803869e-10
2.046000000000000000e+03, 7.597619465122993141e-11, 1.098734933862591726e-12, 1.593505744697125781e-10, 5.980445848104783304e-10, 3.226810542548297947e-11, 2.258714782019568360e-11, 1.648408965097084833e-10, 5.751291949364667284e-10, 2.041409360076085911e-11, 1.145018933631297357e-10
2.047000000000000000e+03, 7.737296667717007051e-11, 9.981801453479491390e-13, 1.603248140842529938e-10, 5.638128708978964949e-10, 3.216516265142001198e-11, 2.159322641538080110e-11, 1.651252957253989664e-10, 6.285082037402190237e-10, 2.077204590942439000e-11, 1.150488446021146531e-10
2.048000000000000000e+03, 7.712845836776266298e-11, 9.621727297399671406e-13, 1.603043905233864537e-10, 5.989063283843458038e-10, 3.120906738220393223e-11, 2.090816714279445445e-11, 1.663748751552050805e-10, 7.458241311253522453e-10, 2.047264747757562613e-11, 1.165272776667490189e-10
2.049000000000000000e+03, 7.784409898733244675e-11, 9.354326402279413841e-13, 1.601667429186441904e-10, 5.708053427156043172e-10, 3.220129165301676339e-11, 2.039322430900715704e-11, 1.662148356176134412e-10, 7.762438526812943611e-10, 2.054351713381399843e-11, 1.171079900216767976e-10
2.050000000000000000e+03, 7.782194930239112713e-11, 8.704829712111288335e-13, 1.611385431736486473e-10, 6.202070705862311185e-10, 3.274312381459007186e-11, 2.063497649569825145e-11, 1.634950041762412362e-10, 6.764268950870940872e-10, 2.052014896567085043e-11, 1.151046486875936935e-10
2.051000000000000000e+03, 8.384578780651693424e-11, 8.445629495191519678e-13, 1.604463832882325176e-10, 5.853620303706380006e-10, 3.172896189979877057e-11, 1.867312441902535040e-11, 1.651959018727083114e-10, 6.237807783291392629e-10, 1.953004430467584108e-11, 1.150589631951037343e-10
2.052000000000000000e+03, 8.232826374855407149e-11, 8.907979255581460906e-13, 1.603854107372789543e-10, 5.994646588533103217e-10, 3.132226958396191118e-11, 1.669024254681021267e-11, 1.643200884245240379e-10, 6.165406288273654342e-10, 1.936021297350676699e-11, 1.143641110568039350e-10
2.053000000000000000e+03, 8.302394297819367997e-11, 8.759929836482907243e-13, 1.602513446782600197e-10, 6.371105781718919522e-10, 3.277002612404443357e-11, 1.647133783237227137e-11, 1.632724747363657347e-10, 6.050383816149786721e-10, 1.934941011887804044e-11, 1.155907966438716299e-10
