year, MPI-ESM1-2-LR, CanESM5, NorESM2-MM, GFDL-ESM4, IPSL-CM6A-LR, CESM2-WACCM, NorESM2-LM, EC-Earth3-Veg, MIROC-ES2L, CMCC-CM2-SR5, CNRM-ESM2-1, ACCESS-ESM1-5, TaiESM1
2.036000000000000000e+03, 6.285524731515849339e+01, 1.199991531049141891e+01, 9.489447523717473132e+00, 8.228286312666210733e+01, 1.614044578424597987e+01, 8.841802767282263886e+00, 7.312796363575370329e+00, 1.894992974959352239e+01, 6.719591061015118783e+01, 1.028498125690035714e+01, 7.225653533464412703e+01, 1.042047008010992393e+01, 1.422616701596135069e+00
2.037000000000000000e+03, 6.287775859668761314e+01, 1.186440986445386692e+01, 9.394415764865840401e+00, 8.239696661057020322e+01, 1.624064870476666300e+01, 9.015771215384601689e+00, 7.320246680177544540e+00, 1.897593619648628760e+01, 6.731391964659547966e+01, 1.025706713308995965e+01, 7.242896086524730492e+01, 1.042632921546198332e+01, 1.416037175463570996e+00
2.038000000000000000e+03, 6.288982151042008439e+01, 1.182613359714673074e+01, 9.313064153372865306e+00, 8.260382313308264202e+01, 1.633544354106372154e+01, 9.106411306689425444e+00, 7.458878854993681529e+00, 1.901184964966356716e+01, 6.740113468550674725e+01, 1.032401533697905904e+01, 7.271181061647088484e+01, 1.044513642166686829e+01, 1.415299656491717739e+00
2.039000000000000000e+03, 6.293661660428506366e+01, 1.189822731552353119e+01, 9.208981542789929975e+00, 8.274501473126572648e+01, 1.642815334864787502e+01, 9.130066296733604148e+00, 7.559852908102803859e+00, 1.914117662056509062e+01, 6.755226211394362679e+01, 1.032355512624839911e+01, 7.304939548283880413e+01, 1.041928012243649526e+01, 1.389261083901345950e+00
2.040000000000000000e+03, 6.300990542858407650e+01, 1.197240881220953845e+01, 9.251876614608681493e+00, 8.293703162956045105e+01, 1.659774343200587055e+01, 9.254362084054742255e+00, 7.604999662051496578e+00, 1.966955482976527847e+01, 6.759269256295237938e+01, 1.039021263893085134e+01, 7.320135183099512233e+01, 1.038480488979688054e+01, 1.360695475373624674e+00
2.041000000000000000e+03, 6.312243736757243795e+01, 1.199263370441762433e+01, 9.214246856341244296e+00, 8.319758012484412291e+01, 1.664929893601558319e+01, 9.224285330863086330e+00, 7.673508716335025071e+00, 1.960053425321718024e+01, 6.781274474255144469e+01, 1.045984633011351761e+01, 7.348753195831916685e+01, 1.036386758777986117e+01, 1.402201256735778001e+00
2.042000000000000000e+03, 6.312726842137310967e+01, 1.210606930297690198e+01, 9.097760555304882146e+00, 8.348109527279896724e+01, 1.671256004946586415e+01, 9.408341146461689064e+00, 7.735876267507661552e+00, 1.899228372575158730e+01, 6.800523559967578535e+01, 1.035118154059456508e+01, 7.372163068297005850e+01, 1.037326673719471337e+01, 1.391298205646253727e+00
2.043000000000000000e+03, 6.321466767201359716e+01, 1.212988349234625751e+01, 9.270269893294180719e+00, 8.368508728740242475e+01, 1.679689831052920113e+01, 9.716367648585626071e+00, 7.752255980967931670e+00, 1.896597128776768315e+01, 6.811313105312287064e+01, 1.025142099509507077e+01, 7.390747564014604620e+01, 1.039047654412122412e+01, 1.394603815900336219e+00
2.044000000000000000e+03, 6.332033466605994221e+01, 1.223856353304740630e+01, 9.421721953037069497e+00, 8.389137555397367407e+01, 1.681611629009105613e+01, 9.663643612998361832e+00, 7.648348257914593162e+00, 1.903191869756055965e+01, 6.823906936908542775e+01, 1.036578112261912921e+01, 7.423345298893335098e+01, 1.040092076965209600e+01, 1.442319386815341664e+00
2.045000000000000000e+03, 6.346337135697495313e+01, 1.236945485390586441e+01, 9.541310438192562415e+00, 8.412778092945343644e+01, 1.690900453520436386e+01, 9.618202515438094125e+00, 7.543913674144515191e+00, 1.896545773385188127e+01, 6.845513514508128594e+01, 1.044668296760294268e+01, 7.422637968672201225e+01, 1.041419857150936146e+01, 1.433341158511378000e+00
