year, CanESM5, NorESM2-MM, MPI-ESM1-2-LR, INM-CM4-8, MIROC-ES2L, UKESM1-0-LL, IPSL-CM6A-LR, TaiESM1, CNRM-ESM2-1, EC-Earth3-Veg, CMCC-CM2-SR5, INM-CM5-0, NorESM2-LM, GFDL-ESM4, ACCESS-ESM1-5, CESM2-WACCM
2.055000000000000000e+03, 1.784830203524218062e+00, 1.577085639287473473e+00, 1.897431199604479257e+00, 1.850486691143321094e+00, 1.924925116207992781e+00, 1.789253383075858572e+00, 1.899623457245003477e+00, 1.526637944847376582e+00, 1.873537695137493575e+00, 1.655226115940099607e+00, 1.865027080567172479e+00, 1.799223240049137473e+00, 1.614737660561599286e+00, 1.973230134742210318e+00, 2.171011363109637493e+00, 1.660596162442704582e+00
2.056000000000000000e+03, 1.783964586496491034e+00, 1.557069668360180126e+00, 1.811694567011140622e+00, 1.842752447403763538e+00, 1.902360594306840014e+00, 1.795251571230396026e+00, 1.896616844722243567e+00, 1.611843686059382330e+00, 1.865829531776117767e+00, 1.651417289932310073e+00, 1.776356163134826582e+00, 1.892968032573381754e+00, 1.616280326846231574e+00, 1.882635563343446838e+00, 2.097513849220936866e+00, 1.636154216942900419e+00
2.057000000000000000e+03, 1.819348664819799399e+00, 1.587978163857971747e+00, 1.848587274197969643e+00, 1.841656903664865341e+00, 1.961941862626161770e+00, 1.844647854793129316e+00, 1.901471997886001963e+00, 1.588873450086727201e+00, 1.876035465926514156e+00, 1.631637220783905162e+00, 1.823061205931783890e+00, 1.846790814482132337e+00, 1.555203994350635499e+00, 1.848477987647736631e+00, 2.112815991174739505e+00, 1.687216803732892290e+00
2.058000000000000000e+03, 1.789639904297193329e+00, 1.561551976351442272e+00, 1.874646421059313450e+00, 1.846625859387132529e+00, 1.877027980939882212e+00, 1.840809305478067870e+00, 1.906359545960097268e+00, 1.602624675941723309e+00, 1.770191044285310600e+00, 1.649459828231858660e+00, 1.852745544117494259e+00, 1.780957883066601077e+00, 1.613788028605456892e+00, 1.943991398635332546e+00, 2.100540341471490269e+00, 1.627137277970938767e+00
2.059000000000000000e+03, 1.819388258313074047e+00, 1.589523541530160955e+00, 1.811579038180925139e+00, 1.853906419847978659e+00, 1.888362619681530852e+00, 1.924881167298515106e+00, 1.926369944332689599e+00, 1.673227555821294121e+00, 1.806579655303819143e+00, 1.638238524317786604e+00, 1.886119613484305013e+00, 1.864561345308260787e+00, 1.590639352879816837e+00, 1.925822191367267067e+00, 2.126819476562639810e+00, 1.718976491614387259e+00
2.060000000000000000e+03, 1.882432361304155366e+00, 1.623754892289028362e+00, 1.907838883747017267e+00, 1.798711893801143047e+00, 1.958982118409467343e+00, 1.907862384754150487e+00, 1.967804607267503059e+00, 1.707289305827489390e+00, 1.823003579372871386e+00, 1.657540106877135377e+00, 1.847427443907768918e+00, 1.842471826612785968e+00, 1.583169164954859820e+00, 1.909416156714761392e+00, 2.155707854913698540e+00, 1.673369471439692058e+00
2.061000000000000000e+03, 1.787427473740548667e+00, 1.529213256273195931e+00, 1.950206537744787472e+00, 1.841633641306187785e+00, 1.902033955833894119e+00, 1.898535839090043087e+00, 1.938424264876095648e+00, 1.625998157808375311e+00, 1.774429538178284416e+00, 1.739528682245637281e+00, 1.947006661498394742e+00, 1.838569577674557642e+00, 1.571709347343143826e+00, 1.941601430343883328e+00, 2.111978217826682158e+00, 1.655766422557048756e+00
2.062000000000000000e+03, 1.850231446671455116e+00, 1.602001333966875274e+00, 1.879762160254499825e+00, 1.831157102677509974e+00, 1.849948572345523123e+00, 1.801059262365053204e+00, 1.906700940390267052e+00, 1.558358033498133288e+00, 1.785721949583369161e+00, 1.700953577878401068e+00, 1.862876773480482751e+00, 1.802930585437386268e+00, 1.563208114086824363e+00, 1.878099262656460322e+00, 2.100556433991950467e+00, 1.765358221134559980e+00
2.063000000000000000e+03, 1.848954513929798926e+00, 1.615459552472564120e+00, 1.882604247936793929e+00, 1.820651131578424620e+00, 1.822923046053859908e+00, 1.767578013327886222e+00, 1.887441347137841063e+00, 1.720740983078501873e+00, 1.805746934119252689e+00, 1.713719772724082935e+00, 1.847234516868281329e+00, 1.877132332562965189e+00, 1.656982760093503204e+00, 1.935567148416867722e+00, 2.128722239529067473e+00, 1.654850065749438048e+00
2.064000000000000000e+03, 1.889619232312360397e+00, 1.486296517099234382e+00, 1.807648966896823195e+00, 1.898887269941437861e+00, 1.917326828384085857e+00, 1.904510525327564485e+00, 2.025469529974374794e+00, 1.614970231252875976e+00, 1.787942691092367919e+00, 1.677236021626492546e+00, 1.860108599123722506e+00, 1.852049412025481789e+00, 1.581652793819301905e+00, 1.862848963401764646e+00, 2.165978806628614084e+00, 1.737153580515966578e+00
