year, GFDL-ESM4, MIROC-ES2L, TaiESM1, NorESM2-LM, EC-Earth3-Veg, MPI-ESM1-2-LR, CMCC-CM2-SR5, CanESM5, UKESM1-0-LL, CNRM-ESM2-1, ACCESS-ESM1-5, NorESM2-MM, IPSL-CM6A-LR, CESM2-WACCM
2.028000000000000000e+03, 1.248424558511970588e+02, 3.566446760988542337e+02, 6.156048042212703564e+01, 1.331840463387344016e+03, 3.138796059640073963e+02, 1.519284867574185682e+02, 1.009255829568711533e+03, 2.146382202035065632e+02, 2.498420033089290655e+02, 4.343676005342014719e+02, 1.964998871396169591e+02, 7.333912475917912843e+02, 6.535531933612072919e+01, 9.325947625066202136e+02
2.029000000000000000e+03, 1.248206704856000613e+02, 3.568391592227309843e+02, 6.155573640519524048e+01, 1.331801712819612021e+03, 3.139284207580882367e+02, 1.520140347752085290e+02, 1.009067705351148447e+03, 2.146560510414268492e+02, 2.501214089265977805e+02, 4.346416106093288931e+02, 1.965723514251181712e+02, 7.334554876207656662e+02, 6.551888380626976982e+01, 9.326082728943858910e+02
2.030000000000000000e+03, 1.248131924284204501e+02, 3.570546202846227288e+02, 6.153803256201241112e+01, 1.331778995272941529e+03, 3.139742464164261833e+02, 1.521433520760127465e+02, 1.008885373843582329e+03, 2.146753664992086215e+02, 2.505676946693223499e+02, 4.349491049601782038e+02, 1.966497928107809230e+02, 7.334846169088073111e+02, 6.569599358174433235e+01, 9.326221302869671490e+02
2.031000000000000000e+03, 1.246776690081841110e+02, 3.572244282718215800e+02, 6.152932779680254072e+01, 1.331709013809331509e+03, 3.140421839246134823e+02, 1.522337605969099741e+02, 1.008738148799584110e+03, 2.147040408495722659e+02, 2.509373077835155357e+02, 4.352517051635394409e+02, 1.967191000939016305e+02, 7.334675921499147080e+02, 6.587665561511053625e+01, 9.325874259024668618e+02
2.032000000000000000e+03, 1.246275282095929953e+02, 3.573522479898269353e+02, 6.152170469864250890e+01, 1.331621319773354571e+03, 3.141003599360036560e+02, 1.523373298877975230e+02, 1.008591941367062645e+03, 2.147450547533555607e+02, 2.512832338745190555e+02, 4.355221771258256922e+02, 1.967929416175417998e+02, 7.334429631143292454e+02, 6.604672549073227117e+01, 9.325629908071624641e+02
2.033000000000000000e+03, 1.245728412282209803e+02, 3.575280435658560805e+02, 6.149284845896535501e+01, 1.331550836073446362e+03, 3.141852966055860747e+02, 1.524251129514731815e+02, 1.008416896253450886e+03, 2.147869099781038642e+02, 2.515373738611918952e+02, 4.358187439356060509e+02, 1.968701083158513256e+02, 7.334662896729449812e+02, 6.624891193973131465e+01, 9.325419204324928160e+02
2.034000000000000000e+03, 1.244127289009869628e+02, 3.576894333453760169e+02, 6.146798586205708403e+01, 1.331468627875941820e+03, 3.142831433357138167e+02, 1.525354266091239026e+02, 1.008248244117360855e+03, 2.148376838894319860e+02, 2.518127173125405704e+02, 4.361145941140872537e+02, 1.969345032870098464e+02, 7.335143158984635647e+02, 6.643407184368309970e+01, 9.324784036697827787e+02
2.035000000000000000e+03, 1.243632986932860973e+02, 3.578364797584561074e+02, 6.144003437632793663e+01, 1.331426201667713713e+03, 3.143742869426653783e+02, 1.526968796048027741e+02, 1.008103461522036241e+03, 2.149053927871037217e+02, 2.521212505535544040e+02, 4.363977262388755776e+02, 1.969853966704626202e+02, 7.335699623690964017e+02, 6.663472062791089456e+01, 9.323962983890401119e+02
2.036000000000000000e+03, 1.244167141739048077e+02, 3.580364029276305473e+02, 6.143439877842477159e+01, 1.331381521353748440e+03, 3.144107783141520827e+02, 1.527851582468885567e+02, 1.007950866998321317e+03, 2.149814752176056913e+02, 2.524475525257152526e+02, 4.367102059361309898e+02, 1.970414501555937647e+02, 7.336311644609717177e+02, 6.683837517582622922e+01, 9.323200385180441572e+02
2.037000000000000000e+03, 1.243767008336638611e+02, 3.582738786457799165e+02, 6.144495367788598372e+01, 1.331304972754639493e+03, 3.144048686327703876e+02, 1.528084937451704661e+02, 1.007786855194141594e+03, 2.150350730945843623e+02, 2.528009010319313461e+02, 4.370324844631626320e+02, 1.971086938719801935e+02, 7.336731975372928218e+02, 6.705628272731945572e+01, 9.322672690288044350e+02
2.038000000000000000e+03, 1.243064373529894482e+02, 3.584849534029481788e+02, 6.145051501777210490e+01, 1.331198057224934018e+03, 3.144334760750219289e+02, 1.528123042843041901e+02, 1.007622683133361988e+03, 2.150648515219385501e+02, 2.529659194071014383e+02, 4.373398092610511867e+02, 1.971818240921439838e+02, 7.337041452120244003e+02, 6.725913631398039172e+01, 9.322447319372753327e+02
