year, IPSL-CM6A-LR, EC-Earth3-Veg, UKESM1-0-LL, MPI-ESM1-2-LR, CNRM-ESM2-1, ACCESS-ESM1-5, CMCC-CM2-SR5, MIROC-ES2L, CESM2-WACCM
2.051000000000000000e+03, 1.633332748205699181e-01, 1.819077584937069158e-03, 3.572390472653434720e-06, 1.018098234345866659e+00, 1.767133522602556603e-04, 4.319835593405286778e-01, 6.338929052976034484e-01, 4.368484102757618226e-01, 8.712228244388199316e-01
2.052000000000000000e+03, 1.647885752181355579e-01, 1.798453617570677961e-03, 4.282576012172011318e-06, 1.019688722487448684e+00, 2.946491967805023923e-04, 4.301743645734772969e-01, 6.286747012885979258e-01, 4.387499867390255437e-01, 8.695365929060780985e-01
2.053000000000000000e+03, 1.666074277235931878e-01, 1.778895459367442911e-03, 4.851073051931430242e-06, 1.021223874894176431e+00, 3.998620097848427641e-04, 4.302952177150664026e-01, 6.245345620374831430e-01, 4.409752166383037464e-01, 8.677982866194984268e-01
2.054000000000000000e+03, 1.678475667987585629e-01, 1.761555687629069288e-03, 5.326087638175202807e-06, 1.023230150820850337e+00, 4.933218378656522001e-04, 4.291823903937049822e-01, 6.212075507288801202e-01, 4.434155302676034971e-01, 8.662556705955650749e-01
2.055000000000000000e+03, 1.694263215905702502e-01, 1.746384380346329215e-03, 5.433742383639161181e-06, 1.024658703782316049e+00, 5.744183319177790029e-04, 4.295244213208475603e-01, 6.183537146749105151e-01, 4.450813005659130517e-01, 8.652065108141608896e-01
2.056000000000000000e+03, 1.708221846747146055e-01, 1.728666085627989521e-03, 4.846009106081010715e-06, 1.025896313634620416e+00, 5.197501417942821831e-04, 4.288573918891591119e-01, 6.158674128861024721e-01, 4.463692759937872845e-01, 8.638327122076914222e-01
2.057000000000000000e+03, 1.722403997998844527e-01, 1.712562460443704153e-03, 4.391071688775984651e-06, 1.027152014552896953e+00, 4.654259993357771582e-04, 4.277419844843471375e-01, 6.138559684232456348e-01, 4.467223443146804973e-01, 8.626569957951598644e-01
2.058000000000000000e+03, 1.732765385641128475e-01, 1.698881223755417148e-03, 4.135404715690331524e-06, 1.028381353184179448e+00, 4.115442574911930967e-04, 4.266719660298290973e-01, 6.120804566186331952e-01, 4.470413305570938856e-01, 8.609210331534629113e-01
2.059000000000000000e+03, 1.746222802259271012e-01, 1.686922378827066926e-03, 3.967279797625863742e-06, 1.029521921811627827e+00, 3.576849721160768581e-04, 4.254810898431153343e-01, 6.105003641748614207e-01, 4.477417543098921593e-01, 8.595527221823092701e-01
2.060000000000000000e+03, 1.759594540154033881e-01, 1.675475574268087131e-03, 3.799887012336581388e-06, 1.030509011513745410e+00, 2.950483289066030824e-04, 4.243640999168827865e-01, 6.090341738378698411e-01, 4.477109324417644087e-01, 8.584188055319773580e-01
