year, CNRM-ESM2-1, NorESM2-MM, ACCESS-ESM1-5, GFDL-ESM4, CMCC-CM2-SR5, MIROC-ES2L, IPSL-CM6A-LR, TaiESM1, INM-CM4-8, CanESM5, UKESM1-0-LL, MPI-ESM1-2-LR, CESM2-WACCM, EC-Earth3-Veg, INM-CM5-0, NorESM2-LM
2.064000000000000000e+03, 5.314270999253726258e-01, 2.579498301577015096e-01, 2.474542828750923851e-02, 5.856401816141918459e-01, -1.595004586397922863e-01, 1.923266828130553441e-01, 7.722103926176675515e-01, 3.162117852278460706e-02, 4.192475761776589538e-01, 4.711788002656731589e-01, 3.630715771649762891e-01, 5.129056671281504443e-01, 1.430448671771190339e-01, 5.246679758968850193e-03, 5.050557037406512295e-01, 2.996905518675004737e-02
2.065000000000000000e+03, 8.216948649806201654e-01, 4.515139807085309931e-01, 1.682171307715161768e-01, 5.004510795078624952e-01, 4.466901722114773043e-02, 1.201071614692738460e-01, 5.356503256646241162e-01, 7.054043943061820421e-02, 3.970691035757183407e-01, 7.664439916478625880e-01, 2.949556782762128293e-01, 3.637571445792143754e-01, 3.083614915737304951e-01, -1.064069785188717643e-01, 3.492005733555183511e-01, 3.706020788862390836e-01
2.066000000000000000e+03, 4.156644070900973875e-01, 2.553859064604517282e-01, 1.416926700956484264e-01, -4.230394599993920340e-02, -6.484581267927995440e-02, 4.908666572543969320e-01, 3.430304246557787651e-01, 6.824526352154060282e-02, 2.280708429619119348e-01, 4.095803070810434265e-01, 2.687461650236803723e-01, 3.492772570131372212e-01, 2.477046698347160070e-01, 2.632533689809574695e-01, 2.667633688512154877e-01, 4.261098214818722640e-01
2.067000000000000000e+03, 7.171678424868443980e-01, 2.453106910960337894e-01, 1.354949786956955587e-02, 3.293444361430497014e-01, -2.265176178112110750e-01, 4.301930512124730321e-01, 3.310545046060840435e-01, 1.610673689395834274e-01, 3.627511100943212607e-01, 6.320211421152376330e-01, 4.465536938396444944e-01, 3.599177307556911676e-01, 2.513915451174277282e-01, 4.101377312326067726e-01, 2.096808794224232220e-01, 2.055562918812846307e-01
2.068000000000000000e+03, 6.847828612071408250e-01, 3.536830703142637145e-01, 1.004602024376538422e-01, 4.754449817519654231e-01, 7.733848571677047479e-02, 6.387609703074930145e-01, 3.524255948845486097e-01, 5.495402805074435515e-02, 3.464196437144372309e-01, 4.568602714423407596e-01, 2.765540344513687243e-01, 6.620871792962813862e-02, 4.102064693379903759e-01, 1.779795159651659242e-01, 3.826973053576483985e-01, 2.040875550761648838e-01
2.069000000000000000e+03, 4.675672982681126633e-01, 2.198385770783333748e-01, 1.784511974368414022e-01, 5.545781220461203365e-01, -1.329336502852224711e-01, 5.163166896469372213e-01, 4.212161597258499146e-01, 3.741952187818859635e-03, 3.472719506246622623e-01, 7.522701149190189618e-01, 2.294087609632192160e-01, 3.363349531314908658e-01, 5.034774952659718528e-01, 5.732232415351825594e-01, 3.860095689779315387e-01, 1.615896913049126304e-01
2.070000000000000000e+03, 5.659997817377402374e-01, 6.029956723411347697e-02, 2.895225375805192125e-01, 5.170368327999563807e-01, -8.554207467879765270e-02, 4.122229389146145340e-02, 5.516046750272065591e-01, 8.591224275208970973e-02, 2.823264713190606900e-01, 5.174058520205916389e-01, 4.119728465032755360e-01, 2.090953746383357459e-01, 4.071657876084661676e-01, 2.874293772368372024e-01, 3.131023918720140520e-01, 7.579166739287021559e-02
2.071000000000000000e+03, 5.126035187062538689e-01, 1.343475015500951997e-01, 3.842653513822001932e-01, 5.427865623774109638e-01, -2.696809389374780208e-01, 5.683787200691878816e-01, 4.621333289995904203e-01, 2.126231074841473112e-01, 4.536380638043366331e-01, 4.424848231562120704e-01, 4.264938553784418662e-01, 4.292626375728777477e-01, 1.835113489261862990e-02, 3.129585500120169450e-01, 2.962075656051704753e-01, 5.175162707112088839e-02
2.072000000000000000e+03, 6.724141177932063673e-01, 1.676918770264486380e-01, 8.368051685383288973e-02, 5.257534628258870857e-01, 1.017951013954790512e-01, 4.179816726668113547e-01, 6.094628115152760373e-01, 8.711727038431928138e-02, 4.517181984119328919e-01, 5.158249883480343634e-01, 2.694813170853976314e-01, 3.239033166912255735e-01, 1.379656232834763629e-01, 5.745971888059604460e-01, 4.471237083642553567e-01, 1.384183823797658641e-01
2.073000000000000000e+03, 6.120997118483013644e-01, 4.645918158763772121e-01, 1.307914360951163146e-01, 8.166760987065889710e-01, -2.195274683758080547e-01, 3.886869506879802039e-01, 6.048624268981350749e-01, 7.325692535851689724e-02, 4.854413596440938505e-01, 7.401329724654764908e-01, 3.141038918701810068e-01, 1.788689382325313049e-01, 4.013960042663176075e-01, 3.964751097491764908e-01, 2.433421371488863061e-01, 7.740030231345339240e-02
