year, EC-Earth3-Veg, NorESM2-LM, MPI-ESM1-2-LR, INM-CM4-8, INM-CM5-0, MIROC-ES2L, CESM2-WACCM, ACCESS-ESM1-5, UKESM1-0-LL, CanESM5, TaiESM1, CMCC-CM2-SR5, GFDL-ESM4, NorESM2-MM, IPSL-CM6A-LR, CNRM-ESM2-1
2.037000000000000000e+03, 1.926977658046956199e+00, 1.302457647016510123e+00, 1.900462301236175877e+00, 3.166612737469639782e+00, 2.781062756446780693e+00, 1.774114190785844203e+00, 1.751359949757984147e+00, 1.173214688908192249e+00, 1.501659933338871600e+00, 4.411113074261602485e+00, 1.705271738423978389e+00, 1.578983757525885379e+00, 8.520309088174783385e-01, 1.383280909151283655e+00, 1.517629291171047390e+00, 1.764913955239244991e+00
2.038000000000000000e+03, 1.770653420713350856e+00, 1.326689476268885670e+00, 1.891360301760381057e+00, 3.280949133299434717e+00, 2.753226541469291355e+00, 1.846473825661914869e+00, 1.574947548962008614e+00, 1.001849694199116403e+00, 1.561497192404621925e+00, 4.485674468396682713e+00, 1.602351701395082317e+00, 1.551787883160135273e+00, 8.595177433164488123e-01, 1.457099015844129042e+00, 1.632795859636112734e+00, 1.766015941184999605e+00
2.039000000000000000e+03, 1.839803045259377434e+00, 1.464555238078786514e+00, 1.872028703228151514e+00, 2.877314701520578666e+00, 2.737909473775455016e+00, 1.951006265993871613e+00, 1.702602776470619750e+00, 9.886632179112813112e-01, 1.460520456892473451e+00, 4.642434197314185162e+00, 1.543224341714778625e+00, 1.819897615820696535e+00, 9.393260112037229437e-01, 1.648052563224121858e+00, 1.477903249328422319e+00, 1.829762303872459750e+00
2.040000000000000000e+03, 1.857859814923056962e+00, 1.418094040840254477e+00, 2.268339424116073477e+00, 3.439720379618024904e+00, 2.569214707200752290e+00, 1.952456486608170394e+00, 1.467935592586143256e+00, 1.065406354209292639e+00, 1.856801226829804641e+00, 4.840121168951745823e+00, 1.662860223386314340e+00, 2.011792015712324133e+00, 8.458364057281344550e-01, 1.511320427577843128e+00, 1.842234862260279771e+00, 2.078893004982524939e+00
2.041000000000000000e+03, 2.088705306753174007e+00, 1.392634963508010859e+00, 2.477309089430819622e+00, 3.518428000816484325e+00, 2.844213042526623880e+00, 1.908448570983285464e+00, 1.602548493537437002e+00, 1.063553715115424847e+00, 1.804201169085633660e+00, 4.809707438489213338e+00, 1.504082835363805382e+00, 2.107795001078656139e+00, 9.079631921462358868e-01, 1.604296791600997585e+00, 1.517140683992752370e+00, 1.671659153211382032e+00
2.042000000000000000e+03, 1.917997563406157235e+00, 1.398274695562899295e+00, 2.299980011343654152e+00, 3.345431113985049443e+00, 2.852430460388164501e+00, 1.995135581623853183e+00, 1.525570168913899849e+00, 1.034458925379968974e+00, 1.792140425120358538e+00, 4.720577369240011478e+00, 2.011075642415039333e+00, 1.810191170464957811e+00, 8.526578825362111091e-01, 1.543318601412622115e+00, 1.541955617227281916e+00, 1.641937275705622090e+00
2.043000000000000000e+03, 1.597696537585883814e+00, 1.285748276948128321e+00, 2.246839475620631355e+00, 2.984153049740529084e+00, 2.969664599824608953e+00, 1.905169094115433559e+00, 1.493618566115768154e+00, 9.572776873902839601e-01, 1.959580905202828571e+00, 4.688183297526123283e+00, 1.266212989328408423e+00, 1.525854511145619874e+00, 8.648700998084771774e-01, 1.638538384825759309e+00, 1.648829206818214876e+00, 1.915741195914646644e+00
2.044000000000000000e+03, 1.875438324736427465e+00, 1.469869212298650751e+00, 1.903435002607640758e+00, 3.081426776431630987e+00, 3.114779949393472247e+00, 1.898220074107346944e+00, 1.668846185641396307e+00, 1.140318597944809831e+00, 1.965866910300735126e+00, 4.694707267972230369e+00, 1.751262301176902625e+00, 2.079261860915881499e+00, 8.649025299525620047e-01, 1.709142328531003452e+00, 1.624843091235754100e+00, 1.857783934623269628e+00
2.045000000000000000e+03, 1.882739257127579169e+00, 1.546675818825435478e+00, 1.834210776338102367e+00, 3.046991412408199817e+00, 3.011561926289135105e+00, 1.864973283541423887e+00, 1.772886987125797287e+00, 1.119773013836659281e+00, 1.682297700289340225e+00, 4.919422694622577197e+00, 1.771264225108724721e+00, 2.219520372051134505e+00, 7.725434363825584017e-01, 1.595500473939059471e+00, 1.585549930382913253e+00, 1.858063429702782043e+00
2.046000000000000000e+03, 1.798864688196372574e+00, 1.434020518134408340e+00, 1.631010679013776610e+00, 3.210561513757427488e+00, 2.915492947480417207e+00, 1.695695685027464483e+00, 1.668238218558958597e+00, 1.105965907522178604e+00, 1.655634916718384808e+00, 4.700670378082536516e+00, 1.693444815846188778e+00, 2.009414461708951993e+00, 8.690846548126278659e-01, 1.555590983993091703e+00, 1.555137131243675475e+00, 1.742466675270120113e+00
