year, UKESM1-0-LL, CanESM5, MIROC-ES2L, MPI-ESM1-2-LR, CESM2-WACCM, CMCC-ESM2, CNRM-ESM2-1
2.041000000000000000e+03, 1.024689781235924010e-09, 1.311476750778671745e-09, 9.195661298492355663e-10, 2.207349101336835080e-09, 5.037031701983757832e-10, -1.331655524441113921e-09, -7.828130940594270318e-10
2.042000000000000000e+03, 1.532295413830182120e-10, 3.824924754181909531e-09, 1.239900957593482787e-09, 1.565169497133622856e-09, 4.873879649982620334e-10, -1.154372552934156873e-10, 1.458870549138442400e-10
2.043000000000000000e+03, 9.138248090550960528e-10, -1.100863570380445223e-09, 9.040997503624691314e-10, 9.368611496311777566e-11, 4.422048323915121121e-10, 1.118767888625152166e-09, 1.413918270507094348e-09
2.044000000000000000e+03, 6.087038509455938582e-10, -9.921445899809730091e-10, 8.992367213495061446e-10, -3.075141596194725976e-10, 5.480153467112767113e-10, -3.368554558803002198e-09, 3.842132779587780254e-10
2.045000000000000000e+03, -4.065293282479168513e-10, 9.620689710611785621e-10, 6.417614674114873701e-10, -1.408034461363917186e-09, 1.385070710559929842e-09, -1.038718473556057431e-09, 7.863723927780917137e-10
2.046000000000000000e+03, -2.289287423679071524e-10, -3.314022789382607195e-09, -9.381130313730245195e-10, -7.027051353721900058e-10, 2.975462780856639159e-10, -9.530366906875973879e-10, 2.225840616057482468e-10
2.047000000000000000e+03, -6.930646662771309677e-11, -3.084760305956643911e-10, 4.272096269122163252e-10, 1.956928777061821560e-10, 1.053984036252468491e-09, -7.394249638043897379e-10, -5.691755243739108340e-10
2.048000000000000000e+03, -9.013879171958644084e-10, 2.051489843255041351e-09, 1.429357307565931841e-09, 1.665392560938922792e-09, 1.191552343906250187e-09, 5.977862513762546291e-10, 1.719709738862656156e-09
2.049000000000000000e+03, -3.448518197862933334e-10, 3.882888321537461146e-09, 1.559155774297544904e-09, 9.422718408004267184e-10, 5.306043853857881453e-10, -1.041632358154070846e-10, 6.520592160990188780e-10
2.050000000000000000e+03, 4.329520370817751219e-10, -7.644512862169147385e-10, -6.701859590400670664e-10, 5.651939024407460051e-10, 8.655636596936695064e-10, -1.624699800423519082e-09, -5.788560696213533939e-10
2.051000000000000000e+03, -2.401594822060939358e-10, -3.228684173546670287e-09, 1.980938964543939994e-10, -2.991130535254285241e-10, 5.701575844538525729e-10, -5.021521919544625200e-09, 1.326774848062148630e-10
2.052000000000000000e+03, -7.025951802397721739e-11, 7.415954415753452700e-10, 1.642172652520821278e-09, 3.869593981230606958e-10, -1.565873276442275064e-10, 9.313274340945256855e-10, 6.059411261427011352e-10
2.053000000000000000e+03, 1.088340186005934895e-10, 6.340551335319922690e-09, 7.185608531206059765e-10, 4.185039840449916218e-10, 1.471492162364495738e-09, 1.712541483555571900e-09, 7.416732463841863193e-10
2.054000000000000000e+03, -1.539189727910259418e-10, -1.600678650211911557e-09, 7.100830547616253186e-10, 2.157697888539216009e-09, 1.693236234315177084e-09, 5.140472531326874044e-10, -6.301804092994752725e-11
2.055000000000000000e+03, 6.687916680665306843e-10, 1.984276376124247412e-09, 3.210770650876140366e-10, 3.538518123146113836e-10, 5.098070186192577982e-10, -1.087422300006636742e-09, 9.133597018885547147e-10
2.056000000000000000e+03, -6.268814969524054130e-10, 3.156493888651211995e-09, 1.151648051606835819e-09, -4.681886241267588581e-10, 3.285593409051774962e-10, -3.212649427171900308e-09, 6.341947219501446693e-10
2.057000000000000000e+03, -2.274261040837786457e-10, -2.346050343819017247e-09, 5.523571032470429515e-10, -1.559042474340552733e-10, 1.239971727481149487e-09, -1.593912047637956770e-09, 8.015370643437309909e-10
2.058000000000000000e+03, 4.283579735849106757e-10, 1.358273449820188273e-09, 5.054071624986534950e-10, 8.046359463171935716e-10, 7.563350761330674305e-10, -4.875689739839803470e-10, -1.305291395246964706e-10
2.059000000000000000e+03, 4.827729135913760789e-10, 1.571571481375728391e-10, -8.081291395792266381e-10, 1.025354994500203206e-09, -2.052392360599094141e-10, 1.733155492082328767e-09, 5.491828199425083721e-10
2.060000000000000000e+03, -1.395792102484668004e-10, -2.030978476747018152e-09, -2.998714122935545426e-10, -1.360652049596960571e-10, 1.109305461668921474e-09, -1.511352579603915806e-09, -8.547401897838916006e-11
2.061000000000000000e+03, -2.533735172194507201e-11, -1.610499585727892142e-09, 1.190602908627120625e-09, -2.248717507705245471e-12, 3.163086401802925524e-10, -3.754062583658181108e-09, 4.016837849859958936e-10
2.062000000000000000e+03, 4.302239317031539426e-10, 5.594430223847698275e-09, 6.443248587184779688e-10, -4.935857128400036228e-10, 1.231813166117026607e-09, 7.448577615796432409e-10, 6.209471268653496926e-10
2.063000000000000000e+03, 9.335819860313521018e-11, 2.663558167832665890e-10, -9.076501218519171644e-10, 6.861619868999068828e-10, 1.207216167956854574e-09, 1.679923872841509849e-10, 7.380396482820617342e-10
2.064000000000000000e+03, -6.599087241151012637e-10, -8.933171628289428439e-10, 7.296098226227480314e-10, 2.863435877229645610e-09, 7.089024608382331940e-10, -8.820613158913718108e-10, 1.152267739144242087e-10
2.065000000000000000e+03, -2.100079149347084358e-10, 3.234412879505264732e-09, 1.333003068268484821e-09, 8.031283032955509148e-10, 1.115761744004146403e-09, -5.796149336886299486e-09, 1.632133478905728373e-09
