year, NorESM2-MM, IPSL-CM6A-LR, MIROC-ES2L, CMCC-CM2-SR5, NorESM2-LM, CESM2-WACCM, EC-Earth3-Veg, CNRM-ESM2-1, UKESM1-0-LL, ACCESS-ESM1-5, TaiESM1, MPI-ESM1-2-LR, CanESM5
2.032000000000000000e+03, 1.464152440403492861e+01, 1.076160475453010967e+01, 1.598575951216366775e+01, 4.263220362492931059e+01, 1.482808129100530437e+01, 1.473803652688918397e+01, 2.681828354800516578e+01, 3.841897671441434170e+01, 3.232188619922302308e+01, 1.337205262512660653e+01, 1.289819835948100391e+01, 1.439030058901206566e+01, 2.258384872093239082e+01
2.033000000000000000e+03, 1.467645413262481924e+01, 1.076536760155085837e+01, 1.590317182605677360e+01, 4.268585054685759417e+01, 1.486611840980644850e+01, 1.479040547878265954e+01, 2.681448267873763314e+01, 3.842833123751823621e+01, 3.240292250186416112e+01, 1.338010595224262467e+01, 1.297115395705394825e+01, 1.444357030800842168e+01, 2.257313395980674997e+01
2.034000000000000000e+03, 1.470724187335103217e+01, 1.076974568220409267e+01, 1.587787428410796231e+01, 4.284741845935842264e+01, 1.490981629550791787e+01, 1.482871108843078112e+01, 2.684199561496908615e+01, 3.852021509921141984e+01, 3.244275716061851966e+01, 1.339547444703360846e+01, 1.295046881794220361e+01, 1.446713200407791433e+01, 2.256463430415299598e+01
2.035000000000000000e+03, 1.475312519167138703e+01, 1.078151989369123775e+01, 1.588205261449033223e+01, 4.285565408492809070e+01, 1.494664821716267511e+01, 1.487715601516100428e+01, 2.686153215864121435e+01, 3.855301763174649921e+01, 3.243027778733664945e+01, 1.341809277079636864e+01, 1.295539701769501839e+01, 1.445928457540563628e+01, 2.254766093189431686e+01
2.036000000000000000e+03, 1.478885580242962838e+01, 1.075941743479255308e+01, 1.588202885453084257e+01, 4.276059432301693874e+01, 1.496543138966196196e+01, 1.493783420851093169e+01, 2.685542761505102760e+01, 3.856929179812689057e+01, 3.246880858390542812e+01, 1.344670218448778698e+01, 1.307560664437297682e+01, 1.451677455142529283e+01, 2.252634802173180262e+01
2.037000000000000000e+03, 1.483541550185945646e+01, 1.076995375707261360e+01, 1.585287638912123143e+01, 4.287147950602145130e+01, 1.499919214242769883e+01, 1.500704479018960846e+01, 2.684136168072204143e+01, 3.865136709696891870e+01, 3.245332523722402129e+01, 1.346319197416686109e+01, 1.308627600774913802e+01, 1.450814220661619025e+01, 2.251484840848399216e+01
2.038000000000000000e+03, 1.487756963548167555e+01, 1.076850606079569950e+01, 1.581464337613008020e+01, 4.302996845529138881e+01, 1.502898676810317902e+01, 1.506934589671412006e+01, 2.683529768810263505e+01, 3.871814498736221566e+01, 3.241069522053444985e+01, 1.349995451189976770e+01, 1.309353551156486617e+01, 1.448434215408589409e+01, 2.250372217709663403e+01
2.039000000000000000e+03, 1.488577571956431100e+01, 1.077029347052854469e+01, 1.579341929418797363e+01, 4.316177174891164015e+01, 1.505089786138769625e+01, 1.512760342462500418e+01, 2.683262495866247122e+01, 3.875885698255262213e+01, 3.235487282625127392e+01, 1.351556149289107722e+01, 1.312996381354150444e+01, 1.446981583585786701e+01, 2.249722339385027325e+01
2.040000000000000000e+03, 1.490780001208102767e+01, 1.076426977778723071e+01, 1.579630380129513689e+01, 4.318309642160816963e+01, 1.510280937892573938e+01, 1.518078500135417563e+01, 2.682392818146406555e+01, 3.877982539038344356e+01, 3.231994406744050252e+01, 1.352369118197597864e+01, 1.315333107947778934e+01, 1.445642806260453561e+01, 2.250494218950780123e+01
2.041000000000000000e+03, 1.494390015192667853e+01, 1.076964154638897320e+01, 1.585023634316218732e+01, 4.314295219062491071e+01, 1.513718914225948353e+01, 1.523691949258535061e+01, 2.681691169113449291e+01, 3.881510089159362309e+01, 3.245436758562600943e+01, 1.354056376540097162e+01, 1.322039496231302280e+01, 1.452156903868786841e+01, 2.252760062692287235e+01
2.042000000000000000e+03, 1.498516122066227396e+01, 1.076330829188145088e+01, 1.589761001238875338e+01, 4.311249006947019780e+01, 1.517219277633504682e+01, 1.528004911064978621e+01, 2.682713569627922823e+01, 3.885663872474364666e+01, 3.253313256973827805e+01, 1.356528773706651059e+01, 1.313904103894469699e+01, 1.464166971376901927e+01, 2.253255325148244737e+01
