year, TaiESM1, NorESM2-LM, GFDL-ESM4, NorESM2-MM, CNRM-ESM2-1
2.032000000000000000e+03, 1.613368432935800498e-10, 1.385585645091006987e-10, 8.124957813584032971e-11, 2.814545864667788395e-10, 1.076031063389012914e-10
2.033000000000000000e+03, 1.517266581017354336e-10, 2.314775808150778071e-10, 6.729858217446802859e-11, 2.224271929194987856e-10, 1.449571225178874310e-10
2.034000000000000000e+03, 1.188635579194460396e-10, 2.538977267776561874e-10, 9.126513737139736378e-11, 2.475286631535097622e-10, 1.582392466254631645e-10
2.035000000000000000e+03, 1.584907573661072740e-10, 1.951634684743268569e-10, 9.272906463790880427e-11, 1.775374641823222115e-10, 1.013448337370301919e-10
2.036000000000000000e+03, 1.924857746296827650e-10, 1.858896417972394759e-10, 9.177960329989201971e-11, 1.358939756989631029e-10, 1.446906131547762767e-10
2.037000000000000000e+03, 1.686850768355172382e-10, 1.877079556226738604e-10, 5.317109002120976856e-11, 2.203835552410065254e-10, 1.467056848425931261e-10
2.038000000000000000e+03, 2.257210933209783389e-10, 1.626319778964321045e-10, 6.352063101902247857e-11, 2.218216223253377173e-10, 1.273921951091181698e-10
2.039000000000000000e+03, 2.293957768993440515e-10, 1.548673169101176754e-10, 5.296779411630506957e-11, 1.025014752936932811e-10, 1.725636493325671409e-10
2.040000000000000000e+03, 1.723986070008066022e-10, 1.451760032006506579e-10, 7.509605444554305375e-11, 1.688017224066428940e-10, 1.240186724890068809e-10
2.041000000000000000e+03, 2.501600321875627494e-10, 1.829575564107929288e-10, 4.552248513175877711e-11, 1.498159265792742920e-10, 1.521772703500969555e-10
2.042000000000000000e+03, 6.148309783592771300e-11, 2.105653392373849713e-10, 7.815068944803564493e-11, 1.870008440274449962e-10, 1.485937687310591280e-10
2.043000000000000000e+03, 1.957666350889496675e-10, 2.341320467733043766e-10, 6.498264408960037778e-11, 1.619370759952566142e-10, 9.214543481056965028e-11
2.044000000000000000e+03, 1.361304812622787959e-10, 1.413222442128810175e-10, 7.230552323493673016e-11, 1.773099573287521817e-10, 1.468361223817480444e-10
2.045000000000000000e+03, 1.062763922318267161e-10, 1.253870101959209194e-10, 7.094536244484515373e-11, 2.431531440359196338e-10, 1.244960156424792113e-10
2.046000000000000000e+03, 1.355309550414543226e-10, 1.577809658440092708e-10, 6.896986014221382038e-11, 1.860906002831536022e-10, 1.397532778038264672e-10
2.047000000000000000e+03, 1.569134383446044626e-10, 1.441808957019779278e-10, 4.323465377484273018e-11, 1.553894123807767387e-10, 1.381630137257311678e-10
2.048000000000000000e+03, 1.712825869844738484e-10, 1.487594235633373926e-10, 8.645757968312649765e-11, 1.406513897465198472e-10, 1.126815415017851270e-10
2.049000000000000000e+03, 1.160003401809921482e-10, 2.392783985287983087e-10, 8.438110710283225960e-11, 1.732588679409510113e-10, 1.192943109249110479e-10
2.050000000000000000e+03, 1.483341024451255551e-10, 1.550311565258802312e-10, 6.433021330453256472e-11, 1.656637856890578198e-10, 1.450153041201946007e-10
2.051000000000000000e+03, 1.279885148862897991e-10, 1.419713025270404447e-10, 1.003523371305413335e-10, 1.870278925176914232e-10, 1.435697568897619082e-10
2.052000000000000000e+03, 1.773597493717963330e-10, 1.500563506643608071e-10, 7.475313212274593746e-11, 2.267399666386859808e-10, 1.142329360032873881e-10
2.053000000000000000e+03, 1.678776212654488593e-10, 2.209347727580573632e-10, 7.768301432772004559e-11, 2.096899889778121615e-10, 8.619626277484475065e-11
2.054000000000000000e+03, 1.334866089476236440e-10, 1.848812845030732092e-10, 6.667737220138591316e-11, 1.611891125940460568e-10, 1.858588893494982491e-10
2.055000000000000000e+03, 1.598395589176301024e-10, 1.532889529660410608e-10, 9.710401675745024110e-11, 1.722486256687974981e-10, 9.638146908831375302e-11
2.056000000000000000e+03, 1.740152177484830195e-10, 9.014179497762839042e-11, 9.725388483201901802e-11, 1.517071044287168749e-10, 1.425930482090338890e-10
2.057000000000000000e+03, 9.619464144785355212e-11, 1.455322273443495893e-10, 8.416474106719498315e-11, 1.670024749509290666e-10, 1.163326530798956051e-10
2.058000000000000000e+03, 1.291168770961318960e-10, 1.109294027778250095e-10, 9.693452679221957542e-11, 1.205459743235456243e-10, 1.674025158131311270e-10
2.059000000000000000e+03, 1.361016560404980390e-10, 1.266125906860501311e-10, 8.249808258648822208e-11, 1.744527942510576392e-10, 1.606220799100247946e-10
2.060000000000000000e+03, 8.053803224212000644e-11, 1.296109700686703726e-10, 1.003189858153194221e-10, 1.742206359031080172e-10, 1.214814492809320748e-10
2.061000000000000000e+03, 1.283228261536168155e-10, 1.866431945078718452e-10, 7.089249229934029225e-11, 9.683653023512054317e-11, 1.590157982243964982e-10
2.062000000000000000e+03, 1.863113203760495804e-10, 1.533238134685949131e-10, 9.731335601991602415e-11, 1.120841943918433983e-10, 1.279938705979080543e-10
2.063000000000000000e+03, 1.662833221430379697e-10, 9.153825579424687741e-11, 9.163847651033938517e-11, 1.010098523362694569e-10, 9.635737446769045167e-11
2.064000000000000000e+03, 7.385684020052199850e-11, 9.695293025336995511e-11, 1.144283548368015558e-10, 1.608331453524469264e-10, 1.465186517881028993e-10
2.065000000000000000e+03, 8.456277710698296222e-11, 1.745821838840200502e-10, 1.235401779541422507e-10, 1.886591458100059022e-10, 1.029589847819459119e-10
2.066000000000000000e+03, 2.458959857588593206e-10, 1.221913310949387948e-10, 8.233396372534176253e-11, 1.619736107471738819e-10, 1.780419815198663288e-10
2.067000000000000000e+03, 2.066931175560554377e-10, 1.326380598121359463e-10, 1.019208574263854388e-10, 1.750394055875646739e-10, 1.650366396600697705e-10
2.068000000000000000e+03, 7.737344822190316770e-11, 1.498908555888848914e-10, 8.379374494184192554e-11, 1.308560684583699673e-10, 9.521464987551366940e-11
2.069000000000000000e+03, 1.944408869926884255e-10, 1.595399126954537803e-10, 1.173504348992667331e-10, 1.307743346579850952e-10, 9.940819025459059034e-11
2.070000000000000000e+03, 1.864641998746344865e-10, 1.080098128394719657e-10, 1.041597935202280225e-10, 1.381944956242878972e-10, 1.150935557405943612e-10
2.071000000000000000e+03, 1.130479272804634954e-10, 1.893254856753186580e-10, 7.421890772469168009e-11, 2.399889346473116699e-10, 1.487757800564796814e-10
2.072000000000000000e+03, 2.183286770596029798e-10, 1.140232374480396891e-10, 8.188507855627062869e-11, 1.188435288839149867e-10, 1.014640109156354484e-10
2.073000000000000000e+03, 1.226698070448721440e-10, 1.221179408882714557e-10, 9.450891762571328473e-11, 1.415250036375518019e-10, 1.287597962651842445e-10
2.074000000000000000e+03, 8.097248616560532593e-11, 1.354950963132635442e-10, 8.803599020370750680e-11, 1.376174239953856228e-10, 1.091686718726837903e-10
2.075000000000000000e+03, 1.634504881858499697e-10, 2.085065119523538428e-10, 9.191772023704848901e-11, 1.250616082575506485e-10, 1.452982885912628588e-10
2.076000000000000000e+03, 1.675694236002878713e-10, 9.689144586467889544e-11, 7.072270431326796693e-11, 1.592101466328713943e-10, 1.956337442238170732e-10
2.077000000000000000e+03, 1.380966674599569996e-10, 1.027789916175095191e-10, 1.070084535780140302e-10, 1.561671283647158859e-10, 9.116578175703401103e-11
2.078000000000000000e+03, 1.296834015781130181e-10, 1.408447246951388974e-10, 1.062052886194447690e-10, 1.154891709634296210e-10, 2.344015662366140567e-10
2.079000000000000000e+03, 2.040297645520945249e-10, 1.246000174119882044e-10, 9.408379310060648686e-11, 2.092262574399703774e-10, 9.220476490921384508e-11
2.080000000000000000e+03, 2.195156659562543731e-10, 1.714312335106256786e-10, 9.076288831326534870e-11, 1.260533365320497370e-10, 2.045292405539369206e-10
2.081000000000000000e+03, 1.335134699397181653e-10, 1.123345282402923406e-10, 1.286265363436737857e-10, 1.681135335083530920e-10, 9.149501071445711329e-11
2.082000000000000000e+03, 1.769525878596625679e-10, 2.224250166700666442e-10, 1.484775217742614980e-10, 2.367696034988698976e-10, 1.780114119594899946e-10
2.083000000000000000e+03, 2.027435562997066905e-10, 1.720201859706208016e-10, 1.014818427313064876e-10, 1.419753993291394023e-10, 1.549986687803523813e-10
2.084000000000000000e+03, 9.056027434503060290e-11, 1.396967353369244173e-10, 1.626637703416484201e-10, 1.189422716182776263e-10, 1.290341913482358664e-10
2.085000000000000000e+03, 1.722248560846770958e-10, 1.137268225836157353e-10, 1.212037290560192879e-10, 1.653066815227274427e-10, 1.383338023927881223e-10
2.086000000000000000e+03, 1.642052960708931715e-10, 1.780920103560826544e-10, 1.601127656788310851e-10, 1.281227612607639611e-10, 1.973535661145581551e-10
2.087000000000000000e+03, 1.731119175524667955e-10, 2.176794607273594450e-10, 1.446246845999919708e-10, 1.624421965033105140e-10, 1.048543136061841063e-10
2.088000000000000000e+03, 1.422499598032016116e-10, 1.428475354166425334e-10, 1.238858666587286182e-10, 1.561927736660733560e-10, 1.259185407580994254e-10
2.089000000000000000e+03, 1.452367406332761251e-10, 8.020077968894231350e-11, 1.000201763724097711e-10, 1.534998785247698241e-10, 1.328827379254726825e-10
2.090000000000000000e+03, 1.715390982258109167e-10, 1.702490811167535316e-10, 6.910133884527615390e-11, 1.398064131184480991e-10, 1.790457719799000607e-10
2.091000000000000000e+03, 1.067217196236848224e-10, 1.138097741377590126e-10, 8.153193274758862745e-11, 1.414993478009252734e-10, 1.209271522524617269e-10
2.092000000000000000e+03, 1.142544312294438996e-10, 1.696321832768743987e-10, 7.694946460556882322e-11, 1.611861328108820310e-10, 1.677367886188399381e-10
2.093000000000000000e+03, 1.532268202784548403e-10, 1.520150408641455710e-10, 9.294117940242436950e-11, 1.162070470435305348e-10, 9.623407811094525260e-11
2.094000000000000000e+03, 1.590387881084661766e-10, 1.191126397321892019e-10, 1.472405863632378216e-10, 1.572552843601714992e-10, 1.315960998590385627e-10
2.095000000000000000e+03, 1.659977281084235282e-10, 9.281487441295678589e-11, 1.329221697167521784e-10, 1.188062359119190940e-10, 1.397742036394783927e-10
2.096000000000000000e+03, 1.925749012570844441e-10, 9.198920968504447416e-11, 1.253637220606891402e-10, 1.326005733191161999e-10, 1.161232810466929587e-10
2.097000000000000000e+03, 1.134929583165903533e-10, 1.448782893476528793e-10, 1.062739516010270401e-10, 1.085975852179139343e-10, 2.364020929628553695e-10
2.098000000000000000e+03, 1.320206866896102616e-10, 1.592360974820646533e-10, 1.127299393126943485e-10, 2.038883779588336125e-10, 1.261319292776639849e-10
2.099000000000000000e+03, 1.064638907188228441e-10, 1.581714946790995968e-10, 1.064984869618253106e-10, 2.186706555419647851e-10, 1.307686120207608937e-10
2.100000000000000000e+03, 1.893229325682684131e-10, 1.745872009260655835e-10, 1.217205791389199164e-10, 1.723020630289879475e-10, 1.818928842735963100e-10
