year, NorESM2-LM, EC-Earth3-Veg, CESM2-WACCM, UKESM1-0-LL, MPI-ESM1-2-LR, CanESM5, INM-CM5-0, GFDL-ESM4, IPSL-CM6A-LR, CNRM-ESM2-1, MIROC-ES2L, CMCC-CM2-SR5, NorESM2-MM, ACCESS-ESM1-5, TaiESM1, INM-CM4-8
2.035000000000000000e+03, 7.837068053407272514e-03, -1.492491115508443322e-01, 1.528260501969314622e-01, 7.175593419271217299e-02, 2.176180281640863468e-01, 9.357085912231295766e-02, 5.084951084064905924e-01, -1.424360899179948625e-01, -2.366612328866143089e-01, 2.408962178725730374e-01, 1.834619260280576647e-01, 7.399987935573683062e-01, 4.764537330575898538e-02, 1.559654979216082427e-01, -1.372818538593996718e-01, 1.368081266386113881e-01
2.036000000000000000e+03, 7.030335446985370995e-02, -7.366790574509785028e-04, 1.210026055993235761e-01, 4.394535821819612990e-03, -9.600205697400523985e-02, 1.074763799442263745e-01, 3.267341534532842706e-01, -1.425153631416822830e-01, 2.179997635239057929e-01, 2.126352547720740671e-01, 9.036677687281470528e-02, 5.016499877017352449e-02, 3.850714162298157772e-02, -3.371310508077581675e-02, -2.047769463717027394e-01, 4.541913613648678183e-01
2.037000000000000000e+03, 1.850086473197581904e-02, 1.164401234295999454e-01, 1.170173659276242534e-01, -4.223944693289152091e-02, -1.349786947218894508e-02, -1.880574193514517878e-01, 3.364807198379873854e-01, 4.636957574336677754e-03, -6.276529777864894855e-02, 2.125072640619326755e-02, -3.733427301363381051e-02, -1.867898868179872218e-01, -2.132343495999456870e-02, 1.735025277723433457e-01, 2.347362653512279906e-01, 3.475437838624081954e-01
2.038000000000000000e+03, 1.501904836079634604e-02, -1.796492579210469398e-01, 2.029367866548060367e-02, -3.838928087607592493e-02, -5.710082365707701280e-02, 8.159095999619524198e-02, 2.230788438520295569e-01, -4.131326116180694674e-02, 5.439714410040285414e-02, 2.195726462372990170e-02, 7.671308004141562387e-02, -2.105509966444092662e-01, -2.373774684957177111e-02, -3.713471275138149896e-02, -2.051162681498499771e-02, 4.440412979984821873e-01
2.039000000000000000e+03, 1.172730524159198429e-01, 3.582819342884750041e-02, 1.160140956239179566e-01, -5.205014523747860528e-02, -2.556720152296446807e-02, 9.857477945636365646e-02, 2.689124192385401457e-01, 2.641346110403258035e-02, -8.685084233554329902e-02, 4.284745210797644144e-02, 2.262650774965904721e-01, 1.156363676618853142e-01, 1.180585801684884556e-01, -2.647702649287413806e-03, -1.015134644587105256e-01, -1.097960093635901718e-01
2.040000000000000000e+03, -2.221448113044506047e-03, 2.929932175004288375e-01, -1.608565574338886514e-02, 1.483566023476234896e-01, 1.746923089010760100e-01, -4.134500795448982080e-01, -1.217518421520881466e-02, -8.438379231699252858e-02, 1.718561448876035624e-01, 2.612610183413380249e-01, 2.112533335816448032e-01, 4.186395440870118168e-01, 3.117483267437256428e-02, 7.876946300650290722e-02, 1.403402314786965643e-01, 6.812913729984618749e-01
2.041000000000000000e+03, 4.638567697413529395e-02, 1.557618509098853132e-01, 7.081526364297320575e-02, 1.444540205831340851e-01, 3.140025588591255912e-01, 1.853820510992791326e-01, 3.430939190351428580e-01, -1.210074961128580068e-02, -9.124089842726468280e-02, -1.106535033258857076e-01, 1.296343801619414815e-01, 5.270471463758464870e-01, 6.915322704678432408e-02, 6.507974327455198771e-02, -2.779282500161153191e-01, 7.250963461975290514e-01
2.042000000000000000e+03, 3.993095783973071161e-02, -2.678924323875301328e-01, 6.852152076821575732e-02, 2.160129214735522288e-02, 2.226894361519645427e-01, 5.406671493106121051e-01, 3.645035360577015826e-01, -7.887026324025801782e-02, -2.558626680218329189e-02, 2.062167053491729962e-02, 1.747930756499061211e-01, 1.355400183429314453e-01, 4.164030776069748384e-03, 2.281887456028615369e-02, 7.068101464721294747e-01, 5.013756943544651623e-01
2.043000000000000000e+03, -1.976557184151819455e-02, -1.659328918144754583e-01, 6.216925690118017822e-02, 1.288250065472552053e-01, 1.072705189244177286e-02, -1.556111052189317334e-01, 4.646850937662464487e-01, -3.368762232336684759e-02, 9.893589524936426127e-02, 1.998625358152352205e-01, 1.274540317856424909e-01, -3.521023555829119744e-01, 4.714692869435757605e-02, -5.892330208886815968e-02, -5.987826425047689805e-01, -1.070455155280407022e-01
2.044000000000000000e+03, 1.472333571859827002e-02, 1.320125448483873420e-01, 7.704508042399366152e-02, 8.581106225873730287e-02, -3.799381379361244093e-02, -1.402432784023983914e-01, 6.588873668829281494e-01, -4.642215117648809675e-02, 1.877732352591531678e-02, 5.430995668454367126e-02, 1.267684739651208092e-01, 1.623774260543375259e-01, 6.497049330698319303e-02, 1.383385772514252599e-01, 2.120779356122431611e-02, 1.054841456277235828e-01
2.045000000000000000e+03, 8.455478578506835097e-02, 1.293269145404560023e-03, 1.947260873776766876e-01, -5.730982881427943570e-02, -2.014993145189225288e-01, 1.359919793076020678e-01, 4.796991970577213493e-01, -1.350550018700478194e-01, 1.526771761455368061e-02, 1.111566232603788673e-01, 9.047130743424186550e-02, 4.203607547790941257e-01, 7.875105360955989009e-02, 7.396568183262967888e-02, 2.573572901742070540e-01, -2.878868372876194209e-02
2.046000000000000000e+03, 7.708175393327515446e-02, -9.490619482537360208e-02, 4.183181559155820656e-02, -3.227286723031222437e-02, -9.673764050352892663e-02, -4.684492818654497071e-01, 3.276241161208818808e-01, 1.580821818539777587e-02, -5.516202600731746897e-02, 3.146307386538305800e-02, -1.322490002582200619e-01, 4.510451031337778249e-01, 7.687428604941952404e-02, 5.363031010765190176e-02, 8.538627942154540518e-02, 2.141713734124642832e-01
2.047000000000000000e+03, -2.646575667807732346e-02, 1.552807641079370082e-01, 1.481788517894546686e-01, -9.770369471927912650e-03, 2.501607810276383279e-02, -4.360421885697545602e-02, -5.061673637800968850e-02, -8.116275026363455741e-03, 8.455822111107004501e-05, -8.045504892198453162e-02, 6.022520119685057655e-02, -4.954402756087835091e-01, -1.124708909543118002e-01, 2.693656834014894821e-02, -2.706468286915632016e-01, -1.582771612914768145e-01
2.048000000000000000e+03, 1.406324471799932363e-01, 1.226752208307408942e-01, 1.675194804608673982e-01, -1.270717353958080442e-01, 2.332874926909783431e-01, 2.899856171496404400e-01, 3.317514660752520772e-01, -7.478560396026859292e-02, -4.989341238085208408e-02, 2.430872819487495395e-01, 2.015013848178927036e-01, 2.241589787324831107e-01, 1.278717536696493129e-01, -1.767689607752192344e-03, -6.486046884972809963e-03, -7.560412974384222995e-02
2.049000000000000000e+03, -1.619447093434961057e-02, 4.345405123806102277e-02, 7.459728598971106239e-02, -4.861493964881360291e-02, 1.323673353715084933e-01, 5.488605122497747235e-01, 9.241870039176471041e-02, -1.494081513598005152e-02, -1.084027189112876099e-01, 9.217096288352294442e-02, 2.197995182903399458e-01, 1.053839048178751847e-01, 8.001671411614706686e-02, -4.431107711630571933e-02, 3.709850695528754128e-01, 5.268458516528184282e-02
2.050000000000000000e+03, -6.107075582792999974e-02, -7.479901425358313413e-03, 1.216889676053533736e-01, 6.103472838451290405e-02, 8.012274366341058662e-02, -1.080579944099139128e-01, 3.625468025741533373e-01, -4.078621314098682810e-02, 8.567602462906155625e-02, -8.182342951482748927e-02, -9.447840516661849819e-02, 1.342487913458149384e-01, 8.400611675501952480e-02, 4.803751903977734883e-02, -1.106973265250111027e-01, 2.753716805475251439e-01
2.051000000000000000e+03, 1.113662688732619532e-01, 3.679248351174081444e-01, 8.015804158079631314e-02, -3.385610300903981601e-02, -3.978242817135103221e-02, -4.563863553726648647e-01, 2.374035916235443799e-01, -1.103646870834073673e-01, 2.052037137827989518e-03, 1.875444932856491428e-02, 2.792597361642650336e-02, 1.163192920459682062e-01, 4.515447907662644561e-02, -4.683917415762086332e-03, 9.320025205928683665e-02, 3.086948885486399674e-01
2.052000000000000000e+03, 5.394017610150557418e-02, -7.929698584546611417e-02, -2.201449890797283274e-02, -9.904724384540262647e-03, 5.117221080216492052e-02, 1.048272369018262290e-01, 2.907071488955999539e-01, -8.374187465573623701e-02, -2.132240783277754015e-01, 8.565200164093354773e-02, 2.315026913435038469e-01, -3.064634565510708786e-01, 1.310677579923723995e-02, -2.987834909778759943e-02, -4.515502763318717250e-01, 7.444190821595739749e-01
2.053000000000000000e+03, 1.864253529107826324e-01, 1.785020347518506689e-01, 2.068760166535606737e-01, 1.534270356840380760e-02, 5.952016873943735686e-02, 8.962601974789016213e-01, 3.414599511194307824e-01, -1.025430225861105882e-01, 1.212886327234284981e-02, 1.048382348970554878e-01, 1.012979793179178550e-01, 2.990487824198611588e-01, 3.825440479856085513e-02, -3.927547007198239210e-02, 4.295966594021598250e-02, 8.482790048227826230e-01
2.054000000000000000e+03, -5.760375136819206182e-02, 5.644735974623963370e-01, 2.380508550217003694e-01, -2.169848364923873674e-02, 3.064768299955512587e-01, -2.262618007913034801e-01, 4.916717861792305189e-01, 4.575382482308192056e-02, 2.967832199330380227e-01, -8.907831325958100524e-03, 1.001028351083496221e-01, -1.847443765014314676e-01, 1.356726146172378689e-01, 2.143451097391874116e-01, 2.041807997384492979e-01, 5.198917784942641562e-01
2.055000000000000000e+03, 8.474784705771297444e-02, 9.457977410277647323e-02, 7.167339926874516376e-02, 9.428184720275632758e-02, 5.058325347778572928e-02, 2.804847469353552447e-01, 1.571430476661993814e-01, -3.069843572305533744e-02, -1.360504048059567143e-02, 1.291067453746279903e-01, 4.526333122303263096e-02, 7.513135163723261289e-01, 1.050432997024312864e-01, 1.933332905831094684e-01, 7.062205696867902838e-02, -1.523257035913380859e-02
2.056000000000000000e+03, 3.436034497176041619e-02, -1.011577397571378073e-01, 4.619191961686145570e-02, -8.837362714276859876e-02, -6.583963214503846251e-02, 4.461819937052425855e-01, 1.794492190517782138e-01, -1.165783333363790419e-01, 2.758839678761407233e-01, 8.964575108300641693e-02, 1.623517618675631435e-01, -1.474186330514691209e-02, 1.243976678292882110e-01, 5.223583047351106068e-02, -2.660264342081436820e-02, -7.329834201867038712e-02
2.057000000000000000e+03, 8.991806924375748966e-02, 2.747618574232322253e-01, 1.743267265060657323e-01, -3.206103517577305051e-02, -2.268553886344848794e-02, -3.316228247745247049e-01, 3.555411894090304004e-01, -5.397408014085167821e-02, -3.921219832646309633e-02, 1.133002052319357356e-01, 7.786766865719119135e-02, -3.519222999209152547e-02, -1.550077045507877727e-01, -9.247238932426392333e-02, -1.181862047029025336e-04, 4.430932247594068785e-02
2.058000000000000000e+03, 8.005931670416407964e-02, -1.398263395928685260e-01, 1.063326002051914326e-01, 6.038708755204959949e-02, 1.133342869708783562e-01, 1.919969362261723378e-01, 1.356244868408482303e-02, -3.390286805589778213e-02, -8.564571672320159257e-02, -1.845077283981216149e-02, 7.124897504724363173e-02, 1.065069638450554142e-02, 1.424549558401877192e-01, 1.859137136980279492e-02, -1.480781884894201428e-01, 4.952489405606043116e-01
2.059000000000000000e+03, -1.598097374291779227e-02, -2.613254376821038671e-01, -2.885443545201607160e-02, 6.805814762082777747e-02, 1.431507303055102043e-01, 2.221473956694888091e-02, 3.247524302154198850e-01, -4.440309970476666312e-02, 4.996160723814636884e-02, 7.762900678870654492e-02, -1.139247267810221953e-01, 1.851133839503436573e-01, 1.159915182795155791e-01, -7.495264665864899423e-02, 4.170752039840713160e-02, 3.206058146711035506e-01
2.060000000000000000e+03, 1.611508553734589955e-01, 1.152130100430883153e-01, 1.559564508949522754e-01, -1.967695831404739706e-02, -1.729438701891090890e-02, -2.870862602286360921e-01, 1.282980038001945711e-01, -4.368983159523136262e-02, 2.110499627623145871e-02, -1.208206622382328350e-02, -4.227389787326588100e-02, 1.072384018231791088e-02, 5.993477321494866672e-02, 3.985633350756075111e-02, 5.303975678580518105e-01, 4.395597046811576813e-01
2.061000000000000000e+03, 9.813152695912820758e-03, 3.816427524806669247e-01, 4.446960248055630005e-02, -3.571893068699653201e-03, -1.328448128966293025e-03, -2.276500260637570605e-01, 1.572221726702181452e-02, -2.138787295446090489e-02, 2.421824283723444937e-01, 5.677947695970452652e-02, 1.678433611992497243e-01, 8.916686716930130596e-02, 9.336313017639619530e-03, -1.129659073260552184e-02, 2.597508229477716452e-02, 2.531119618865072529e-01
2.062000000000000000e+03, 2.267836516528246461e-03, 5.906939609127215968e-02, 1.731797202767418054e-01, 6.065013804533632424e-02, -6.968589414647685665e-02, 7.907932405305068135e-01, -8.344961493721523432e-03, -4.729640356408922053e-02, 8.472004442698978510e-02, 8.777315490660154984e-02, 9.083267746779095930e-02, 5.382835722658836364e-01, 1.161959848228014680e-01, -6.465902972189899178e-02, -5.441322912304054071e-01, 2.865795803082925031e-01
