year, TaiESM1, NorESM2-LM, GFDL-ESM4, MPI-ESM1-2-LR, CNRM-ESM2-1, CESM2-WACCM, EC-Earth3-Veg, GFDL-ESM4, NorESM2-MM, NorESM2-MM, TaiESM1, CNRM-ESM2-1
2.049000000000000000e+03, 1.160003401809921482e-10, 2.392783985287983087e-10, 8.783477887498880926e-11, 1.143546357858663578e-10, 1.192943109249110479e-10, 1.636182824815511324e-10, 7.974918236121958312e-10, 8.438110710283225960e-11, 1.732588679409510113e-10, 1.732588679409510113e-10, 1.160003401809921482e-10, 1.192943109249110479e-10
2.050000000000000000e+03, 1.483341024451255551e-10, 1.550311565258802312e-10, 6.784439534199580066e-11, 1.277022466107380777e-10, 1.450153041201946007e-10, 2.880564172456912838e-10, 1.146249444338130767e-09, 6.433021330453256472e-11, 1.656637856890578198e-10, 1.656637856890578198e-10, 1.483341024451255551e-10, 1.450153041201946007e-10
2.051000000000000000e+03, 1.279885148862897991e-10, 1.419713025270404447e-10, 1.039980771431710936e-10, 1.177971183231504882e-10, 1.435697568897619082e-10, 2.465305271777722559e-10, 3.371505465195383509e-10, 1.003523371305413335e-10, 1.870278925176914232e-10, 1.870278925176914232e-10, 1.279885148862897991e-10, 1.435697568897619082e-10
2.052000000000000000e+03, 1.773597493717963330e-10, 1.500563506643608071e-10, 7.840280585280008195e-11, 1.177183918654342942e-10, 1.142329360032873881e-10, 2.237768699871718159e-10, 1.467030765142522646e-09, 7.475313212274593746e-11, 2.267399666386859808e-10, 2.267399666386859808e-10, 1.773597493717963330e-10, 1.142329360032873881e-10
2.053000000000000000e+03, 1.678776212654488593e-10, 2.209347727580573632e-10, 8.114968407437260768e-11, 1.138511362914283665e-10, 8.619626277484475065e-11, 1.406108274781930205e-10, 4.152333038598526157e-10, 7.768301432772004559e-11, 2.096899889778121615e-10, 2.096899889778121615e-10, 1.678776212654488593e-10, 8.619626277484475065e-11
2.054000000000000000e+03, 1.334866089476236440e-10, 1.848812845030732092e-10, 7.039648117857278615e-11, 1.160974040299339659e-10, 1.858588893494982491e-10, 1.120883627757892466e-10, 4.551993683198492743e-10, 6.667737220138591316e-11, 1.611891125940460568e-10, 1.611891125940460568e-10, 1.334866089476236440e-10, 1.858588893494982491e-10
2.055000000000000000e+03, 1.598395589176301024e-10, 1.532889529660410608e-10, 1.010483595019209742e-10, 1.147128586913846389e-10, 9.638146908831375302e-11, 2.180892748588753569e-10, 5.427004389428015451e-10, 9.710401675745024110e-11, 1.722486256687974981e-10, 1.722486256687974981e-10, 1.598395589176301024e-10, 9.638146908831375302e-11
2.056000000000000000e+03, 1.740152177484830195e-10, 9.014179497762839042e-11, 1.011160611809597207e-10, 1.141275749338072369e-10, 1.425930482090338890e-10, 2.048540617133027681e-10, 6.072533871808108449e-10, 9.725388483201901802e-11, 1.517071044287168749e-10, 1.517071044287168749e-10, 1.740152177484830195e-10, 1.425930482090338890e-10
2.057000000000000000e+03, 9.619464144785355212e-11, 1.455322273443495893e-10, 8.792910467200750095e-11, 1.202594114101043953e-10, 1.163326530798956051e-10, 1.697353938360183103e-10, 5.242167148728177987e-10, 8.416474106719498315e-11, 1.670024749509290666e-10, 1.670024749509290666e-10, 9.619464144785355212e-11, 1.163326530798956051e-10
2.058000000000000000e+03, 1.291168770961318960e-10, 1.109294027778250095e-10, 1.006352092904001147e-10, 9.883921036997083748e-11, 1.674025158131311270e-10, 2.347145901985927105e-10, 1.608599752989406053e-09, 9.693452679221957542e-11, 1.205459743235456243e-10, 1.205459743235456243e-10, 1.291168770961318960e-10, 1.674025158131311270e-10
2.059000000000000000e+03, 1.361016560404980390e-10, 1.266125906860501311e-10, 8.619341253139237404e-11, 1.292043653431419280e-10, 1.606220799100247946e-10, 3.490114466562402102e-10, 1.699527423817278372e-09, 8.249808258648822208e-11, 1.744527942510576392e-10, 1.744527942510576392e-10, 1.361016560404980390e-10, 1.606220799100247946e-10
