year, NorESM2-MM, EC-Earth3-Veg, CNRM-ESM2-1, NorESM2-LM, UKESM1-0-LL, TaiESM1, CESM2-WACCM, CMCC-ESM2, MPI-ESM1-2-LR, IPSL-CM6A-LR
2.060000000000000000e+03, 2.347495496397588131e-09, 1.563992668802331857e-10, 1.182103752645609636e-10, 2.372931505415094511e-09, 3.007168762722838228e-13, 7.081925625435453743e-10, 3.986385928746435067e-10, 2.379853996543637743e-10, 2.607973474725652018e-10, 1.047582395474167265e-11
2.061000000000000000e+03, 2.306784439766568906e-09, 1.563611218589302451e-10, 1.043218856712895119e-10, 2.315531580381002050e-09, 2.826678862211561936e-13, 7.087689824869651744e-10, 3.974669967647688752e-10, 2.390068267104545716e-10, 2.632459408844287530e-10, 1.185367518395659623e-11
2.062000000000000000e+03, 2.361181128795336525e-09, 1.812206111881512705e-10, 1.023722647977976896e-10, 2.327370584003249449e-09, 2.650422341045149456e-13, 7.074388755965803827e-10, 3.960843411651631358e-10, 2.373640151957248328e-10, 2.585051653972238027e-10, 1.203827055520811298e-11
2.063000000000000000e+03, 2.523867794781101222e-09, 1.779341616750935996e-10, 9.996104431425955494e-11, 2.335068955488726720e-09, 2.477929025647153988e-13, 7.049963194889886945e-10, 3.973636902941895854e-10, 2.380010815290010811e-10, 2.585724087582262285e-10, 1.199666320647677263e-11
2.064000000000000000e+03, 2.401593557791404514e-09, 1.794185624431459053e-10, 1.034372940146754076e-10, 2.506096728992281813e-09, 2.320470672671061669e-13, 7.061656933101095120e-10, 3.962078950565884088e-10, 2.394724256375581413e-10, 2.645200420173297890e-10, 1.192457558883254550e-11
2.065000000000000000e+03, 2.412851572176355785e-09, 1.857087091593837668e-10, 1.033056922578164653e-10, 2.328270366955137059e-09, 2.187605088864566845e-13, 7.114712946531070285e-10, 3.948108234474013864e-10, 2.427568271457972594e-10, 2.630760404120982529e-10, 1.206153925509065679e-11
2.066000000000000000e+03, 2.391496295663519207e-09, 1.905317476359620916e-10, 9.896595737129244584e-11, 2.394069340642236409e-09, 2.065455638244602776e-13, 7.118664657592284632e-10, 3.951666975094712315e-10, 2.450147978152085811e-10, 2.584746729716558709e-10, 8.892959979383921224e-12
2.067000000000000000e+03, 2.423549846780648547e-09, 1.913104755834269578e-10, 9.812865807422334498e-11, 2.408868978617895949e-09, 1.975634409865911049e-13, 7.105824928447565019e-10, 3.933080154344023333e-10, 2.448880857795949475e-10, 2.564887970177128398e-10, 8.849705666150771107e-12
2.068000000000000000e+03, 2.363465273968127394e-09, 2.034991571237360541e-10, 9.678980896585591874e-11, 2.232730558980595450e-09, 1.889051154344044728e-13, 7.159867622809739761e-10, 3.917655622937116134e-10, 2.441466274261148834e-10, 2.556683762603555119e-10, 8.891285865389233441e-12
2.069000000000000000e+03, 2.390137777707199494e-09, 1.915244362557052085e-10, 9.622447937240278535e-11, 2.278037480169480278e-09, 1.756416661069995152e-13, 7.141939805923523486e-10, 3.901568173337227008e-10, 2.438955595337652587e-10, 2.568368858648170139e-10, 8.998994075006029106e-12
