year, CESM2-WACCM, EC-Earth3-Veg, CMCC-CM2-SR5, MIROC-ES2L, MPI-ESM1-2-LR, UKESM1-0-LL, CNRM-ESM2-1, IPSL-CM6A-LR, ACCESS-ESM1-5
2.041000000000000000e+03, 6.050215575842192717e-01, 3.622900736169672870e-02, 3.637187015013546576e-01, 1.345284276647089827e+00, 9.516012255279774346e-01, 2.462643274418918182e-03, 3.893708798335614174e-02, 2.019009490760308168e-01, 3.942571909860586032e-01
2.042000000000000000e+03, 5.968405017798559253e-01, 3.616717692071941270e-02, 3.643052348254035011e-01, 1.336631492356951556e+00, 9.755530171370220271e-01, 2.332311913424053081e-03, 3.905083445840765860e-02, 2.017181774528691296e-01, 3.950227665196541782e-01
2.043000000000000000e+03, 5.911988138735222442e-01, 3.607379620188751884e-02, 3.647677289182005289e-01, 1.326732728780441573e+00, 9.704779311797664398e-01, 2.214832212424584345e-03, 3.903972698040457379e-02, 2.022011184896627123e-01, 3.954806218658202255e-01
2.044000000000000000e+03, 5.955745576857299772e-01, 3.590289331302803227e-02, 3.644923200050576018e-01, 1.314793309086363271e+00, 9.738178944701979534e-01, 2.098254281781923233e-03, 3.910000391803033354e-02, 2.024993259191490425e-01, 3.959223802651798962e-01
2.045000000000000000e+03, 6.066486991350306113e-01, 3.587039464669291439e-02, 3.645171574935859304e-01, 1.300806172132408234e+00, 9.318164881984618564e-01, 1.984870474532192744e-03, 3.911876945073539807e-02, 2.026723563407370199e-01, 3.964540837566837839e-01
2.046000000000000000e+03, 5.965515395727257753e-01, 3.563654058470223929e-02, 3.656953263170295565e-01, 1.289055689589555964e+00, 9.091517736486061096e-01, 1.878111456829977943e-03, 3.752325812882160300e-02, 2.027013718488409888e-01, 3.962697910409134217e-01
2.047000000000000000e+03, 5.939530955565101022e-01, 3.538603851219156854e-02, 3.673298763181780946e-01, 1.276140874128401048e+00, 8.922777487910857896e-01, 1.788661773458623304e-03, 3.589107939310538092e-02, 2.025024909556167318e-01, 3.960740353931460067e-01
2.048000000000000000e+03, 5.963150704176757300e-01, 3.520769672571291697e-02, 3.682293120435991551e-01, 1.266977987109433545e+00, 9.320123207385648811e-01, 1.706016363867326330e-03, 3.428311282404457316e-02, 2.021370146794024825e-01, 3.960638013811788039e-01
2.049000000000000000e+03, 5.962462039839347971e-01, 3.520741549297901063e-02, 3.682444851627788562e-01, 1.262512327240634225e+00, 9.386815566462350935e-01, 1.632665471509272322e-03, 3.269650840222622368e-02, 2.018706460912524925e-01, 3.956862696677737601e-01
2.050000000000000000e+03, 5.897362438674325080e-01, 3.519342473553360023e-02, 3.679151918370994201e-01, 1.258647580800496657e+00, 9.577887920983063630e-01, 1.890198656082220071e-03, 3.105290931617024630e-02, 2.009569680961629246e-01, 3.954104734072163563e-01
2.051000000000000000e+03, 5.924141435360411601e-01, 3.500562696503242699e-02, 3.675003511492100361e-01, 1.252692930237589763e+00, 9.644229510936854766e-01, 1.822986256747802670e-03, 2.933200076591142846e-02, 2.002393898175148235e-01, 3.899352794570761227e-01
2.052000000000000000e+03, 5.890128721242519072e-01, 3.490167532189927119e-02, 3.664921430572909977e-01, 1.246022853391336005e+00, 9.384220732116208552e-01, 1.663260822681454599e-03, 2.769768702403379787e-02, 1.997016326294933364e-01, 3.851184828540700211e-01
2.053000000000000000e+03, 5.840107049504523751e-01, 3.481322960422906371e-02, 3.642226262910741585e-01, 1.244425508118754964e+00, 9.561206014551243415e-01, 1.561095673768504071e-03, 2.616336873925722423e-02, 1.989962413752161818e-01, 3.806147617096637958e-01
2.054000000000000000e+03, 5.982032908952651384e-01, 3.463941688410168696e-02, 3.617488109053453305e-01, 1.243917042350207058e+00, 9.771167002939274981e-01, 1.484264424562452365e-03, 2.477029679660766245e-02, 1.981619587796868975e-01, 3.769336503438909247e-01
2.055000000000000000e+03, 5.991229556316750582e-01, 3.452990837629996840e-02, 3.600590057594866278e-01, 1.241194658830587771e+00, 9.847470638505048113e-01, 1.419949405845065881e-03, 2.355630497794684169e-02, 1.983914590352099661e-01, 3.738509014109566708e-01
2.056000000000000000e+03, 5.888211297778492836e-01, 3.434649026224435159e-02, 3.596208145462226891e-01, 1.240754327277152180e+00, 9.570721420602861240e-01, 1.360057401768935198e-03, 2.217454339413498648e-02, 1.975841812596886848e-01, 3.737349769121131593e-01
2.057000000000000000e+03, 5.881435082985888574e-01, 3.421450047898462465e-02, 3.595433668415623507e-01, 1.242725111612479116e+00, 9.392033338683953847e-01, 1.306414117187059418e-03, 2.089180742633591284e-02, 1.976806650615297312e-01, 3.701336266559642763e-01
2.058000000000000000e+03, 5.872948036304970199e-01, 3.412407824905570874e-02, 3.587616345890842218e-01, 1.243122788943866963e+00, 9.356877167964243736e-01, 1.257894397399090701e-03, 1.971267953138406206e-02, 1.972566659367498143e-01, 3.666175339793177335e-01
2.059000000000000000e+03, 5.814517407291425188e-01, 3.396151649672833617e-02, 3.579471310726989319e-01, 1.241178402657560076e+00, 9.593327768990886906e-01, 1.213845763318693047e-03, 1.862736584515206975e-02, 1.967246682326961316e-01, 3.633560514726786872e-01
2.060000000000000000e+03, 5.899960314472545431e-01, 3.366632682226926992e-02, 3.570708072712078240e-01, 1.237005885177219877e+00, 9.599767679922355246e-01, 1.172973713787653230e-03, 1.771211877600881515e-02, 1.962154026488552860e-01, 3.600948831817498696e-01
2.061000000000000000e+03, 5.871979653153976964e-01, 3.335536113466160829e-02, 3.562785662550484456e-01, 1.232089756366420596e+00, 9.577570931604431070e-01, 1.135828326800860212e-03, 1.732382124288223135e-02, 1.959621145496014960e-01, 3.547572656567999361e-01
2.062000000000000000e+03, 5.940485271782973697e-01, 3.330913730182855775e-02, 3.557884759039499079e-01, 1.229689643719953152e+00, 9.463279397894303058e-01, 1.101308445455864097e-03, 1.694073170101681458e-02, 1.961590323204163988e-01, 3.517659148968828586e-01
2.063000000000000000e+03, 5.879137265612035534e-01, 3.328923155144555834e-02, 3.559361505854201080e-01, 1.224750579715004672e+00, 9.372277199167442507e-01, 1.069162308048312573e-03, 1.654960162305494156e-02, 1.960781791709610422e-01, 3.487273127360794867e-01
