year, GFDL-ESM4, INM-CM4-8, CMCC-CM2-SR5, ACCESS-ESM1-5, NorESM2-MM, NorESM2-LM, CESM2-WACCM, EC-Earth3-Veg, CanESM5, INM-CM5-0, MIROC-ES2L, IPSL-CM6A-LR, CNRM-ESM2-1, MPI-ESM1-2-LR, UKESM1-0-LL, TaiESM1
2.035000000000000000e+03, 1.369663378826580624e+00, 5.982948166673959456e+00, 4.398782153332267519e+00, 2.302165744651200274e+00, 3.322865730363466330e+00, 2.758390377557621953e+00, 3.835762834858875703e+00, 4.953390205022706994e+00, 6.855302702346037336e+00, 5.691547497815148127e+00, 3.374353696977363537e+00, 2.595250531708863218e+00, 5.291161543501127440e+00, 6.637956328492829350e+00, 3.063122194665496956e+00, 4.469697247095065329e+00
2.036000000000000000e+03, 1.311603953111023291e+00, 6.258444797823390360e+00, 3.966539444522490410e+00, 2.058537896421975599e+00, 3.076077793144965433e+00, 2.583169956956714142e+00, 3.620248540040399199e+00, 5.011686432596480500e+00, 7.401279313030943108e+00, 5.477993626621714185e+00, 3.363202930160592352e+00, 3.613845953362383234e+00, 5.168014288110456711e+00, 5.734060666988063382e+00, 2.900557657809764489e+00, 4.066559317000206342e+00
2.037000000000000000e+03, 1.499413521333838428e+00, 6.243273313844701633e+00, 3.557956020401130459e+00, 2.377784669083286229e+00, 2.778334042250178992e+00, 2.586962289131384374e+00, 3.698661188827374158e+00, 5.537056867910012059e+00, 7.159147887848301473e+00, 5.539297518930432318e+00, 3.220767290508946612e+00, 3.161513387968922562e+00, 4.668038457595592661e+00, 5.655620148253051482e+00, 2.748730502972023704e+00, 4.416603115145241176e+00
2.038000000000000000e+03, 1.519863384434032128e+00, 6.465501443273837801e+00, 3.192367268559249904e+00, 2.113760435718917030e+00, 2.828821231722471019e+00, 2.590670141973379970e+00, 3.346962770458382863e+00, 5.179332995442289089e+00, 7.241704146396706676e+00, 5.521451000503883932e+00, 3.310460211383446261e+00, 3.345010999540778851e+00, 4.657451583829547381e+00, 5.620726282398941009e+00, 2.900100175334443531e+00, 4.332197513403191813e+00
2.039000000000000000e+03, 1.643438270975709825e+00, 5.795561304667758762e+00, 3.479683652028590313e+00, 2.060735338948011197e+00, 3.247135345665250306e+00, 2.861429916991340860e+00, 3.446813668588075696e+00, 5.174816343422895315e+00, 7.459502162530441183e+00, 5.438604328923116071e+00, 3.458714114647040816e+00, 3.098456928699890867e+00, 4.724590068203136539e+00, 5.678099838313984016e+00, 2.719060819118857442e+00, 4.238985308083572434e+00
2.040000000000000000e+03, 1.482591825073578118e+00, 6.678726977952150534e+00, 4.027748054897712926e+00, 2.189798107662107807e+00, 3.016145733396459416e+00, 2.733959364686149751e+00, 3.098636914419916621e+00, 5.244712775255218062e+00, 7.641141364915611689e+00, 5.176342993244572810e+00, 3.473920506399653885e+00, 3.693388103530859112e+00, 5.330138070784020243e+00, 6.477884583441671396e+00, 3.356059947893970108e+00, 4.593718712890384026e+00
2.041000000000000000e+03, 1.584860615815947726e+00, 6.876650345194673442e+00, 4.694241170868772350e+00, 2.187292445046448819e+00, 3.138252911174840953e+00, 2.732858922669694657e+00, 3.244575893546399303e+00, 5.816690015111907641e+00, 7.662142505136761095e+00, 5.634688187720703567e+00, 3.395230971478473858e+00, 3.196600700088603197e+00, 4.670455520321053378e+00, 7.397913546689401265e+00, 3.324620800111407704e+00, 4.117794978057480293e+00
2.042000000000000000e+03, 1.500539584331269438e+00, 6.535974956040929484e+00, 4.540219231671184907e+00, 2.147860614809882218e+00, 3.007698937626900992e+00, 2.692425533233831381e+00, 3.072963015525673303e+00, 5.570034440940167642e+00, 7.532606560634229176e+00, 5.647580361763259837e+00, 3.561695146797247968e+00, 3.223831281301533291e+00, 4.202129648179088406e+00, 6.979474748325172229e+00, 3.284293270772590478e+00, 5.259865728169006438e+00
2.043000000000000000e+03, 1.503538599133825482e+00, 5.983494827647498404e+00, 3.603958410703790971e+00, 2.035746953205613607e+00, 3.134418791315211283e+00, 2.457978598557815086e+00, 3.118900697716537884e+00, 4.946845038398335781e+00, 7.540167322548819051e+00, 5.844529353705254948e+00, 3.426886002333783043e+00, 3.361251665808869582e+00, 4.818979318963552139e+00, 6.815907627033635841e+00, 3.567966041171930502e+00, 4.299487730122987905e+00
2.044000000000000000e+03, 1.516984253287755102e+00, 6.119521602888588596e+00, 4.091162935726791794e+00, 2.307444155070259129e+00, 3.334038429292542016e+00, 2.750350695576710525e+00, 3.399935437438666330e+00, 5.175434983406684175e+00, 7.545483014355905738e+00, 6.108563621647649988e+00, 3.409018026099510212e+00, 3.368975891483134255e+00, 4.800527548284638790e+00, 6.236840501088621203e+00, 3.631117661307169620e+00, 4.461733795264873237e+00
