year, CNRM-ESM2-1, UKESM1-0-LL, MIROC-ES2L, CMCC-ESM2, CanESM5, CESM2-WACCM, GFDL-ESM4, MPI-ESM1-2-LR
1.906000000000000000e+03, -3.374415143306141727e-10, -3.804906497835456744e-11, 1.836956964123135722e-10, 7.710414333545971816e-10, -3.654935084165197973e-10, -3.461842645259908840e-10, -1.113821048049857299e-09, 1.126339354008738840e-10
1.907000000000000000e+03, 1.294367660158650932e-10, 1.815700854449639455e-11, -4.134741662304420455e-11, 4.181790541942652091e-10, -1.057104088484831580e-09, -4.602989829063325398e-10, -9.713202975329569888e-10, -2.103373579633581485e-11
1.908000000000000000e+03, -1.347742227277633107e-10, -3.795592183206431551e-10, -4.397978454598690316e-10, -8.932498554493855826e-10, -1.130638909492747867e-09, -2.032671924166738230e-10, -6.381309876034290634e-10, 4.091551520692759678e-10
1.909000000000000000e+03, 2.201439362704681296e-10, -1.094093191327116412e-09, 1.543586845935509839e-10, 8.727765181057849001e-10, -1.780890538663340873e-10, -3.747641803716228482e-10, -6.723963414830257600e-10, 8.294568268344426517e-10
1.910000000000000000e+03, -5.910505741151893195e-10, -1.939898064674487838e-10, -1.575137933104004744e-10, -3.234406712141085311e-11, -1.429683490360073587e-09, -2.937642371843874106e-10, -3.835896265710488866e-10, -9.008546079288938164e-10
1.911000000000000000e+03, 4.763477112156041018e-10, -3.571222896049339065e-10, -3.861201301888896568e-10, 7.489216658636815164e-10, -1.528953886422747155e-09, 3.719573977294557282e-11, -8.638636367866895352e-11, -5.830184245868401722e-10
1.912000000000000000e+03, 8.003701831575836001e-10, -2.647434021391131619e-10, 2.588618507166977107e-10, 6.106443735228146804e-10, -1.368936169806483504e-09, -2.786949723970504133e-10, 3.148129197293629457e-10, 3.504344063159210289e-10
1.913000000000000000e+03, 4.169857824068501615e-10, -4.258801014031637017e-10, -5.489699241301618843e-10, -1.519116318359130885e-09, -9.810207844432730387e-11, -1.213045378394923291e-10, -6.862730383814053886e-10, 4.215419757480332657e-10
1.914000000000000000e+03, 9.323795759238702807e-10, 4.004231685639403267e-10, 1.280656497096743388e-12, -2.517691679877885246e-10, 8.447089490884440162e-10, -9.752085710251823190e-11, 3.016760577138691511e-10, 4.034034144997359882e-10
1.915000000000000000e+03, 9.767074237230128776e-10, -5.629918433292621348e-10, 3.971115332608129023e-10, 1.926444281683417865e-09, -9.326718627315950829e-10, -1.055280009996026941e-10, -3.169692459036807464e-10, -3.006683880647650033e-12
1.916000000000000000e+03, 2.932757455970286838e-10, 1.564656549024759836e-10, -4.437585354103304540e-10, 1.003722999246086340e-09, -1.208375310844116838e-09, -5.913218342940861196e-10, -2.503462750346149966e-10, -2.309978355518453783e-10
1.917000000000000000e+03, 1.727866097128977067e-10, 4.322828906429493245e-10, -3.819678351743025659e-10, 1.087049451838335411e-09, -6.964468239597529957e-10, 1.964972046107960401e-10, -9.935066781262453626e-10, -6.246744975975314198e-10
1.918000000000000000e+03, -4.815170793479778058e-10, -3.364934850614458272e-10, -2.002240371995224958e-11, 2.890054667900951319e-10, -5.822461911340517115e-10, -1.438844565375604708e-10, 4.458060581618609143e-10, 3.031709016975091640e-10
1.919000000000000000e+03, 8.221860122174459613e-10, -2.085766454362296586e-10, -1.009094592229143780e-10, -3.500826176106530587e-10, -4.523089256397218205e-10, -4.781696745071600151e-10, -7.253822850909264597e-10, 3.800868414630469261e-10
1.920000000000000000e+03, 7.004685448245964473e-10, -1.795223961852621209e-10, 1.051442848488560172e-10, -1.141347255621154238e-10, -2.496588294639830893e-10, -5.890620579268278275e-10, -4.536118934791245936e-10, 4.531105492099264195e-10
1.921000000000000000e+03, 9.493621300605393008e-11, -2.276891364990315073e-10, -5.553266486894115752e-10, -8.058926628118665466e-10, -6.799890645007348937e-10, -5.050076507846780791e-10, 3.679400873308990539e-10, -9.159481402070793026e-10
1.922000000000000000e+03, 1.250375494183147895e-10, -4.011036131980206035e-11, -1.028828702817683691e-09, 6.580738903810451358e-10, -3.320463276003653225e-10, -1.766233793167890286e-10, -4.529485189015433817e-10, -6.889562757535799621e-10
1.923000000000000000e+03, 8.077582090876132170e-11, 2.677785626721425271e-10, 1.386555585592403951e-10, -3.435725202976811995e-10, -5.945576993833841094e-11, 8.796536478378129590e-11, 5.218830687344039305e-10, 8.361955069898251513e-10
