year, CanESM5, CESM2-WACCM, CNRM-ESM2-1, MIROC-ES2L, GFDL-ESM4, NorESM2-LM, IPSL-CM6A-LR, ACCESS-ESM1-5, MPI-ESM1-2-LR, EC-Earth3-Veg, NorESM2-MM, CMCC-CM2-SR5, TaiESM1
1.872000000000000000e+03, 7.439412344684036782e+00, 1.599034679536287973e+00, 1.476791800035662128e+01, 1.762403277027815918e+01, 5.560612005567628913e+00, 1.434560960873160207e+00, 4.735920887699732518e+00, 3.015725953935483705e+00, 1.098642900204290740e+01, 1.984110989547961834e+00, 1.478425181240569097e+00, 3.001695111078511058e+00, 3.041073996273339075e-01
1.873000000000000000e+03, 7.460768103649474625e+00, 1.579545749166605617e+00, 1.488158539335666219e+01, 1.755384159757079132e+01, 5.565730184406307401e+00, 1.460358076836202335e+00, 4.767046072807844759e+00, 3.009254836304527725e+00, 1.094201789571202177e+01, 1.949192326660512675e+00, 1.498763541131769683e+00, 2.353052313978855281e+00, 2.587780798223707768e-01
1.874000000000000000e+03, 7.512113441030682459e+00, 1.589931929958412038e+00, 1.491724178323066141e+01, 1.750960621154328933e+01, 5.551910878769575675e+00, 1.417313339688931473e+00, 4.789484348222744714e+00, 3.034422128690271503e+00, 1.094459940763060146e+01, 1.988060216041048545e+00, 1.510878629642593562e+00, 2.248801802555881135e+00, 3.802647184619445953e-01
1.875000000000000000e+03, 7.543398727776402524e+00, 1.573706840814245833e+00, 1.499757886434916898e+01, 1.747323802249506386e+01, 5.567627048201319262e+00, 1.414855649453681918e+00, 4.832854359458557347e+00, 3.073969684080637421e+00, 1.097820612955530706e+01, 2.041280339588751769e+00, 1.519009852596445498e+00, 2.493552927738531100e+00, 3.806467833750068475e-01
1.876000000000000000e+03, 7.700623648615266603e+00, 1.570814096867771514e+00, 1.489218437616583302e+01, 1.744205270724567569e+01, 5.549055829333900292e+00, 1.443460047362296939e+00, 4.835610911143317203e+00, 3.096799234702461323e+00, 1.096190612703322032e+01, 2.056234777419428283e+00, 1.556563775656654824e+00, 2.473523723776310579e+00, 3.215892607986678975e-01
1.877000000000000000e+03, 7.688641439810813161e+00, 1.596888016573548841e+00, 1.488216836542750876e+01, 1.745706183441268067e+01, 5.531023263967249193e+00, 1.455074080278645043e+00, 4.832454104916521054e+00, 3.102035996695072129e+00, 1.097331103118754037e+01, 2.065182445393825894e+00, 1.607973032017200321e+00, 2.678468680556812309e+00, 2.774714841260788600e-01
1.878000000000000000e+03, 7.661073110069142267e+00, 1.549003575742003092e+00, 1.484996973057910274e+01, 1.750584692097377371e+01, 5.516261929900251992e+00, 1.408861975389447130e+00, 4.822551689748696191e+00, 3.120134996696012575e+00, 1.092736966202840598e+01, 2.038979020863154634e+00, 1.615726651569264316e+00, 2.555730503947052590e+00, 3.687228044093692758e-01
1.879000000000000000e+03, 7.689973669939037748e+00, 1.543825304601645465e+00, 1.495719668144943348e+01, 1.747580698465258209e+01, 5.476053048567868231e+00, 1.421623903194157101e+00, 4.828645186401723244e+00, 3.122538154323013071e+00, 1.093324835667825390e+01, 2.042109714958256106e+00, 1.573952124785078510e+00, 2.513172139236322877e+00, 3.610034963642309580e-01
1.880000000000000000e+03, 7.532087207824064379e+00, 1.602840963394869034e+00, 1.504522454654450492e+01, 1.748431787026322581e+01, 5.441625115828163217e+00, 1.419484244435903708e+00, 4.862103791286881638e+00, 3.130064759107941352e+00, 1.097357479439535055e+01, 2.059201890563989057e+00, 1.611521919897554112e+00, 2.380805455469706899e+00, 3.735390929776072344e-01
1.881000000000000000e+03, 7.395252977486581614e+00, 1.617129202142055355e+00, 1.495715234001337812e+01, 1.745439995564476732e+01, 5.385882805230683523e+00, 1.414399699819867129e+00, 4.904452927713103705e+00, 3.137972053383232041e+00, 1.095843187853954070e+01, 2.069221255806104054e+00, 1.605332298050499817e+00, 2.425602073327642660e+00, 4.167267458422292403e-01
