year, IPSL-CM6A-LR, MIROC-ES2L, MPI-ESM1-2-LR, CanESM5, CMCC-CM2-SR5, CESM2-WACCM, NorESM2-MM, ACCESS-ESM1-5, TaiESM1, GFDL-ESM4, EC-Earth3-Veg, CNRM-ESM2-1, UKESM1-0-LL, NorESM2-LM
1.870000000000000000e+03, 2.828026064006099105e+01, 6.199390392839168129e+01, 3.537904843853957715e+01, 7.853779402503273843e+01, 1.829480794861475772e+02, 3.827393211576291776e+01, 3.720152325036742980e+01, 5.001636066279054660e+01, 1.482081088135551106e+01, 1.431545248152192151e+01, 5.966698592597266071e+01, 8.761746215190663634e+01, 1.042591174779593644e+02, 3.658431432934462180e+01
1.871000000000000000e+03, 2.826760603918712178e+01, 6.195067285340975616e+01, 3.531915598278349933e+01, 7.851493364865373792e+01, 1.829254376401214017e+02, 3.827474123146763674e+01, 3.718133864271762690e+01, 4.998801297003061705e+01, 1.477410775327050629e+01, 1.427193699206312161e+01, 5.965769282407725171e+01, 8.763575193164439270e+01, 1.042090977635029532e+02, 3.659574672768553683e+01
1.872000000000000000e+03, 2.824932327156768608e+01, 6.191792482893180960e+01, 3.529503987790597819e+01, 7.852100193499640568e+01, 1.830254417859030980e+02, 3.828299773578227416e+01, 3.715029565501416897e+01, 4.998125280247657543e+01, 1.473767127295401558e+01, 1.424534921328145032e+01, 5.961769387789203734e+01, 8.763238661364954396e+01, 1.042302888069413882e+02, 3.659368833823127432e+01
1.873000000000000000e+03, 2.824656033938575561e+01, 6.189143384426437677e+01, 3.523061776753378638e+01, 7.850114044112535794e+01, 1.830481260166393724e+02, 3.828654733107084951e+01, 3.712200822936360822e+01, 4.997330737054684136e+01, 1.468852817747714035e+01, 1.420599403942078887e+01, 5.957531800248217735e+01, 8.766931905406300984e+01, 1.041370239574711860e+02, 3.660323277545482057e+01
1.874000000000000000e+03, 2.824624349716905769e+01, 6.187915814022684202e+01, 3.520828968485734123e+01, 7.847899220336967119e+01, 1.829039421862436257e+02, 3.828520337928407002e+01, 3.709502225530270181e+01, 4.997139184542616874e+01, 1.463775840526040817e+01, 1.417984669369672268e+01, 5.955159203806411483e+01, 8.770136467405507119e+01, 1.041376626863236226e+02, 3.660647502368271233e+01
1.875000000000000000e+03, 2.825622782577783809e+01, 6.188553851357542612e+01, 3.525074882756000960e+01, 7.846189036070987299e+01, 1.828464236040028652e+02, 3.828296243871510995e+01, 3.707816750754999191e+01, 4.998826727825379379e+01, 1.471800069848141312e+01, 1.414171220072334734e+01, 5.954013562485756950e+01, 8.771311999261399706e+01, 1.041046142143782021e+02, 3.659938095963347848e+01
1.876000000000000000e+03, 2.826323073533470520e+01, 6.187372160256670384e+01, 3.523496033951082040e+01, 7.843515857112110723e+01, 1.828112144168131010e+02, 3.828415595962986373e+01, 3.706686268131650763e+01, 5.001359102781239585e+01, 1.471598967638780664e+01, 1.413324107865697954e+01, 5.954054921019560709e+01, 8.773680519497212060e+01, 1.040977452130560579e+02, 3.660180885086250413e+01
1.877000000000000000e+03, 2.826202858258701767e+01, 6.182057356834064166e+01, 3.525536411561084549e+01, 7.842165537073934445e+01, 1.827914233207836787e+02, 3.829412644861920967e+01, 3.708226355115358785e+01, 5.002963813511202318e+01, 1.467726668341463636e+01, 1.412940562097375086e+01, 5.953533226649241783e+01, 8.772031140608321209e+01, 1.039945842188111271e+02, 3.661495150847424895e+01
1.878000000000000000e+03, 2.825500762757433293e+01, 6.175272482161052778e+01, 3.520536549497767709e+01, 7.841146599273416484e+01, 1.827812638387232766e+02, 3.829574923043384871e+01, 3.710265533066526444e+01, 5.004399105188561947e+01, 1.466863402026330476e+01, 1.410629642779973736e+01, 5.953316645574948751e+01, 8.770280864633845397e+01, 1.039186498245921797e+02, 3.660928263307843622e+01
1.879000000000000000e+03, 2.825590201718041428e+01, 6.172322851215042050e+01, 3.519844808430119798e+01, 7.838926960614477935e+01, 1.827753103170698523e+02, 3.828339665441639994e+01, 3.711055383818001019e+01, 5.005765190538069476e+01, 1.471609611697229347e+01, 1.409402142629121890e+01, 5.952355894801978309e+01, 8.771007852139759109e+01, 1.039011190840994772e+02, 3.660274594991164321e+01
