year, NorESM2-MM, INM-CM5-0, NorESM2-LM, ACCESS-ESM1-5, GFDL-ESM4, CMCC-CM2-SR5, CNRM-ESM2-1, CESM2-WACCM, MPI-ESM1-2-LR, MIROC-ES2L, TaiESM1, EC-Earth3-Veg, CanESM5, INM-CM4-8, UKESM1-0-LL, IPSL-CM6A-LR
1.921000000000000000e+03, 1.093283318545529426e+01, 2.121021188464196072e+01, 1.051097859713781091e+01, 3.198522182880230957e+01, 9.325766359720830678e+00, 7.215487874792392731e+00, 1.734399350022754760e+01, 1.203844727578775142e+01, 4.423623840513536187e+00, 1.872999572250861178e+01, 4.528640859068247870e+00, 1.020331115889235285e+01, 2.307395906756818604e+01, 2.041975474329644058e+01, 1.176241200325062586e+01, 6.664645968232186135e+00
1.922000000000000000e+03, 1.099532313521554805e+01, 2.131826196387680739e+01, 1.047484967661725719e+01, 3.206186157289713634e+01, 9.326260655750846951e+00, 7.674343390153050670e+00, 1.730256895527134375e+01, 1.204521372601033491e+01, 4.323597548448934624e+00, 1.857359467081068871e+01, 4.458118651951146205e+00, 1.019218014670897610e+01, 2.306164637434008924e+01, 2.042686430925712315e+01, 1.172452108643275359e+01, 6.664863619333399214e+00
1.923000000000000000e+03, 1.090510644763434556e+01, 2.134932866948359020e+01, 1.045661551045820126e+01, 3.206192516333602072e+01, 9.338903200357322021e+00, 7.911775579576892703e+00, 1.726403473576236536e+01, 1.210827381147601933e+01, 4.401223843072103570e+00, 1.857317241649237616e+01, 4.214614481627124043e+00, 1.030676402639108780e+01, 2.298702420950568737e+01, 2.044104013256004038e+01, 1.171088940814153645e+01, 6.622097276623942541e+00
1.924000000000000000e+03, 1.083815518248920995e+01, 2.142583937101667502e+01, 1.034000301208150496e+01, 3.212334417651414498e+01, 9.310130491446814816e+00, 7.824052864722582434e+00, 1.719808407293589880e+01, 1.213196126010558906e+01, 4.326358791956495864e+00, 1.855146986953080912e+01, 4.695562906066684583e+00, 1.034286220939028667e+01, 2.297365859454487946e+01, 2.036809052995068470e+01, 1.168562340476680816e+01, 6.607177657363368262e+00
1.925000000000000000e+03, 1.083290240258668469e+01, 2.155242526917185586e+01, 1.041665055841884424e+01, 3.213037300823133080e+01, 9.238220833400799137e+00, 7.539589639556603551e+00, 1.717031401498946508e+01, 1.209161403515402178e+01, 4.303308087881119626e+00, 1.858730741591952196e+01, 4.722768408326078138e+00, 1.040612088895942122e+01, 2.304569373214995309e+01, 2.044818153306489350e+01, 1.165191008862891842e+01, 6.561463896360631765e+00
1.926000000000000000e+03, 1.081453432775439261e+01, 2.146359599392913253e+01, 1.049077128619242139e+01, 3.214535061396395577e+01, 9.150390594302130864e+00, 7.440758484845692244e+00, 1.716754908540356439e+01, 1.206922249570676797e+01, 4.260716904226329760e+00, 1.862477297725655490e+01, 4.452603443373680747e+00, 1.024278111861798024e+01, 2.316242338214579277e+01, 2.056008229028435963e+01, 1.160604050833105916e+01, 6.570510007259979801e+00
1.927000000000000000e+03, 1.085183807565537784e+01, 2.143758982777522704e+01, 1.046960833300613913e+01, 3.218840965448490010e+01, 9.119723187103003781e+00, 7.213557758421468513e+00, 1.726543887623741824e+01, 1.213752961146882470e+01, 4.251271561897052464e+00, 1.865551534288056601e+01, 4.537228311397145220e+00, 1.034255938669726937e+01, 2.310504710893791369e+01, 2.065171019682424713e+01, 1.154605878003787822e+01, 6.563864095599808657e+00
1.928000000000000000e+03, 1.076075784089384513e+01, 2.149194874320910031e+01, 1.029455938352175615e+01, 3.211269522502018248e+01, 9.113912424120306000e+00, 7.512439945074964598e+00, 1.728198824968785274e+01, 1.211201013493525380e+01, 4.211692004782019438e+00, 1.863841454172687406e+01, 4.640718934098898352e+00, 1.034807523650534478e+01, 2.300968264765535665e+01, 2.072166385445004266e+01, 1.148229561797752929e+01, 6.582608432293630685e+00
1.929000000000000000e+03, 1.073225956647172197e+01, 2.157264141652874301e+01, 1.026067316443201527e+01, 3.219156544925068886e+01, 9.102250667036877019e+00, 7.479665071992785741e+00, 1.721894937519292768e+01, 1.212125536428048456e+01, 4.254121680508003323e+00, 1.869977812490338209e+01, 4.653141053418227813e+00, 1.041887818012570932e+01, 2.302121939886415447e+01, 2.061029511916733270e+01, 1.144105107738366911e+01, 6.658402474599135701e+00
1.930000000000000000e+03, 1.081545957812428327e+01, 2.163197299496354375e+01, 1.037135980127751012e+01, 3.229129871572954613e+01, 9.045333311205672189e+00, 7.661896960067685391e+00, 1.721050641022461392e+01, 1.208261024816970952e+01, 4.321806719681628550e+00, 1.878437438062075771e+01, 4.433285317988992169e+00, 1.040237046830176126e+01, 2.297718808102332488e+01, 2.052762694752268402e+01, 1.144116540522052539e+01, 6.660052247253698710e+00
