year, CESM2-WACCM, CNRM-ESM2-1, IPSL-CM6A-LR, UKESM1-0-LL
1.909000000000000000e+03, 3.873456453511855248e-10, 3.852056727378109233e-10, -2.466919030916705975e-09, 9.078658137547905941e-10
1.910000000000000000e+03, 3.858045646808320183e-10, 3.844531535293847405e-10, -2.441240332020359861e-09, 1.002284381689203982e-09
1.911000000000000000e+03, 3.321795531786372311e-10, 2.315967368216189699e-10, -2.527013105844879404e-09, 1.155438037435253976e-09
1.912000000000000000e+03, 3.279932149071179805e-10, 2.249485321096450796e-10, -2.504050970467416428e-09, 1.018063042045245832e-09
1.913000000000000000e+03, 3.240965640217924912e-10, 2.195101028922857180e-10, -2.681062285861896957e-09, 1.093984159976927971e-09
1.914000000000000000e+03, 3.211672963671499349e-10, 2.132940259632278977e-10, -2.722369270259254362e-09, 1.170479406205604794e-09
1.915000000000000000e+03, 3.183997011270513319e-10, 2.059415410129438962e-10, -2.461004743284563505e-09, 1.119764327494099889e-09
1.916000000000000000e+03, 3.169589294048135635e-10, 1.986467919848583716e-10, -2.435680155392435966e-09, 1.344881342911098576e-09
1.917000000000000000e+03, 3.160254833376159931e-10, 1.908636648591005779e-10, -1.994001829049507463e-09, 1.250902872985139173e-09
1.918000000000000000e+03, 3.158225748192078847e-10, 1.827226492566514880e-10, -2.467064169889384160e-09, 1.263548356031494697e-09
1.919000000000000000e+03, 3.161597717361297153e-10, 1.752455782373939686e-10, -2.393707926627171549e-09, 1.305875679459868049e-09
1.920000000000000000e+03, 3.138898622742826729e-10, 1.683461456289323385e-10, -2.566207649386189849e-09, 1.251978999703010463e-09
1.921000000000000000e+03, 3.253553914222885079e-10, 2.561051445256212667e-10, -2.722194996646299632e-09, 1.125948055913643057e-09
1.922000000000000000e+03, 3.245999870212369005e-10, 2.609849271848442295e-10, -2.597649545080481736e-09, 1.161628587268575765e-09
1.923000000000000000e+03, 3.228570371473021772e-10, 2.660242910934077726e-10, -2.416317283952869570e-09, 1.276204739237371135e-09
1.924000000000000000e+03, 3.211271167112524092e-10, 2.685185477202771232e-10, -2.523212393564940521e-09, 1.160203869513719810e-09
1.925000000000000000e+03, 3.198720028022338874e-10, 2.730408344361886461e-10, -2.421932624732308368e-09, 1.120896745514517097e-09
1.926000000000000000e+03, 3.168846746302414122e-10, 2.775730319765622476e-10, -2.515595595563999659e-09, 1.110520281939138224e-09
1.927000000000000000e+03, 3.149441784648698383e-10, 2.831887645102390363e-10, -2.506617070474956511e-09, 1.029583068312873843e-09
1.928000000000000000e+03, 3.141206544931119602e-10, 2.824046788035443412e-10, -2.710756407559218509e-09, 9.607849860215085430e-10
1.929000000000000000e+03, 3.126842661225275437e-10, 2.881204571455242129e-10, -2.859157212563210268e-09, 1.075567040570565081e-09
1.930000000000000000e+03, 3.135578280302272611e-10, 2.898719109535659848e-10, -2.747840230067725295e-09, 1.223310805808569830e-09
1.931000000000000000e+03, 3.028223156669770468e-10, 2.443188246213228448e-10, -2.535319923231477785e-09, 1.094197467115330973e-09
1.932000000000000000e+03, 3.014423739201171346e-10, 2.407068718086577623e-10, -2.580994316292305602e-09, 1.174535220364207175e-09
1.933000000000000000e+03, 2.984253102066155685e-10, 2.372290237999890429e-10, -2.803437240793182350e-09, 1.299126229900431647e-09
1.934000000000000000e+03, 2.972763781663207369e-10, 2.333619066748075954e-10, -2.550376771113841626e-09, 1.383562114831542124e-09
1.935000000000000000e+03, 2.958072155027578291e-10, 2.301450889433947158e-10, -2.798046916601868218e-09, 1.210418355875581283e-09
1.936000000000000000e+03, 2.941380459606138998e-10, 2.273073638614971286e-10, -2.783560442801734920e-09, 1.167609235793180871e-09
1.937000000000000000e+03, 2.928735577906601206e-10, 2.243204474207032713e-10, -2.710715144933520431e-09, 1.224103001148786643e-09
1.938000000000000000e+03, 2.923230871479464839e-10, 2.198190077426778302e-10, -2.410343257537144397e-09, 1.134750133219584635e-09
1.939000000000000000e+03, 2.898711024943567183e-10, 2.141530762296169340e-10, -2.696618766139170722e-09, 1.099766298367232405e-09
1.940000000000000000e+03, 2.896524598753766857e-10, 2.098718906514593137e-10, -2.878880328957579869e-09, 1.224514378307077904e-09
1.941000000000000000e+03, 2.995323254155564788e-10, 2.159493230313324302e-10, -2.396252557985517528e-09, 1.209179510876860092e-09
1.942000000000000000e+03, 2.996296350323918301e-10, 2.155096919486620603e-10, -2.739002186460859967e-09, 1.349816015325375557e-09
1.943000000000000000e+03, 3.008375903391084661e-10, 2.148510372857539475e-10, -2.626913709328485849e-09, 1.216091335947940025e-09
1.944000000000000000e+03, 3.030228080270427280e-10, 2.144120478869127577e-10, -2.776910558534361781e-09, 1.397297366319626740e-09
1.945000000000000000e+03, 3.051895772798319084e-10, 2.182227353755951146e-10, -2.897511033194953366e-09, 1.381858390892090185e-09
1.946000000000000000e+03, 3.055989288085831738e-10, 2.182140264576963514e-10, -2.732194694148598484e-09, 1.221636221021216967e-09
1.947000000000000000e+03, 3.046142843717239166e-10, 2.186816552349634126e-10, -2.641053656077673175e-09, 1.159432794848107035e-09
1.948000000000000000e+03, 3.064367023918927382e-10, 2.194897830305558130e-10, -2.722737940311361509e-09, 1.311495801753952091e-09
1.949000000000000000e+03, 3.084966016660340582e-10, 2.153295263058733918e-10, -2.731999675010347591e-09, 1.343985424130358157e-09
1.950000000000000000e+03, 3.054201805480234838e-10, 2.131255204027039281e-10, -2.638437498368922120e-09, 1.068027414563234001e-09
1.951000000000000000e+03, 3.149244595005546009e-10, 2.460563423125233591e-10, -2.576618940548701547e-09, 1.108643574258639905e-09
1.952000000000000000e+03, 3.194861223242755545e-10, 2.512709439590838510e-10, -2.733616736565250660e-09, 1.243897137629317626e-09
1.953000000000000000e+03, 3.181168050491373910e-10, 2.519838519047980442e-10, -2.626087521366524387e-09, 1.224238891425955897e-09
1.954000000000000000e+03, 3.171759094637927966e-10, 2.525781787836321804e-10, -3.009515286054217445e-09, 1.230735336064269843e-09
1.955000000000000000e+03, 3.177082280149952001e-10, 2.555196272114735167e-10, -2.916863845537919959e-09, 1.255482526143514817e-09
1.956000000000000000e+03, 3.192511714174650206e-10, 2.538231574531830887e-10, -2.859102509576844586e-09, 1.256107991660795303e-09
1.957000000000000000e+03, 3.210468189760904975e-10, 2.537048533605968158e-10, -2.877491181263746730e-09, 1.340639868236346786e-09
1.958000000000000000e+03, 3.206150374925143208e-10, 2.536427808043408551e-10, -3.110679252032552362e-09, 1.358771938587022083e-09
1.959000000000000000e+03, 3.233602437652252241e-10, 2.522627458284915302e-10, -2.959831199701786576e-09, 1.116883543347577218e-09
1.960000000000000000e+03, 3.226393531807830288e-10, 2.529261355674928145e-10, -2.740311645243199174e-09, 1.151317092834097354e-09
1.961000000000000000e+03, 2.690564134979137344e-10, 1.103221817665811013e-10, -2.905290469228162557e-09, 1.174707446635220123e-09
1.962000000000000000e+03, 2.646765708264009251e-10, 1.019023722071162196e-10, -3.118038053951563710e-09, 1.400530993866171859e-09
1.963000000000000000e+03, 2.611245325068724246e-10, 9.396688645789957854e-11, -3.219302105276282882e-09, 1.328479892176770319e-09
1.964000000000000000e+03, 2.572548947618561543e-10, 8.572722949797744419e-11, -3.123681065270466760e-09, 1.312034710169888380e-09
1.965000000000000000e+03, 2.544792318073728536e-10, 7.717292933850215359e-11, -3.027203002570643432e-09, 1.264793687455373058e-09
1.966000000000000000e+03, 2.524155906033626960e-10, 6.927831359582311387e-11, -2.434417675047210960e-09, 1.380317179168519803e-09
1.967000000000000000e+03, 2.508196824999282425e-10, 6.164760856161239367e-11, -2.869518347302077355e-09, 1.157421250082573621e-09
1.968000000000000000e+03, 2.506645747459186549e-10, 5.361575294189879069e-11, -2.897432748448273732e-09, 1.203287860648242285e-09
1.969000000000000000e+03, 2.491098889015395676e-10, 4.590471048409201756e-11, -2.697355432054668242e-09, 1.173292501059717584e-09
1.970000000000000000e+03, 2.491768315071374013e-10, 3.724094712937106340e-11, -3.047823148447877159e-09, 1.198579719203886849e-09
1.971000000000000000e+03, 2.511576600541431667e-10, 3.141766603204817889e-11, -2.910398578486199180e-09, 1.243016182963308842e-09
1.972000000000000000e+03, 2.528696777728782370e-10, 3.075480023256303341e-11, -2.843639888025981487e-09, 1.104807511241094869e-09
1.973000000000000000e+03, 2.524143880201982356e-10, 3.003639062769030818e-11, -3.040991862594417120e-09, 1.209263005746469566e-09
1.974000000000000000e+03, 2.527617434605562703e-10, 2.900668391442759739e-11, -2.746417543791575810e-09, 1.103873240551550997e-09
1.975000000000000000e+03, 2.535192861746913256e-10, 2.791455044108705003e-11, -2.560802706716470538e-09, 1.130790714578348985e-09
1.976000000000000000e+03, 2.508891540297814636e-10, 2.737818882285530547e-11, -2.838468312519062068e-09, 1.255694062694387739e-09
1.977000000000000000e+03, 2.492229723884505586e-10, 2.652252414227158119e-11, -2.714185548654006682e-09, 1.212948612751662470e-09
1.978000000000000000e+03, 2.475033087152163351e-10, 2.572461514915514439e-11, -2.822610155587111296e-09, 1.173316414789494003e-09
1.979000000000000000e+03, 2.466875644629020768e-10, 2.468745737946276623e-11, -2.755012389717020353e-09, 1.103312308849103227e-09
1.980000000000000000e+03, 2.478930956432431928e-10, 2.417004407363459239e-11, -2.961993283670311795e-09, 1.058809657188597479e-09
1.981000000000000000e+03, 2.491396889600539490e-10, 2.010661337882944195e-11, -3.097416093040261392e-09, 9.999622288385976150e-10
1.982000000000000000e+03, 2.503319472227626043e-10, 1.932376095882752507e-11, -2.861953015485392806e-09, 1.142623108924852073e-09
1.983000000000000000e+03, 2.512217191968069503e-10, 1.872269109178920520e-11, -2.683233067893733746e-09, 1.073861685066368641e-09
1.984000000000000000e+03, 2.525865752139801447e-10, 1.765847754467112993e-11, -2.843400360243620277e-09, 1.233016924427142891e-09
1.985000000000000000e+03, 2.546098815310128749e-10, 1.716529437831082833e-11, -2.704180267594182645e-09, 1.076934635366521239e-09
1.986000000000000000e+03, 2.557230753766277096e-10, 1.654729290407758514e-11, -2.908254754408964509e-09, 1.189176139718794359e-09
1.987000000000000000e+03, 2.567323357844971742e-10, 1.567641427406593526e-11, -3.072482106148402029e-09, 1.096142509763739138e-09
1.988000000000000000e+03, 2.573570111447882375e-10, 1.463687809665558746e-11, -2.958335289423401605e-09, 9.986642807209716375e-10
1.989000000000000000e+03, 2.606995078407966727e-10, 1.381806296562254530e-11, -3.067106750547825556e-09, 1.179371536152649244e-09
1.990000000000000000e+03, 2.651941717669077366e-10, 1.315263538176900125e-11, -3.416100752877531449e-09, 1.229356161960192478e-09
1.991000000000000000e+03, 2.743387572222811432e-10, 1.914686663630272478e-11, -3.048184685556604662e-09, 1.188113417006094715e-09
1.992000000000000000e+03, 2.706174530088297797e-10, 1.889678525327998558e-11, -2.960268395227265536e-09, 1.002721583929496100e-09
1.993000000000000000e+03, 2.668776696517838707e-10, 1.843179095142336408e-11, -3.059721129730699901e-09, 1.028396275547569099e-09
1.994000000000000000e+03, 2.636400818580440348e-10, 1.824848051740290437e-11, -2.945312918946684148e-09, 1.193066603466596124e-09
1.995000000000000000e+03, 2.636996526665414759e-10, 1.721749327960597859e-11, -3.085090668022928766e-09, 1.121399364025339122e-09
1.996000000000000000e+03, 2.661028655896949231e-10, 1.738995001751207377e-11, -3.120285766722861541e-09, 1.132819566286416036e-09
1.997000000000000000e+03, 2.657924997627765842e-10, 1.866350477449378619e-11, -3.109201455254101555e-09, 1.017151422320918527e-09
1.998000000000000000e+03, 2.683122478304624906e-10, 1.912983323985105141e-11, -3.035432843665944913e-09, 1.121395739922996848e-09
1.999000000000000000e+03, 2.699653007923479339e-10, 1.959852510356655450e-11, -3.192445739013237346e-09, 1.177805640071690405e-09
2.000000000000000000e+03, 2.724328397639144793e-10, 1.938127019768730801e-11, -3.126388369476401675e-09, 1.161037636712233743e-09
2.001000000000000000e+03, 2.925878370911920934e-10, 3.074095073154153877e-11, -2.784385211297265391e-09, 1.211425435448441551e-09
2.002000000000000000e+03, 2.880476468060805289e-10, 6.560436978063884960e-11, -2.711990179056506869e-09, 1.352194458015286698e-09
2.003000000000000000e+03, 2.970234802619430436e-10, 6.494562123653978426e-11, -2.681334128463895697e-09, 1.212956675365967339e-09
2.004000000000000000e+03, 3.294223156324391451e-10, 1.882829859629809015e-10, -2.929133037198575936e-09, 1.086716892353646840e-09
2.005000000000000000e+03, 4.492710207201034626e-10, 4.060203162808109760e-10, -3.312999273445764244e-09, 1.236505658488123122e-09
2.006000000000000000e+03, 3.968487550065233177e-10, 3.184470163332254761e-10, -2.983330204189615144e-09, 1.057326250949718065e-09
2.007000000000000000e+03, 3.294466234257779395e-10, 1.514044007835203612e-10, -2.832176801921489948e-09, 1.166521594683861488e-09
2.008000000000000000e+03, 3.494715366133281006e-10, 2.849153199534618588e-10, -2.983922332222194668e-09, 1.281143884658870944e-09
2.009000000000000000e+03, 3.316841903267828585e-10, 8.973838687460523319e-11, -2.809727755785929946e-09, 1.417159842665381494e-09
2.010000000000000000e+03, 4.078775019471570241e-10, 3.063997869581300913e-10, -2.902256983443779180e-09, 1.303631259076085168e-09
2.011000000000000000e+03, 3.385311131929263158e-10, 1.819770870561164044e-10, -2.823647686036361552e-09, 1.133099392661922340e-09
2.012000000000000000e+03, 3.454310482401220020e-10, 1.683370216422601374e-10, -3.156025054969254011e-09, 1.005785420345569348e-09
2.013000000000000000e+03, 3.619506927987499367e-10, 1.933212360072829380e-10, -2.881665145546733939e-09, 1.151221504528734593e-09
2.014000000000000000e+03, 3.475746753924515108e-10, 1.528465960817312545e-10, -3.117446966148571142e-09, 1.139176141310404388e-09
