year, MPI-ESM1-2-LR, EC-Earth3-Veg, NorESM2-LM, TaiESM1, IPSL-CM6A-LR, CESM2-WACCM, NorESM2-MM, UKESM1-0-LL
1.889000000000000000e+03, 1.227524350151975885e-09, 8.000124004434986251e-10, 2.647424147396795015e-10, 4.071599007258767204e-11, 1.865064744644275643e-09, 2.676474068876781369e-10, 2.970862548894437648e-10, 8.576610460488692723e-10
1.890000000000000000e+03, 1.182586250026891633e-09, 7.753316415353089610e-10, 2.638962388437620175e-10, 4.027819402176187462e-11, 1.964214141438381078e-09, 2.472243693330420259e-10, 2.944317312563709651e-10, 1.031426402288771237e-09
1.891000000000000000e+03, 1.192486138783079443e-09, 8.288715764760933996e-10, 2.592001036564597449e-10, 3.985321647750478658e-11, 1.974229330204403184e-09, 2.691840138366090800e-10, 2.858691754135080658e-10, 9.239831225008630087e-10
1.892000000000000000e+03, 1.214540991803303460e-09, 8.020113284366761374e-10, 2.596932041233001868e-10, 3.950736531076304353e-11, 2.346034850334246634e-09, 2.965364249448026921e-10, 2.842048180483894850e-10, 9.925987876663796162e-10
1.893000000000000000e+03, 1.230574829740207416e-09, 8.234504315587287418e-10, 2.595222325612961178e-10, 3.942715766048839051e-11, 2.209445134481440056e-09, 2.811230046617030372e-10, 2.832428445769043061e-10, 1.039957916723855266e-09
1.894000000000000000e+03, 1.292118724632552194e-09, 7.780273351570906652e-10, 2.593780532063515977e-10, 3.891168138758765655e-11, 2.264239818539423674e-09, 2.618628016092104778e-10, 2.816205577377719890e-10, 1.037515273357339342e-09
1.895000000000000000e+03, 1.296172622260686444e-09, 8.855696108179423422e-10, 2.596987096752224579e-10, 3.860978603249904953e-11, 2.237813813712159904e-09, 3.140423841682061582e-10, 2.815527916254826902e-10, 1.024669252023997540e-09
1.896000000000000000e+03, 1.246462240021425535e-09, 9.520340056668984706e-10, 2.583248051931367930e-10, 3.853360747270415777e-11, 2.171870171452533291e-09, 2.808587336387419014e-10, 2.802135068401281626e-10, 1.060757159060860626e-09
1.897000000000000000e+03, 1.271488515554689971e-09, 8.171276788225343040e-10, 2.570511136842972816e-10, 3.823604559464525309e-11, 1.922675342867102866e-09, 2.630321115572554025e-10, 2.782185641462905310e-10, 1.064890684938725853e-09
1.898000000000000000e+03, 1.248937141811312242e-09, 8.774204785683103401e-10, 2.563793638698244339e-10, 3.817495608650229023e-11, 1.929577128795783128e-09, 2.528115649197083916e-10, 2.762120932039128503e-10, 1.047790851944553575e-09
1.899000000000000000e+03, 1.337410682504463184e-09, 8.124226577793608876e-10, 2.558986766436017838e-10, 3.820651588352878373e-11, 2.090446210005138679e-09, 2.336267200905286806e-10, 2.730561148349297998e-10, 1.050947169454672064e-09
1.900000000000000000e+03, 1.326829585029918885e-09, 9.483405509432857764e-10, 2.547759008927357195e-10, 3.845692010766836952e-11, 2.122388587633616876e-09, 2.495079711251549580e-10, 2.710388352371553778e-10, 1.329351911778293554e-09
1.901000000000000000e+03, 1.265530012009056184e-09, 9.340985543149157661e-10, 2.538245617162762152e-10, 3.844737116127304664e-11, 1.808511139270598861e-09, 3.096830738393954533e-10, 2.690806618879308279e-10, 9.915508008362132181e-10
1.902000000000000000e+03, 1.262163780712848120e-09, 8.769841195457436908e-10, 2.563435590418227265e-10, 3.756782205958944076e-11, 2.345170106919645938e-09, 3.291103372973182795e-10, 2.696369036655657426e-10, 1.105136971510657326e-09
1.903000000000000000e+03, 1.305056059610998945e-09, 1.034572718413056264e-09, 2.560206099338908352e-10, 3.787008877176550201e-11, 2.318764557585348960e-09, 2.840487503930209931e-10, 2.689356993793428925e-10, 1.179734499291883565e-09
