year, CanESM5, CNRM-ESM2-1, CMCC-CM2-SR5, INM-CM4-8, NorESM2-LM, CESM2-WACCM, NorESM2-MM, MIROC-ES2L, INM-CM5-0, GFDL-ESM4, IPSL-CM6A-LR, TaiESM1, EC-Earth3-Veg, MPI-ESM1-2-LR, UKESM1-0-LL, ACCESS-ESM1-5
1.870000000000000000e+03, 2.821252862165233068e+02, 2.815562162349867776e+02, 2.811757651629993120e+02, 2.815463389476482803e+02, 2.831882554935679082e+02, 2.824504374983689559e+02, 2.814248378771123384e+02, 2.827173162317942001e+02, 2.811975948759775292e+02, 2.799512184100290710e+02, 2.808682308867288953e+02, 2.829228968482328810e+02, 2.790662057364203861e+02, 2.814564944251870884e+02, 2.806623795974497284e+02, 2.821963756485005774e+02
1.871000000000000000e+03, 2.808875311044777163e+02, 2.821479405352837375e+02, 2.810479462333928495e+02, 2.824072627907330002e+02, 2.822628852637249111e+02, 2.829590433875036979e+02, 2.825178869375335466e+02, 2.829151338767068182e+02, 2.812755971930764076e+02, 2.799288290020218142e+02, 2.805614992341977540e+02, 2.819868287505765352e+02, 2.791432941752155443e+02, 2.814081930136856045e+02, 2.799440755637320422e+02, 2.819804491214864584e+02
1.872000000000000000e+03, 2.811952331170249408e+02, 2.819071852951031474e+02, 2.821297115955335357e+02, 2.820866270172038526e+02, 2.825798765362665677e+02, 2.818013868303581262e+02, 2.814596895732651092e+02, 2.833296150814661019e+02, 2.812695581511758860e+02, 2.808578528872822631e+02, 2.816733268637276524e+02, 2.829216487827703759e+02, 2.792193640524652096e+02, 2.808775953976011124e+02, 2.803502281825722093e+02, 2.823385929846836575e+02
1.873000000000000000e+03, 2.807497739389501135e+02, 2.820890923728583175e+02, 2.824367879849125984e+02, 2.824705874181086642e+02, 2.819326905850576850e+02, 2.818863161212742625e+02, 2.819120746651087188e+02, 2.827964164706081078e+02, 2.808886225961877585e+02, 2.807250575549480800e+02, 2.801278200990381606e+02, 2.827662354947128165e+02, 2.790879110697977126e+02, 2.814407517152702098e+02, 2.796730341411104064e+02, 2.823942621946138161e+02
1.874000000000000000e+03, 2.814837560727347636e+02, 2.810124303166787740e+02, 2.814832326703327112e+02, 2.816961847170773012e+02, 2.815409658672464843e+02, 2.812222258026810664e+02, 2.814837139062840947e+02, 2.824039997190837994e+02, 2.800151202672597037e+02, 2.805215656543380760e+02, 2.796318304088672448e+02, 2.829191921174053732e+02, 2.787988667172731425e+02, 2.806454059335212037e+02, 2.795963694644082125e+02, 2.821798759019048362e+02
1.875000000000000000e+03, 2.816421035625502327e+02, 2.819738394093146212e+02, 2.816099203398697455e+02, 2.821542947833606263e+02, 2.819133389164670120e+02, 2.824828612653653863e+02, 2.819783698942146088e+02, 2.823151365596987148e+02, 2.809602748025425853e+02, 2.802696862312286612e+02, 2.805558298974792706e+02, 2.831899274135068367e+02, 2.781748347403572552e+02, 2.809849577381667132e+02, 2.800493474826101306e+02, 2.819253056427626234e+02
1.876000000000000000e+03, 2.813347327174030283e+02, 2.822298578710594370e+02, 2.817415227670147715e+02, 2.820940890443259264e+02, 2.826315311638899743e+02, 2.833332065757072655e+02, 2.812559916383974041e+02, 2.828500306351944573e+02, 2.816836649793681318e+02, 2.796469849280271660e+02, 2.806871345848415444e+02, 2.831413302191797356e+02, 2.785976310485451677e+02, 2.808744257257022809e+02, 2.807006213667432348e+02, 2.823542713787081198e+02
1.877000000000000000e+03, 2.813915317415470554e+02, 2.818067012482682685e+02, 2.812640428501738370e+02, 2.814663857862864802e+02, 2.833703861562767088e+02, 2.820397525922437012e+02, 2.813754073876578445e+02, 2.823508098258623136e+02, 2.805150410338752067e+02, 2.793142633978126241e+02, 2.804850368918937988e+02, 2.833422475729974508e+02, 2.782586760090438247e+02, 2.813466991596524736e+02, 2.795216905492338810e+02, 2.824285012294651551e+02
1.878000000000000000e+03, 2.815417479510273893e+02, 2.818880179780422282e+02, 2.817820799900928819e+02, 2.819183399763813895e+02, 2.832579589086790861e+02, 2.826913642756544505e+02, 2.814881539160750776e+02, 2.827327598768089842e+02, 2.813060006875035128e+02, 2.793412664109911816e+02, 2.801440626652566266e+02, 2.833466674103869991e+02, 2.789468953879076594e+02, 2.812202909183653219e+02, 2.798913148783321390e+02, 2.820735169541809455e+02
1.879000000000000000e+03, 2.807558979118765023e+02, 2.814803186675965776e+02, 2.824150449659376818e+02, 2.811948687451344995e+02, 2.831091882664727564e+02, 2.826478003909904260e+02, 2.817235203514454724e+02, 2.828604618944156073e+02, 2.807030987758719789e+02, 2.801833935459005716e+02, 2.800268307747200538e+02, 2.835196459949790437e+02, 2.788071995827865521e+02, 2.803846301661037614e+02, 2.791576226326308756e+02, 2.820479587942871262e+02
