year, UKESM1-0-LL, EC-Earth3-Veg, ACCESS-ESM1-5, NorESM2-LM, IPSL-CM6A-LR, MPI-ESM1-2-LR, INM-CM5-0, MIROC-ES2L, NorESM2-MM, CNRM-ESM2-1, CESM2-WACCM, TaiESM1, CMCC-ESM2, GFDL-ESM4, INM-CM4-8, CanESM5
1.887000000000000000e+03, 2.132710884973024967e+00, 1.079326599336024373e+00, 1.490424679095182503e+00, 1.030096374055560871e+00, 1.096562928233968837e+00, 1.266950836228166066e+00, 1.405473981046730714e+00, 9.924180557939059621e-01, 1.111064830327760378e+00, 9.325962029351247962e-01, 1.124538485088916850e+00, 1.147427129358338238e+00, 2.010195079485774805e+00, 1.404641228387052410e+00, 1.444759907008928312e+00, 1.451820562497151190e+00
1.888000000000000000e+03, 2.136493736030144142e+00, 1.031250540543071414e+00, 1.501420616779855388e+00, 1.038125044938397856e+00, 1.020119004724474365e+00, 1.291554193343054990e+00, 1.426026533862524870e+00, 1.139971139429951652e+00, 1.112230752777459752e+00, 1.227822711568050895e+00, 1.145114979009788758e+00, 1.294457509107164395e+00, 1.751135732606179607e+00, 1.373943375679908874e+00, 1.452932210559430448e+00, 1.432701641681424887e+00
1.889000000000000000e+03, 2.087345601323536748e+00, 9.971222675860071938e-01, 1.432348826575094325e+00, 1.112226609518621068e+00, 1.046511127753084525e+00, 1.223411249870372641e+00, 1.360353561698568248e+00, 1.043565882571561909e+00, 1.117128121250245743e+00, 1.001925685735706395e+00, 1.200645326585829675e+00, 1.282928613650553551e+00, 1.724738903395336420e+00, 1.329657101839457400e+00, 1.353344051069738763e+00, 1.473528009550615581e+00
1.890000000000000000e+03, 2.094470197752322793e+00, 1.036513338845449939e+00, 1.394444639129634789e+00, 1.096733830894344841e+00, 1.058734879664450013e+00, 1.220916463339949409e+00, 1.404717699858985647e+00, 1.048674809186680879e+00, 1.070711144784898039e+00, 1.113918530555721098e+00, 1.274779739417482904e+00, 1.190340622348334820e+00, 2.037557440530709307e+00, 1.350327957516236133e+00, 1.405436995237863806e+00, 1.439242314507787945e+00
1.891000000000000000e+03, 2.081961900966811108e+00, 1.062187800873374055e+00, 1.387589775951046489e+00, 1.084429372169160688e+00, 1.055610793795152658e+00, 1.265744477728079298e+00, 1.316205386903200436e+00, 1.075091063542287229e+00, 1.146021181395686206e+00, 1.173700355207548895e+00, 1.208118299433772913e+00, 1.304144910535901092e+00, 2.054645823824671425e+00, 1.347578424169282751e+00, 1.391325867577376085e+00, 1.426944729727832817e+00
1.892000000000000000e+03, 2.125169716452203872e+00, 1.054586753442352309e+00, 1.462660903144358038e+00, 1.116854998132365440e+00, 1.158172349638717069e+00, 1.263971876617685508e+00, 1.339707949204145709e+00, 9.944729268945122769e-01, 1.182171784061833542e+00, 1.105676343871714096e+00, 1.203717696504441381e+00, 1.429333255377547740e+00, 2.047060833868178609e+00, 1.341330973763853240e+00, 1.351676761992707032e+00, 1.447480357232796777e+00
1.893000000000000000e+03, 2.118557667038991621e+00, 1.056842389025498319e+00, 1.461536070042118718e+00, 1.102151190547950410e+00, 1.122071330639323739e+00, 1.245640757982029223e+00, 1.400046256082065455e+00, 1.006657829378821534e+00, 1.145143365403441971e+00, 1.158196079845728255e+00, 1.165177678507219650e+00, 1.355967292942921620e+00, 2.115105561574285975e+00, 1.269168117967775844e+00, 1.409649579589831170e+00, 1.416394528513039264e+00
1.894000000000000000e+03, 2.146017336617530358e+00, 1.099274382552859697e+00, 1.430741330816879264e+00, 1.082025487366947258e+00, 1.126275585045658056e+00, 1.250384740205919165e+00, 1.292001400263403488e+00, 1.002388282498613892e+00, 1.205389949149835216e+00, 1.168762266195095822e+00, 1.170265481137225505e+00, 1.312486163997719446e+00, 2.074909009277993821e+00, 1.359608980617674767e+00, 1.442040468347312476e+00, 1.434719702864673208e+00
1.895000000000000000e+03, 2.104006503207361600e+00, 1.105815009721216491e+00, 1.405327420563095453e+00, 1.121878076847344419e+00, 1.157148166187357941e+00, 1.258711052058128166e+00, 1.499893293283039108e+00, 1.056164533974909725e+00, 1.163714257616918157e+00, 1.201622315636068583e+00, 1.193554222239932683e+00, 1.333686495405209671e+00, 2.064845148555034093e+00, 1.335402505482349511e+00, 1.435228810635145180e+00, 1.401006556529716951e+00
1.896000000000000000e+03, 2.108878605827518182e+00, 1.202460284833243298e+00, 1.408779558785410169e+00, 1.134619343360994126e+00, 1.123281703932859310e+00, 1.259638849148902340e+00, 1.440012245925823331e+00, 1.064244001310966636e+00, 1.139982169840569215e+00, 1.129562901531351304e+00, 1.178522439812272893e+00, 1.362325772017273673e+00, 1.659728301480033918e+00, 1.303683614631180987e+00, 1.450667033011317608e+00, 1.441305016769576675e+00
