year, CMCC-CM2-SR5, EC-Earth3-Veg, ACCESS-ESM1-5, MPI-ESM1-2-LR, UKESM1-0-LL, CESM2-WACCM, IPSL-CM6A-LR, CNRM-ESM2-1, MIROC-ES2L
1.900000000000000000e+03, 4.721416979331007346e-01, 6.522571719078329444e-02, 3.076297448019923997e-01, 8.434613648390386631e-01, 1.089309139299117664e-02, 7.610161694850090530e-01, 1.560756131307425854e-01, 3.314677215044996988e-02, 8.165112909130338714e-01
1.901000000000000000e+03, 4.725846901144699075e-01, 6.679754874733886960e-02, 3.153710078045546816e-01, 8.358595162320886507e-01, 1.090232939451912970e-02, 7.683105282677811232e-01, 1.582989819183521774e-01, 3.373766904257963217e-02, 8.244487122836996473e-01
1.902000000000000000e+03, 4.727598886945922341e-01, 6.845430775484265262e-02, 3.227386802657751796e-01, 8.371419067153192950e-01, 1.087727775788978855e-02, 7.720808307028680373e-01, 1.602886526683871549e-01, 3.411282510835891152e-02, 8.316382084823721321e-01
1.903000000000000000e+03, 4.724505259488153697e-01, 7.005743594774162253e-02, 3.298611427988556999e-01, 8.464797677176091328e-01, 1.089485799491026440e-02, 7.703499203987025368e-01, 1.620447514536204892e-01, 3.430252357421379600e-02, 8.391079367854513693e-01
1.904000000000000000e+03, 4.720626040640634180e-01, 7.179500818047807043e-02, 3.368178215684267118e-01, 8.653399497480949165e-01, 1.103211351996718180e-02, 7.700613278512784543e-01, 1.636424736575535499e-01, 3.434524169855047993e-02, 8.454431306913918753e-01
1.905000000000000000e+03, 4.718731864222150962e-01, 7.355708382432081527e-02, 3.436187992343216480e-01, 8.722106272293999041e-01, 1.128175782837590423e-02, 7.692729526123138761e-01, 1.652544614750760810e-01, 3.423932712292931252e-02, 8.494092866049574031e-01
1.906000000000000000e+03, 4.716353720358945623e-01, 7.564067876075053487e-02, 3.502290953776052151e-01, 8.795057949477802506e-01, 1.190685881554606231e-02, 7.743913686586636480e-01, 1.664888604338897737e-01, 3.409755021806199632e-02, 8.531951613124479916e-01
1.907000000000000000e+03, 4.711596019685591608e-01, 7.777465161410768157e-02, 3.567737282931710552e-01, 8.785566584792183775e-01, 1.238416600535366917e-02, 7.831215144488349322e-01, 1.677050196824040884e-01, 3.404212846150694166e-02, 8.589291492357371549e-01
1.908000000000000000e+03, 4.706417984257850740e-01, 7.979481796744432309e-02, 3.631804956384250826e-01, 8.893311087597431941e-01, 1.272293700468946596e-02, 7.851579100427691360e-01, 1.685960946186806364e-01, 3.387223040064697710e-02, 8.655945467088048684e-01
1.909000000000000000e+03, 4.701798731677288568e-01, 8.177838573769777297e-02, 3.694910771277952755e-01, 8.955759261425669804e-01, 1.308851485620919977e-02, 7.812514613923412510e-01, 1.694691632251572599e-01, 3.358245328723145906e-02, 8.715491310100470512e-01
1.910000000000000000e+03, 4.687533700515887358e-01, 8.373175409711408612e-02, 3.758104723267151059e-01, 8.920177703560501214e-01, 1.201067972448733277e-02, 7.839283983371355680e-01, 1.702783351729011407e-01, 3.311800014706070550e-02, 8.535456750757886013e-01
1.911000000000000000e+03, 4.666949861912984554e-01, 8.062871077665852149e-02, 3.734232158074310970e-01, 8.824089197885978120e-01, 1.019765014970698894e-02, 7.835439953482410402e-01, 1.680053946284978394e-01, 3.149303750424878312e-02, 8.443663571792339173e-01
1.912000000000000000e+03, 4.649370064656219159e-01, 7.771387035118551556e-02, 3.722025367454157019e-01, 8.808032833497374536e-01, 9.004257880741307896e-03, 7.819508395633126829e-01, 1.665678280266214562e-01, 2.998277528433738667e-02, 8.387327315642505443e-01
1.913000000000000000e+03, 4.632407257851732796e-01, 7.498323403948085886e-02, 3.715045676160562693e-01, 8.799262483318828210e-01, 8.094346451580834018e-03, 7.752597921529923441e-01, 1.652947374657954271e-01, 2.854271393557929193e-02, 8.334426060446424867e-01
1.914000000000000000e+03, 4.614912059007235112e-01, 7.240688507046366684e-02, 3.711544824374118368e-01, 8.887701360015044516e-01, 7.337443179839193801e-03, 7.696826841042797573e-01, 1.644371273463415273e-01, 2.725633749505654985e-02, 8.283039313845573792e-01
1.915000000000000000e+03, 4.597195907094354106e-01, 6.996649569049966100e-02, 3.710313046462227482e-01, 8.988623356628964167e-01, 6.666536685118703773e-03, 7.732074677256070006e-01, 1.635155771369290467e-01, 2.602546737107375510e-02, 8.259493429767141848e-01
1.916000000000000000e+03, 4.579260512084746826e-01, 6.764933823561515569e-02, 3.710843525995268233e-01, 8.909495910677776020e-01, 6.070925593051505927e-03, 7.715170016710065637e-01, 1.620703915861913536e-01, 2.487415731506105107e-02, 8.254383663403707105e-01
1.917000000000000000e+03, 4.565629446398646318e-01, 6.546915221764264270e-02, 3.712788639983737871e-01, 8.873716275484674343e-01, 5.525761015413386407e-03, 7.736834373845846713e-01, 1.600201689085875845e-01, 2.382312045203964154e-02, 8.234169057064955055e-01
1.918000000000000000e+03, 4.561216155481607748e-01, 6.348605324105717485e-02, 3.714859796345190701e-01, 8.872522435885190628e-01, 5.027370083287475630e-03, 7.756544407588752410e-01, 1.586386021768852461e-01, 2.289973598901464541e-02, 8.213029096397670425e-01
1.919000000000000000e+03, 4.556376913657431138e-01, 6.161226527854627572e-02, 3.718430287516745758e-01, 8.878442333579597001e-01, 4.579054864732491278e-03, 7.714645168837014344e-01, 1.577924804251510382e-01, 2.210250660276599430e-02, 8.200681447331127361e-01
1.920000000000000000e+03, 4.549208240041063278e-01, 5.986222385673832524e-02, 3.724321682559220692e-01, 8.870285676513486317e-01, 4.174924782329940409e-03, 7.713865994286946970e-01, 1.569474278026125880e-01, 2.171866237442697176e-02, 8.346354973103742303e-01
1.921000000000000000e+03, 4.536424770838395348e-01, 5.999581101705613040e-02, 3.758993936422563298e-01, 9.004734482062886070e-01, 3.815986990369781787e-03, 7.676067796640407837e-01, 1.585524040918757926e-01, 2.305737245890470896e-02, 8.434879358153946072e-01
1.922000000000000000e+03, 4.514983277731691724e-01, 6.031985201155258547e-02, 3.790607862057748800e-01, 8.904892037964494689e-01, 3.488036832380332110e-03, 7.660896804842654007e-01, 1.601549653675521101e-01, 2.409366672453226374e-02, 8.494465429004988133e-01
1.923000000000000000e+03, 4.486080588864455043e-01, 6.067569580012119324e-02, 3.821904744642259377e-01, 8.942546034813187994e-01, 3.217755343921343755e-03, 7.689460840356933113e-01, 1.611706461670634749e-01, 2.488222151506376545e-02, 8.538195517794680001e-01
1.924000000000000000e+03, 4.454521540489126408e-01, 6.105366820033156228e-02, 3.851058773632379251e-01, 8.979372440256330190e-01, 3.005697775144411214e-03, 7.686072447210792191e-01, 1.621899758244954581e-01, 2.540547001564820440e-02, 8.578203666512123071e-01
1.925000000000000000e+03, 4.425939165053716096e-01, 6.145241824137361031e-02, 3.880032631413753430e-01, 8.920808773967643379e-01, 2.803159637990628155e-03, 7.673721865802395348e-01, 1.636170123817080324e-01, 2.565533946019878456e-02, 8.614975530582853480e-01
1.926000000000000000e+03, 4.400636489112614846e-01, 6.035342663897173138e-02, 3.908475212927205455e-01, 8.890191798962592262e-01, 2.617145111857278189e-03, 7.714616186911096296e-01, 1.650289116883224549e-01, 2.570704422110438314e-02, 8.674550722785783208e-01
1.927000000000000000e+03, 4.376327663229271359e-01, 5.932971572675297539e-02, 3.936831198685191713e-01, 8.869518004609598938e-01, 2.444876856176401384e-03, 7.673264232648480121e-01, 1.664991514865433453e-01, 2.559286311642632386e-02, 8.717170870917919645e-01
1.928000000000000000e+03, 4.349820526512012120e-01, 5.837291548841590239e-02, 3.964805844953352976e-01, 8.888014988612276124e-01, 2.288420928304837725e-03, 7.623195335530575933e-01, 1.680603407439385244e-01, 2.537726118379457149e-02, 8.735400280230748438e-01
1.929000000000000000e+03, 4.331302939157818388e-01, 5.748217300766135518e-02, 3.993607038339898052e-01, 8.946481992863287713e-01, 2.154399446226402167e-03, 7.681353806593280709e-01, 1.693960875785634201e-01, 2.505211922506267452e-02, 8.771711514086850681e-01
1.930000000000000000e+03, 4.323846230453219364e-01, 5.665691241548618390e-02, 4.020892961220083328e-01, 9.052854951033638686e-01, 2.004730315830649534e-03, 7.698650089081058301e-01, 1.703542084442317417e-01, 2.450384499900695387e-02, 8.782356183337594047e-01
1.931000000000000000e+03, 4.322553817006120069e-01, 5.574237169681079546e-02, 4.008514403902349588e-01, 9.154686985057431947e-01, 1.846304161540174901e-03, 7.682622119031535801e-01, 1.713838606451544844e-01, 2.420227729482604673e-02, 8.817681832718745616e-01
1.932000000000000000e+03, 4.320796061855286530e-01, 5.497530941958832934e-02, 4.003644370564824473e-01, 9.111735709721177079e-01, 1.711400237905125361e-03, 7.610385900291848360e-01, 1.724931418932575677e-01, 2.385134496550764260e-02, 8.861566054578926543e-01
1.933000000000000000e+03, 4.317546683880756353e-01, 5.428900556986079179e-02, 4.000344942705546525e-01, 9.173657466678203365e-01, 1.597142051487234794e-03, 7.553042524373269062e-01, 1.732905823987808125e-01, 2.358543822672447970e-02, 8.903218501071434865e-01
1.934000000000000000e+03, 4.312743106302117657e-01, 5.367572678240079692e-02, 3.998934324604639934e-01, 9.257225469875844936e-01, 1.498795300089168824e-03, 7.590605551154374631e-01, 1.743855923270562214e-01, 2.324213838070508104e-02, 8.939278510367208996e-01
1.935000000000000000e+03, 4.304757609178889166e-01, 5.315847692594036222e-02, 3.998940413869831456e-01, 9.299193975797470646e-01, 1.404519242080233803e-03, 7.623887529872901414e-01, 1.755110203321277318e-01, 2.292292419936965350e-02, 8.964196030558619910e-01
1.936000000000000000e+03, 4.296164820955503116e-01, 5.229685060258943557e-02, 4.000107962446813881e-01, 9.330997234348217262e-01, 1.317728470906388101e-03, 7.585613564863027403e-01, 1.759981413650766879e-01, 2.258554437296522027e-02, 8.989145093073880322e-01
1.937000000000000000e+03, 4.288043693474862805e-01, 5.149783148393569099e-02, 4.002230681742249829e-01, 9.378523976131273310e-01, 1.242714908247345186e-03, 7.556061870022263705e-01, 1.770847840573333831e-01, 2.226597592853080468e-02, 9.018201534684002763e-01
1.938000000000000000e+03, 4.280375939046367484e-01, 5.080251222643552417e-02, 4.005156980472189820e-01, 9.306509369154796207e-01, 1.175780783204761646e-03, 7.510647945247294066e-01, 1.778367794375138866e-01, 2.194404887046753211e-02, 9.051620827501407618e-01
1.939000000000000000e+03, 4.271476646128511967e-01, 5.023160593089377735e-02, 4.008086757844294135e-01, 9.370200018529452057e-01, 1.117949054761605866e-03, 7.445854811672386608e-01, 1.788951437925334342e-01, 2.163679319828598277e-02, 9.073297384982124125e-01
1.940000000000000000e+03, 4.265288611034309674e-01, 4.976300154236573681e-02, 4.012867337187581707e-01, 9.331143326415828332e-01, 1.043534174852274845e-03, 7.425060103515180865e-01, 1.800625180726618813e-01, 2.140699187440617268e-02, 8.999233073004659911e-01
1.941000000000000000e+03, 4.262829360068131623e-01, 4.931886629314106985e-02, 3.980427354248873284e-01, 9.349894051441225429e-01, 9.697346511112456312e-04, 7.443119431055084112e-01, 1.794574498026877407e-01, 2.147250394494672199e-02, 8.978641590724882882e-01
1.942000000000000000e+03, 4.260239270253614041e-01, 4.937282388047548043e-02, 3.954027630276533145e-01, 9.426035881095271574e-01, 9.066695946517549501e-04, 7.511923212676422379e-01, 1.792402650690041177e-01, 2.140728051599432788e-02, 8.973035451726777412e-01
1.943000000000000000e+03, 4.257854190342413858e-01, 4.953969993671038935e-02, 3.931160140411068538e-01, 9.591276880687341633e-01, 8.466703280478456118e-04, 7.501460814659582921e-01, 1.793895415288222495e-01, 2.123551298419910222e-02, 8.975721387397226358e-01
1.944000000000000000e+03, 4.256409563618345215e-01, 4.975591477785009514e-02, 3.912020064091869531e-01, 9.582860679234512791e-01, 7.982369430254730508e-04, 7.543683606758101456e-01, 1.795083385832584588e-01, 2.096321466869160294e-02, 8.980023910369208107e-01
1.945000000000000000e+03, 4.255191231978988076e-01, 5.001238078856386216e-02, 3.893060876713689833e-01, 9.619370817740199309e-01, 7.551029708214162129e-04, 7.528706865692990080e-01, 1.797172879189657124e-01, 2.073807987072564391e-02, 8.989378788574113877e-01
1.946000000000000000e+03, 4.254342077825373214e-01, 5.078870762445006348e-02, 3.875713013675196050e-01, 9.612166298803311859e-01, 7.139843343936033834e-04, 7.455874565982889557e-01, 1.805869531667893546e-01, 2.042611525872098724e-02, 9.022399867763676307e-01
1.947000000000000000e+03, 4.254409485942692304e-01, 5.159822492896405655e-02, 3.859860065710578048e-01, 9.697284129406776865e-01, 6.802862497818150216e-04, 7.485610155155555390e-01, 1.811463498354085322e-01, 2.005017892502884355e-02, 9.063581607462155576e-01
1.948000000000000000e+03, 4.255500688883561144e-01, 5.244562370821181929e-02, 3.845375798141742463e-01, 9.688243448706600480e-01, 8.995997212773424899e-04, 7.535994123194633687e-01, 1.816767135140972544e-01, 1.967619372198404354e-02, 9.102881205221412531e-01
1.949000000000000000e+03, 4.257391518204093894e-01, 5.337968920372296311e-02, 3.832078552688650830e-01, 9.758636828985268741e-01, 1.644606079519644404e-03, 7.482792831758535712e-01, 1.812326133169080977e-01, 1.923401227059250498e-02, 9.128841669221279265e-01
1.950000000000000000e+03, 4.257041136856931085e-01, 5.433668081758215307e-02, 3.818496946241239920e-01, 9.704921550578595735e-01, 2.770883996748977653e-03, 7.480543110477680946e-01, 1.814228664373502553e-01, 1.883237528460429341e-02, 9.218234672056161427e-01
1.951000000000000000e+03, 4.254045703429473746e-01, 5.516665711886163670e-02, 3.850202824086109699e-01, 9.767158556131634306e-01, 3.307716265883769904e-03, 7.568145364983560608e-01, 1.822997341695260232e-01, 1.916036809776392250e-02, 9.282811903361791739e-01
1.952000000000000000e+03, 4.251484560056468798e-01, 5.603013145297618819e-02, 3.876849741439374886e-01, 9.845633504675785908e-01, 3.821012296056020344e-03, 7.579486641190670282e-01, 1.833413785936154061e-01, 1.948974819260495053e-02, 9.335930704671325797e-01
1.953000000000000000e+03, 4.251269588146114886e-01, 5.694519587336836774e-02, 3.901900243887852504e-01, 9.873289423498000650e-01, 4.406897150300804686e-03, 7.507679450069988381e-01, 1.846036445153302619e-01, 1.970378508763885594e-02, 9.386910495649818387e-01
1.954000000000000000e+03, 4.252806908056761537e-01, 5.796307509628421950e-02, 3.925916907500207054e-01, 9.874829179650518318e-01, 5.045433708826900163e-03, 7.513642207683473018e-01, 1.858604643785833899e-01, 1.977297111381405570e-02, 9.462620846145567421e-01
1.955000000000000000e+03, 4.253569355301181076e-01, 5.902599331520191200e-02, 3.957269162972970045e-01, 9.899858035969127945e-01, 5.639788792053011465e-03, 7.558112003642489807e-01, 1.864959697660755478e-01, 1.974181751542850374e-02, 9.557616688777981206e-01
