year, NorESM2-MM, GFDL-ESM4, TaiESM1, CNRM-ESM2-1, NorESM2-LM
1.869000000000000000e+03, 7.673224528339046989e-10, 4.605378633212841951e-10, 1.498814983041645758e-10, 2.712760609950021619e-10, 1.398289021085964289e-10
1.870000000000000000e+03, 2.244247488801637665e-10, 3.252113213535804085e-10, 1.158286820070287127e-10, 3.623937052289469351e-10, 4.850209040896077529e-10
1.871000000000000000e+03, 3.879713320218822607e-10, 2.458006173011478275e-10, 8.402384093315541689e-11, 4.607850745321664976e-10, 1.810980602168634581e-10
1.872000000000000000e+03, 1.530391404441244283e-10, 2.386593773225545581e-10, 1.094255423127607271e-10, 2.200215904514507831e-10, 2.801664150594831576e-10
1.873000000000000000e+03, 3.058626990182151422e-10, 2.716092828167038971e-10, 6.896722631778806695e-11, 2.296905307010070762e-10, 3.003343537038367749e-10
1.874000000000000000e+03, 1.232257477446323087e-10, 1.969938439980614042e-10, 1.500076488495415729e-10, 2.185931697346315924e-10, 1.168334352892364685e-10
1.875000000000000000e+03, 1.115226613381158894e-10, 3.965595353915605429e-10, 1.247936360758904300e-10, 5.879887981088167415e-10, 2.574155676141288799e-10
1.876000000000000000e+03, 2.147419791530079002e-10, 2.361993162032115113e-10, 1.159902580196557745e-10, 2.707527859941628074e-10, 3.863631777083281641e-10
1.877000000000000000e+03, 2.848686506848312079e-10, 1.886174507193801137e-10, 1.090847593350193154e-10, 4.083396418406761176e-10, 5.862433001970497780e-10
1.878000000000000000e+03, 2.849015396542677172e-10, 2.661650072152253548e-10, 1.206900893139477082e-10, 1.999756813414480062e-10, 1.923460573261390969e-10
1.879000000000000000e+03, 2.275241777521523396e-10, 2.419790621802229734e-10, 1.125081119337605043e-10, 2.619859083665875593e-10, 2.139842666956883516e-10
1.880000000000000000e+03, 3.317549045838072793e-10, 3.031387555306380543e-10, 1.486538411167057098e-10, 4.166331404441703108e-10, 2.523688660357686158e-10
1.881000000000000000e+03, 1.543370921164652808e-10, 2.883957494032683353e-10, 1.264610000530257193e-10, 2.714217846870572772e-10, 1.655371747308559616e-10
1.882000000000000000e+03, 2.613024344211562830e-10, 2.338717120747329722e-10, 8.898085256576139859e-11, 2.572696029145387404e-10, 1.347240731660768191e-10
1.883000000000000000e+03, 3.292804067116257179e-10, 2.342676212457317328e-10, 9.034755289916667645e-11, 2.456001769611855344e-10, 4.978010685459436491e-10
1.884000000000000000e+03, 9.400958685225465453e-11, 1.865923998689198045e-10, 6.047276988176064019e-11, 3.611015610417064354e-10, 2.847730117086751531e-10
1.885000000000000000e+03, 5.012997516668435240e-10, 1.918466599786032411e-10, 1.261593185393245391e-10, 4.131233952455463345e-10, 3.059256640785795489e-10
1.886000000000000000e+03, 1.274454652394252789e-10, 3.602519946567706764e-10, 1.485826363707600982e-10, 1.831208883552188900e-10, 3.293362835961534910e-10
1.887000000000000000e+03, 1.308237599915791135e-10, 1.934987107681918257e-10, 7.982248518053959578e-11, 3.068101650635893640e-10, 1.822259336955922798e-10
1.888000000000000000e+03, 3.459809137823866441e-10, 2.124995913081312335e-10, 1.219411374450734190e-10, 2.073115356624845519e-10, 3.544236473402546907e-10
1.889000000000000000e+03, 3.403452143183147218e-10, 2.892642374624260944e-10, 1.157082068019473309e-10, 3.247734094202316912e-10, 2.627937339046445593e-10
1.890000000000000000e+03, 1.912492926400403471e-10, 3.134898071398508249e-10, 1.064420929488259506e-10, 2.045880814781900734e-10, 2.883375478317035542e-10
1.891000000000000000e+03, 6.487678208837977983e-11, 1.689948575598806956e-10, 7.860222719783014854e-11, 2.384647433456816481e-10, 3.559410899382862354e-10
1.892000000000000000e+03, 1.500503992641591390e-10, 2.584424948094755289e-10, 8.166124987037236144e-11, 2.563305343908735935e-10, 2.495674536289773785e-10
1.893000000000000000e+03, 1.216402099249258222e-10, 4.181545903237601705e-10, 1.550227602880337907e-10, 2.138275358916905466e-10, 2.707172138841414944e-10
1.894000000000000000e+03, 3.027431281102956190e-10, 2.304681467427422831e-10, 8.966846013920868278e-11, 2.154118561913743815e-10, 2.455077624762930277e-10
1.895000000000000000e+03, 1.206258841178503380e-10, 2.779727441703538711e-10, 7.099323748537636755e-11, 2.022486491739102146e-10, 1.170639327907739404e-10
1.896000000000000000e+03, 2.692083758755648291e-10, 3.283341820344552155e-10, 1.445252807217014165e-10, 2.477437591780514742e-10, 2.537993101432231380e-10
1.897000000000000000e+03, 1.483158929018623476e-10, 1.561905419403268240e-10, 9.015628650447493134e-11, 2.644340935834630531e-10, 2.359766072108600819e-10
1.898000000000000000e+03, 1.667091775287854383e-10, 2.545834305315232983e-10, 9.480987101986995425e-11, 2.630870529270111252e-10, 2.704247628953147341e-10
1.899000000000000000e+03, 3.014223189207727239e-10, 1.902530523671190601e-10, 6.131569377595975669e-11, 2.363889343413026460e-10, 1.540569222217049312e-10
1.900000000000000000e+03, 2.986032719330788235e-10, 1.913288208058320800e-10, 9.610028274881533490e-11, 3.568143046090284084e-10, 4.445888205471104180e-10
1.901000000000000000e+03, 4.603794131618803393e-10, 1.836100326018049849e-10, 1.102674495831010866e-10, 4.871976015041515258e-10, 9.044268852486785161e-11
1.902000000000000000e+03, 1.711580326357630134e-10, 1.961874976944482058e-10, 1.211162998796339255e-10, 3.326410050934614633e-10, 1.362965803470548968e-10
1.903000000000000000e+03, 5.736980204066456738e-11, 9.445436159242976414e-11, 8.338898320839049705e-11, 2.097110410496911874e-10, 1.987108494568345044e-10
1.904000000000000000e+03, 1.525791279498853325e-10, 1.235949446101973027e-10, 7.404824013168342871e-11, 1.854565544205328199e-10, 1.248994958479605550e-10
1.905000000000000000e+03, 1.497052873580321445e-10, 2.449270179110049548e-10, 9.710226643392621419e-11, 2.049513933214564967e-10, 1.596215644080119926e-10
1.906000000000000000e+03, 1.844821180248546193e-10, 2.960514569005603622e-10, 8.860819129841658673e-11, 3.519025294334795543e-10, 2.703584799625486083e-10
1.907000000000000000e+03, 2.692525250347627349e-10, 3.868666136671673897e-10, 6.559946724647272678e-11, 2.463366530192557818e-10, 2.587023090057197511e-10
1.908000000000000000e+03, 2.025434022614329580e-10, 2.042041279366705691e-10, 1.174527499109159987e-10, 3.206366747132046592e-10, 7.098047689680795920e-11
1.909000000000000000e+03, 2.476992097246572469e-10, 2.462843291217802306e-10, 1.316736853236286475e-10, 2.024956851069249936e-10, 2.541095271313035035e-10
1.910000000000000000e+03, 1.528582377997858764e-10, 2.176651238114094500e-10, 1.146423556363734908e-10, 3.320034875754620499e-10, 1.419299820205656202e-10
1.911000000000000000e+03, 1.840435749315539523e-10, 1.867797855522391400e-10, 8.359928576172683986e-11, 1.953905655757956098e-10, 1.027748574076073122e-10
1.912000000000000000e+03, 1.740986876796085377e-10, 1.303865674590037018e-10, 9.015184270079371942e-11, 1.791911245689426640e-10, 9.078706101499825192e-11
1.913000000000000000e+03, 1.727337838902934856e-10, 1.660672645393145721e-10, 1.307677946122151485e-10, 2.008137101464392075e-10, 5.783104790698509078e-11
1.914000000000000000e+03, 1.947499809425188912e-10, 1.815902132428230856e-10, 8.891080535787267313e-11, 1.654268664361883939e-10, 2.553607582641537395e-10
1.915000000000000000e+03, 7.820006678370834037e-11, 2.033614216588860081e-10, 9.168127472512381726e-11, 2.148950927303409106e-10, 2.510392249366911679e-10
1.916000000000000000e+03, 1.830529448933064619e-10, 2.426205562497857677e-10, 9.363583675020492908e-11, 2.191240145510058589e-10, 2.261429576852870857e-10
1.917000000000000000e+03, 2.667142278960169220e-10, 2.459175483121780880e-10, 8.722726471134300489e-11, 2.214089567756222958e-10, 1.334157789398192915e-10
1.918000000000000000e+03, 2.418274622522483420e-10, 9.851768189251451528e-11, 1.437907791782610336e-10, 5.266887392212845608e-10, 2.864885191272545404e-10
1.919000000000000000e+03, 1.873435844382082066e-10, 2.682244254304340242e-10, 7.730474762670226378e-11, 2.053158158844681330e-10, 4.384705491544070255e-10
1.920000000000000000e+03, 3.527830112052904683e-10, 2.654028209526024241e-10, 1.092469615134629248e-10, 1.578316487472714571e-10, 2.189596866232613326e-10
1.921000000000000000e+03, 1.248244018500783574e-10, 1.426185262847293541e-10, 1.117562921558593507e-10, 2.580780784084259505e-10, 1.608776152428152410e-10
1.922000000000000000e+03, 1.126820433319137321e-10, 1.437060054658688721e-10, 2.057931120168761462e-10, 2.301397066707303254e-10, 3.249846771891129046e-10
1.923000000000000000e+03, 3.918027618835283799e-10, 9.386985713704528977e-11, 6.664733757904951686e-11, 3.382580899327919882e-10, 3.826161409985780067e-10
1.924000000000000000e+03, 3.936934156529715934e-10, 2.015657420151082658e-10, 6.800769902335231937e-11, 2.490708876114730542e-10, 2.260032300628754056e-10
1.925000000000000000e+03, 1.538169844075427717e-10, 2.001703019670498534e-10, 1.572895204837830578e-10, 2.893735643645758425e-10, 1.271918993721630009e-10
1.926000000000000000e+03, 2.638687148891826170e-10, 2.221017880384508306e-10, 1.243471960544366261e-10, 2.855331875572628994e-10, 1.849165502990133111e-10
1.927000000000000000e+03, 2.976301558943141803e-10, 1.380149670184948294e-10, 9.462732135146208727e-11, 2.295166088226465572e-10, 2.836081901590520126e-10
1.928000000000000000e+03, 2.087431541599674177e-10, 1.924843767998887026e-10, 7.012800367071433177e-11, 2.135680919246562048e-10, 3.323641873539788601e-10
1.929000000000000000e+03, 1.775274268567555574e-10, 1.300293277713241511e-10, 1.165231981670619458e-10, 2.428158140915558352e-10, 9.359107775172407725e-11
1.930000000000000000e+03, 1.014784760233992146e-10, 2.255954275663461168e-10, 1.092775059939815286e-10, 2.318199627807016163e-10, 9.110549988043146523e-11
1.931000000000000000e+03, 2.425316945559687664e-10, 1.085707420530082619e-10, 8.584118494375145018e-11, 3.049777678660667092e-10, 2.392814277338164295e-10
1.932000000000000000e+03, 3.702491871047273374e-10, 7.928598055225706540e-11, 8.126497809342971757e-11, 2.045314565268013766e-10, 1.800172074582346519e-10
1.933000000000000000e+03, 7.758224526163835430e-11, 2.699386324287111024e-10, 1.202946074530496738e-10, 4.090665063505526312e-10, 4.158565599356226821e-10
1.934000000000000000e+03, 1.662649010358917366e-10, 2.379576738129996017e-10, 1.021154483959134060e-10, 2.301343305978272777e-10, 3.868745916409204232e-10
1.935000000000000000e+03, 1.616413554802642017e-10, 9.044627033435245284e-11, 1.278559843290421016e-10, 2.717128605553228004e-10, 1.409122272499381611e-10
1.936000000000000000e+03, 1.368012311253300654e-10, 1.545047439844291858e-10, 7.742652814066879383e-11, 2.219318904765692744e-10, 2.698179876485251743e-10
1.937000000000000000e+03, 1.743870142354225300e-10, 1.117731673297327051e-10, 9.792555979773057233e-11, 2.238581264007107749e-10, 2.505470968354257493e-10
1.938000000000000000e+03, 4.059153406828325330e-10, 1.397563617078796391e-10, 1.160105440392111520e-10, 3.346090881207071439e-10, 1.144086942239853795e-10
1.939000000000000000e+03, 4.563942498522623611e-10, 1.277094526140416671e-10, 8.566608649382192952e-11, 3.158606274403344662e-10, 2.195745590625538786e-10
1.940000000000000000e+03, 6.966749825456343140e-11, 1.527889540291431500e-10, 7.653337427234641420e-11, 4.552965774558504490e-10, 1.467330592650163723e-10
1.941000000000000000e+03, 9.616193306594186110e-11, 1.252945497427304578e-10, 1.290499658971556548e-10, 2.777602659857775252e-10, 1.707709805183093998e-10
1.942000000000000000e+03, 1.335466338253029725e-10, 1.912715213242581296e-10, 1.084804933833887822e-10, 2.830432139180010622e-10, 2.887164844350128612e-10
1.943000000000000000e+03, 1.598272322070697614e-10, 1.806996039990920250e-10, 1.184605162894726675e-10, 3.358521015809013630e-10, 9.214541448715590035e-11
1.944000000000000000e+03, 1.771483074252873788e-10, 1.105934832624703056e-10, 9.914095764457876966e-11, 2.011427514126038752e-10, 1.384341277031739779e-10
1.945000000000000000e+03, 1.771995391798585511e-10, 1.626997464315355113e-10, 7.764081479226173323e-11, 2.325321475253906961e-10, 4.630319972248304163e-10
1.946000000000000000e+03, 1.244288466713283821e-10, 1.645316733633103936e-10, 1.147389314059237309e-10, 3.113938704934647999e-10, 1.747338740833372326e-10
1.947000000000000000e+03, 1.220644861698931861e-10, 1.321678947108684267e-10, 9.583692086598797955e-11, 1.950745182610536409e-10, 1.094401627213532466e-10
1.948000000000000000e+03, 3.497177671635714171e-10, 1.168105563718501452e-10, 5.297292043525492708e-11, 3.921093520939257813e-10, 1.474502046690001890e-10
1.949000000000000000e+03, 4.048374809498815479e-10, 1.801304718359123534e-10, 9.785792840174022475e-11, 2.750984634540016044e-10, 1.724770982327556741e-10
1.950000000000000000e+03, 1.568747967238801001e-10, 1.391447882804263721e-10, 1.073712315452809556e-10, 1.349349503575488140e-10, 5.108879351404935216e-11
1.951000000000000000e+03, 7.995410372145354279e-11, 1.042549342199023795e-10, 1.213609020712070146e-10, 1.850636451289338143e-10, 1.117747675844964427e-10
1.952000000000000000e+03, 2.132916920159891834e-10, 1.146025185422893893e-10, 1.078693993399093162e-10, 2.393280031999574259e-10, 1.070190647140590740e-10
1.953000000000000000e+03, 1.221579311069667018e-10, 1.110785591371944908e-10, 1.092560394443398671e-10, 2.182404998658423860e-10, 1.115677130308730950e-10
1.954000000000000000e+03, 1.378267392391890342e-10, 4.294709514450287053e-10, 1.039191277476976757e-10, 2.523531541536727980e-10, 2.034428492281181704e-10
1.955000000000000000e+03, 1.038826126942368712e-10, 1.393771604925696435e-10, 1.157189501993770655e-10, 3.403517807661094927e-10, 8.688426690578384631e-11
1.956000000000000000e+03, 8.030351207725657030e-11, 1.040860250274084604e-10, 7.857182361231780417e-11, 2.490239038521970044e-10, 1.692171147385553310e-10
1.957000000000000000e+03, 9.060166406067048632e-11, 1.263519069176901048e-10, 8.985587948081077004e-11, 2.569216539277604186e-10, 1.109329812441973721e-10
1.958000000000000000e+03, 1.672579876879538957e-10, 1.646648968294328563e-10, 9.904912255677809463e-11, 2.619150819851812176e-10, 1.032176807248252433e-10
1.959000000000000000e+03, 2.015560922426142119e-10, 2.117527264845532544e-10, 8.000932144244827827e-11, 3.645553579697072515e-10, 2.426074759926303053e-10
1.960000000000000000e+03, 1.393866385947752828e-10, 8.928898770159887861e-11, 7.404261020805824954e-11, 3.751942829772525811e-10, 7.308157177490312433e-11
1.961000000000000000e+03, 9.915696781354297344e-11, 9.824313783949188699e-11, 1.255652238351879544e-10, 2.335763740845588711e-10, 1.499688472373677875e-10
1.962000000000000000e+03, 1.374178535418540923e-10, 7.876572904436517268e-11, 9.896137940676790271e-11, 2.179226259908328347e-10, 7.714047193679610432e-11
1.963000000000000000e+03, 1.629827099156668326e-10, 9.324244367325539407e-11, 1.248011804970188454e-10, 2.475455300088481754e-10, 2.403193761742692276e-10
1.964000000000000000e+03, 4.451973620531174939e-10, 1.422300207664831540e-10, 7.326836235477637589e-11, 3.601723249818272813e-10, 1.096799682185492447e-10
1.965000000000000000e+03, 7.361403789686857816e-11, 1.101719105639927798e-10, 7.921915529580797708e-11, 2.533831061725287096e-10, 2.170137301469840269e-10
1.966000000000000000e+03, 2.031895753795418642e-10, 7.329244171151239970e-11, 1.451002612886291495e-10, 2.435982370071240940e-10, 7.457715255217493107e-11
1.967000000000000000e+03, 2.467878417122899002e-10, 2.290266077685391899e-10, 8.318326675314765263e-11, 1.878005545311784088e-10, 2.244367804902654044e-10
1.968000000000000000e+03, 1.550000129994658050e-10, 1.519176993794945679e-10, 1.119516651523122268e-10, 1.888544288322765584e-10, 2.016093395840329155e-10
1.969000000000000000e+03, 1.194666385304073503e-10, 1.757795016432891880e-10, 1.057879801428507452e-10, 3.299596270641134655e-10, 1.326620467695153082e-10
1.970000000000000000e+03, 1.976917061396289991e-10, 7.684400788742611136e-11, 1.023375177951836640e-10, 2.865153240627003147e-10, 1.678696121186137643e-10
1.971000000000000000e+03, 4.002473773972012916e-10, 7.439889834688323700e-11, 7.123847908728558319e-11, 2.007759239828105177e-10, 1.071016800191381653e-10
1.972000000000000000e+03, 1.291805814503859683e-10, 1.584438214251300702e-10, 1.024031810812888071e-10, 3.159931580821282166e-10, 1.182116095360765647e-10
1.973000000000000000e+03, 9.206159707700674194e-11, 1.112019541402234036e-10, 1.422831877615871901e-10, 2.419313731228696112e-10, 1.304723557724137197e-10
1.974000000000000000e+03, 1.234056099420605242e-10, 1.281561797028055785e-10, 1.062846466370570654e-10, 3.091894982284851746e-10, 1.066250802570686974e-10
1.975000000000000000e+03, 1.121580943804210506e-10, 1.862444709261815723e-10, 6.861926276181631438e-11, 3.185492245203361217e-10, 1.912973427411243395e-10
1.976000000000000000e+03, 1.549801296882635460e-10, 8.154731990238640260e-11, 7.944529387158959821e-11, 2.166191479747976905e-10, 1.755392413299822667e-10
1.977000000000000000e+03, 1.106935904683213827e-10, 7.914186818409967262e-11, 1.253842459305135129e-10, 2.060603526213326395e-10, 9.780260306321396739e-11
1.978000000000000000e+03, 1.245391262414593878e-10, 1.177881238577592277e-10, 1.679551709557061246e-10, 3.973688555681904257e-10, 2.417822444705289160e-10
1.979000000000000000e+03, 1.367461195252097301e-10, 1.316951892011489247e-10, 1.742278614157594082e-10, 3.588833947639998727e-10, 1.244789568499859153e-10
1.980000000000000000e+03, 1.854203638761369876e-10, 1.362048191854161034e-10, 1.506244880225144590e-10, 2.760411015830031446e-10, 1.862805831676779718e-10
1.981000000000000000e+03, 1.666370490304880955e-10, 7.549588014025502327e-11, 1.809137338147261435e-10, 2.760070782110354798e-10, 2.007509868564510370e-10
1.982000000000000000e+03, 2.029843439713767398e-10, 1.446493244984447264e-10, 1.064899175528861863e-10, 2.299210605576741157e-10, 1.166775776004501433e-10
1.983000000000000000e+03, 1.491354684242071267e-10, 1.558379733041630883e-10, 1.110966142080470973e-10, 5.233026557297060429e-10, 1.033328893772351890e-10
1.984000000000000000e+03, 1.002335845788766317e-10, 1.735153546625553908e-10, 8.868769495267914283e-11, 2.621188664596372021e-10, 8.260698822364266949e-11
1.985000000000000000e+03, 3.313172490275500851e-10, 1.352373464997604209e-10, 1.950786877612733022e-10, 2.337083949799579283e-10, 1.781811130913296463e-10
1.986000000000000000e+03, 1.155482829263749561e-10, 8.607192436967120874e-11, 1.361517939722529547e-10, 3.197061441234256587e-10, 2.863076610110262449e-10
1.987000000000000000e+03, 1.878219288181241275e-10, 1.296641184232615795e-10, 1.112778116206291277e-10, 3.748262000470068292e-10, 1.635188660989333079e-10
1.988000000000000000e+03, 1.611547967808325293e-10, 2.234478574182752102e-10, 1.283402994836568123e-10, 4.862353184464878134e-10, 2.380976170183092273e-10
1.989000000000000000e+03, 1.168924877028572187e-10, 1.606470106152554938e-10, 1.322590180033456928e-10, 2.794135131776912943e-10, 2.885567838251347307e-10
1.990000000000000000e+03, 1.928681908193533683e-10, 1.318189243233043851e-10, 1.161212696733600682e-10, 3.293333421473484406e-10, 1.037134963597436385e-10
1.991000000000000000e+03, 1.581658600388011777e-10, 7.554041433921752634e-11, 1.086220823593815114e-10, 2.908492229725813471e-10, 1.261814059938807712e-10
1.992000000000000000e+03, 2.264335151060863338e-10, 1.168222516535203283e-10, 1.879880164240860200e-10, 5.713500467725912778e-10, 1.379779339111156508e-10
1.993000000000000000e+03, 1.222425155415142214e-10, 1.707959443469407507e-10, 1.055651459753374223e-10, 2.921430844312712227e-10, 2.418640093757255577e-10
1.994000000000000000e+03, 2.270688030362571208e-10, 1.336561488002708050e-10, 1.101161666569433789e-10, 4.150991117775430587e-10, 1.347345155380589503e-10
1.995000000000000000e+03, 2.478926784056004826e-10, 9.879557914633144075e-11, 1.215363848877422609e-10, 2.456532043195904717e-10, 1.498097768703732675e-10
1.996000000000000000e+03, 1.864412190512875928e-10, 2.114260287023767343e-10, 8.757383851261112162e-11, 2.282678989633131304e-10, 2.221625979986523925e-10
1.997000000000000000e+03, 1.154034943382464416e-10, 1.681752537304328193e-10, 1.745670657360813279e-10, 3.068611541307940000e-10, 7.091257238147270766e-11
1.998000000000000000e+03, 2.229222605629472301e-10, 1.658496751517164541e-10, 1.381823874521178940e-10, 2.781724019460902205e-10, 1.238358900001606295e-10
1.999000000000000000e+03, 1.380228134015926660e-10, 1.717285427009280708e-10, 1.308196333859372789e-10, 3.851434104715010835e-10, 4.578557514136288145e-10
2.000000000000000000e+03, 3.489546707804479988e-10, 2.857910813909410669e-10, 1.394197077401770196e-10, 3.341596327140326513e-10, 1.924304841525199522e-10
2.001000000000000000e+03, 2.451524585540126794e-10, 2.570394521006623928e-10, 1.279264611636108810e-10, 3.312583922177869400e-10, 1.928340551756338275e-10
2.002000000000000000e+03, 3.462235880709174487e-10, 2.017373116364815393e-10, 1.585617037577033870e-10, 7.695520425441000431e-10, 3.491276356536777460e-10
2.003000000000000000e+03, 5.277133688657994636e-10, 1.527398065732283953e-10, 1.147057969175212469e-10, 4.463708936869603130e-10, 1.869523586832945246e-10
2.004000000000000000e+03, 1.174860220849516983e-10, 1.574045243952546280e-10, 1.784944970225367687e-10, 2.911221880321934768e-10, 2.285489990460417767e-10
2.005000000000000000e+03, 2.166323466738644208e-10, 1.481165993900572337e-10, 1.593049277312385596e-10, 3.197036847646656354e-10, 3.497458317764561248e-10
2.006000000000000000e+03, 5.545060123359343625e-10, 3.130856191789933922e-10, 1.345049083957709653e-10, 3.668670495618280948e-10, 2.629403341405777660e-10
2.007000000000000000e+03, 1.929079059058870886e-10, 1.823397742229206249e-10, 1.608083913133059986e-10, 3.966789085212319238e-10, 5.044756353190556530e-10
2.008000000000000000e+03, 2.844886616938269879e-10, 1.500733558034700843e-10, 1.668774057800283622e-10, 3.779207868025971151e-10, 3.498390975929337577e-10
2.009000000000000000e+03, 2.059656658773041766e-10, 2.146919100135694470e-10, 1.246626593539734116e-10, 6.527922374658629454e-10, 1.679894187875459108e-10
2.010000000000000000e+03, 4.531254929941144219e-10, 4.556218199346586929e-10, 2.012596827164205814e-10, 4.177509344780228305e-10, 2.800809262392890390e-10
2.011000000000000000e+03, 2.966118594518973936e-10, 2.928547549753979559e-10, 1.514697521064647433e-10, 3.546780697550461206e-10, 3.392277650159164512e-10
2.012000000000000000e+03, 2.227971045966424849e-10, 2.411242917547181098e-10, 1.619249197792634332e-10, 5.462537030887153526e-10, 2.821123496718007843e-10
2.013000000000000000e+03, 3.483150659506781933e-10, 4.201938957518157780e-10, 1.552820976300107087e-10, 6.248319407856917769e-10, 2.067450672749788876e-10
2.014000000000000000e+03, 1.491015117069523992e-10, 2.852510720074456810e-10, 1.646434502197175504e-10, 6.645278027796026209e-10, 6.001897190969714398e-10
