year, GFDL-ESM4, INM-CM4-8, NorESM2-MM, UKESM1-0-LL, NorESM2-LM, EC-Earth3-Veg, CESM2-WACCM, TaiESM1, MPI-ESM1-2-LR, INM-CM5-0, ACCESS-ESM1-5, IPSL-CM6A-LR, CanESM5, MIROC-ES2L, CMCC-CM2-SR5, CNRM-ESM2-1
1.880000000000000000e+03, 2.598568446164927881e+00, 1.908536567339646384e+00, 1.846071446218933376e+00, 1.926299387818992681e+00, 1.873338458626899072e+00, 1.996421076031144937e+00, 2.027071017671431719e+00, 1.956074629268100162e+00, 2.225984726770410482e+00, 1.814375019419106838e+00, 2.496163484945950639e+00, 2.725059391098684447e+00, 2.188538716177300003e+00, 2.381179756057646202e+00, 2.123332872194797272e+00, 2.265135927476851219e+00
1.881000000000000000e+03, 2.343402356721422386e+00, 1.801571527897419145e+00, 1.979257546463675022e+00, 1.836118344501217470e+00, 1.951374616011865903e+00, 1.972676636277351792e+00, 2.009442913635699046e+00, 1.923593904261751364e+00, 2.334381608541133968e+00, 1.851988562777536984e+00, 2.498155459420831725e+00, 2.621748575161493733e+00, 2.188083273910093496e+00, 2.448537632475940473e+00, 2.097176429907902762e+00, 2.418886122134252581e+00
1.882000000000000000e+03, 2.546447993512099828e+00, 1.852073308036421784e+00, 1.987667464974016918e+00, 1.981092616030915687e+00, 1.914202680795443756e+00, 2.008282147753741143e+00, 2.176366909953255213e+00, 1.811277350226372151e+00, 2.276595319321736532e+00, 1.956136321845145520e+00, 2.503182999963366129e+00, 2.539553084852657072e+00, 1.998467565489594255e+00, 2.572078308111323874e+00, 2.185466938065720122e+00, 2.592338395006513085e+00
1.883000000000000000e+03, 2.435310106347753134e+00, 1.810711672899646629e+00, 1.858096584501854887e+00, 2.030699305992471171e+00, 2.022907946368647458e+00, 2.063397323611893874e+00, 2.181950241149136271e+00, 2.251364445756233401e+00, 2.463120709973602995e+00, 1.943345318030718971e+00, 2.578203056958797479e+00, 2.522997823382158611e+00, 2.145463276757298310e+00, 2.585396581927927429e+00, 2.163474592041310984e+00, 2.517507745843024836e+00
1.884000000000000000e+03, 2.542796727493426445e+00, 1.797513029958363040e+00, 1.893079843685301356e+00, 2.115725419700793974e+00, 1.937235875210031155e+00, 2.018766452835913494e+00, 2.049188832140071526e+00, 2.264870498350747940e+00, 2.436219158445386501e+00, 2.010868672511608057e+00, 2.127085092323263371e+00, 2.491133880424589275e+00, 1.922537778086104376e+00, 2.358459197896940029e+00, 2.226776134017098396e+00, 2.219544253603602968e+00
1.885000000000000000e+03, 2.705938870570497201e+00, 1.807163663241123208e+00, 1.866854225855747229e+00, 1.922182385122077397e+00, 2.032485228446318182e+00, 2.103354839530299891e+00, 2.067930952849160953e+00, 1.978851435510967427e+00, 2.065708454351444789e+00, 1.934714188932410428e+00, 2.414690234708635419e+00, 2.561917457877223914e+00, 2.014746448602251494e+00, 2.459771478079301410e+00, 2.021531075729579463e+00, 2.374331332108980064e+00
1.886000000000000000e+03, 2.369809837114989381e+00, 1.685023843252171583e+00, 1.937589213109761843e+00, 2.022134914340603107e+00, 1.820740701374206738e+00, 1.969960435103961904e+00, 2.151641336844350327e+00, 1.924973508801254729e+00, 2.188349240003583773e+00, 1.785911134125826694e+00, 2.370970581316931725e+00, 2.593181215116367788e+00, 1.996155798446577645e+00, 2.438343069147659303e+00, 2.168242647339494678e+00, 2.383309110890476479e+00
1.887000000000000000e+03, 2.538594589539507229e+00, 1.912784484903792492e+00, 1.950953073195208498e+00, 2.194262782722111282e+00, 1.783374410567603041e+00, 1.910114488745605854e+00, 1.927894365702616186e+00, 2.291637101049059932e+00, 2.325004386933615219e+00, 1.961555297402608922e+00, 2.566429167212640028e+00, 2.285541570193005079e+00, 1.925008114649288782e+00, 2.371313812202326066e+00, 1.856301985305064184e+00, 1.933353301271421021e+00
1.888000000000000000e+03, 2.455106195065614560e+00, 1.868023325230654841e+00, 1.855076987423758927e+00, 2.013080107878795655e+00, 1.898173451182474158e+00, 2.037401999631578864e+00, 1.994484405326180543e+00, 2.025144852322180888e+00, 2.230861345657682016e+00, 1.866633925832444696e+00, 2.567136521671762761e+00, 2.284750495124074021e+00, 1.986244852307958553e+00, 2.554748564029194924e+00, 2.081590885028498317e+00, 2.599107928964284664e+00
1.889000000000000000e+03, 2.706762124520000423e+00, 1.727484279115767185e+00, 1.723472761270061326e+00, 1.941466812307723000e+00, 2.065897062733011769e+00, 1.906911984340730948e+00, 2.046758859140596964e+00, 1.955882148104838292e+00, 2.231655829873837593e+00, 1.914061001188705147e+00, 2.467716467678923387e+00, 2.426848810612884044e+00, 1.974727032807549465e+00, 2.391333391358990035e+00, 1.974000834672336779e+00, 2.199649146307192549e+00
