year, IPSL-CM6A-LR, MPI-ESM1-2-LR, MIROC-ES2L, CESM2-WACCM, CNRM-ESM2-1, ACCESS-ESM1-5, UKESM1-0-LL, CMCC-ESM2
1.923000000000000000e+03, 2.279875506341098336e-09, 1.501149104039634185e-09, 1.422616924224377603e-09, 6.183051466408809638e-10, 8.187240656824174188e-11, 7.937129276041464126e-11, 1.838568036750640592e-12, 1.587830358735929096e-10
1.924000000000000000e+03, 2.385335247039482632e-09, 1.515903079588877356e-09, 1.425534666399218540e-09, 6.309106897382677691e-10, 8.638183047661087039e-11, 7.968920361977900382e-11, 1.830583973495967879e-12, 1.563633545100142600e-10
1.925000000000000000e+03, 2.282079771839819308e-09, 1.471075639814683281e-09, 1.434286422585560206e-09, 6.235921573760093066e-10, 9.078854878650315873e-11, 7.998021184941912131e-11, 1.756714502571344719e-12, 1.544309767265006326e-10
1.926000000000000000e+03, 2.372660380218572955e-09, 1.441726948621414177e-09, 1.453383797438300402e-09, 6.978921468215567582e-10, 9.519830762211569183e-11, 8.019736548466241651e-11, 1.674522267595514879e-12, 1.529882810698477928e-10
1.927000000000000000e+03, 2.359386859399945946e-09, 1.419241179608386472e-09, 1.454393706844798718e-09, 6.723412097628648852e-10, 9.960942371460228962e-11, 8.044772503160568193e-11, 1.579256175094552127e-12, 1.517080879146441051e-10
1.928000000000000000e+03, 2.557272023811817528e-09, 1.418094174933569640e-09, 1.449249369599527145e-09, 6.285539149327921261e-10, 1.041116029735572630e-10, 8.066394934627758652e-11, 1.490173476918725692e-12, 1.502411915745723315e-10
1.929000000000000000e+03, 2.697728765502646358e-09, 1.438333428706308871e-09, 1.464459873034241141e-09, 6.966685105555341012e-10, 1.083151422909778225e-10, 8.106601012674408518e-11, 1.446443287223691508e-12, 1.494176743891312744e-10
1.930000000000000000e+03, 2.582856222816123602e-09, 1.484729537442808068e-09, 1.456543597359832763e-09, 7.115371050918405535e-10, 1.125716089712516838e-10, 8.117347469856766744e-11, 1.326171935290224455e-12, 1.496679213220761296e-10
1.931000000000000000e+03, 2.370283546516213151e-09, 1.529205778173662089e-09, 1.467702224886134343e-09, 7.028067506979336148e-10, 1.121440301263178465e-10, 7.457438728619353175e-11, 1.152365840576990393e-12, 1.504106324585088021e-10
1.932000000000000000e+03, 2.415744918782379148e-09, 1.490210133803192539e-09, 1.478599622668351071e-09, 6.378035009259892898e-10, 1.092793149688964403e-10, 7.210157273881689301e-11, 1.039548565887216081e-12, 1.509130384392671119e-10
1.933000000000000000e+03, 2.636978542441690175e-09, 1.513067811662235563e-09, 1.486531709844590549e-09, 5.912212903794785247e-10, 1.063321318687915893e-10, 7.071124391151854631e-11, 9.771153840277681600e-13, 1.511861696657328210e-10
1.934000000000000000e+03, 2.382802375767199279e-09, 1.549063295450150573e-09, 1.489137277079055654e-09, 6.573611818522009863e-10, 1.034594774315885019e-10, 6.993505702936070089e-11, 9.456906419159133398e-13, 1.513681452053308352e-10
1.935000000000000000e+03, 2.629816217926426988e-09, 1.558027665069934073e-09, 1.490402400376314531e-09, 7.184325482023085949e-10, 1.005207932434476985e-10, 6.942612381048201132e-11, 8.908379079093160004e-13, 1.514292337215979131e-10
1.936000000000000000e+03, 2.615430688670274395e-09, 1.561715537981120798e-09, 1.493166333925174576e-09, 6.945315895073772697e-10, 9.755651102863748966e-11, 6.904866495782395565e-11, 8.312575483551599686e-13, 1.514554554709156349e-10
1.937000000000000000e+03, 2.541763124624476424e-09, 1.575321742099833958e-09, 1.499586874575462812e-09, 6.813426994185115497e-10, 9.453800749710471997e-11, 6.874065267868984214e-11, 7.958924274769807734e-13, 1.513400535408000241e-10
1.938000000000000000e+03, 2.240792981356914637e-09, 1.519318197017447818e-09, 1.505347579466366711e-09, 6.458693485354239550e-10, 9.179555962377647110e-11, 6.847645049387651944e-11, 7.702169169197028125e-13, 1.509534132675025122e-10
1.939000000000000000e+03, 2.526947023930619796e-09, 1.544753537509289607e-09, 1.504654697018923603e-09, 5.844166613107364860e-10, 8.888715887733261543e-11, 6.812798438022549902e-11, 7.603128264068855209e-13, 1.503932971218028562e-10
1.940000000000000000e+03, 2.707206387781316773e-09, 1.513907561990244204e-09, 1.458545983257219677e-09, 5.744592022471869423e-10, 8.595009200798954295e-11, 6.807113622424459318e-11, 6.784286171535140320e-13, 1.501162250728430300e-10
1.941000000000000000e+03, 2.223258624721401857e-09, 1.513804557603467648e-09, 1.458079083164420824e-09, 6.028745626969716742e-10, 8.503499457479117684e-11, 6.150454098064410144e-11, 6.041142952141827819e-13, 1.501622167820492389e-10
1.942000000000000000e+03, 2.565444923875942304e-09, 1.542605089080248941e-09, 1.458841149176622407e-09, 6.879176039078189675e-10, 8.455298967576371004e-11, 5.854552726361340457e-11, 5.590241296436037765e-13, 1.502815964966619233e-10
1.943000000000000000e+03, 2.451104020078096255e-09, 1.622985167412558352e-09, 1.462019034729933828e-09, 6.737700238137873796e-10, 8.409351530482460911e-11, 5.699078652612268055e-11, 5.063261770311888841e-13, 1.504631718644823400e-10
1.944000000000000000e+03, 2.598703411607862324e-09, 1.598583612689537672e-09, 1.460013717864834289e-09, 7.190756970142136552e-10, 8.367897255310966140e-11, 5.622657553862576733e-11, 4.871952970122667405e-13, 1.507657406712804961e-10
