year, EC-Earth3-Veg, MPI-ESM1-2-LR
1.942000000000000000e+03, 2.771129460703547301e-10, 6.947283774260668021e-10
1.943000000000000000e+03, 2.636750869385826943e-10, 6.634989089650719819e-10
1.944000000000000000e+03, 2.917326320865695219e-10, 6.815307938498603119e-10
1.945000000000000000e+03, 2.263634940690310864e-10, 6.668109148933833861e-10
1.946000000000000000e+03, 2.651996832903470420e-10, 7.098835888627751366e-10
1.947000000000000000e+03, 2.715941234360138007e-10, 6.903260538040455585e-10
1.948000000000000000e+03, 2.987210240849658729e-10, 6.909309368100057416e-10
1.949000000000000000e+03, 2.592651892629641887e-10, 6.747613154036383101e-10
1.950000000000000000e+03, 2.647978633017863711e-10, 6.631298797903925851e-10
1.951000000000000000e+03, 2.543030706351944917e-10, 6.666153687083858791e-10
1.952000000000000000e+03, 2.732459171989801075e-10, 6.915976567131563620e-10
1.953000000000000000e+03, 2.690036982590786068e-10, 6.479556257027124247e-10
1.954000000000000000e+03, 2.766427546984203478e-10, 6.704327409370616666e-10
1.955000000000000000e+03, 2.388362309421984038e-10, 6.730335034204476472e-10
1.956000000000000000e+03, 2.312271398745511480e-10, 6.772619189999332297e-10
1.957000000000000000e+03, 2.815859552034258185e-10, 6.693284319007566570e-10
1.958000000000000000e+03, 2.536016941988505396e-10, 6.407894560767376625e-10
1.959000000000000000e+03, 2.766011305905084449e-10, 6.625333959938494544e-10
1.960000000000000000e+03, 2.375900304663632742e-10, 6.217785972048362166e-10
1.961000000000000000e+03, 2.620120988363715888e-10, 6.566356546305002809e-10
1.962000000000000000e+03, 2.476853012971225472e-10, 6.734525307167454721e-10
1.963000000000000000e+03, 2.572062842424256833e-10, 6.765654099565804587e-10
1.964000000000000000e+03, 2.769847285443875154e-10, 5.648445015397942007e-10
1.965000000000000000e+03, 2.726986483729788344e-10, 5.915212009004629319e-10
1.966000000000000000e+03, 2.487075058533556193e-10, 6.426080638302243184e-10
1.967000000000000000e+03, 2.403878038263677927e-10, 6.778404025547645184e-10
1.968000000000000000e+03, 2.457897529087663128e-10, 6.438454890002004155e-10
1.969000000000000000e+03, 2.400250106382971756e-10, 6.162159596348819218e-10
1.970000000000000000e+03, 2.618265809871886003e-10, 6.016149701102856812e-10
1.971000000000000000e+03, 2.533787568654487673e-10, 6.653922945432604398e-10
1.972000000000000000e+03, 2.872381892687333418e-10, 6.825067138514366627e-10
1.973000000000000000e+03, 2.605852854241121606e-10, 6.782356629815947782e-10
1.974000000000000000e+03, 2.670279104369316400e-10, 6.692062202100637807e-10
1.975000000000000000e+03, 2.416452926663670695e-10, 6.483075405641713087e-10
1.976000000000000000e+03, 2.736708895551441602e-10, 6.116885337979904260e-10
1.977000000000000000e+03, 2.685655959694523237e-10, 7.315831756344762222e-10
1.978000000000000000e+03, 2.909898621883112653e-10, 6.484638504236851556e-10
1.979000000000000000e+03, 2.774470155382739781e-10, 6.472942254977309608e-10
1.980000000000000000e+03, 2.785789025252175370e-10, 6.845211595691247493e-10
1.981000000000000000e+03, 2.742708151762431713e-10, 7.871625324043476876e-10
1.982000000000000000e+03, 2.738856716836730601e-10, 7.544523471429166544e-10
1.983000000000000000e+03, 2.760981478685332890e-10, 7.018365122441136967e-10
1.984000000000000000e+03, 2.795729503730583599e-10, 7.105209784744170084e-10
1.985000000000000000e+03, 2.736843934781825411e-10, 6.748148791539174768e-10
1.986000000000000000e+03, 2.817647523872859835e-10, 6.744685638415599868e-10
1.987000000000000000e+03, 2.655998431173993523e-10, 7.025029477477582254e-10
1.988000000000000000e+03, 2.722318850590792773e-10, 7.089856694189686862e-10
1.989000000000000000e+03, 2.767885288951117975e-10, 7.280266990985555258e-10
1.990000000000000000e+03, 2.850012407047077759e-10, 7.295818145214187302e-10
1.991000000000000000e+03, 2.999630372384876276e-10, 7.359721226663186078e-10
1.992000000000000000e+03, 2.811119502035195958e-10, 6.849176762014629153e-10
1.993000000000000000e+03, 3.049599187537729512e-10, 8.054347957849160646e-10
1.994000000000000000e+03, 2.694441005525896497e-10, 7.460746352384129515e-10
1.995000000000000000e+03, 2.459293388736751584e-10, 7.572356281545605039e-10
1.996000000000000000e+03, 3.170534589195034548e-10, 7.663515227324340866e-10
1.997000000000000000e+03, 2.903992116593914620e-10, 8.246686656643181128e-10
1.998000000000000000e+03, 2.946379902329454531e-10, 7.923615984315538220e-10
