year, CESM2-WACCM, NorESM2-MM, TaiESM1, TaiESM1, GFDL-ESM4, CNRM-ESM2-1, GFDL-ESM4, CNRM-ESM2-1, MPI-ESM1-2-LR, NorESM2-MM, EC-Earth3-Veg, NorESM2-LM
2.037000000000000000e+03, 4.799110596386300370e-10, 6.567266779239564317e-10, 5.192082579881294659e-10, 5.192082579881294659e-10, 3.882644501428560907e-10, 5.901161070638943597e-10, 4.036287027613459991e-10, 5.901161070638943597e-10, 1.975099291410888134e-10, 6.567266779239564317e-10, 6.029409267933611448e-10, 3.821872371141795416e-10
2.038000000000000000e+03, 6.206189251354059940e-10, 3.376287240577726349e-10, 2.559082474921674247e-10, 2.559082474921674247e-10, 4.358017224230850301e-10, 1.234640996151819819e-09, 4.573857893287908282e-10, 1.234640996151819819e-09, 2.586961932434152291e-10, 3.376287240577726349e-10, 8.885455527375655340e-10, 4.099654723392134866e-10
2.039000000000000000e+03, 5.004750230447564580e-10, 3.546262752812345284e-10, 2.548602944910110651e-10, 2.548602944910110651e-10, 3.208474460599980155e-10, 1.068844818591037794e-09, 3.412025250474313624e-10, 1.068844818591037794e-09, 2.354011513199333839e-10, 3.546262752812345284e-10, 5.264566643878786866e-10, 3.874914502501537584e-10
2.040000000000000000e+03, 4.693816360816847832e-10, 6.491455565403113475e-10, 2.383639623757494210e-10, 2.383639623757494210e-10, 3.414601559536507849e-10, 7.154482786569721198e-10, 3.678838852684450411e-10, 7.154482786569721198e-10, 1.865393688010186539e-10, 6.491455565403113475e-10, 7.775814399340943030e-10, 4.995714118316997914e-10
2.041000000000000000e+03, 5.540443508273715080e-10, 5.884303826759542428e-10, 2.765813319725824875e-10, 2.765813319725824875e-10, 4.663537992139823959e-10, 1.654993946288827616e-09, 4.900069825198031135e-10, 1.654993946288827616e-09, 2.133023823166020043e-10, 5.884303826759542428e-10, 4.657722263246925500e-10, 2.961082057357856238e-10
2.042000000000000000e+03, 6.086024761436536185e-10, 4.461930775145135514e-10, 4.715260064329789616e-10, 4.715260064329789616e-10, 3.460822426083844619e-10, 6.689128454758080155e-10, 3.721260238805005943e-10, 6.689128454758080155e-10, 2.006199680982620083e-10, 4.461930775145135514e-10, 1.512546630060490058e-09, 3.402250895236814022e-10
2.043000000000000000e+03, 5.691730472129727628e-10, 7.918937060855581330e-10, 2.566179076058398003e-10, 2.566179076058398003e-10, 2.532614255845250101e-10, 8.464685091012937567e-10, 2.768037863668598923e-10, 8.464685091012937567e-10, 1.704258208919168696e-10, 7.918937060855581330e-10, 1.193755872423467532e-10, 3.807505159232281953e-10
2.044000000000000000e+03, 6.294296411546608131e-10, 4.879499447713380362e-10, 2.928569094466868396e-10, 2.928569094466868396e-10, 4.852620062932848683e-10, 9.882303110523310525e-10, 5.202257921195941062e-10, 9.882303110523310525e-10, 1.935948815876614647e-10, 4.879499447713380362e-10, 5.497597140975657462e-10, 2.917248612474240773e-10
2.045000000000000000e+03, 5.424328722118343486e-10, 3.944923078359926904e-10, 2.838989399134881835e-10, 2.838989399134881835e-10, 6.429997337541030541e-10, 1.172252308597485816e-09, 6.776490540328690723e-10, 1.172252308597485816e-09, 1.527087144026085815e-10, 3.944923078359926904e-10, 1.255887805567150324e-09, 1.530637045223916519e-10
2.046000000000000000e+03, 5.682958778219737266e-10, 6.074126679075087884e-10, 8.025280132676459744e-11, 8.025280132676459744e-11, 2.788765150400434600e-10, 1.030102788150419611e-09, 3.027911181130277502e-10, 1.030102788150419611e-09, 2.058977476238287856e-10, 6.074126679075087884e-10, 5.473684110433353068e-10, 2.902717608551772168e-10
2.047000000000000000e+03, 4.701576966073969365e-10, 4.866985727375680136e-10, 3.230745338484993333e-10, 3.230745338484993333e-10, 3.593563417002495033e-10, 7.043953741305013873e-10, 3.900916254849548950e-10, 7.043953741305013873e-10, 2.321471538847441361e-10, 4.866985727375680136e-10, 3.943337460626206235e-10, 4.741361333492710562e-10
2.048000000000000000e+03, 7.749004003595570130e-10, 3.686120965422220119e-10, 5.549627047836243050e-10, 5.549627047836243050e-10, 4.579914946598190038e-10, 1.079829185340658176e-09, 4.953188641137235488e-10, 1.079829185340658176e-09, 2.561779596195376046e-10, 3.686120965422220119e-10, 7.475102859610537608e-10, 5.555384987573192909e-10
2.049000000000000000e+03, 6.631397718347941904e-10, 3.964997751851775699e-10, 3.693746509447936715e-10, 3.693746509447936715e-10, 5.458840631241251774e-10, 8.492290893113056060e-10, 5.793039583805218252e-10, 8.492290893113056060e-10, 2.278655619951801682e-10, 3.964997751851775699e-10, 2.893338831217084414e-09, 4.505989930317367556e-10
2.050000000000000000e+03, 8.535991286435220034e-10, 6.636984502331878142e-10, 1.755855943264278690e-10, 1.755855943264278690e-10, 3.066701356868260728e-10, 1.054891192200819682e-09, 3.491986804749887766e-10, 1.054891192200819682e-09, 2.116575912294389974e-10, 6.636984502331878142e-10, 1.243806527395350391e-10, 4.172370891692003289e-10
2.051000000000000000e+03, 6.283947897861824713e-10, 6.147471714618818587e-10, 3.050444765005171526e-10, 3.050444765005171526e-10, 4.763309110774511056e-10, 6.984151648931378010e-10, 5.174253207622748291e-10, 6.984151648931378010e-10, 2.318896273047936552e-10, 6.147471714618818587e-10, 7.016167619400536859e-11, 2.348414616415853976e-10
2.052000000000000000e+03, 5.712502647572653060e-10, 3.270117996344011576e-10, 5.874522681886249567e-10, 5.874522681886249567e-10, 3.481950541608464574e-10, 7.699844971446647042e-10, 3.858567614113361716e-10, 7.699844971446647042e-10, 2.148858334097877690e-10, 3.270117996344011576e-10, 1.536739152741537058e-09, 2.293048675113614496e-10
2.053000000000000000e+03, 6.007197675274366690e-10, 5.539399054366027218e-10, 5.518481777532331865e-10, 5.518481777532331865e-10, 5.132373172920014758e-10, 6.809590858649490090e-10, 5.571743931267417472e-10, 6.809590858649490090e-10, 2.183300893776046443e-10, 5.539399054366027218e-10, 1.258239868273415598e-09, 3.355851149679656008e-10
2.054000000000000000e+03, 5.420683498803978125e-10, 5.340264146259277514e-10, 1.911892606721262016e-10, 1.911892606721262016e-10, 5.878230749631248992e-10, 8.041032559756362350e-10, 6.296069653321968554e-10, 8.041032559756362350e-10, 1.997658855488342022e-10, 5.340264146259277514e-10, 5.812835610126853984e-10, 3.543666497718761030e-10
2.055000000000000000e+03, 2.411295873452419484e-10, 3.700678726784287302e-10, 3.849850998275049462e-10, 3.849850998275049462e-10, 4.379491875800085504e-10, 1.111466641795233612e-09, 4.731961760065341527e-10, 1.111466641795233612e-09, 2.214972959825325827e-10, 3.700678726784287302e-10, 6.483254357035666450e-10, 1.739703513850564238e-10
2.056000000000000000e+03, 2.252379743176734111e-10, 3.538326003804046047e-10, 3.874098008235300034e-10, 3.874098008235300034e-10, 3.282283055764126003e-10, 1.029702403322356673e-09, 3.663644433744255027e-10, 1.029702403322356673e-09, 2.080486962618377592e-10, 3.538326003804046047e-10, 5.728142193703842296e-10, 4.984745936045639182e-10
2.057000000000000000e+03, 5.645938027407273878e-10, 6.523158350782098580e-10, 4.189237899866870092e-10, 4.189237899866870092e-10, 2.484675056900013644e-10, 6.026125704717401963e-10, 2.816376213650954594e-10, 6.026125704717401963e-10, 1.800887044533961212e-10, 6.523158350782098580e-10, 8.550609909602630207e-10, 7.533742288987191111e-10
2.058000000000000000e+03, 4.638604656698325506e-10, 5.713761952864948868e-10, 5.333108799405065680e-10, 5.333108799405065680e-10, 2.573751873882472900e-10, 9.239348483831217701e-10, 3.003209548440074547e-10, 9.239348483831217701e-10, 2.317232028626969587e-10, 5.713761952864948868e-10, 3.083614174714476021e-10, 7.087749391295311719e-10
2.059000000000000000e+03, 3.216759606433004450e-10, 4.213178303597871704e-10, 4.739621114165641446e-10, 4.739621114165641446e-10, 6.166242903261382586e-10, 1.471396369132810798e-09, 6.658523314134244709e-10, 1.471396369132810798e-09, 2.151255622025150573e-10, 4.213178303597871704e-10, 1.037508205251287166e-09, 3.467879928775514944e-10
2.060000000000000000e+03, 4.688925419356768357e-10, 6.656611930544854715e-10, 3.169608484232085379e-10, 3.169608484232085379e-10, 5.612593641623751442e-10, 6.942441193475532512e-10, 5.962580785920115163e-10, 6.942441193475532512e-10, 2.515869941910989523e-10, 6.656611930544854715e-10, 2.363132943332228703e-10, 2.776151158401654589e-10
2.061000000000000000e+03, 3.840149598380186693e-10, 5.903851617189117253e-10, 2.748974820402737010e-10, 2.748974820402737010e-10, 3.328347125061826377e-10, 1.271702399053637346e-09, 3.617058537560127725e-10, 1.271702399053637346e-09, 2.072749968910371857e-10, 5.903851617189117253e-10, 2.067495868466462309e-10, 3.630302053129679928e-10
2.062000000000000000e+03, 5.360980255269498575e-10, 6.856045751677165568e-10, 4.063563763154257406e-10, 4.063563763154257406e-10, 3.387467732867640391e-10, 8.588969099854096598e-10, 3.848458672563508131e-10, 8.588969099854096598e-10, 1.819515970062175679e-10, 6.856045751677165568e-10, 6.561393611624154219e-10, 5.062480304485596737e-10
2.063000000000000000e+03, 7.107109277095769257e-10, 6.060679364031973036e-10, 1.686246521558406258e-10, 1.686246521558406258e-10, 2.628502613233883198e-10, 5.087735739615342917e-10, 3.053714168099645973e-10, 5.087735739615342917e-10, 2.118405356743377663e-10, 6.060679364031973036e-10, 6.833895755756233288e-10, 2.832493306433779190e-10
2.064000000000000000e+03, 8.112485119474276416e-10, 4.215207050572793060e-10, 2.857160450335860997e-10, 2.857160450335860997e-10, 4.019462210975473950e-10, 1.371998140748503333e-09, 4.452484985798476505e-10, 1.371998140748503333e-09, 2.426077358913749405e-10, 4.215207050572793060e-10, 6.112840469536548261e-10, 2.432854639076218775e-10
2.065000000000000000e+03, 7.772718176488050622e-10, 1.826274629097517093e-10, 4.745560650392265693e-10, 4.745560650392265693e-10, 3.402562242743843534e-10, 9.461133633333426840e-10, 3.787381284442000028e-10, 9.461133633333426840e-10, 2.263864227254230723e-10, 1.826274629097517093e-10, 7.303869222059237357e-10, 3.880398158203033699e-10
2.066000000000000000e+03, 3.823724817800686161e-10, 5.340033090644692500e-10, 1.706254312621337062e-10, 1.706254312621337062e-10, 3.503807190787391069e-10, 7.464785678137830754e-10, 3.911568141445805784e-10, 7.464785678137830754e-10, 2.139895294196784674e-10, 5.340033090644692500e-10, 9.443321550273523498e-10, 4.527979315179194990e-10
2.067000000000000000e+03, 4.397989672531247128e-10, 5.642002827516641622e-10, 8.865921208034160181e-11, 8.865921208034160181e-11, 2.356652292219401364e-10, 1.527555109885649910e-09, 2.710575252895490207e-10, 1.527555109885649910e-09, 2.447401869199072138e-10, 5.642002827516641622e-10, 3.748994754242489483e-10, 2.529045214532606923e-10
2.068000000000000000e+03, 7.474735266483676723e-10, 3.533186868242740083e-10, 4.048618615643998010e-10, 4.048618615643998010e-10, 3.806354125935059196e-10, 1.298831377913087935e-09, 4.186177316311585174e-10, 1.298831377913087935e-09, 2.437976598145425853e-10, 3.533186868242740083e-10, 1.054733786459058034e-09, 3.888158654130556815e-10
2.069000000000000000e+03, 4.752086877825156296e-10, 6.183369810777134016e-10, 5.392679395756513464e-10, 5.392679395756513464e-10, 3.545622092658711940e-10, 1.324180544543271935e-09, 3.912278397674417860e-10, 1.324180544543271935e-09, 1.850306038954766236e-10, 6.183369810777134016e-10, 9.130318961916174314e-10, 3.086832955794811289e-10
2.070000000000000000e+03, 4.460024784277725313e-10, 5.076209446258664385e-10, 3.591872195507016512e-10, 3.591872195507016512e-10, 3.627260446980892179e-10, 9.499348048889299591e-10, 4.025391236176489694e-10, 9.499348048889299591e-10, 2.203142658561157648e-10, 5.076209446258664385e-10, 1.639637315475619358e-10, 3.308646047593551404e-10
2.071000000000000000e+03, 5.524682346336339020e-10, 6.429848353876879904e-10, 3.432242604475020572e-10, 3.432242604475020572e-10, 4.231901934884794289e-10, 7.390852123999342063e-10, 4.734737140236571388e-10, 7.390852123999342063e-10, 2.529546799253147445e-10, 6.429848353876879904e-10, 1.007064506804287653e-09, 2.552772887364140398e-10
2.072000000000000000e+03, 5.034537263326763738e-10, 5.629363951477414786e-10, 2.675499851721701552e-10, 2.675499851721701552e-10, 3.906837549488811862e-10, 1.026258842269434254e-09, 4.377987214498747984e-10, 1.026258842269434254e-09, 2.504264472017289875e-10, 5.629363951477414786e-10, 8.790255299257999915e-10, 3.770139986155934661e-10
2.073000000000000000e+03, 2.901687863876462016e-10, 3.728451212045079259e-10, 4.621141433965221984e-10, 4.621141433965221984e-10, 4.437308584337463130e-10, 6.743057867721727976e-10, 4.869141020018764380e-10, 6.743057867721727976e-10, 2.563874582194770200e-10, 3.728451212045079259e-10, 1.683857896647178087e-10, 5.394726159428599244e-10
2.074000000000000000e+03, 5.929890439124214025e-10, 4.059915156800477100e-10, 2.027627198289933841e-10, 2.027627198289933841e-10, 8.601812385777894576e-10, 1.103613143694589804e-09, 9.093685607838428935e-10, 1.103613143694589804e-09, 2.151082293695495298e-10, 4.059915156800477100e-10, 9.554355294181730509e-10, 3.767020245533521197e-10
2.075000000000000000e+03, 6.066667300906615250e-10, 5.503396211806084669e-10, 2.351658529992673031e-10, 2.351658529992673031e-10, 3.195736956931233621e-10, 5.688763213982617126e-10, 3.660847121815864849e-10, 5.688763213982617126e-10, 2.558189307414133999e-10, 5.503396211806084669e-10, 7.982139846373032690e-10, 3.162293812850152916e-10
2.076000000000000000e+03, 4.554649334155458333e-10, 5.685634493011119083e-10, 3.522643099096766854e-10, 3.522643099096766854e-10, 5.515008712007649037e-10, 7.224101466029211531e-10, 6.077703493956634669e-10, 7.224101466029211531e-10, 2.397668209042671143e-10, 5.685634493011119083e-10, 1.647147643652683873e-09, 5.316069903304614667e-10
2.077000000000000000e+03, 4.033968785432295594e-10, 5.454550011718459442e-10, 3.586632768106242143e-10, 3.586632768106242143e-10, 4.362825648871477156e-10, 7.099092576870634143e-10, 4.926051751552546978e-10, 7.099092576870634143e-10, 2.277934257787145517e-10, 5.454550011718459442e-10, 4.499597623750653204e-10, 3.791959129216678112e-10
2.078000000000000000e+03, 2.026310758309166603e-10, 5.995031940217710510e-10, 2.538684294955162023e-10, 2.538684294955162023e-10, 2.584749826314403992e-10, 9.918748886049829297e-10, 2.941594257883750040e-10, 9.918748886049829297e-10, 2.515752359166706927e-10, 5.995031940217710510e-10, 2.638769144104953969e-10, 3.631724797604110985e-10
2.079000000000000000e+03, 5.950990481595501751e-10, 4.425672977834406331e-10, 2.750659984677292159e-10, 2.750659984677292159e-10, 3.104373450013032506e-10, 1.104135215574503156e-09, 3.631704804864369658e-10, 1.104135215574503156e-09, 2.206255107592142038e-10, 4.425672977834406331e-10, 7.762114383642799668e-10, 4.588121595237259434e-10
2.080000000000000000e+03, 4.149680757775496948e-10, 5.500945357236029670e-10, 4.756889177713175411e-10, 4.756889177713175411e-10, 3.805771810172031211e-10, 1.808670969020904049e-09, 4.194103509226393337e-10, 1.808670969020904049e-09, 2.088396174041962016e-10, 5.500945357236029670e-10, 7.886263856117718423e-10, 5.216405021842913040e-10
2.081000000000000000e+03, 1.943980841966769259e-10, 6.395819627372348651e-10, 3.674077134916099226e-10, 3.674077134916099226e-10, 4.637304749454546317e-10, 9.130715010040350266e-10, 5.092204983739702066e-10, 9.130715010040350266e-10, 2.195434744289735142e-10, 6.395819627372348651e-10, 5.548130347892713402e-10, 3.419376241828959753e-10
2.082000000000000000e+03, 5.415466854019976537e-10, 4.556022688801621508e-10, 1.095834227332758600e-10, 1.095834227332758600e-10, 2.583271546729459371e-10, 1.161679385409078568e-09, 2.986019392499691178e-10, 1.161679385409078568e-09, 2.093321707425205524e-10, 4.556022688801621508e-10, 7.641128402059494609e-10, 4.007851549328899009e-10
2.083000000000000000e+03, 7.802457534567515482e-10, 4.099366203405110404e-10, 1.574647610339424971e-10, 1.574647610339424971e-10, 2.108760337154777329e-10, 7.789401413426514500e-10, 2.588226591347519687e-10, 7.789401413426514500e-10, 2.323053287929297143e-10, 4.099366203405110404e-10, 5.926485113594952178e-10, 4.550908641351159304e-10
2.084000000000000000e+03, 8.291653800395942795e-10, 4.506270632284822163e-10, 4.609268926665502227e-10, 4.609268926665502227e-10, 2.495914297774029305e-10, 9.021558545912958053e-10, 3.097317443794685355e-10, 9.021558545912958053e-10, 2.174546894415429057e-10, 4.506270632284822163e-10, 9.000234640094228735e-10, 3.350843423647976946e-10
2.085000000000000000e+03, 6.735291732248533399e-10, 7.683645400838050609e-10, 2.837589649648643674e-10, 2.837589649648643674e-10, 8.905007864025862215e-10, 7.710915938420472762e-10, 9.584176017195554084e-10, 7.710915938420472762e-10, 2.224424800308580179e-10, 7.683645400838050609e-10, 3.079767718173796947e-10, 2.091377909012424274e-10
2.086000000000000000e+03, 8.741646668345844488e-10, 3.873085316158027657e-10, 2.181783579786659895e-10, 2.181783579786659895e-10, 6.987769991159065854e-10, 5.911371492137512921e-10, 7.587795709302868016e-10, 5.911371492137512921e-10, 1.863244199382017515e-10, 3.873085316158027657e-10, 6.971482391922998363e-10, 1.791580073678315260e-10
2.087000000000000000e+03, 4.123948361748413570e-10, 2.223362210313763962e-10, 2.320722942687076566e-10, 2.320722942687076566e-10, 3.064329495636509101e-10, 8.951978537588700113e-10, 3.653698760257181894e-10, 8.951978537588700113e-10, 2.312584863315867770e-10, 2.223362210313763962e-10, 5.988031772803762886e-10, 1.799933752123787323e-10
2.088000000000000000e+03, 5.354794404492841661e-10, 4.902767162930563165e-10, 2.845106796719685646e-10, 2.845106796719685646e-10, 2.992726182472912179e-10, 9.652784981659845941e-10, 3.540315691888985178e-10, 9.652784981659845941e-10, 1.960782717186600481e-10, 4.902767162930563165e-10, 2.619089848306174043e-10, 4.838929200444699030e-10
2.089000000000000000e+03, 4.532757701512729149e-10, 4.526579380067543976e-10, 2.420624818170367090e-10, 2.420624818170367090e-10, 3.905577782345688181e-10, 7.117089706451897920e-10, 4.530520741808810293e-10, 7.117089706451897920e-10, 2.239892546028605679e-10, 4.526579380067543976e-10, 3.543172898541196650e-10, 4.781208549490027465e-10
2.090000000000000000e+03, 4.666281121300292938e-10, 5.322127070866850211e-10, 4.651315919000781995e-10, 4.651315919000781995e-10, 4.251622686825320551e-10, 1.157233608392585718e-09, 4.840383617981934061e-10, 1.157233608392585718e-09, 2.164558504886870517e-10, 5.322127070866850211e-10, 1.078156357566241745e-09, 5.756086572252292190e-10
2.091000000000000000e+03, 6.404530184752713225e-10, 8.263581622328631189e-10, 4.284992169690974376e-10, 4.284992169690974376e-10, 2.938265855542960496e-10, 1.029643887353757127e-09, 3.527141217988956983e-10, 1.029643887353757127e-09, 2.274622570425706043e-10, 8.263581622328631189e-10, 1.267600740417660484e-09, 6.190154335908894836e-10
2.092000000000000000e+03, 2.701341533367032885e-10, 4.301582257770971985e-10, 1.201916630205863389e-10, 1.201916630205863389e-10, 3.613553162674826454e-10, 9.229800820713546518e-10, 4.212004564061785176e-10, 9.229800820713546518e-10, 2.262952296323779388e-10, 4.301582257770971985e-10, 3.303137617104456413e-10, 3.068170505626022633e-10
2.093000000000000000e+03, 6.413592385488952201e-10, 5.851696985119729717e-10, 3.090525904177687485e-10, 3.090525904177687485e-10, 3.411682405693185740e-10, 4.807268827131075466e-10, 4.009666472726385191e-10, 4.807268827131075466e-10, 2.079072160277356806e-10, 5.851696985119729717e-10, 1.389902684179833875e-10, 4.559115270469462108e-10
2.094000000000000000e+03, 4.116576828315474505e-10, 4.456527379747010147e-10, 6.252592661046344675e-10, 6.252592661046344675e-10, 3.855546075869618885e-10, 9.050461332038258355e-10, 4.465204321311873461e-10, 9.050461332038258355e-10, 2.515044246449673336e-10, 4.456527379747010147e-10, 3.643765331195808174e-10, 3.476512246745743377e-10
2.095000000000000000e+03, 3.605729631706288649e-10, 3.037714309746170651e-10, 2.195096808341815810e-10, 2.195096808341815810e-10, 4.685847718686023475e-10, 5.151796228459862793e-10, 5.352640376316142738e-10, 5.151796228459862793e-10, 1.966285303560075125e-10, 3.037714309746170651e-10, 2.316971839716403236e-09, 3.656180816087856444e-10
