year, INM-CM4-8, CESM2-WACCM, MIROC-ES2L, IPSL-CM6A-LR, NorESM2-MM, UKESM1-0-LL, GFDL-ESM4, EC-Earth3-Veg, ACCESS-ESM1-5, CNRM-ESM2-1, CMCC-CM2-SR5, TaiESM1, MPI-ESM1-2-LR, CanESM5, INM-CM5-0, NorESM2-LM
2.033000000000000000e+03, 3.975242813167517042e+00, 1.542820790326033142e+00, 1.475774017481305656e+00, 2.294838191486200163e+00, 2.179450934992516409e+00, 1.932871796086239824e+00, 1.495773321668168121e+00, 2.630857066020558133e+00, 1.558692868543611221e+00, 1.455850452929935646e+00, 1.525618600989243623e+00, 1.637484521834830398e+00, 2.717525816669859928e+00, 3.501766466894048246e+00, 3.276332526418009650e+00, 2.173265738459308594e+00
2.034000000000000000e+03, 4.106373122254145080e+00, 1.767101038224716758e+00, 1.407555911706074081e+00, 3.098226267067338835e+00, 1.780189576542428931e+00, 1.203615272274436210e+00, 1.247098990578522137e+00, 3.341422020153451911e+00, 1.638882246618968308e+00, 1.660257609564736114e+00, 2.068874500855717447e+00, 1.860577694177958374e+00, 2.500751730552738916e+00, 4.056122286749399564e+00, 3.312418425687319257e+00, 2.010825770797790124e+00
2.035000000000000000e+03, 4.266357829249023403e+00, 1.963769882611873685e+00, 1.667390515515139615e+00, 2.875851374766932977e+00, 2.130282234129540431e+00, 1.383684575470699452e+00, 1.738304054222256312e+00, 3.008987122244621837e+00, 1.438205115842571491e+00, 2.216467622132952453e+00, 2.242286006726486924e+00, 2.357019900705166648e+00, 1.670630451518058557e+00, 3.353521141369379510e+00, 3.823907681955770688e+00, 1.968876106080689858e+00
2.036000000000000000e+03, 4.335161017924491489e+00, 2.038759969206009437e+00, 1.696234482567630097e+00, 3.552014763060928448e+00, 2.164006659002574828e+00, 9.993249885530496313e-01, 1.258188196663518665e+00, 3.029203462023307036e+00, 1.341415117005890334e+00, 1.540642816317951080e+00, 2.271425163446331386e+00, 1.363094995713081348e+00, 9.078901729880514138e-01, 3.514414094894920737e+00, 4.144234061882110964e+00, 1.874209679992921984e+00
2.037000000000000000e+03, 4.086919062088287369e+00, 2.140806434650068368e+00, 1.690628388277454652e+00, 2.815550402389823237e+00, 1.729663631397772239e+00, 9.042124174132952774e-01, 1.315939607283937995e+00, 2.671228398186764608e+00, 1.091678970009266170e+00, 1.189831567766317377e+00, 1.710994220881412398e+00, 1.667463978746521747e+00, 2.637962711054693266e+00, 4.997852559441127163e+00, 4.260418058892454951e+00, 1.689796931410917136e+00
2.038000000000000000e+03, 3.865122662054748748e+00, 1.779121308574352245e+00, 1.589227882381560875e+00, 2.286266388435207908e+00, 2.081348273504270985e+00, 1.379817970185008402e+00, 1.688936510311067396e+00, 2.456323979762811138e+00, 9.057164926931645654e-01, 2.080418631422590536e+00, 2.218941198531677372e+00, 2.249967825602335658e+00, 1.420917681066709015e+00, 4.196590998383856963e+00, 3.888065251075141671e+00, 1.818003537345227238e+00
2.039000000000000000e+03, 3.751614904147493323e+00, 1.747753785960169948e+00, 1.682093367439242870e+00, 2.976168156436803880e+00, 2.277973781748195758e+00, 1.330935268688822948e+00, 1.339424721880720703e+00, 2.698765799073250093e+00, 9.241392126991599953e-01, 1.395321012941730388e+00, 2.200239588356627696e+00, 1.918029604939599730e+00, 1.092844205869546892e+00, 3.425172194671493475e+00, 3.182982545226042514e+00, 1.796360797549239718e+00
2.040000000000000000e+03, 4.046890300963165821e+00, 2.083278203828704100e+00, 1.894593688029747813e+00, 3.349241162960844953e+00, 1.745619199947872069e+00, 1.353569548136329903e+00, 1.831454015605657126e+00, 2.879866906942075033e+00, 1.248023241230464153e+00, 2.369013912500137486e+00, 1.557728849240263669e+00, 1.928344488612356855e+00, 1.599740755673830783e+00, 3.553617464954292426e+00, 3.488336986416430641e+00, 1.711933042047777187e+00
2.041000000000000000e+03, 4.184708596965938554e+00, 1.732799029117575440e+00, 1.914819988501015979e+00, 2.901659551081917865e+00, 1.648610164029894021e+00, 1.854716202030821659e+00, 1.301277087462466175e+00, 2.993669412551716036e+00, 1.320166137428216313e+00, 2.190665826633267699e+00, 2.405943590334203463e+00, 1.853590606689049292e+00, 1.579913921477152927e+00, 3.561033507727837222e+00, 4.008062343295518914e+00, 1.879324609394539047e+00
2.042000000000000000e+03, 4.685959294852431789e+00, 1.919959040725509158e+00, 1.698394203875191355e+00, 1.775815795057289037e+00, 1.864552525285260831e+00, 1.378392984494513085e+00, 1.515176584869104337e+00, 2.246172314423446448e+00, 1.096996903918021626e+00, 1.630414692691843248e+00, 2.407627351700135421e+00, 1.378085507672219379e+00, 1.206511656873051841e+00, 3.723700156246998461e+00, 4.003550744244677162e+00, 1.802827409569333517e+00
2.043000000000000000e+03, 4.042195159347722111e+00, 1.815511413760965809e+00, 1.205216946940184330e+00, 3.472773746779497461e+00, 1.524285148988365757e+00, 6.135085108597790882e-01, 1.598511276201414644e+00, 3.924194039923632804e+00, 8.914515115900846220e-01, 1.524185451010687142e+00, 2.188804010166589986e+00, 2.131475127666534242e+00, 1.972912020153517521e+00, 3.747266837637751369e+00, 3.322216991729943114e+00, 1.843745390985206178e+00
2.044000000000000000e+03, 3.828568388502077369e+00, 1.843025435490796449e+00, 1.394861309730882848e+00, 2.593990945678986915e+00, 1.703675836568164792e+00, 1.380447937056736185e+00, 1.976897387388404592e+00, 2.660105422717978563e+00, 1.078676010859737078e+00, 1.962393979792194543e+00, 2.096715303066596814e+00, 1.824021830215659001e+00, 1.368000223780311719e+00, 3.760749409565476764e+00, 3.916276891796660831e+00, 1.949196920467199279e+00
2.045000000000000000e+03, 3.452858300453850671e+00, 2.072827044157148801e+00, 1.579340312333150864e+00, 2.645461815248770776e+00, 2.203386624031344887e+00, 1.036210588425734880e+00, 1.334669063740752115e+00, 3.015639880675537121e+00, 1.466304231007154346e+00, 1.787815189364872159e+00, 1.948883114998964938e+00, 1.867315036486901558e+00, 3.385419178604168078e+00, 3.805119661529348996e+00, 3.994049212967378359e+00, 2.381173528940914608e+00
2.046000000000000000e+03, 4.329870276402058238e+00, 1.964736724962020009e+00, 1.682801969145388599e+00, 2.971529163705560528e+00, 1.569475394086093711e+00, 1.048492761085042524e+00, 1.056572851794338241e+00, 2.461303489543197554e+00, 1.742039252589980158e+00, 1.824359220134788240e+00, 1.896462512208185514e+00, 2.433358419598552924e+00, 2.378806081901671643e+00, 3.646132421873156115e+00, 3.678339412272661146e+00, 2.075328979945339380e+00
2.047000000000000000e+03, 3.935148610071288022e+00, 1.999135077806402316e+00, 1.357590991415255965e+00, 3.153626445022789326e+00, 1.859055666667565943e+00, 1.079136658272683347e+00, 1.310456006505591686e+00, 3.723506557166264219e+00, 1.812748048266562995e+00, 1.700737804015441945e+00, 2.272079453931167947e+00, 1.606254075093974665e+00, 2.374684901361836964e+00, 4.538729424114024802e+00, 3.662662424018682472e+00, 1.794030524337743016e+00
2.048000000000000000e+03, 3.451280959923396008e+00, 1.607377089575694251e+00, 1.332713868013377878e+00, 3.323976496347624376e+00, 2.309406792131148745e+00, 2.013801702007282923e+00, 1.484825244131265487e+00, 2.669556740344309453e+00, 1.708796604472616831e+00, 1.848491819157954463e+00, 2.371530560947474608e+00, 1.327694782124520190e+00, 1.391605077845568861e+00, 4.731442671411666190e+00, 3.079826644748741682e+00, 1.516225517372268738e+00
2.049000000000000000e+03, 3.923138959141246218e+00, 1.781044332938675590e+00, 1.482825746490312069e+00, 2.716574114035834597e+00, 2.183917585585367860e+00, 1.871123116733469427e+00, 1.268790595461682047e+00, 1.602973721877071656e+00, 9.519651416335196403e-01, 1.392790042331789380e+00, 2.165167419419400829e+00, 2.097572839963341096e+00, 2.017524559831173292e+00, 4.596568343612854157e+00, 3.321450130986621563e+00, 1.770157282018632428e+00
2.050000000000000000e+03, 3.925641703987187814e+00, 1.276233083696690640e+00, 1.515279934709252041e+00, 1.884578721590847161e+00, 1.859837163975355923e+00, 1.524724033549208047e+00, 1.623291316307371890e+00, 3.378466052510766815e+00, 7.964992229877958518e-01, 1.986109303210513710e+00, 1.748145839067546836e+00, 2.320434535784849039e+00, 2.277748569026528003e+00, 4.178913814166677732e+00, 3.128768653459745863e+00, 1.882101767197801978e+00
2.051000000000000000e+03, 3.831581743655124939e+00, 1.572579611540789735e+00, 1.555021674500222106e+00, 2.750502615984924848e+00, 1.991696700792781050e+00, 1.234344807042525582e+00, 1.780554203155614745e+00, 3.634222272238532447e+00, 9.283732496213809027e-01, 1.223448145227812756e+00, 1.660580828545791476e+00, 1.636977936309829129e+00, 1.736183269822352049e+00, 4.358612845889255460e+00, 3.230859700459159267e+00, 2.117381614692572356e+00
2.052000000000000000e+03, 4.070109036406706515e+00, 1.761217597462108042e+00, 1.583945091209082889e+00, 3.197415664153834935e+00, 2.404869277247606796e+00, 2.055196079300792622e+00, 1.497320635423330826e+00, 3.050835478778556986e+00, 1.500699350491230488e+00, 1.299731217927047711e+00, 1.876099522745983572e+00, 1.448912689558851330e+00, 2.190140844150819888e+00, 4.772105141294971986e+00, 3.792788127786611341e+00, 2.057999617811342663e+00
2.053000000000000000e+03, 4.129746837706944618e+00, 1.684751589058075982e+00, 1.817832937367019897e+00, 3.216098164822193350e+00, 2.232259695831350754e+00, 1.192654023093272952e+00, 1.818950010635068004e+00, 2.218560839128309592e+00, 1.345270808876967816e+00, 1.954612270133905261e+00, 2.861067714142303764e+00, 1.756289522972619199e+00, 1.733812441542036398e+00, 3.590024856761703465e+00, 3.972694608165584285e+00, 1.973710293307961550e+00
2.054000000000000000e+03, 3.557795256614845858e+00, 1.818400175741623936e+00, 1.609788579430201150e+00, 3.727557944457813299e+00, 1.905629366742155995e+00, 1.540155899258485839e+00, 1.660691328081201013e+00, 3.079657414401348436e+00, 1.559072187270205800e+00, 1.928811218636896418e+00, 1.873493978081178124e+00, 2.424931687342768427e+00, 1.294511958263317997e+00, 3.494363982884714392e+00, 3.963016493551127173e+00, 1.954517940996602476e+00
2.055000000000000000e+03, 4.706602167623869626e+00, 2.232659651921324873e+00, 1.354354476519676220e+00, 3.483678543312807463e+00, 2.209626528788080524e+00, 1.162858145130278631e+00, 9.217567797686337938e-01, 2.539463209699500901e+00, 1.766284142936068280e+00, 1.818250191327643206e+00, 1.501386909752994825e+00, 1.549769244211532060e+00, 2.078685528733466015e+00, 4.315075152168183159e+00, 3.561324762038428737e+00, 2.453172329778384508e+00
2.056000000000000000e+03, 3.995912654470008984e+00, 2.446416798452397678e+00, 1.438124657137755724e+00, 2.320533321193983589e+00, 2.227914515553203412e+00, 1.277202754160375875e+00, 1.277818796639672572e+00, 2.822835271565119708e+00, 1.760079472705392112e+00, 2.097670821367747074e+00, 2.233493769976923726e+00, 1.678023792747641574e+00, 1.837244415271763520e+00, 3.863778840349415322e+00, 3.617032322209299711e+00, 1.915918251466099953e+00
2.057000000000000000e+03, 3.750818605908095016e+00, 1.937229160400487871e+00, 1.426361187395440711e+00, 2.919424885232256184e+00, 2.020755204975388963e+00, 1.656061296803376104e+00, 1.197470078867622467e+00, 2.621133288189114285e+00, 1.654300568885850087e+00, 1.510779112053943329e+00, 2.299210740018633459e+00, 1.785379656104846280e+00, 2.220466076491983465e+00, 3.948324177071245611e+00, 3.378917458831040221e+00, 1.453070055039938246e+00
2.058000000000000000e+03, 3.932902361743805919e+00, 1.741683151785196726e+00, 1.501903380200604099e+00, 2.639365415116452951e+00, 2.075097730132645868e+00, 1.289908942020755012e+00, 1.924808548773644379e+00, 3.139502426848046923e+00, 1.211756672218723629e+00, 2.185695556466993761e+00, 2.037323043040625947e+00, 1.547748961017996416e+00, 2.104032190396879276e+00, 3.704307650319422329e+00, 3.853077336123241547e+00, 1.306965130499132766e+00
2.059000000000000000e+03, 4.296156297580983718e+00, 2.452118107161078697e+00, 1.600888958971933729e+00, 2.770097184515482702e+00, 2.053745835730643510e+00, 1.262821162138687781e+00, 2.058522904067162873e+00, 2.374826518957796395e+00, 1.337545860153504185e+00, 1.649094694748240553e+00, 1.779510630515064751e+00, 1.969939344467762199e+00, 2.284479393769694333e+00, 3.968609554857415844e+00, 3.539952286405479764e+00, 1.523562368015509261e+00
2.060000000000000000e+03, 4.174660826795201451e+00, 2.075932112860555456e+00, 1.335056130090440440e+00, 3.506750143037040246e+00, 1.817496768032726306e+00, 1.048674368755312392e+00, 1.319252348911390316e+00, 4.141976992122843093e+00, 1.765105488640868137e+00, 1.234049716537561681e+00, 1.366875594512199088e+00, 2.057924306161227346e+00, 1.249253763183173493e+00, 4.004034320832354332e+00, 3.502483387945457771e+00, 1.892677506290144640e+00
2.061000000000000000e+03, 3.748028756814928197e+00, 1.937055760574430963e+00, 1.612312707820687141e+00, 3.528101372672423963e+00, 1.637062283997185119e+00, 2.012889466273699579e+00, 1.075550675826837610e+00, 3.227242558749119361e+00, 1.609156323735801086e+00, 2.264669071746412854e+00, 2.538266520625751088e+00, 1.884260682712241231e+00, 1.428922410934954312e+00, 3.994873907726716133e+00, 3.700160155673880347e+00, 1.543290866058923294e+00
2.062000000000000000e+03, 4.528799934754077938e+00, 2.146742150451232956e+00, 1.690762302400543593e+00, 2.585899323936882599e+00, 1.680457374365459833e+00, 1.698407433094748953e+00, 1.305724838065551285e+00, 3.453866402230172383e+00, 1.579124842850544885e+00, 1.548311974434253502e+00, 2.634241194365327221e+00, 1.480915110757069719e+00, 2.617048248542652722e+00, 3.908525516247703280e+00, 3.348617891130659885e+00, 1.540427644193588019e+00
2.063000000000000000e+03, 3.830855688098008027e+00, 1.523578036483069331e+00, 1.459223249753327289e+00, 2.269833412809346029e+00, 1.753166208646778967e+00, 1.280545787680040570e+00, 1.540057168353074157e+00, 2.361913008819992221e+00, 1.264691652392345045e+00, 1.751686242282406880e+00, 2.016493457140933199e+00, 2.274191861931166958e+00, 3.175199647649416423e+00, 3.873634578816405494e+00, 3.507905770321477323e+00, 1.959686377874241048e+00
2.064000000000000000e+03, 4.021012802066220360e+00, 1.483048149747622224e+00, 1.560817561740281967e+00, 2.986680570876284690e+00, 1.932335319339329116e+00, 1.145657809822046236e+00, 1.508792556075442715e+00, 3.452259110736862979e+00, 1.652352265501926931e+00, 2.290542263668792877e+00, 2.171692014397838655e+00, 1.789541811369165014e+00, 1.348782780901805811e+00, 3.621689600299055734e+00, 3.272785322041363187e+00, 2.172355152858977512e+00
2.065000000000000000e+03, 4.266459770253743677e+00, 1.257783700593487763e+00, 1.620446838778251131e+00, 2.814490650604498434e+00, 2.555336615316882831e+00, 2.322862559826371243e+00, 1.120429289913125848e+00, 2.384718453619252720e+00, 1.819574226536522898e+00, 1.679319675413950552e+00, 1.577248772334322258e+00, 1.477519858656132667e+00, 1.457936369113370656e+00, 4.009631774222460088e+00, 3.504042891861267162e+00, 1.882184417252781294e+00
2.066000000000000000e+03, 4.099336942920247751e+00, 2.253186939282057377e+00, 1.631555617555755511e+00, 3.341945346502519509e+00, 2.209128872310948566e+00, 1.446947973359138162e+00, 1.058648757035787424e+00, 3.245983012803395074e+00, 1.597078899579814637e+00, 1.905095748110587905e+00, 1.779007110117106993e+00, 2.404864449482592370e+00, 1.959521050949735832e+00, 3.838351198587637736e+00, 3.560350349464115105e+00, 1.429344144123884108e+00
2.067000000000000000e+03, 4.123217616307631950e+00, 2.006259477438466554e+00, 1.638070605409345015e+00, 3.869482373829387090e+00, 2.094928105123972095e+00, 7.531086699656545091e-01, 1.260701140756868011e+00, 2.303321787959590861e+00, 1.365885939899711854e+00, 2.682050724742112813e+00, 2.538279003526116018e+00, 2.282842055970506046e+00, 2.903578368269017496e+00, 4.359232411494167181e+00, 3.357282547264992090e+00, 2.002181853542864598e+00
2.068000000000000000e+03, 4.152241371256804037e+00, 1.637747903061352428e+00, 1.556899793368949458e+00, 3.130465481293303487e+00, 2.301044893108781242e+00, 2.165474746497316527e+00, 1.317573471525655959e+00, 2.984313724941213941e+00, 1.664639206090222645e+00, 2.339706419967351181e+00, 2.598546898873897337e+00, 1.359006340127069112e+00, 1.234205962610708474e+00, 4.788763071270581761e+00, 3.621368145178462949e+00, 1.985705871663897337e+00
2.069000000000000000e+03, 4.112906812752719077e+00, 1.865753522937965370e+00, 1.847254707947790786e+00, 3.083436187949778695e+00, 1.878664383649186531e+00, 1.250085688005471374e+00, 1.197310744238321290e+00, 2.462692473645493152e+00, 1.311460866957192994e+00, 1.807061855813196116e+00, 1.980136103028143912e+00, 1.537703510139119878e+00, 2.219449307824073347e+00, 3.811135295052361371e+00, 3.426115769399748601e+00, 1.987794619363581372e+00
2.070000000000000000e+03, 4.359963534462807822e+00, 2.350971885325584765e+00, 1.910131104156382209e+00, 2.543037289493258690e+00, 2.058500439008904337e+00, 1.191002719061344139e+00, 1.451398403460376407e+00, 3.951649995423203610e+00, 8.493965618834866671e-01, 1.441167558486342815e+00, 2.064903592258764853e+00, 2.032172043056899025e+00, 2.688013183076220169e+00, 3.696365651227322857e+00, 3.726876372602541121e+00, 1.985453347094512155e+00
2.071000000000000000e+03, 4.271586953421689259e+00, 1.950300670434737427e+00, 1.893855393484286775e+00, 2.613145653258833523e+00, 1.881862751822501734e+00, 1.723028054483879412e+00, 1.760157864495122126e+00, 2.674030852657974133e+00, 7.726050757846588679e-01, 1.938620412136345950e+00, 2.139836936649185617e+00, 1.915507866197057263e+00, 2.117241841265902647e+00, 3.494763197811196154e+00, 3.719210613515831376e+00, 2.160286618118295809e+00
2.072000000000000000e+03, 3.835004681450812303e+00, 1.856130043931955687e+00, 1.636285523436927791e+00, 3.494759953525651053e+00, 1.819890178404828252e+00, 1.549010213616518472e+00, 1.719649208919495686e+00, 3.696731291972068956e+00, 1.168445061855102107e+00, 1.610778644235487000e+00, 1.859080640667877704e+00, 1.912933843163369563e+00, 2.235941123071041758e+00, 3.902812569242652518e+00, 3.101353054230000073e+00, 2.081206452047168920e+00
2.073000000000000000e+03, 3.962610871924403089e+00, 2.528148056125878451e+00, 1.575767904630968275e+00, 3.443044133262815443e+00, 2.092076637342113354e+00, 1.438501671254526659e+00, 1.581469821085874417e+00, 3.161027973879535491e+00, 1.578408109960827588e+00, 1.664526619481495828e+00, 1.801821835578178543e+00, 1.539913712659823242e+00, 1.356121553242602973e+00, 4.150827572390531017e+00, 3.268767420551323966e+00, 1.726059434944129833e+00
2.074000000000000000e+03, 4.307911413370601572e+00, 1.821499431106066602e+00, 1.577918492268362005e+00, 3.299018319239349406e+00, 2.234390982160258332e+00, 8.023784483341087626e-01, 1.477304608104297978e+00, 3.327827613242477334e+00, 1.386196443206070050e+00, 2.063830685032243206e+00, 2.429532446631750719e+00, 2.145458926974871616e+00, 2.330637928366347200e+00, 4.070507876748687970e+00, 4.249447094912762068e+00, 1.607751951837651516e+00
2.075000000000000000e+03, 3.703669630544246250e+00, 1.574585193549981055e+00, 1.668713264297893684e+00, 2.748290723737714991e+00, 1.978494323077062411e+00, 1.336756612243874320e+00, 1.666386673722797473e+00, 2.045186887782131979e+00, 1.414016218938318303e+00, 1.424145191173499914e+00, 2.683106197394934611e+00, 1.887070410532269538e+00, 2.264844051774897338e+00, 3.906426428909825166e+00, 4.073534408781197769e+00, 2.055411370740737098e+00
2.076000000000000000e+03, 4.048511396652992644e+00, 1.969460748549494822e+00, 1.741189253447792185e+00, 2.724736602933930829e+00, 2.105217093613574342e+00, 1.449754402176797408e+00, 1.999164143795356230e+00, 2.212629383613431866e+00, 1.542560750077791587e+00, 1.675092014544523389e+00, 2.023078954990712663e+00, 1.568192635355348363e+00, 2.189819600948217371e+00, 4.032539040820247500e+00, 3.206997617906345077e+00, 1.612319871315540887e+00
