year, CESM2-WACCM, EC-Earth3-Veg, IPSL-CM6A-LR, CNRM-ESM2-1, MPI-ESM1-2-LR, CMCC-CM2-SR5, ACCESS-ESM1-5, UKESM1-0-LL, MIROC-ES2L
2.052000000000000000e+03, 1.549035853068414792e-01, 5.593410184896089807e-03, 4.977107341976542282e-02, 1.073859386426368259e-02, 1.465103950859732995e-01, 1.013718703376279284e-01, 2.238331604899370941e-01, 2.160096721396494103e-04, 1.545968993577337414e-01
2.053000000000000000e+03, 1.524294334922002836e-01, 5.394370111288088881e-03, 4.931317041809123863e-02, 9.652287895517261754e-03, 1.495054631242772880e-01, 1.012359154276237655e-01, 2.246094881183744452e-01, 2.045379815497326299e-04, 1.552527740329887884e-01
2.054000000000000000e+03, 1.516481461778125261e-01, 5.203451012326758100e-03, 4.903956422696526679e-02, 8.804881951530809520e-03, 1.488983029224273946e-01, 1.011056395022505161e-01, 2.295406363716739340e-01, 2.010086548497061151e-04, 1.559440872724654759e-01
2.055000000000000000e+03, 1.586620848497404812e-01, 5.022067047203687858e-03, 4.914571041453295874e-02, 8.511934371074503236e-03, 1.477155417856068631e-01, 1.009606554977645204e-01, 2.300967019040053574e-01, 1.915904472534400401e-04, 1.542385447105977248e-01
2.056000000000000000e+03, 1.579955490926749917e-01, 4.851559041571492856e-03, 4.839531514365159187e-02, 8.115948087947596687e-03, 1.447801985491614374e-01, 1.008052535385459275e-01, 2.352128705174624246e-01, 1.808298587975758860e-04, 1.515255350407886392e-01
2.057000000000000000e+03, 1.556896289417632750e-01, 4.688005421456305048e-03, 4.775625700600926588e-02, 7.732422979848676235e-03, 1.448289963891928600e-01, 1.006796895268524394e-01, 2.359898199487549253e-01, 1.760658696152359298e-04, 1.490615301249380020e-01
2.058000000000000000e+03, 1.482243903041379485e-01, 4.530262622754718631e-03, 4.725264814475792913e-02, 7.357484950026660711e-03, 1.573956917716314574e-01, 1.005775752565007120e-01, 2.375513134320826891e-01, 1.709419817590883883e-04, 1.469353836238072586e-01
2.059000000000000000e+03, 1.535624542602030129e-01, 4.379530184522585981e-03, 4.657858473417372108e-02, 7.005795150670905864e-03, 1.538390359075021696e-01, 1.004918511501498718e-01, 2.422084659456219535e-01, 1.634441132150018562e-04, 1.453555622981434203e-01
2.060000000000000000e+03, 1.513493640391566641e-01, 4.233474330217863561e-03, 4.593601486642893972e-02, 6.660623419060764452e-03, 1.490708548979844950e-01, 1.003754349271766683e-01, 2.436276130681508389e-01, 1.584569814554276867e-04, 1.424463425513106951e-01
2.061000000000000000e+03, 1.480566818014280306e-01, 4.076132823639639670e-03, 4.481933772941065069e-02, 6.258864575710620937e-03, 1.434589765928913352e-01, 1.002460841286649390e-01, 2.435689558691817025e-01, 1.556351930985083168e-04, 1.399053276752686981e-01
2.062000000000000000e+03, 1.491476236309801640e-01, 3.923965949477520657e-03, 4.393528391521400039e-02, 5.895131806420508998e-03, 1.534434143573698006e-01, 1.001226804887733191e-01, 2.442161332290660458e-01, 1.546869642730120406e-04, 1.389816364995175579e-01
2.063000000000000000e+03, 1.432545246543368567e-01, 3.778163365174500195e-03, 4.330997597787718950e-02, 5.546772760306521027e-03, 1.570251578069901677e-01, 1.000053810498728185e-01, 2.459972677723701595e-01, 1.513952303436299357e-04, 1.385828084369190583e-01
2.064000000000000000e+03, 1.441405529413433140e-01, 3.638828287473703897e-03, 4.272994984005942104e-02, 5.220378016264600254e-03, 1.546054601614970936e-01, 9.991376012603385426e-02, 2.466671649966481195e-01, 1.443313115133537249e-04, 1.377504714701930644e-01
2.065000000000000000e+03, 1.372607431268100531e-01, 3.505463812898307590e-03, 4.232683036238956559e-02, 4.886743009570308771e-03, 1.448693085562812455e-01, 9.996060456421528018e-02, 2.466648249637705681e-01, 1.453884657840569792e-04, 1.396194354872055954e-01
2.066000000000000000e+03, 1.477457242802675819e-01, 3.387822434409802370e-03, 4.265889918144667031e-02, 4.760810944942235438e-03, 1.415194539621979775e-01, 1.001128776734884623e-01, 2.497709358296179849e-01, 1.565407062520190410e-04, 1.406348075660487917e-01
2.067000000000000000e+03, 1.489448332578461598e-01, 3.276755184976945338e-03, 4.292010761977409217e-02, 4.643747295234180138e-03, 1.488061574714759083e-01, 1.002262092629254281e-01, 2.481409267584630818e-01, 1.571931267406226601e-04, 1.424573693668901020e-01
2.068000000000000000e+03, 1.458334855252014783e-01, 3.170213396845304732e-03, 4.302617944228966096e-02, 4.521371158189704982e-03, 1.488067708487529339e-01, 1.002912081915635079e-01, 2.512412995770083590e-01, 1.688035118827887094e-04, 1.425195108273201172e-01
2.069000000000000000e+03, 1.408382826472569793e-01, 3.067429211180324519e-03, 4.311047743433889939e-02, 4.376924279193445191e-03, 1.440221501089493372e-01, 1.003289047638616788e-01, 2.497545317879923676e-01, 1.870834386436788586e-04, 1.424965707038301777e-01
2.070000000000000000e+03, 1.445568816638743148e-01, 2.968964656021970839e-03, 4.317141693036125050e-02, 4.219914354391239401e-03, 1.490986937677030721e-01, 1.005873330430371720e-01, 2.543315344525842181e-01, 1.767110891007976994e-04, 1.444088806770659206e-01
2.071000000000000000e+03, 1.438911464567904919e-01, 2.888592874416648620e-03, 4.313514574727927986e-02, 4.054577071140677731e-03, 1.581715640111197585e-01, 1.010334727992271697e-01, 2.561781579454330826e-01, 1.910136989125454010e-04, 1.482935826801548562e-01
2.072000000000000000e+03, 1.464273976019309920e-01, 2.814423017124307105e-03, 4.331383418755348907e-02, 3.889461761715495673e-03, 1.538738169595849081e-01, 1.014315585102799760e-01, 2.586448615027959197e-01, 2.008808715681840941e-04, 1.506730746286341904e-01
2.073000000000000000e+03, 1.531223187253704099e-01, 2.744462804813634603e-03, 4.325663620753208982e-02, 3.690905016126510684e-03, 1.471180954983122291e-01, 1.023413273322773681e-01, 2.595767655352812509e-01, 1.903084116149537995e-04, 1.499973280986569291e-01
2.074000000000000000e+03, 1.487529019163706667e-01, 2.683007318589737764e-03, 4.306020590374905199e-02, 3.522006660637761345e-03, 1.459552809407367036e-01, 1.038278680271581406e-01, 2.609135489620628134e-01, 1.833140225563889808e-04, 1.489317691704321323e-01
2.075000000000000000e+03, 1.496587452769541637e-01, 2.625997632527445926e-03, 4.254958351242719983e-02, 3.297558009294423217e-03, 1.515322804352948471e-01, 1.058420593739566179e-01, 2.618433648519763457e-01, 1.868742105566907217e-04, 1.559603354314915424e-01
2.076000000000000000e+03, 1.527087628485888915e-01, 2.562634910088003922e-03, 4.417837409268372123e-02, 4.784120998833696521e-03, 1.529446252554766683e-01, 1.078097912542463899e-01, 2.630527259651707084e-01, 1.951551577034129075e-04, 1.594079456981230825e-01
2.077000000000000000e+03, 1.560472909149588638e-01, 2.501298483337691808e-03, 4.552982720777019182e-02, 6.090842403448932206e-03, 1.556853500324291151e-01, 1.089048248650280187e-01, 2.626990278009221913e-01, 3.786156514716675797e-04, 1.624148118350172976e-01
2.078000000000000000e+03, 1.678315438468588883e-01, 2.451874629274609571e-03, 4.656436097302368848e-02, 7.241005495984912006e-03, 1.516914162576680214e-01, 1.095316903084680021e-01, 2.629537080590810816e-01, 1.234113345226556767e-03, 1.633726576539762665e-01
2.079000000000000000e+03, 1.706240415408426525e-01, 2.411822332808480959e-03, 4.747303219252107381e-02, 8.164525378388701182e-03, 1.506628432373912641e-01, 1.100307035374345627e-01, 2.628180435563868822e-01, 1.729082853727591934e-03, 1.623464307221019198e-01
2.080000000000000000e+03, 1.672808124963018339e-01, 2.374736808494237392e-03, 4.807563946354306145e-02, 9.023876332988949034e-03, 1.561067865597211002e-01, 1.102150942111322918e-01, 2.646238424296057934e-01, 1.935173881351391493e-03, 1.571044712207139149e-01
2.081000000000000000e+03, 1.703082333903121470e-01, 2.336377530387854454e-03, 4.717290321838370909e-02, 8.700399522129814364e-03, 1.575835184899382069e-01, 1.101660539229825514e-01, 2.646693724171612083e-01, 2.168559200259511256e-03, 1.552306750287453518e-01
2.082000000000000000e+03, 1.702708485248369819e-01, 2.289577827742038645e-03, 4.637159231030424378e-02, 8.352473897584096474e-03, 1.569324751783784111e-01, 1.101155294668739876e-01, 2.696705259604243454e-01, 2.403697931873378588e-03, 1.540932097724625194e-01
2.083000000000000000e+03, 1.716915915625590872e-01, 2.267400696635757905e-03, 4.563274876117029422e-02, 8.079414596454169081e-03, 1.592853877585931055e-01, 1.100547403427407089e-01, 2.707352543059545757e-01, 2.627632892385476249e-03, 1.532302459236001835e-01
2.084000000000000000e+03, 1.706556912309232787e-01, 2.267546553066237397e-03, 4.462212852026065796e-02, 8.045782994809678665e-03, 1.560137270443729962e-01, 1.099714587130451449e-01, 2.721789465428439692e-01, 2.835790215236723769e-03, 1.519718512228442342e-01
2.085000000000000000e+03, 1.693212113456159240e-01, 2.242884086456572914e-03, 4.384713966699751997e-02, 7.840041695106143502e-03, 1.472963616794730202e-01, 1.095719383556661708e-01, 2.736627335784623805e-01, 2.985217617766943582e-03, 1.447644664832888062e-01
2.086000000000000000e+03, 1.665353255713605540e-01, 2.167582596379558947e-03, 4.145288524931309976e-02, 6.907408569192384495e-03, 1.414416748930053258e-01, 1.089165360732466253e-01, 2.755867116698296204e-01, 2.899589460407181723e-03, 1.416297580508371901e-01
2.087000000000000000e+03, 1.642675358511945238e-01, 2.095235584702146922e-03, 3.929761385796853856e-02, 6.098767162174055165e-03, 1.405035301438885276e-01, 1.083141867814464004e-01, 2.762758464037586847e-01, 2.910239818014914281e-03, 1.418598207286840829e-01
2.088000000000000000e+03, 1.711457153054098124e-01, 2.027195756690356506e-03, 3.770886939700639900e-02, 5.440901910688563346e-03, 1.479656254828796980e-01, 1.077396376302799386e-01, 2.768300104131009021e-01, 2.955233852477594843e-03, 1.414181621146957391e-01
2.089000000000000000e+03, 1.633079971798579721e-01, 1.963872896702958167e-03, 3.632772933579143243e-02, 4.846024357798153076e-03, 1.465500749126655011e-01, 1.071938342188551857e-01, 2.770036055059214575e-01, 2.973115534565416371e-03, 1.426354549385877579e-01
2.090000000000000000e+03, 1.634811649966969871e-01, 1.903251897073816824e-03, 3.516855117218611881e-02, 4.518556931752839775e-03, 1.453692443258381983e-01, 1.065581022311600651e-01, 2.887842608212873308e-01, 3.133473820718843481e-03, 1.496317392161951865e-01
2.091000000000000000e+03, 1.576523869264493394e-01, 1.863236802613623235e-03, 3.439610100674533183e-02, 4.329023209864001596e-03, 1.409916272947739913e-01, 1.058605311326493020e-01, 2.853139401739802072e-01, 2.922814491046833545e-03, 1.512496182413800572e-01
2.092000000000000000e+03, 1.547351878339326414e-01, 1.836758937083949684e-03, 3.375164727303895523e-02, 4.154774217382630960e-03, 1.415175079481462428e-01, 1.052567696444798445e-01, 2.915472415262858608e-01, 2.767170268656386420e-03, 1.504148201693230325e-01
2.093000000000000000e+03, 1.633646885384152092e-01, 1.830925121566673135e-03, 3.327870859431818207e-02, 4.209373025552730699e-03, 1.525323973695398017e-01, 1.047652225104690193e-01, 2.888807453875902875e-01, 2.673300501385770123e-03, 1.515553420998613232e-01
2.094000000000000000e+03, 1.575167923409041826e-01, 1.841418881255796900e-03, 3.282550061237090450e-02, 4.466250533102032738e-03, 1.471749985547242123e-01, 1.044257374753777418e-01, 2.950437441030434593e-01, 2.636441924861155327e-03, 1.543862544975908579e-01
2.095000000000000000e+03, 1.633125032372607643e-01, 1.898268398029515644e-03, 3.239307869276837615e-02, 5.197900824655756966e-03, 1.432983260766200195e-01, 1.040375759922868987e-01, 2.920017316472393598e-01, 2.708604755657285749e-03, 1.535835301975824463e-01
2.096000000000000000e+03, 1.585569851074205838e-01, 1.858712564572349802e-03, 3.182992861624408393e-02, 5.690833773759063074e-03, 1.510807843216704360e-01, 1.035355561582544798e-01, 2.969378457546227312e-01, 2.777422222388898406e-03, 1.529586850821460786e-01
2.097000000000000000e+03, 1.582855259548162918e-01, 1.822116548852382089e-03, 3.124656360773398964e-02, 6.119332246045479026e-03, 1.452056064358219489e-01, 1.030595604249937708e-01, 2.945523196674757482e-01, 2.803092530404957452e-03, 1.512202064852144201e-01
2.098000000000000000e+03, 1.555370071453007763e-01, 1.789177508433118608e-03, 3.057471867180282590e-02, 6.414396230803054780e-03, 1.367906502890150200e-01, 1.026323336085248478e-01, 2.928519857178618069e-01, 2.802576211902274139e-03, 1.513071764614802583e-01
2.099000000000000000e+03, 1.578829619271254758e-01, 1.774634976511962848e-03, 2.986566192450463772e-02, 6.633690311151691464e-03, 1.326714580210305583e-01, 1.022352681220789344e-01, 2.915328504181667890e-01, 2.805479147920616773e-03, 1.520363666598226471e-01
2.100000000000000000e+03, 1.552321977871663761e-01, 1.760269918860708294e-03, 2.930412660535128624e-02, 6.745788184741634275e-03, 1.293546755935024717e-01, 9.869328295190400724e-02, 2.904376499267508627e-01, 2.760574432266776641e-03, 1.520807043711835949e-01
