year, CESM2-WACCM, MPI-ESM1-2-LR, CNRM-ESM2-1, UKESM1-0-LL, MIROC-ES2L, CanESM5, CMCC-ESM2, GFDL-ESM4
2.041000000000000000e+03, -9.542259932064329036e-11, 3.482514131120395662e-10, -3.075428122924692992e-10, 1.452813873416765829e-09, 9.751842961388793706e-10, -9.068068159053662126e-10, 1.959691221551586865e-09, -1.281363656828168886e-09
2.042000000000000000e+03, 3.538634228571487242e-10, -1.241707109439241850e-09, -2.167641315562012552e-10, -5.107355140487155296e-10, 4.444255952673664427e-10, 4.252208486330116004e-11, 1.461850949446997258e-09, 2.497478203051000359e-10
2.043000000000000000e+03, -3.484233487635754553e-10, 7.706955299300485181e-10, -2.099216661636682592e-10, -2.364154605722260702e-09, -1.475657074748365814e-09, -4.677336309029207188e-10, -1.808893273246908312e-09, 6.213724975688075776e-10
2.044000000000000000e+03, 3.989731307343331984e-12, -4.033255457928672980e-10, 6.626413665849578557e-10, 2.906462224508961804e-10, -8.016903064467192082e-10, -9.113699320504713704e-10, -3.875357980889849721e-09, 1.414945270915070808e-09
2.045000000000000000e+03, 3.858970670534229170e-10, 4.526240441257728298e-09, -1.748623058784102184e-10, -9.218394609174532800e-10, -3.785151907610073438e-11, 3.004746501832456634e-10, 1.744250074929477138e-09, -1.867798584416116683e-09
2.046000000000000000e+03, 4.408519133517925158e-10, 1.666136430953394329e-09, 1.420404456332057247e-10, -8.202798532201460252e-10, 4.214894373768391512e-10, 1.377046136818786742e-11, 3.779220853548543995e-09, -1.351467937981274827e-09
2.047000000000000000e+03, 3.453924276268259597e-10, 7.534845296028987991e-10, 9.439042219979333536e-11, -7.224943786194297926e-10, -8.491199743976812534e-10, 1.375614480573531334e-09, -1.306934858421753963e-09, 1.304392503198333234e-10
2.048000000000000000e+03, -3.921905657250249457e-10, -8.915758417514268518e-10, -8.896699729488879861e-11, 2.135999349255004192e-09, -8.069732958622738035e-10, 2.704885034976188016e-09, -2.943942663694116992e-09, 4.115350790790300935e-10
2.049000000000000000e+03, -3.202419891509005963e-10, 5.026242342172595759e-10, -4.908768603855417868e-10, 1.105734476104750420e-09, -1.699657530162347699e-10, 1.754114523300767173e-09, 1.493422289607079556e-09, -8.415257771429069016e-10
2.050000000000000000e+03, -9.551023333006936062e-10, 8.937986932421911876e-10, 5.321597918047731069e-10, 2.715987518792232824e-10, -1.743013073538491706e-10, 8.186930625176326337e-10, 2.847730730644267604e-09, 9.186394842001634196e-10
2.051000000000000000e+03, 1.044511852530067913e-10, 1.437122076872272637e-10, -5.103409329359819666e-10, -4.022964106427443888e-10, -6.263262357015835778e-11, 1.109240374181656239e-10, -2.063994507067650988e-09, 8.609705756935302005e-10
2.052000000000000000e+03, 2.335728319828974019e-10, 9.670571392102510126e-10, -3.207942840831088549e-10, 1.849597140985634691e-09, -7.488037217700371254e-11, 2.438102597133573597e-09, -9.085673001119781942e-10, -5.609110559715942758e-10
2.053000000000000000e+03, -2.158644372253655393e-11, -1.801649977480732049e-10, 7.954220689002573244e-10, -8.679496090003128415e-10, 1.041736561302458681e-09, -6.618867735006876618e-10, 2.291412785564814586e-09, 1.006130242894241428e-09
2.054000000000000000e+03, 5.572801150054234699e-10, -9.630397834136408685e-10, 5.777808405713461223e-10, 3.661186495963910827e-10, 3.445020665775269989e-10, -1.536411103638165338e-09, -1.249318403622830733e-09, -3.124107758152290920e-10
2.055000000000000000e+03, 8.782120389396308644e-10, 1.313049866298464335e-09, -4.949925877169575571e-11, -6.651871645563112190e-10, -5.905939381675660202e-10, 6.508848365902441406e-10, -2.632974865964700545e-09, -2.385886591088911133e-09
2.056000000000000000e+03, 1.476710345220049014e-09, 3.381091520067927662e-10, 1.008799508379136446e-09, -1.584995763176755440e-10, -3.696185232004283111e-10, 2.812711113744458223e-10, -6.033945692423865288e-10, 1.323299209061865999e-10
2.057000000000000000e+03, 2.103677564569243178e-11, 9.317771194007161808e-10, -1.972480756121377685e-10, 8.130143446893965620e-10, -4.312345666810161755e-10, -1.410846098655562196e-10, 2.570435938266937891e-10, -3.002029350136896864e-10
2.058000000000000000e+03, -3.935991300900969437e-10, 4.744090010401426146e-10, 7.455327404186771712e-10, -4.374439234890428912e-10, -1.138544336790161179e-10, -1.323584279881511892e-09, 1.861597222492936339e-09, 2.457497803716975750e-09
2.059000000000000000e+03, 8.719234316718703654e-10, 1.323405126469866841e-09, -7.887498634316487142e-10, -4.686244012749652599e-10, 3.325860069255289948e-10, -2.144109229196372151e-10, 3.972163216325923593e-10, 1.046628827955034053e-09
2.060000000000000000e+03, 6.240111792802638239e-10, -8.239277768902705315e-10, -8.634610892437778668e-10, -1.088989018379764688e-09, -7.579902513602102805e-10, 7.865130678843982463e-10, -2.333604819941693127e-09, -1.967359923838517749e-09
2.061000000000000000e+03, -2.198126476496872707e-10, -5.481918891657950616e-10, 1.331033753441664292e-09, 2.022639723265722242e-09, 2.125444338069921487e-10, -5.989163597294339299e-10, -3.419532069150090115e-09, -1.506496100110721554e-09
2.062000000000000000e+03, 7.316270263216609816e-10, 1.477241936524903525e-09, -1.775857858703548594e-10, 2.902619534535438254e-10, 5.088668528067821722e-10, 1.478526269042453491e-10, 1.962392789206261166e-09, 2.274485868679512060e-10
2.063000000000000000e+03, -6.807644991484556322e-10, 3.207442060991787399e-09, 4.008916727673714027e-10, -5.291973512617655647e-10, -3.190410320764708755e-10, 3.197824187250237485e-10, 1.431679508465220193e-09, 7.068148678834954935e-10
2.064000000000000000e+03, -6.702908877286241827e-10, -1.120497036355796105e-09, 9.057085554339025975e-10, -9.622370494349620938e-10, -2.453989373155709037e-10, -2.043479350668954878e-09, -1.585044637885084130e-10, 1.278694839714975594e-10
2.065000000000000000e+03, -8.028750881048921681e-10, -4.149013501716535744e-10, -3.810588057565665580e-10, 2.673265223789278837e-09, 3.709307468720291399e-10, 6.549266072002844080e-10, 4.695479277078562375e-10, -1.039893382731976327e-09
2.066000000000000000e+03, 1.213093135411365193e-09, 1.389247486970161154e-10, -1.026494226934391477e-10, -3.343996672514159105e-10, 3.467250988353587423e-10, -6.793372414528561632e-10, 8.199889082814102501e-10, -9.657472580771916741e-10
2.067000000000000000e+03, 6.494486454097588349e-10, 3.163018811829439353e-09, 1.229371083176452257e-09, -2.058076828799159295e-09, 5.611469265611141089e-10, 1.009266243531179411e-09, -4.223391421757466134e-10, 3.210532090350421398e-10
2.068000000000000000e+03, -3.249441635425517159e-10, -1.480984441497112037e-09, 6.216614320322413820e-10, 2.155052826775387249e-09, -1.281591557328039415e-10, 3.033388812713712286e-09, -8.444578341466042453e-10, 1.974654335159411742e-10
2.069000000000000000e+03, 6.012626807490878570e-11, 4.384039116456882894e-10, -7.037583427706055888e-10, -8.822370930276842268e-10, 8.251402425090277468e-10, -3.304738620666253306e-10, 3.563269537363135728e-10, -4.090752937627538293e-10
2.070000000000000000e+03, 1.237985490069675235e-09, 2.494597120671569370e-09, -6.757348475861603079e-10, -7.042924217180732411e-10, 1.080470351011632997e-09, 4.062097128763788215e-11, -1.578516569254079405e-09, 5.498644317077811564e-10
2.071000000000000000e+03, 4.321320195212626817e-11, 1.259958243107915027e-10, 5.710941513513056363e-10, 1.095896441570145732e-09, 1.112115569493525372e-09, -1.269804369201412464e-09, -9.634633453562627726e-10, 1.265332548406123875e-09
2.072000000000000000e+03, -1.528879862785080307e-10, 7.925706301033215775e-10, -1.446946528805782912e-10, 1.822466787704046405e-10, 3.210443306378555292e-10, -1.134437660193556315e-09, 1.758623578628655826e-09, 5.227205080138172651e-10
2.073000000000000000e+03, 1.161996884551636467e-09, -1.010427742131509668e-09, 3.695523427442715251e-10, 9.979436230467208392e-11, -1.531808915444952945e-10, 1.265452630601029164e-09, 1.278109454272633200e-09, -1.447611454520100101e-10
2.074000000000000000e+03, 1.238235752764978838e-10, 1.136283329870284510e-09, 6.379555463962696490e-10, -1.997898279365471083e-09, -3.498057096263331236e-10, 6.679121277678795858e-10, -2.941537560070898111e-09, -7.605088774720379938e-10
2.075000000000000000e+03, -5.227955656552943286e-10, 1.158158563438724902e-09, -5.270800843953247372e-10, 1.420575456782458610e-10, 1.770666329873293545e-10, -4.149511137524266610e-10, -1.825942933492688480e-09, 6.879140040149306783e-10
2.076000000000000000e+03, 4.512110166384423503e-10, 3.351942661672647880e-10, 2.934105204594300847e-10, 2.706524576305455706e-10, 5.064438712977624571e-10, -7.312177941736282503e-10, 1.910476935746386055e-09, 1.268861538665699289e-09
