year, MPI-ESM1-2-LR, CNRM-ESM2-1, ACCESS-ESM1-5, IPSL-CM6A-LR, MIROC-ES2L, GFDL-ESM4, CESM2-WACCM, UKESM1-0-LL, CMCC-ESM2
2.085000000000000000e+03, 1.477276167067079185e-10, 1.235583129472595681e-11, 3.639142207065278221e-11, 7.401422407886947325e-10, 1.462104109708018845e-10, 2.002584956544595364e-09, 2.110220227032962048e-10, 3.335384421687609764e-12, 3.295069714036126187e-11
2.086000000000000000e+03, 1.275382182567833305e-10, 1.157489625904941017e-11, 3.708174797855788601e-11, 6.930400769233178024e-10, 1.470935218338758024e-10, 1.860806583854351435e-09, 2.070350860992215651e-10, 2.869291112154494596e-12, 3.243562754190485933e-11
2.087000000000000000e+03, 1.297232308555221039e-10, 1.004787622553183153e-11, 3.602839413606525976e-11, 6.744703679427894528e-10, 1.566461539141836429e-10, 9.882647078198818982e-10, 2.042977195108939559e-10, 2.808283151500112666e-12, 3.197519119249369650e-11
2.088000000000000000e+03, 1.671085769671179465e-10, 8.502601372642006680e-12, 3.535261527655467078e-11, 6.137918577734329885e-10, 1.550689538049954965e-10, 9.208285491221924873e-10, 2.810350187935260450e-10, 2.890209382633352448e-12, 3.151985025175317758e-11
2.089000000000000000e+03, 1.658236221432703568e-10, 7.088946961493944674e-12, 3.452302807725387801e-11, 5.872745905801716135e-10, 1.625106769349348384e-10, 5.935730519213783207e-10, 2.249126059359617132e-10, 2.840564401072654821e-12, 3.109493614755729746e-11
2.090000000000000000e+03, 1.661984391373067494e-10, 5.482907908309199808e-12, 4.865759854391791035e-11, 7.805853308575771946e-10, 1.887651798027581569e-10, 1.061281103989982011e-09, 2.383922496181827190e-10, 3.152282888833273808e-12, 3.062542107964608851e-11
2.091000000000000000e+03, 1.494718785321629897e-10, 5.084822703352236351e-12, 3.775500261753543216e-11, 7.736513611983962867e-10, 1.817259963550502604e-10, 6.903719323245937053e-10, 1.947129380079030599e-10, 2.532789758702209859e-12, 3.013214448332438525e-11
2.092000000000000000e+03, 1.521116192238956804e-10, 4.731126524820839737e-12, 4.420780886031089213e-11, 7.377425401684253684e-10, 1.737066683673768655e-10, 1.034012398874439179e-09, 1.756174645086275101e-10, 2.177021165005460819e-12, 2.971820371307734627e-11
2.093000000000000000e+03, 1.986719432461733845e-10, 4.332793717700454099e-12, 3.683370490245876858e-11, 7.055862533416335725e-10, 1.805213673858150367e-10, 9.219010171502219473e-10, 2.586490055548564123e-10, 2.037499724736483193e-12, 2.939417479035782792e-11
2.094000000000000000e+03, 1.767652815425365035e-10, 3.846099529595461335e-12, 4.394377573673882375e-11, 5.965756370026989916e-10, 1.892193633147640861e-10, 8.428814693260013691e-10, 2.122052693901389467e-10, 2.050411758536706016e-12, 2.918796177527918817e-11
2.095000000000000000e+03, 1.603618419125239114e-10, 3.508710089635163137e-12, 3.647426719223292817e-11, 6.383011884493841655e-10, 1.813345520334502015e-10, 1.008623474641261331e-09, 2.665829096771596899e-10, 2.288611581677359737e-12, 2.895715894256001362e-11
2.096000000000000000e+03, 1.951330379844039603e-10, 4.152969519305761316e-12, 4.240573906891424693e-11, 7.643641129685044522e-10, 1.784776063472346415e-10, 1.108175198466827883e-09, 2.340621610451917891e-10, 2.478493246384450221e-12, 2.866351469178963546e-11
2.097000000000000000e+03, 1.733233278905394327e-10, 4.630120329143700140e-12, 3.656618849985525274e-11, 7.222425142727564697e-10, 1.722200879713992997e-10, 9.623587071060871371e-10, 2.405073850713488913e-10, 2.526717534789924228e-12, 2.840701364166024089e-11
2.098000000000000000e+03, 1.405837891008888708e-10, 5.103271707887833263e-12, 3.418009305825540363e-11, 6.539104780619967200e-10, 1.762516932218150215e-10, 8.616909352401077610e-10, 2.236405645108045320e-10, 2.507915974048784482e-12, 2.818957117367023980e-11
2.099000000000000000e+03, 1.270666020526516456e-10, 5.580444518689186859e-12, 3.313604514747255729e-11, 4.998024986162808371e-10, 1.799212618944062095e-10, 1.043806553821848923e-09, 2.482390539955828527e-10, 2.473674902025396867e-12, 2.799321574974588280e-11
2.100000000000000000e+03, 1.156858887518818908e-10, 5.981319053808237415e-12, 3.259188089517555064e-11, 6.016101361950800833e-10, 1.784408376183226179e-10, 8.934490208703601943e-10, 2.230476950032683348e-10, 2.352299129003427223e-12, 2.563291189902344903e-11
