year, CMCC-CM2-SR5, NorESM2-MM, MPI-ESM1-2-LR, INM-CM4-8, ACCESS-ESM1-5, TaiESM1, CanESM5, GFDL-ESM4, NorESM2-LM, INM-CM5-0, MIROC-ES2L, CESM2-WACCM, UKESM1-0-LL, CNRM-ESM2-1, IPSL-CM6A-LR, EC-Earth3-Veg
2.025000000000000000e+03, 3.035979462070848456e+00, 1.170622624717855498e+00, 1.073891060959917265e+00, 2.019510906602660416e+00, 1.343848248075216967e+00, 2.646595838411385682e+00, 1.919690321897062901e+00, 1.518155767242168830e+00, 2.441286482789110313e+00, 2.314610353582668978e+00, 2.011389314301156084e+00, 2.032340975530912086e+00, 1.566535367534968026e+00, 9.170376405495459515e-01, 2.269874678310033200e+00, 1.602209659187497692e+00
2.026000000000000000e+03, 2.286799739204994353e+00, 1.353618696039895486e+00, 8.068571315790987741e-01, 2.157955748291490838e+00, 1.449852834846928396e+00, 1.667383440035090203e+00, 1.954975978039364959e+00, 1.156796644652529071e+00, 1.993655674887839568e+00, 2.595342706316748682e+00, 2.066121617414098388e+00, 2.192621380698898115e+00, 1.130093001490987126e+00, 1.299986002095306237e+00, 2.507920015591158514e+00, 1.204249678601696738e+00
2.027000000000000000e+03, 1.827389917330078273e+00, 1.221210409133417940e+00, 1.257936110366534521e+00, 2.575774155028628165e+00, 1.561510057420927078e+00, 1.551122014986425990e+00, 1.907525078167938037e+00, 1.847432046692563112e+00, 2.102693375739601134e+00, 2.242146355135242963e+00, 2.454488933968100639e+00, 2.023610931315070527e+00, 1.483935299117854711e+00, 1.111280179954264868e+00, 2.610320145175515361e+00, 1.661326237670869066e+00
2.028000000000000000e+03, 1.891194739685286619e+00, 1.840707688547992493e+00, 1.059246044317999624e+00, 2.515750906260357578e+00, 1.294355492349402947e+00, 2.345178735349404242e+00, 1.894037853763331114e+00, 1.635887387538804028e+00, 1.987558725034292761e+00, 2.032625140394532348e+00, 1.848448341007701057e+00, 1.762443880359533477e+00, 1.398203935689651622e+00, 1.282159270863193479e+00, 2.474855207742370222e+00, 1.821906770144485099e+00
2.029000000000000000e+03, 1.817264847937926975e+00, 2.086361224521696034e+00, 1.053593457834288039e+00, 2.733542520831505396e+00, 1.189704143424662908e+00, 2.381672400627764308e+00, 1.732824075177858969e+00, 1.043531302614939316e+00, 1.505128243682151368e+00, 1.910916876976740619e+00, 2.453967837758392889e+00, 1.881254495620980682e+00, 2.043868742981821196e+00, 9.134004384853450231e-01, 2.685173624298687667e+00, 1.804825311006979183e+00
2.030000000000000000e+03, 3.065584706446057961e+00, 1.904437415324264471e+00, 6.418443144697638658e-01, 1.759730833509943526e+00, 1.177234688039496380e+00, 1.823595477566993583e+00, 1.721538719069983792e+00, 1.203760156561316519e+00, 2.223237373420436924e+00, 2.269677177589767503e+00, 2.328163270861700163e+00, 1.899190288527104142e+00, 1.493280625115128712e+00, 1.510866282343578781e+00, 2.061999298638882205e+00, 1.359075169171379383e+00
2.031000000000000000e+03, 2.576858539466606590e+00, 1.732757268439591991e+00, 8.343650708367192914e-01, 2.332294792543070372e+00, 1.526385900955110619e+00, 2.138443438688802267e+00, 1.471229563988721400e+00, 1.114324189839103418e+00, 1.957016061198588286e+00, 1.954721116853366913e+00, 2.446986701846097123e+00, 3.087106502045960710e+00, 1.409971382922441618e+00, 1.422400580571129725e+00, 2.130702080148402899e+00, 1.455575906875925307e+00
2.032000000000000000e+03, 2.842585292263405616e+00, 1.809392977326707008e+00, 1.407704125130302630e+00, 2.323322201461341940e+00, 1.429984238498947402e+00, 2.220782357419773589e+00, 1.820162524528223802e+00, 1.318404274625171846e+00, 1.791439461252536169e+00, 2.645487652646126620e+00, 2.530621057647223004e+00, 2.154727751487433451e+00, 1.661257551278993994e+00, 1.094121083731536936e+00, 1.694860552701399348e+00, 1.372229664435215657e+00
2.033000000000000000e+03, 1.574409334469730970e+00, 2.100516924017225673e+00, 1.393944859526440538e+00, 2.434413455419051520e+00, 1.905595354922067219e+00, 2.000738794254222075e+00, 1.677316513303105383e+00, 1.305292605068459455e+00, 2.538175668597297374e+00, 1.840704222628234632e+00, 1.741449069987099918e+00, 1.442405069393697392e+00, 1.758549213047279736e+00, 1.006641462483995664e+00, 1.827739589027863376e+00, 1.438029661356825972e+00
2.034000000000000000e+03, 1.969238444268998522e+00, 1.326428317326065365e+00, 1.458558160605687437e+00, 2.533912043834966266e+00, 1.311694075070477972e+00, 1.980475200654928214e+00, 1.577615887088006152e+00, 1.063458562233203786e+00, 1.965701001221770605e+00, 2.018926722315293798e+00, 1.938765445783783292e+00, 1.590096309320010892e+00, 1.259073630554938150e+00, 1.116838153190639726e+00, 2.398847512651216984e+00, 1.757580668905124321e+00
