year, INM-CM4-8, INM-CM5-0, CNRM-ESM2-1, CESM2-WACCM, ACCESS-ESM1-5, CMCC-CM2-SR5, GFDL-ESM4, MPI-ESM1-2-LR, CanESM5, EC-Earth3-Veg, MIROC-ES2L, UKESM1-0-LL, NorESM2-MM, NorESM2-LM, TaiESM1, IPSL-CM6A-LR
2.038000000000000000e+03, 2.951803980354288228e+02, 2.944355681367021020e+02, 2.958530142077564733e+02, 2.967105947500269849e+02, 2.977381016957609177e+02, 2.966273322981118099e+02, 2.956221025758003975e+02, 2.965094501551996586e+02, 2.968817101575113497e+02, 2.964346049522070530e+02, 2.978054396157891688e+02, 2.957614458189332254e+02, 2.960754472626135794e+02, 2.965578153448075227e+02, 2.971061018013436410e+02, 2.952886603154888689e+02
2.039000000000000000e+03, 2.953319566031387922e+02, 2.948734073243289799e+02, 2.971354622661141320e+02, 2.965800184801754540e+02, 2.974608833334830251e+02, 2.958676182191508701e+02, 2.965758319362082034e+02, 2.965801599384254814e+02, 2.973609068448615744e+02, 2.965481328285827090e+02, 2.977547332975715335e+02, 2.953329080045255068e+02, 2.959666998119026857e+02, 2.963359653009423482e+02, 2.968579685280890317e+02, 2.949670394040836641e+02
2.040000000000000000e+03, 2.948795396522052670e+02, 2.947181446622980161e+02, 2.964905435699121767e+02, 2.965600468367279063e+02, 2.968604546684859429e+02, 2.963816443772534512e+02, 2.958239922952427037e+02, 2.963777686045575024e+02, 2.969402474829852849e+02, 2.964990640060483429e+02, 2.973357913801140171e+02, 2.952756439990251351e+02, 2.961968283925498326e+02, 2.961598073112778593e+02, 2.966422373872804883e+02, 2.942962139869341627e+02
2.041000000000000000e+03, 2.950899542376839122e+02, 2.948947666220773272e+02, 2.958228336053684870e+02, 2.972075573387915597e+02, 2.971301099614515238e+02, 2.964487293993767025e+02, 2.965352510256723804e+02, 2.963232212968287058e+02, 2.974121798214931687e+02, 2.963849591599110340e+02, 2.971212664198642983e+02, 2.953725349387311212e+02, 2.961350387789968863e+02, 2.969098794664408274e+02, 2.970907877994606565e+02, 2.949568930340835209e+02
2.042000000000000000e+03, 2.943892920716799608e+02, 2.945862431648035908e+02, 2.969115433942203026e+02, 2.966970024112092119e+02, 2.970178604752375122e+02, 2.960191099652424214e+02, 2.958956633863686534e+02, 2.968815949953237805e+02, 2.972439045311421069e+02, 2.972978761769052198e+02, 2.977030693184370875e+02, 2.951571174864079694e+02, 2.955791988375859205e+02, 2.963275967352105340e+02, 2.980605137289167601e+02, 2.955143359157165719e+02
2.043000000000000000e+03, 2.954364720798903363e+02, 2.950014798799666096e+02, 2.967009614879131618e+02, 2.965896640512245881e+02, 2.975890350185441662e+02, 2.961529384251194870e+02, 2.962512980791996711e+02, 2.960520483066786142e+02, 2.977143727344826516e+02, 2.957356324241551988e+02, 2.990778972722360436e+02, 2.962509462903140047e+02, 2.956394584693055663e+02, 2.968860510371681585e+02, 2.974438298349892307e+02, 2.942046374422376402e+02
2.044000000000000000e+03, 2.954896704430173600e+02, 2.946925386158783340e+02, 2.964569982254049023e+02, 2.972353327457378214e+02, 2.967414721305612488e+02, 2.960796603067288970e+02, 2.955040110803301445e+02, 2.969843376945127034e+02, 2.972126045169247277e+02, 2.961630488255808018e+02, 2.981122857697273503e+02, 2.952945375150729888e+02, 2.957868093833144485e+02, 2.963581753325242403e+02, 2.973518988744034459e+02, 2.954821203105329346e+02
2.045000000000000000e+03, 2.952083630552584737e+02, 2.945248560572335350e+02, 2.966210248765492565e+02, 2.968571312281027872e+02, 2.964116574684080661e+02, 2.961934807354428472e+02, 2.969189297260545004e+02, 2.953595648643681102e+02, 2.972961741797617492e+02, 2.969760633224136654e+02, 2.978472024020363165e+02, 2.958485898159127032e+02, 2.959139258688310292e+02, 2.963168311478074202e+02, 2.979044634293269382e+02, 2.952865518513318648e+02
2.046000000000000000e+03, 2.949392090815157985e+02, 2.948698463839627948e+02, 2.967868016737985499e+02, 2.969313185090518346e+02, 2.964843758135966141e+02, 2.971493555412032492e+02, 2.968563808017976271e+02, 2.960899551413824611e+02, 2.983599853755276285e+02, 2.965187584013562514e+02, 2.972606975242112526e+02, 2.958539434243902519e+02, 2.962640092058092023e+02, 2.962567005273750738e+02, 2.963784401613180535e+02, 2.952625818753957105e+02
2.047000000000000000e+03, 2.954249254952040928e+02, 2.950882983177797882e+02, 2.966741709694620681e+02, 2.965021200371499503e+02, 2.967514136158587235e+02, 2.966613734938151765e+02, 2.960769517512803759e+02, 2.958409240737558434e+02, 2.963849835768245953e+02, 2.962142933137508862e+02, 2.988635856201643151e+02, 2.962860999762157235e+02, 2.958747090781008069e+02, 2.960285753788280090e+02, 2.968406143128786425e+02, 2.949141571857445570e+02
2.048000000000000000e+03, 2.957083852334982339e+02, 2.952162028929751614e+02, 2.964716075057045259e+02, 2.969351167540568781e+02, 2.966309895157153278e+02, 2.963185994067961815e+02, 2.959877779700663609e+02, 2.964912492778157684e+02, 2.961967598490550699e+02, 2.963867592436540122e+02, 2.980388688855534269e+02, 2.948058831946856344e+02, 2.957182534308462323e+02, 2.965780842846770042e+02, 2.980726129149039139e+02, 2.949777734985485722e+02
2.049000000000000000e+03, 2.953016131174614998e+02, 2.947033035307064210e+02, 2.973010726530096690e+02, 2.967817619438561110e+02, 2.980696739196105796e+02, 2.960066651109482905e+02, 2.967110492343455803e+02, 2.962714866048826252e+02, 2.965763931556359694e+02, 2.979762686664153080e+02, 2.975416793733860459e+02, 2.955232854386305235e+02, 2.956767236638341387e+02, 2.970922259252092772e+02, 2.980856125016692886e+02, 2.956325032355680378e+02
2.050000000000000000e+03, 2.951533026417902761e+02, 2.952334163773602427e+02, 2.967048767236480558e+02, 2.975108785760035630e+02, 2.977587069834198701e+02, 2.965779977540212258e+02, 2.961149270829997135e+02, 2.956606749992750451e+02, 2.968251633270240859e+02, 2.968220892702656784e+02, 2.976268651509168421e+02, 2.955556987812169041e+02, 2.958839239452049696e+02, 2.966192318665309244e+02, 2.969864352332553494e+02, 2.956294405727948629e+02
2.051000000000000000e+03, 2.951321238688781818e+02, 2.950248385723472211e+02, 2.971287192313444052e+02, 2.973121916281749009e+02, 2.973531571884032019e+02, 2.971321618253524548e+02, 2.956208945265042871e+02, 2.971859118257425507e+02, 2.965808598582539162e+02, 2.949597418652214174e+02, 2.978427848797054480e+02, 2.962716106248956294e+02, 2.961033331628928522e+02, 2.962431715252663480e+02, 2.974019606507991398e+02, 2.952129847188681424e+02
2.052000000000000000e+03, 2.950959519197502345e+02, 2.946526891786489841e+02, 2.970938685721961292e+02, 2.970161098133880841e+02, 2.963731069189272489e+02, 2.975555651658784200e+02, 2.958174010992456147e+02, 2.961584703055857517e+02, 2.968816785155202638e+02, 2.962294087786565342e+02, 2.981416774837254025e+02, 2.951249081659596527e+02, 2.957244988597211091e+02, 2.963373831900628375e+02, 2.981801195976247527e+02, 2.951021492281648193e+02
2.053000000000000000e+03, 2.949242264782748180e+02, 2.943981756707225941e+02, 2.965077698506998445e+02, 2.970215362921605333e+02, 2.971447325503704633e+02, 2.962984459743262278e+02, 2.957390850080332143e+02, 2.964646646973866382e+02, 2.978074777280693297e+02, 2.969571038138363406e+02, 2.967319161473493523e+02, 2.958971077825899556e+02, 2.956567241856079704e+02, 2.966814544607312882e+02, 2.981893362436157986e+02, 2.953033534426292022e+02
2.054000000000000000e+03, 2.958444162856222874e+02, 2.945294368641818892e+02, 2.963561823028994127e+02, 2.964771889236577067e+02, 2.969438185770563337e+02, 2.961949567700438593e+02, 2.960290405110896472e+02, 2.966467009381384514e+02, 2.971372954510972022e+02, 2.969268604416912467e+02, 2.976065220302580201e+02, 2.957721626162237953e+02, 2.960943586926065336e+02, 2.969702168303867325e+02, 2.971994058574390465e+02, 2.950308665149146918e+02
2.055000000000000000e+03, 2.946358204987167255e+02, 2.947527879378272360e+02, 2.970016589061224295e+02, 2.969868413511117069e+02, 2.957518440049980768e+02, 2.967066061767550309e+02, 2.966083908039941548e+02, 2.962796912557869859e+02, 2.968746328724520822e+02, 2.968986429161578258e+02, 2.978154558460790327e+02, 2.956166422393924904e+02, 2.959394489626910172e+02, 2.964224839895372838e+02, 2.978707685236807947e+02, 2.951160138942535127e+02
2.056000000000000000e+03, 2.951068437618119447e+02, 2.945916262583904199e+02, 2.961094858616232841e+02, 2.969415389962458107e+02, 2.971065362690046072e+02, 2.974837986280157907e+02, 2.960174353038514710e+02, 2.963916918070179918e+02, 2.971690115489278696e+02, 2.968795465153835949e+02, 2.979002024999574019e+02, 2.955731996304789391e+02, 2.956675349869929050e+02, 2.961898126203207653e+02, 2.979522751847691211e+02, 2.957838748962388991e+02
2.057000000000000000e+03, 2.955012638173314485e+02, 2.950339129394432689e+02, 2.971554712375721579e+02, 2.969889693478801291e+02, 2.974758498364978436e+02, 2.967041514642937727e+02, 2.962342506281136707e+02, 2.958540134776469017e+02, 2.973240145019847773e+02, 2.968389687637009615e+02, 2.980222362280130142e+02, 2.955574633372304447e+02, 2.963782817158899547e+02, 2.966805250585967997e+02, 2.979080013415295980e+02, 2.952940100414027143e+02
2.058000000000000000e+03, 2.957420870916137119e+02, 2.949850079160132168e+02, 2.969123100087103921e+02, 2.977794088886122950e+02, 2.971896582412579164e+02, 2.965557403261636864e+02, 2.954034581946287972e+02, 2.965185383629717535e+02, 2.973759648411942180e+02, 2.962684573043723049e+02, 2.977076732221858038e+02, 2.954801723567153999e+02, 2.963493590448035775e+02, 2.966431981972311291e+02, 2.984344267926632028e+02, 2.955244888480236796e+02
2.059000000000000000e+03, 2.949838156911792453e+02, 2.950387163597973768e+02, 2.968606975113698354e+02, 2.966188042111264167e+02, 2.967531388909945349e+02, 2.967942957306567564e+02, 2.958605015781960219e+02, 2.960611113829676242e+02, 2.970366287379826531e+02, 2.974445524957974385e+02, 2.973202546900181460e+02, 2.962414194441482778e+02, 2.963517348388669461e+02, 2.967788455197428448e+02, 2.984707260066938375e+02, 2.954063990528835575e+02
2.060000000000000000e+03, 2.946961153980069525e+02, 2.951042743864660451e+02, 2.973841518730365578e+02, 2.970892903986118654e+02, 2.966569588615386692e+02, 2.978959399648385329e+02, 2.967124686672362373e+02, 2.974776034028036520e+02, 2.974702763980137092e+02, 2.968877163136945683e+02, 2.986451721262267824e+02, 2.965334258669212772e+02, 2.958092531809748493e+02, 2.970138171890135936e+02, 2.976256995209186584e+02, 2.949925424456585574e+02
2.061000000000000000e+03, 2.953230859484380630e+02, 2.945416096606221572e+02, 2.961920656339832476e+02, 2.976289332114785111e+02, 2.966634440552141996e+02, 2.972215880926806335e+02, 2.967702851778249737e+02, 2.976072112332146844e+02, 2.973522427345150732e+02, 2.953596253561207732e+02, 2.976459396494129805e+02, 2.955288302279636241e+02, 2.963404668236314023e+02, 2.970591307181554157e+02, 2.971060190694538505e+02, 2.946910127212594830e+02
2.062000000000000000e+03, 2.949667057383944666e+02, 2.948808808313016812e+02, 2.970666444543679177e+02, 2.966140338038189839e+02, 2.965160117912496389e+02, 2.962248880787905136e+02, 2.967778704360216580e+02, 2.961132983711078168e+02, 2.975711457317632380e+02, 2.962402395722655228e+02, 2.971540246078400855e+02, 2.956818269889133717e+02, 2.960867392934193276e+02, 2.969490919099475263e+02, 2.981110622657992053e+02, 2.956298326342779887e+02
2.063000000000000000e+03, 2.955244932533512952e+02, 2.949134908138065043e+02, 2.973395912838477670e+02, 2.971317600736787767e+02, 2.973649607734483880e+02, 2.961611312083352345e+02, 2.961479928170548419e+02, 2.958858230720586562e+02, 2.971563620533137282e+02, 2.968307182729054716e+02, 2.979758908908082162e+02, 2.963182726474575475e+02, 2.965848682999230164e+02, 2.970696885524291133e+02, 2.975777310456508644e+02, 2.958871198078958855e+02
2.064000000000000000e+03, 2.952799553752888642e+02, 2.950533313829669737e+02, 2.960525014261195906e+02, 2.973910711848077995e+02, 2.971541055402984171e+02, 2.965563124103604764e+02, 2.959191024289541474e+02, 2.966939672724345201e+02, 2.978723974494339473e+02, 2.970369507754526808e+02, 2.978383796060793998e+02, 2.965319453985376867e+02, 2.966356157103843429e+02, 2.966560732178051580e+02, 2.975811070152594198e+02, 2.954457604447993049e+02
2.065000000000000000e+03, 2.947383134821027966e+02, 2.948127869366209666e+02, 2.966954817115465062e+02, 2.978702803689396887e+02, 2.971339057079426311e+02, 2.970391597260406797e+02, 2.965757249732943706e+02, 2.962806137946689660e+02, 2.972493907120839367e+02, 2.971020259425409904e+02, 2.977382752674307653e+02, 2.955863506451798912e+02, 2.957981311360388190e+02, 2.965867171976050258e+02, 2.985026339774165081e+02, 2.956023764260934286e+02
2.066000000000000000e+03, 2.954223976692045426e+02, 2.952368899324823133e+02, 2.967960050658989530e+02, 2.971631511952305686e+02, 2.972096162062977669e+02, 2.975779856973685469e+02, 2.969042855153070377e+02, 2.962822517941169167e+02, 2.972462505297172584e+02, 2.974010526904006042e+02, 2.975190094796701601e+02, 2.957157722129984450e+02, 2.956495793181496197e+02, 2.969915297167806898e+02, 2.975548426656225729e+02, 2.952253204358332255e+02
2.067000000000000000e+03, 2.948470308393726782e+02, 2.949638955607902062e+02, 2.961364127211173809e+02, 2.968468962503540070e+02, 2.975655579374355852e+02, 2.972019407542426848e+02, 2.962923068776821651e+02, 2.958780625664179524e+02, 2.970985402095273571e+02, 2.960125237755557350e+02, 2.971209977354347416e+02, 2.968490752649224191e+02, 2.960729082413446349e+02, 2.965691957014066702e+02, 2.965349788117100616e+02, 2.948173422520496842e+02
2.068000000000000000e+03, 2.950925192357383366e+02, 2.946343263821210030e+02, 2.965334049674304993e+02, 2.978599195931882946e+02, 2.970545522864922532e+02, 2.960515771517707435e+02, 2.965707386761379212e+02, 2.969305597830489774e+02, 2.963727374897978279e+02, 2.974894101991243360e+02, 2.980828184804688590e+02, 2.958075769553367422e+02, 2.956426536444771500e+02, 2.962851861480256161e+02, 2.974055020127069611e+02, 2.953164985949093193e+02
2.069000000000000000e+03, 2.954553635770613482e+02, 2.951017012469898759e+02, 2.970109811193910900e+02, 2.978497372977539612e+02, 2.977051155988644382e+02, 2.961494346071664268e+02, 2.968333983973259365e+02, 2.964072865765724600e+02, 2.976523956947126521e+02, 2.975167940809784000e+02, 2.976440484570352396e+02, 2.961187809274354663e+02, 2.957288625834439699e+02, 2.967399419336334745e+02, 2.983123474919921705e+02, 2.951269514412445005e+02
2.070000000000000000e+03, 2.948339721462873513e+02, 2.947614864342406804e+02, 2.972606759940354095e+02, 2.969339774310022904e+02, 2.977623050246849061e+02, 2.965310876897685830e+02, 2.962979000379276613e+02, 2.960760889952883872e+02, 2.972909769226353092e+02, 2.956385786096693096e+02, 2.970691421724527572e+02, 2.963150040492262178e+02, 2.959124731757353857e+02, 2.971045085164574857e+02, 2.980825169769788658e+02, 2.956438356246764556e+02
2.071000000000000000e+03, 2.950642137517920673e+02, 2.947854500253285437e+02, 2.970043552539993925e+02, 2.968943863604615103e+02, 2.982902259316959999e+02, 2.967373807600565101e+02, 2.958919120384844064e+02, 2.965173177841680854e+02, 2.980314488575447172e+02, 2.968447028957621683e+02, 2.969089350205563278e+02, 2.959183746594997046e+02, 2.959368150577712413e+02, 2.960866371052275099e+02, 2.975331693690442307e+02, 2.950677741528208458e+02
2.072000000000000000e+03, 2.953565327285200510e+02, 2.951370914329659172e+02, 2.970777942461477892e+02, 2.977334891376823407e+02, 2.978398098289361542e+02, 2.972106870069382012e+02, 2.962898036104778612e+02, 2.959384171466629709e+02, 2.976470936500652442e+02, 2.973925398803104940e+02, 2.974812262803086469e+02, 2.960428992465536453e+02, 2.959546054676070526e+02, 2.965744904422207355e+02, 2.974240938006939814e+02, 2.953147187229851625e+02
2.073000000000000000e+03, 2.949658426996373350e+02, 2.949105376710354562e+02, 2.969532685098543539e+02, 2.967879369788714143e+02, 2.970167515666338431e+02, 2.976181563524484091e+02, 2.960359925701372390e+02, 2.968268207197482980e+02, 2.968141821724788088e+02, 2.956151948640582532e+02, 2.975004774395767981e+02, 2.957108185160253697e+02, 2.960269364928155937e+02, 2.964723316949802552e+02, 2.987439501978611816e+02, 2.947462319255103012e+02
2.074000000000000000e+03, 2.942486176837373932e+02, 2.944781268436804567e+02, 2.965367026934757178e+02, 2.973721336828366475e+02, 2.976733209089685488e+02, 2.972646585215474033e+02, 2.960665174169606075e+02, 2.960653559673930886e+02, 2.970578379749856595e+02, 2.966402581528644191e+02, 2.981841138771382020e+02, 2.964945739797105375e+02, 2.958139756496713062e+02, 2.972866525111126634e+02, 2.979596223368137657e+02, 2.952970686857189548e+02
2.075000000000000000e+03, 2.951773136583597079e+02, 2.940153694999673917e+02, 2.975830058899150572e+02, 2.972439786778052166e+02, 2.975123151809394813e+02, 2.963036739545332239e+02, 2.962143026561025181e+02, 2.959638390285317655e+02, 2.974077036265524043e+02, 2.969264037370085134e+02, 2.974952541341617120e+02, 2.957012443868651417e+02, 2.959014223246149413e+02, 2.968797085635280837e+02, 2.974862524289180215e+02, 2.955060640665566325e+02
