year, CMCC-CM2-SR5, ACCESS-ESM1-5, TaiESM1, CNRM-ESM2-1, NorESM2-MM, GFDL-ESM4, CanESM5, CESM2-WACCM, MPI-ESM1-2-LR, MIROC-ES2L, NorESM2-LM, EC-Earth3-Veg, IPSL-CM6A-LR
2.041000000000000000e+03, 1.944385306338580088e+00, 9.718684847525885795e-01, 4.447964835594253041e-01, 9.482732176331909457e+00, 1.350519700628413755e+00, 2.240391417603407209e+00, 5.638572678612328914e+00, 1.252742230455102357e+00, 1.024515984370157717e+01, 7.531337049093867364e+00, 1.097901933085525528e+00, 1.606551350631837405e+00, 5.534880199920519495e+00
2.042000000000000000e+03, 1.620655903276646548e+00, 9.865827837871299355e-01, 7.848042318177951282e-01, 9.586182136244035590e+00, 1.294410233806831956e+00, 2.178758596307735385e+00, 5.562492524536891914e+00, 1.170472232068631380e+00, 1.027502015027910609e+01, 7.584403569095717224e+00, 1.072835742185452190e+00, 1.621241949849623998e+00, 5.497921066520786049e+00
2.043000000000000000e+03, 1.861007592361983987e+00, 9.506067493166777682e-01, 3.884454944825285194e-01, 9.587872857347374378e+00, 1.273314347421457882e+00, 2.188200845522596083e+00, 5.631180336014253385e+00, 1.153325450244604200e+00, 1.020735045921530926e+01, 7.711542572211564028e+00, 1.088143418282375041e+00, 1.697830797936584535e+00, 5.354872138899494871e+00
2.044000000000000000e+03, 1.765433352252770094e+00, 9.055718957487521870e-01, 5.035847770054558969e-01, 9.568407335968355909e+00, 1.242031699395317768e+00, 2.240547991407843220e+00, 5.367037858490626867e+00, 1.142022809762644364e+00, 1.022720717066590623e+01, 7.787370006295739167e+00, 1.052070675600865979e+00, 1.626420937717048876e+00, 5.482560441809621210e+00
2.045000000000000000e+03, 2.236483125324391974e+00, 8.997915940742552410e-01, 4.763248235296848598e-01, 9.565520416579349927e+00, 1.063355753662198033e+00, 2.358128121738942262e+00, 5.351486916300294716e+00, 1.070254359168721026e+00, 1.021222141039903342e+01, 7.792800807159314225e+00, 9.715514659197015401e-01, 1.888880922552004460e+00, 5.445498908630874269e+00
2.046000000000000000e+03, 2.294170630396912713e+00, 9.514769370857943942e-01, 2.780987014302317983e-01, 9.559421237281425121e+00, 1.211216077997796958e+00, 2.279138623775845751e+00, 5.536107645807236466e+00, 1.115275120733693504e+00, 1.044455173510162815e+01, 7.782427494936445811e+00, 1.018324469609951599e+00, 1.863224533430527519e+00, 5.416056502616089396e+00
2.047000000000000000e+03, 2.119977802589451787e+00, 1.026954245953097367e+00, 6.523716283333228505e-01, 9.553904035886786161e+00, 1.246489324628920592e+00, 2.148949323083308549e+00, 5.232208794674197527e+00, 1.217765978175330277e+00, 1.057497493226341412e+01, 7.807653769208550365e+00, 1.173657628863463920e+00, 1.754200865541781784e+00, 5.439774649696068387e+00
2.048000000000000000e+03, 1.823838602169457701e+00, 1.070265279959453197e+00, 1.020821486522805355e+00, 9.576170727450115550e+00, 1.078725836146399164e+00, 2.166864652938016444e+00, 5.204242865597356271e+00, 1.288079227525033232e+00, 1.061937557450947800e+01, 7.834534589448975517e+00, 1.297297257419128380e+00, 1.676121939101884228e+00, 5.511760633719559266e+00
2.049000000000000000e+03, 1.824215881780845150e+00, 1.082661576149467786e+00, 3.766164739703672937e-01, 9.599357734272008003e+00, 1.108442509161046807e+00, 2.110353531620220213e+00, 5.213742699503308486e+00, 1.217310915994028742e+00, 1.062080046329603178e+01, 7.832608886813158477e+00, 1.151237280648450101e+00, 1.840457121556377418e+00, 5.528939520782297556e+00
2.050000000000000000e+03, 2.270981966386396600e+00, 1.020563786705541265e+00, 3.198238058910229942e-01, 9.469335621392175995e+00, 1.260776839250562054e+00, 2.054432285041771333e+00, 5.386933007748617719e+00, 1.294231885473150934e+00, 1.062820579591456926e+01, 7.860494811762420930e+00, 1.124197686533832119e+00, 1.649080510494361773e+00, 5.536251667722939196e+00
