year, NorESM2-LM, GFDL-ESM4, CNRM-ESM2-1, INM-CM5-0, ACCESS-ESM1-5, TaiESM1, MIROC-ES2L, EC-Earth3-Veg, INM-CM4-8, NorESM2-MM, CanESM5, UKESM1-0-LL, CESM2-WACCM, IPSL-CM6A-LR, CMCC-CM2-SR5, MPI-ESM1-2-LR
2.037000000000000000e+03, 5.440142864047809113e+00, 2.477740063858646202e+00, 2.523305623282361854e+00, 8.442664086683091540e+00, 2.561841057096442498e+00, 4.037321052936764687e+00, 3.193574857028847358e+00, 7.186933495069339983e+00, 8.152140135051659797e+00, 5.193205634112848301e+00, 7.957881708171687940e+00, 1.634309988073997966e+00, 5.857258936288856965e+00, 5.932320553753389625e+00, 3.881607026439833241e+00, 5.673190428360916471e+00
2.038000000000000000e+03, 5.498323065356228945e+00, 3.112441278783086851e+00, 4.309293086924264493e+00, 7.820543954997370761e+00, 2.211714997196151611e+00, 5.059584779756795214e+00, 3.058413219317087872e+00, 6.690953665028924746e+00, 7.848076308456418460e+00, 6.017144765590714428e+00, 6.960352560179682513e+00, 2.423646737160011000e+00, 5.192818762800345489e+00, 4.954894721156470005e+00, 4.414299368313117533e+00, 3.494473801274261326e+00
2.039000000000000000e+03, 5.479670792785045208e+00, 2.565568345020708296e+00, 3.001615644173377007e+00, 6.488628205010088301e+00, 2.168917027704571954e+00, 5.240757704372359882e+00, 3.180042245628857067e+00, 7.069920745380435356e+00, 7.529733953432550919e+00, 6.520392421690452522e+00, 5.924694399076555484e+00, 2.613865958181328164e+00, 5.210052149055820259e+00, 6.002345726311710372e+00, 4.624269653997749252e+00, 2.700998556532063333e+00
2.040000000000000000e+03, 5.109516701002775996e+00, 3.328283420827313765e+00, 4.688585800411584792e+00, 6.978666008885340055e+00, 2.675528702022517358e+00, 5.197801924297626996e+00, 3.484326143664982389e+00, 7.314348412031165481e+00, 8.059845228364551417e+00, 5.333131626976098438e+00, 6.019994690144456762e+00, 2.501306547938506153e+00, 5.825727579358150443e+00, 6.695185921433438381e+00, 3.558271128068863032e+00, 3.593693277415302756e+00
2.041000000000000000e+03, 5.484688813901365201e+00, 2.516937576064486315e+00, 5.019567968881283981e+00, 7.996159073334210277e+00, 2.837671827679185466e+00, 5.113311108401266125e+00, 3.521253290873205266e+00, 7.619317639301345757e+00, 8.351902999517834658e+00, 5.037300546662415002e+00, 6.032051826833922270e+00, 4.082398910302377004e+00, 5.204844295029936951e+00, 6.070904182274506233e+00, 4.574007520678287086e+00, 3.703572181901765514e+00
2.042000000000000000e+03, 5.381453654881389603e+00, 2.833229293364162515e+00, 3.477230502705341841e+00, 7.993464031595579833e+00, 2.490947444818771839e+00, 3.904210745111839742e+00, 3.230620319719962996e+00, 6.272509679523446735e+00, 9.165366218222365191e+00, 5.354145805580881046e+00, 6.237371652075839989e+00, 2.824796592325683697e+00, 5.400689614915330949e+00, 4.044207586104731966e+00, 5.056187105441250829e+00, 3.109277865171645949e+00
2.043000000000000000e+03, 5.387075192661131773e+00, 2.993433288115396884e+00, 3.340419382279049998e+00, 6.752367744545869854e+00, 2.128020175454981455e+00, 4.859322887721633677e+00, 2.569418631547944809e+00, 9.236141797189052483e+00, 8.180275057187840204e+00, 4.515317367839091212e+00, 6.280398201143395198e+00, 1.088359512805203710e+00, 5.033783149039966709e+00, 6.743781081686683443e+00, 5.051243901862834562e+00, 4.359057381979087431e+00
2.044000000000000000e+03, 5.786421402809639680e+00, 3.686619071047753327e+00, 4.075879958027972094e+00, 7.802269432949356265e+00, 2.357556718750132951e+00, 4.796173513240374220e+00, 2.778181360101282582e+00, 6.837371284604307320e+00, 7.853583833805236836e+00, 4.604795763794932384e+00, 6.303732153189534948e+00, 2.453218245428145039e+00, 5.160040185268410795e+00, 5.513393271228156145e+00, 4.923389737428220947e+00, 3.142783523418895886e+00
2.045000000000000000e+03, 6.073795334431273396e+00, 2.604618701387659385e+00, 4.078190913428698217e+00, 7.867912826030428519e+00, 2.988170145635234309e+00, 4.843713402618585739e+00, 3.018641762423308172e+00, 7.929973087817312027e+00, 7.044972474975651267e+00, 5.762925297289352322e+00, 6.363359875502315077e+00, 1.929196284587675336e+00, 5.583749789136025043e+00, 5.518436251320192554e+00, 4.404983285119251413e+00, 7.067365566814794775e+00
2.046000000000000000e+03, 6.131144997421787757e+00, 2.052481941968782309e+00, 3.920922000950481490e+00, 7.445639579458269708e+00, 3.463984528909883398e+00, 5.951491101127868610e+00, 3.153569594593870651e+00, 6.884898978788331014e+00, 8.546941583844501977e+00, 4.638745779773115530e+00, 6.154115004100775721e+00, 1.923596831648778593e+00, 5.652101948319344871e+00, 6.082032812403784128e+00, 4.021305313084464927e+00, 5.855379382868624027e+00
2.047000000000000000e+03, 5.676905136609763147e+00, 2.477051154953684442e+00, 3.712862381666973466e+00, 7.425727599584247329e+00, 3.666655332082951801e+00, 5.250411284613300644e+00, 2.740121798769107553e+00, 8.800388248355639931e+00, 7.942227022291309169e+00, 5.348490591937456351e+00, 7.331636699757526188e+00, 1.897226508835087699e+00, 5.818427066714483509e+00, 6.378880769425337327e+00, 4.431395184343475790e+00, 5.422243494655112350e+00
2.048000000000000000e+03, 4.924471876442417795e+00, 2.772148850446263690e+00, 3.813662379269296743e+00, 6.363074386032081975e+00, 3.541697867128863031e+00, 3.518223850323729085e+00, 2.662056145445757416e+00, 6.964629325911548818e+00, 7.109766439479227706e+00, 6.136672785132375907e+00, 7.652863408446863858e+00, 4.025580153450591503e+00, 4.935422964094324350e+00, 6.723994395882686881e+00, 4.785552981989795285e+00, 3.467374547021371267e+00
2.049000000000000000e+03, 5.082307225862951583e+00, 2.399758658254989907e+00, 3.134389796339499767e+00, 6.610774651269982982e+00, 2.395141207793864968e+00, 4.490275648484814752e+00, 2.852415724354419257e+00, 5.242429011534849081e+00, 7.848004742194462757e+00, 6.247966728386720625e+00, 7.515024769499843771e+00, 4.150382839755277331e+00, 4.825830460687456025e+00, 5.710677455272736402e+00, 4.836897847007736395e+00, 4.517030248568266515e+00
2.050000000000000000e+03, 5.409832321939299860e+00, 3.026527759871336265e+00, 4.174099432532107912e+00, 6.342256295636818919e+00, 2.005278176449158067e+00, 5.745200016748990279e+00, 2.906562720157312540e+00, 7.968750172363453288e+00, 7.862866111457193163e+00, 5.749170478648399474e+00, 6.980806952648762831e+00, 3.345026339989456865e+00, 3.633020609118083222e+00, 4.287582523907753185e+00, 3.983827303083754767e+00, 5.013743402206144673e+00
2.051000000000000000e+03, 5.877703604138942772e+00, 3.303680370323314630e+00, 2.720829358884061300e+00, 6.500879109257780009e+00, 2.132322466307485342e+00, 5.063019996067402495e+00, 2.969761008295933813e+00, 7.929983376835179953e+00, 7.673541822303989512e+00, 5.683599947584109913e+00, 7.207396682546185929e+00, 2.342337471223445711e+00, 4.187491948759260119e+00, 5.432663168122980224e+00, 3.394524993316218264e+00, 4.184564771898872770e+00
2.052000000000000000e+03, 6.103663879433490536e+00, 2.823794028424797542e+00, 2.808389605870518668e+00, 7.459208468419289417e+00, 3.024398359092122845e+00, 3.779914357479799758e+00, 3.028021119007290096e+00, 7.543634522636556206e+00, 8.159278952587571965e+00, 6.481198761451302026e+00, 7.787262992535788797e+00, 4.942753099981075593e+00, 4.936729782749109674e+00, 6.436999846009385351e+00, 3.548047530374576652e+00, 5.029007707964608720e+00
2.053000000000000000e+03, 5.901644834009154295e+00, 3.365906132029087949e+00, 3.978817280338202256e+00, 7.912491118438074622e+00, 2.929406578786979409e+00, 4.037142189495898315e+00, 3.326488337651331229e+00, 6.312200532379572238e+00, 8.208353733810390906e+00, 6.429743807017668900e+00, 6.193033226891513365e+00, 2.329081854558405329e+00, 4.676779023135730462e+00, 6.592065310854230198e+00, 5.225255796615500437e+00, 4.070095663281309228e+00
2.054000000000000000e+03, 5.988782814881521865e+00, 3.080828360313081049e+00, 4.082249718054976384e+00, 7.875583866195938754e+00, 3.225473809995758501e+00, 5.470260897879024142e+00, 3.067994802054940795e+00, 7.290514624475889605e+00, 7.303831216271629678e+00, 5.638332349703947699e+00, 5.957652633791549412e+00, 3.063020292339153183e+00, 5.101665115148804830e+00, 7.409068050350782642e+00, 4.488332841702521669e+00, 3.196787537758629671e+00
2.055000000000000000e+03, 6.373496012384802789e+00, 1.853675979030314336e+00, 4.079908231129737217e+00, 7.168816381300636920e+00, 3.527477915802655684e+00, 4.800291901757598012e+00, 2.706361009230012549e+00, 6.409983647315329769e+00, 9.153445307250191121e+00, 6.047361211403549319e+00, 7.091948134878927945e+00, 2.289157293360113865e+00, 5.990881455106411124e+00, 7.091272907347328847e+00, 3.353312849383915939e+00, 4.656009783393958656e+00
2.056000000000000000e+03, 5.872900826481107117e+00, 2.396986527518640830e+00, 4.380926956950705886e+00, 7.285847634674455620e+00, 3.644942189837738322e+00, 4.403363970170896202e+00, 2.816444366642850028e+00, 7.332540265109282807e+00, 8.090744728120350615e+00, 6.287531227531575340e+00, 6.471867323213535528e+00, 2.428270374711654522e+00, 6.408389444103507415e+00, 5.146195933826770208e+00, 4.215294692261722709e+00, 4.252365903227276256e+00
2.057000000000000000e+03, 5.097157783299760325e+00, 2.256101135329223961e+00, 3.500153771355841492e+00, 6.792655320589322976e+00, 3.580896754849578922e+00, 4.429496558071284618e+00, 2.790814417696298122e+00, 6.812677317941836286e+00, 7.622799531088687353e+00, 5.910780955214551824e+00, 6.562729046736594185e+00, 3.243922085229084207e+00, 5.684803229252885615e+00, 5.955571804538133840e+00, 4.533022930585094201e+00, 5.075417914895286486e+00
2.058000000000000000e+03, 4.320053388252320659e+00, 3.485856565820317332e+00, 4.671331068911118933e+00, 7.683062605579779714e+00, 2.780265714861712478e+00, 3.983220111429583987e+00, 2.896182557002873192e+00, 7.496760949434735366e+00, 7.926055569754545616e+00, 5.993503583059924367e+00, 6.233414716460896621e+00, 2.590153343338692071e+00, 5.321153182947889526e+00, 5.579233287567753052e+00, 4.493163723622161321e+00, 4.933007724162378871e+00
2.059000000000000000e+03, 4.575717675293064168e+00, 3.840823245168395239e+00, 3.998070736132019576e+00, 7.145228583167362757e+00, 2.881944145208182206e+00, 4.387902021318128121e+00, 3.033343911318485020e+00, 6.607691923081894458e+00, 8.535380833933754019e+00, 6.057082191391604198e+00, 6.588924489266715590e+00, 2.485608252139025254e+00, 6.370183523572198858e+00, 5.726287685935511185e+00, 3.888140093555783938e+00, 5.076411997631087303e+00
2.060000000000000000e+03, 5.409387766043439960e+00, 2.566154767223798761e+00, 2.756213088351523233e+00, 7.031079097442122006e+00, 3.609095348151158511e+00, 4.891556933976940691e+00, 2.682611590930629397e+00, 9.574288673954614026e+00, 8.291134788175238413e+00, 5.357216892563087640e+00, 6.644607426532716410e+00, 1.906539956941242231e+00, 6.072884228819090069e+00, 6.987599635173945778e+00, 2.864379985333926903e+00, 3.237024973325898447e+00
2.061000000000000000e+03, 4.614883183992511739e+00, 2.068489821774492476e+00, 4.626185714587780495e+00, 7.424416389499997493e+00, 3.461505544084410246e+00, 5.208668835712359169e+00, 3.040677281112708741e+00, 7.670875671534727935e+00, 7.578369181887525841e+00, 4.663914773053685181e+00, 6.641995959125497784e+00, 4.160287515778025913e+00, 5.575597116280232690e+00, 7.070288259765248107e+00, 4.528233118231877796e+00, 3.508165767959686931e+00
2.062000000000000000e+03, 5.033083677018446167e+00, 2.485146554840305111e+00, 3.489457991271686765e+00, 6.710315941102094506e+00, 3.380226779980505913e+00, 4.386394057033029092e+00, 3.164844877117422239e+00, 8.400496873664131670e+00, 8.903709991688000258e+00, 4.851569560958314042e+00, 6.512429525739485747e+00, 3.945738160493600155e+00, 6.013063546210754673e+00, 5.558716944413686356e+00, 5.297426166567894334e+00, 5.611446844547702817e+00
