year, CNRM-ESM2-1, GFDL-ESM4, TaiESM1, EC-Earth3-Veg, MPI-ESM1-2-LR, MIROC-ES2L, CESM2-WACCM, UKESM1-0-LL, NorESM2-LM, NorESM2-MM, CMCC-ESM2, INM-CM4-8, ACCESS-ESM1-5, INM-CM5-0, IPSL-CM6A-LR, CanESM5
2.040000000000000000e+03, 7.723929487060325894e-01, 8.200830417010730455e-01, 1.212339122895208954e+00, 1.556668130981992526e+00, 8.486721537617282207e-01, 6.090523315904721180e-01, 1.037483292819741276e+00, 1.176494416875274229e+00, 8.117338109459631967e-01, 1.044517474589613970e+00, 1.210271112963879236e+00, 1.232654651263936474e+00, 4.388299838970654565e-01, 1.152901489135863544e+00, 1.057038909792798798e+00, 6.219939118465023231e-01
2.041000000000000000e+03, 8.709288543081129541e-01, 6.413109987163139181e-01, 1.230302703398010955e+00, 1.751260980200437078e+00, 8.541726841789569757e-01, 6.094259760268492254e-01, 9.741697650282962195e-01, 1.329943540840881733e+00, 8.713174854511614997e-01, 9.922308701210911241e-01, 1.047038562739378120e+00, 1.254191288588203612e+00, 4.975668842253073709e-01, 1.209116624808802110e+00, 1.025339413429931401e+00, 6.477271544372974477e-01
2.042000000000000000e+03, 6.635830993585279947e-01, 7.073217890947456343e-01, 9.584636403397415183e-01, 1.615326134564031513e+00, 7.760890431126505895e-01, 6.078236830889690578e-01, 9.585530022565619257e-01, 1.264092101593175643e+00, 8.454611656331503244e-01, 9.080125049839442575e-01, 6.611701343244753559e-01, 1.270390221120972551e+00, 4.720049625441540275e-01, 1.234040900154482756e+00, 7.300871738951961731e-01, 6.755538493499457786e-01
2.043000000000000000e+03, 6.595221550238863362e-01, 7.564686763678413195e-01, 9.392930357833068067e-01, 1.643221193933072977e+00, 9.000778253069555701e-01, 5.608213542368524207e-01, 9.586585010477115532e-01, 9.962481275828645177e-01, 8.872561762406272479e-01, 8.422600289410819840e-01, 7.738594778639276139e-01, 1.233147417854087546e+00, 4.019187461913471537e-01, 1.145714378698069469e+00, 9.960734237067938590e-01, 6.703391901880514370e-01
2.044000000000000000e+03, 6.854333574106818983e-01, 9.159142167533156353e-01, 1.088792548353621603e+00, 2.470616444110795396e+00, 8.084221316863583473e-01, 5.368197453686870402e-01, 9.957662219861370678e-01, 1.190209036008831545e+00, 9.109086184749911608e-01, 8.572170209400378216e-01, 1.197792236901729312e+00, 1.224829666558326702e+00, 4.001541055182833428e-01, 1.206596527779227435e+00, 9.428460534869809173e-01, 6.813027284126956795e-01
2.045000000000000000e+03, 7.357351605056315913e-01, 6.470753066820678079e-01, 1.082031524440566717e+00, 1.612298276752677673e+00, 1.144706523446122892e+00, 5.482512727306012579e-01, 1.011217882683066227e+00, 1.114946270019216756e+00, 9.442103665377439281e-01, 9.560014927151057051e-01, 1.415223660801262495e+00, 1.172718359322248105e+00, 4.898751307031832813e-01, 1.207616303722204520e+00, 9.006975235137828495e-01, 6.840105947476927684e-01
2.046000000000000000e+03, 6.934619456855362074e-01, 5.266559865076334557e-01, 1.291358217255493601e+00, 1.719784464282625436e+00, 1.079200482595364718e+00, 5.571050171355326208e-01, 1.017794996437115351e+00, 1.095438921134001653e+00, 9.826006554560706707e-01, 8.832875636173025402e-01, 6.166994670410014256e-01, 1.258078193075534923e+00, 5.713836373329351792e-01, 1.189644578603399783e+00, 9.809874334317971734e-01, 6.630295143781446132e-01
2.047000000000000000e+03, 6.870256646005866719e-01, 6.190908280642342110e-01, 1.461232001852336815e+00, 1.742534125146760315e+00, 1.050548488947821824e+00, 5.378417848136265444e-01, 1.035697760578127902e+00, 1.062690462132653613e+00, 1.018025223959468040e+00, 9.783854837732804954e-01, 6.825979520506650911e-01, 1.223401413629996881e+00, 6.197495916335384880e-01, 1.184730156815706925e+00, 1.006812823045417415e+00, 8.704003357363658822e-01
2.048000000000000000e+03, 6.780008292354607891e-01, 6.761483008318660559e-01, 7.746840605489809795e-01, 2.060167828634243747e+00, 8.453164355952111908e-01, 5.138769863044643227e-01, 9.350434058589924824e-01, 1.323351868968458467e+00, 9.148298394766823938e-01, 1.011425041079866860e+00, 1.192083569762416362e+00, 1.162779457690721996e+00, 6.090814851695046661e-01, 1.096808331757395560e+00, 1.082901219158881156e+00, 9.091188016236921854e-01
2.049000000000000000e+03, 6.163409240008841383e-01, 5.850734465600313516e-01, 7.543658781481628051e-01, 1.181233595341395937e+00, 9.629724346947897695e-01, 5.274985777800204056e-01, 8.929856398952774610e-01, 1.346441893139842971e+00, 8.618669788857611369e-01, 1.071816808931712162e+00, 1.130694841914965387e+00, 1.203579551123704849e+00, 4.913638610356798053e-01, 1.109034788921115178e+00, 9.433582047638171542e-01, 8.671254092777427314e-01
2.050000000000000000e+03, 7.319812714379916319e-01, 7.295402171956469894e-01, 1.210585486028946001e+00, 1.120489457026128344e+00, 9.719097182730596085e-01, 5.281725713113537557e-01, 7.751607726482598881e-01, 1.234218148347504540e+00, 8.997016593251422334e-01, 1.061559149272603086e+00, 6.195386718350864852e-01, 1.216344892223259810e+00, 3.742512342270639669e-01, 1.094922480946338039e+00, 7.881453068547371599e-01, 7.795266724100434752e-01
