year, CNRM-ESM2-1, ACCESS-ESM1-5, NorESM2-LM, MIROC-ES2L, INM-CM4-8, CMCC-CM2-SR5, CESM2-WACCM, NorESM2-MM, IPSL-CM6A-LR, UKESM1-0-LL, TaiESM1, INM-CM5-0, EC-Earth3-Veg, MPI-ESM1-2-LR, GFDL-ESM4, CanESM5
2.041000000000000000e+03, 2.963921081944579150e+00, 2.617134345023571562e+00, 3.733511417172979741e+00, 3.416855847401379265e+00, 6.633389342510926490e+00, 4.610251026191664714e+00, 4.059333722065703753e+00, 4.468041380665896511e+00, 3.419750789405359814e+00, 6.337444967872765567e+00, 4.086022070211757118e+00, 6.611743552157387072e+00, 3.948201343255078655e+00, 5.019890813238386151e+00, 4.787882918353048467e+00, 5.724406240351463282e+00
2.042000000000000000e+03, 2.828326423128099343e+00, 2.784042497718855369e+00, 3.608723146782535363e+00, 3.502685536092951413e+00, 6.656564483572859459e+00, 4.140627678664630551e+00, 4.369216466250610331e+00, 4.537219019552043875e+00, 3.254976694318061803e+00, 5.729800616990790019e+00, 4.416353501511317781e+00, 6.471388463640398214e+00, 3.940408278598079406e+00, 5.165156519655393019e+00, 4.716381951876090106e+00, 5.492574513283643434e+00
2.043000000000000000e+03, 2.840685683334873257e+00, 2.610336126100705201e+00, 3.800898790591478615e+00, 3.412729749642771537e+00, 6.564687875694685815e+00, 4.586832990989696768e+00, 4.138210624092865331e+00, 4.266771500992365240e+00, 3.828757523285471809e+00, 5.830781729228501575e+00, 4.536672610260165328e+00, 6.350102501407838496e+00, 4.413835765672651235e+00, 5.147396739651756370e+00, 4.833857628234723869e+00, 5.663817657896700553e+00
2.044000000000000000e+03, 2.663426942887170412e+00, 2.590692175936429642e+00, 4.038425765843407511e+00, 3.489497249075021124e+00, 6.415427089088320045e+00, 4.139072621412895003e+00, 4.123647774967942325e+00, 4.363084514786014445e+00, 3.317235621649548882e+00, 6.219625156988029424e+00, 3.870169006205137929e+00, 6.230011594528648722e+00, 4.167608579393711210e+00, 5.033080843468299648e+00, 5.093702913133909327e+00, 5.938820747627328700e+00
2.045000000000000000e+03, 3.083242091697600884e+00, 2.924054507860322172e+00, 4.061831722406839873e+00, 3.483856744998955257e+00, 6.343801610267152391e+00, 4.195149830148754866e+00, 4.376272548568985954e+00, 4.787308422487901005e+00, 3.432133787422690929e+00, 5.795331233152142936e+00, 4.518305000027766027e+00, 6.252145752328488015e+00, 3.913959786251002271e+00, 5.076337158559455887e+00, 4.990269232810992328e+00, 5.608473734945652822e+00
2.046000000000000000e+03, 2.585752909869628802e+00, 2.642934056159480516e+00, 3.928503348963112263e+00, 3.604479189164194075e+00, 6.663015958375448911e+00, 4.091523076193612773e+00, 4.196098150206729827e+00, 4.493270055881438019e+00, 3.674079701296254719e+00, 5.639396315564050965e+00, 4.650469850442963349e+00, 6.232823308043077937e+00, 3.923242184906126084e+00, 5.157176211055777060e+00, 4.921807038784950628e+00, 5.676804035486037847e+00
2.047000000000000000e+03, 3.079556562540013864e+00, 2.952248256487846945e+00, 3.934875350052484677e+00, 3.424987203254850510e+00, 6.354903003068343104e+00, 4.787873917608526320e+00, 4.213837479595759383e+00, 4.376180064809503278e+00, 3.308360070799791774e+00, 6.187383961200898952e+00, 3.672630967954428005e+00, 6.289637262179697430e+00, 4.149994798261401385e+00, 5.067292971906732113e+00, 4.914383025626552381e+00, 5.625560029527737704e+00
2.048000000000000000e+03, 2.614505855086177721e+00, 2.970586248914747873e+00, 3.635222229409448502e+00, 3.444872283066620522e+00, 6.763421046923457247e+00, 4.555931828614270707e+00, 4.154198196270959542e+00, 4.702653372204153470e+00, 3.363669260956936746e+00, 6.656891816035042098e+00, 4.234622033447823952e+00, 6.431433830318163736e+00, 4.207592132736166057e+00, 5.319886724414935486e+00, 5.147152837840629047e+00, 5.959869674257096683e+00
2.049000000000000000e+03, 2.864787886749824874e+00, 2.515940289448157063e+00, 3.830193920588925938e+00, 3.461340749787129578e+00, 6.580011314460382899e+00, 3.837131074791639396e+00, 4.130787068251261296e+00, 4.567993924990204846e+00, 3.370516912114155605e+00, 6.615241375077873798e+00, 4.532719302669112160e+00, 6.378614571748476791e+00, 3.979518223940093247e+00, 5.217196772629186796e+00, 4.867742706263292973e+00, 5.813960977311674050e+00
2.050000000000000000e+03, 2.799632634904229533e+00, 2.375298435274125541e+00, 3.881458763664131784e+00, 3.536903103161161077e+00, 6.267729561176369479e+00, 4.165864689052939163e+00, 4.255245610495751230e+00, 4.446383409497443040e+00, 3.332528366331355407e+00, 6.197216905912822149e+00, 4.400666742574822266e+00, 6.230061152466012331e+00, 4.051714148606989419e+00, 5.142182568982354596e+00, 5.156436240146890171e+00, 5.844466023409463418e+00
