year, CESM2-WACCM, CNRM-ESM2-1, NorESM2-MM, GFDL-ESM4, CNRM-ESM2-1, EC-Earth3-Veg, NorESM2-LM, TaiESM1, MPI-ESM1-2-LR, NorESM2-MM, GFDL-ESM4, TaiESM1
2.040000000000000000e+03, 1.006454660426328733e-09, 1.572842079856632519e-10, 4.922456271046931180e-10, 4.120969566132635163e-10, 1.572842079856632519e-10, 1.219100807888762467e-09, 3.431084586174516501e-10, 3.250436268024430095e-10, 5.335218740540864119e-10, 4.922456271046931180e-10, 3.989053758653846676e-10, 3.250436268024430095e-10
2.041000000000000000e+03, 3.240715193505650403e-10, 1.839800424597682383e-10, 1.947070390681534485e-10, 1.053823908054948102e-09, 1.839800424597682383e-10, 1.565555576306784848e-09, 1.504895974996394840e-10, 1.037692988726632419e-09, 6.331842184464894213e-10, 1.947070390681534485e-10, 1.040377345324128801e-09, 1.037692988726632419e-09
2.042000000000000000e+03, 2.230369194872934670e-10, 1.671121830900083193e-10, 1.757797001370717575e-10, 1.046611943262016654e-09, 1.671121830900083193e-10, 1.591542587317437169e-09, 4.022992264396304708e-10, 6.519245601521349596e-10, 5.102452139167560704e-10, 1.757797001370717575e-10, 1.032815143198861096e-09, 6.519245601521349596e-10
2.043000000000000000e+03, 2.376176611890222629e-10, 1.595562323220442235e-10, 3.448890909446492702e-10, 4.870624111747816077e-10, 1.595562323220442235e-10, 1.045712165588109831e-09, 1.645316928928618749e-10, 5.370546217185707331e-10, 6.197382430884213915e-10, 3.448890909446492702e-10, 4.736067015537489351e-10, 5.370546217185707331e-10
2.044000000000000000e+03, 2.302220016396762088e-10, 1.370985136991229835e-10, 2.071266341827218662e-10, 3.404479354343392545e-10, 1.370985136991229835e-10, 8.423260220574726821e-10, 9.034059499948565777e-11, 1.494110008051184982e-09, 5.807264707907568632e-10, 2.071266341827218662e-10, 3.270950869665912617e-10, 1.494110008051184982e-09
2.045000000000000000e+03, 1.810442265592777752e-10, 1.782358878434237842e-10, 1.079210971596008744e-10, 1.142615969117967353e-09, 1.782358878434237842e-10, 1.951039198724234036e-09, 6.492207899776414231e-11, 1.091767036891902031e-09, 5.884759186815880899e-10, 1.079210971596008744e-10, 1.128689452597304925e-09, 1.091767036891902031e-09
2.046000000000000000e+03, 2.227480843627850141e-10, 1.391470974123310047e-10, 2.463367249924392483e-10, 6.652963831373285304e-10, 1.391470974123310047e-10, 1.799263950728957740e-09, 6.864536502961969296e-11, 2.947061382861612615e-10, 5.351021624893022898e-10, 2.463367249924392483e-10, 6.513006950635612914e-10, 2.947061382861612615e-10
2.047000000000000000e+03, 2.634413996455010508e-10, 1.159512447157219978e-10, 2.100427432734403384e-10, 5.517576841570719278e-10, 1.159512447157219978e-10, 1.024063058495195988e-09, 5.984053118850281630e-11, 8.801567887511401428e-10, 5.297588542819877955e-10, 2.100427432734403384e-10, 5.379319036275085610e-10, 8.801567887511401428e-10
2.048000000000000000e+03, 1.864039631339314406e-10, 1.598763151133816403e-10, 1.299070624021243850e-10, 5.976551920911687945e-10, 1.598763151133816403e-10, 1.041966160056653525e-09, 1.214278650047040627e-10, 7.354055518595902927e-10, 5.957010485928203434e-10, 1.299070624021243850e-10, 5.841619860504033959e-10, 7.354055518595902927e-10
2.049000000000000000e+03, 4.343671662195684768e-10, 1.725156130010320726e-10, 2.099352634680788516e-10, 1.099630151599863571e-09, 1.725156130010320726e-10, 2.149518198290385676e-09, 9.705955513904392382e-11, 5.372592851082729618e-10, 5.921730092770289465e-10, 2.099352634680788516e-10, 1.085717724358740791e-09, 5.372592851082729618e-10
2.050000000000000000e+03, 2.299267023884725765e-10, 1.334079626651927032e-10, 2.745472311001418541e-10, 4.497711104067937986e-10, 1.334079626651927032e-10, 1.057808811331703259e-09, 1.005458082964511544e-10, 3.239277280990041812e-10, 5.791014046388693321e-10, 2.745472311001418541e-10, 4.360257111495559137e-10, 3.239277280990041812e-10
2.051000000000000000e+03, 7.491329897973092746e-10, 1.766297391055469275e-10, 3.081012234649480274e-10, 6.909265143270721284e-10, 1.766297391055469275e-10, 2.195308282733848190e-09, 2.196904760376036141e-10, 1.277414949632968757e-09, 6.239289570050783944e-10, 3.081012234649480274e-10, 6.772732558428162934e-10, 1.277414949632968757e-09
2.052000000000000000e+03, 3.846616157961673379e-10, 1.945535567681194004e-10, 2.277915879810105778e-10, 4.949186481424569192e-10, 1.945535567681194004e-10, 9.853309286273338451e-10, 1.746511376614292724e-10, 8.273464447949008006e-10, 5.456674553123910387e-10, 2.277915879810105778e-10, 4.813890582749668203e-10, 8.273464447949008006e-10
2.053000000000000000e+03, 3.057977555325160240e-10, 1.186387888408613156e-10, 2.648928367320108058e-10, 5.156446035155833725e-10, 1.186387888408613156e-10, 9.120255145731208100e-10, 4.008448196124757050e-10, 4.790345611958086843e-10, 5.900651529676323689e-10, 2.648928367320108058e-10, 5.020553086012035822e-10, 4.790345611958086843e-10
2.054000000000000000e+03, 5.831250261024199959e-10, 1.353217922065479601e-10, 2.665546690656259768e-10, 8.378790764560911200e-10, 1.353217922065479601e-10, 8.701759049216111387e-10, 3.617942607162753401e-10, 3.706982799791294180e-10, 5.818105020822505208e-10, 2.665546690656259768e-10, 8.242673533929575309e-10, 3.706982799791294180e-10
2.055000000000000000e+03, 4.008112924776398117e-10, 1.096596273229507600e-10, 3.683049279969727891e-10, 9.602991496581093171e-10, 1.096596273229507600e-10, 1.926884196877291407e-09, 2.158073778897094249e-10, 4.814409254477990112e-10, 6.122560659488258555e-10, 3.683049279969727891e-10, 9.464371747903492335e-10, 4.814409254477990112e-10
2.056000000000000000e+03, 3.023613319710315630e-10, 9.861072876080381719e-11, 2.703232243952562131e-10, 1.567256415756302482e-09, 9.861072876080381719e-11, 1.870176322853238334e-09, 4.736879436780176171e-10, 5.521430640292483606e-10, 6.545042186292659221e-10, 2.703232243952562131e-10, 1.553021490491799715e-09, 5.521430640292483606e-10
2.057000000000000000e+03, 7.739357972993402126e-10, 1.762477160545598884e-10, 3.815043823491450627e-10, 6.521167154192734148e-10, 1.762477160545598884e-10, 1.042770322039482546e-09, 6.934218772504175948e-10, 4.224332009574047366e-10, 6.113066207481313758e-10, 3.815043823491450627e-10, 6.378222403553432734e-10, 4.224332009574047366e-10
2.058000000000000000e+03, 4.451738329838015888e-10, 1.484444442131973629e-10, 4.580794317024217922e-10, 5.482817451068573741e-10, 1.484444442131973629e-10, 1.833109459546288295e-09, 5.425830356364553842e-10, 1.801479912505853792e-09, 5.690487337899095870e-10, 4.580794317024217922e-10, 5.347338015319227208e-10, 1.801479912505853792e-09
2.059000000000000000e+03, 2.328361131793910917e-10, 2.018422281344750280e-10, 3.595342729874412555e-10, 5.497270997596769718e-10, 2.018422281344750280e-10, 3.929085103541111206e-09, 7.505736406676849977e-10, 1.118592793003127171e-09, 5.605821612686063196e-10, 3.595342729874412555e-10, 5.364554618087441122e-10, 1.118592793003127171e-09
2.060000000000000000e+03, 7.531114556757431430e-10, 1.304994557762480945e-10, 2.935555366583106310e-10, 7.562292573159513154e-10, 1.304994557762480945e-10, 9.731437823883511501e-10, 5.702516325935335034e-10, 4.141779091577484735e-10, 5.196427061439746886e-10, 2.935555366583106310e-10, 7.423434097737189884e-10, 4.141779091577484735e-10
2.061000000000000000e+03, 4.586020305100478832e-10, 1.112591789067022308e-10, 3.392143009816443246e-10, 7.907079432557437831e-10, 1.112591789067022308e-10, 5.876360336164336851e-10, 3.479070991697097022e-10, 1.079877772105708180e-09, 5.370680349620382224e-10, 3.392143009816443246e-10, 7.768208821127501888e-10, 1.079877772105708180e-09
