year, CNRM-ESM2-1, CESM2-WACCM, UKESM1-0-LL, IPSL-CM6A-LR, CanESM5, TaiESM1, EC-Earth3-Veg, NorESM2-LM, GFDL-ESM4, ACCESS-ESM1-5, MIROC-ES2L, MPI-ESM1-2-LR, INM-CM5-0, CMCC-CM2-SR5, INM-CM4-8, NorESM2-MM
2.025000000000000000e+03, 2.979745492540158693e+02, 2.997431191761674540e+02, 2.997091633589212734e+02, 2.981797342034235498e+02, 2.997678493578813459e+02, 2.983404047986369392e+02, 2.977861031328125705e+02, 2.993139521151030067e+02, 2.975488187109867795e+02, 3.007579320134119598e+02, 2.989416458681156996e+02, 2.978589930185793833e+02, 2.981698158855341489e+02, 2.989627287293186555e+02, 2.984914733605548918e+02, 2.992470000272259654e+02
2.026000000000000000e+03, 2.978179002815194281e+02, 2.991819042273226614e+02, 2.999224464468474594e+02, 2.981222475493540855e+02, 2.998912294135336083e+02, 2.985035832959949857e+02, 2.983526740669448145e+02, 2.996939214115354844e+02, 2.979310077358196622e+02, 3.007434229785312709e+02, 2.983850876539469823e+02, 2.981544651358571514e+02, 2.983955854475170781e+02, 2.991742947543080504e+02, 2.985962737175608481e+02, 2.992306525071549004e+02
2.027000000000000000e+03, 2.980843163174532151e+02, 2.991805409304145087e+02, 3.001009417616092492e+02, 2.979447268283415156e+02, 2.999423469903076125e+02, 2.989601587554296316e+02, 2.982306038764498339e+02, 2.996380090867604622e+02, 2.973893102878803347e+02, 3.005683375501263868e+02, 2.984431305326443749e+02, 2.980991543757324393e+02, 2.984734957077186550e+02, 2.995260125860154972e+02, 2.984956383355415710e+02, 2.989284795749272234e+02
2.028000000000000000e+03, 2.978687354894121313e+02, 2.995493081724406466e+02, 3.004280600394570229e+02, 2.979904125888071462e+02, 2.999365682695371333e+02, 2.986583131286095067e+02, 2.975617439021476685e+02, 2.994958673435060632e+02, 2.975575283091294523e+02, 3.007650425273813539e+02, 2.992265664542831587e+02, 2.979556022127185884e+02, 2.983745036814680702e+02, 2.995983759587347777e+02, 2.985282512169262645e+02, 2.992331501907387974e+02
2.029000000000000000e+03, 2.976280858670583029e+02, 2.996302479661549114e+02, 2.998637929866036984e+02, 2.981190360516169449e+02, 2.998660987509842926e+02, 2.984681794879849690e+02, 2.977619400474945337e+02, 2.995201603460029673e+02, 2.977603981274223770e+02, 3.009168636512102921e+02, 2.994185009191900804e+02, 2.980659406035729262e+02, 2.983364220576673915e+02, 2.992851360763900175e+02, 2.984858184234491318e+02, 2.988263450894351649e+02
2.030000000000000000e+03, 2.975108636449301116e+02, 2.998753654077641499e+02, 2.999094709091284585e+02, 2.980894726097577632e+02, 2.999419078154043063e+02, 2.986493221890291920e+02, 2.983113560910114757e+02, 2.998338705460473648e+02, 2.980831549454771334e+02, 3.008947304105663534e+02, 2.985765759671478463e+02, 2.983517300056885233e+02, 2.983027615365165275e+02, 2.993341388059222368e+02, 2.985854268012549824e+02, 2.989355585391747354e+02
2.031000000000000000e+03, 2.981416884160734071e+02, 2.993346835612881023e+02, 2.999683950616709467e+02, 2.982723717741166070e+02, 3.002824651904377333e+02, 2.988738241498144248e+02, 2.978742513022252751e+02, 2.995563147156225341e+02, 2.978099160981284399e+02, 3.009671912207620039e+02, 2.982369552335281355e+02, 2.985651298984751634e+02, 2.984938691444865526e+02, 2.993662904953022235e+02, 2.986572662904854383e+02, 2.993244114252295276e+02
2.032000000000000000e+03, 2.978863052184680669e+02, 2.996120808638248150e+02, 3.000534989103566090e+02, 2.981613338077344224e+02, 3.000029290630324112e+02, 2.985323767626756535e+02, 2.978200221946327702e+02, 2.999926706571758359e+02, 2.976555687426600798e+02, 3.011308485166733817e+02, 2.985874873219573260e+02, 2.983717658393747456e+02, 2.984495258841851637e+02, 2.990315637845284300e+02, 2.985567150327121908e+02, 2.995078423676058037e+02
2.033000000000000000e+03, 2.979019484145208025e+02, 2.995770139381108947e+02, 2.999502786474674849e+02, 2.985177202070580051e+02, 3.002475542190645115e+02, 2.986302890143461468e+02, 2.983345888400965009e+02, 2.995036129347295741e+02, 2.979772121989959146e+02, 3.010142219547318518e+02, 2.991249043213138066e+02, 2.976548343599302484e+02, 2.982987896090524487e+02, 2.996174785611793823e+02, 2.986531889200368255e+02, 2.989209093297453137e+02
2.034000000000000000e+03, 2.980668752439013360e+02, 2.998901940015169316e+02, 3.004274984780139448e+02, 2.982831615680082109e+02, 3.001826110685285585e+02, 2.988688905226740076e+02, 2.982091247386838404e+02, 2.992531983165879410e+02, 2.978791748873845791e+02, 3.006983863760395934e+02, 2.998879346190564092e+02, 2.975804892640085768e+02, 2.982671737701249413e+02, 2.996033467556991923e+02, 2.987534571566385466e+02, 2.987387897182882739e+02
