year, CESM2-WACCM, IPSL-CM6A-LR, MPI-ESM1-2-LR, TaiESM1, EC-Earth3-Veg, NorESM2-MM, GFDL-ESM4, NorESM2-LM, UKESM1-0-LL
2.055000000000000000e+03, 1.011450145250918809e-09, 3.205326207223452474e-09, 1.779040153339471997e-09, 3.343933689512667523e-10, 1.180892877414608171e-09, 2.598406731349063065e-10, 1.035114566427913215e-09, 2.244718977310084629e-10, 3.848939681855227529e-09
2.056000000000000000e+03, 1.248174847111754691e-09, 3.064730234219795322e-09, 1.785621744578131581e-09, 3.332798169641193375e-10, 1.068745984165734232e-09, 2.590074026972062968e-10, 1.080063106816360793e-09, 2.233246081258527465e-10, 3.488305948030860439e-09
2.057000000000000000e+03, 1.218035901448500786e-09, 3.185461324992191713e-09, 1.783851800266941888e-09, 3.316554109636887249e-10, 1.211341577603121218e-09, 2.576549319484586997e-10, 1.087359832616384813e-09, 2.224840860753701742e-10, 4.096326819232923528e-09
2.058000000000000000e+03, 9.867140583380405929e-10, 3.131416036851253109e-09, 1.765827113083201624e-09, 3.273405394733908747e-10, 1.155979686729315489e-09, 2.565832396842320895e-10, 1.076131618951659689e-09, 2.215309574013126063e-10, 3.745467601176302067e-09
2.059000000000000000e+03, 1.290792703072204297e-09, 3.083956827977512291e-09, 1.778133685403230610e-09, 3.254151772051072397e-10, 9.741644755890895505e-10, 2.556561613197573929e-10, 1.110871557917672930e-09, 2.205007979535997136e-10, 3.521599275148294971e-09
2.060000000000000000e+03, 1.225949087060730915e-09, 3.309096064688359110e-09, 1.793194997336749360e-09, 3.252138201941557450e-10, 1.024949514646887425e-09, 2.544013199839170315e-10, 1.136646380055350380e-09, 2.195145205554273261e-10, 3.670928222607104743e-09
2.061000000000000000e+03, 9.712785806457460543e-10, 3.546633427506163737e-09, 1.824699794932055729e-09, 3.236231261080487852e-10, 1.199289570221099225e-09, 2.532344993987338388e-10, 1.077503024100488217e-09, 2.184220222648313835e-10, 4.174223944946153211e-09
2.062000000000000000e+03, 1.138766329159564000e-09, 3.346641985543525064e-09, 1.800923856397963907e-09, 3.215657409391721342e-10, 1.291872653194157339e-09, 2.521633103066817061e-10, 1.073256716105268003e-09, 2.172098219204873729e-10, 4.186487643050146946e-09
2.063000000000000000e+03, 1.048902608393553637e-09, 3.214528457109484587e-09, 1.795356385803401463e-09, 3.226770077174569154e-10, 1.224688000438736618e-09, 2.508542885895585175e-10, 1.097820759322751161e-09, 2.162260489383599481e-10, 3.446343491613036055e-09
2.064000000000000000e+03, 1.047858588869005527e-09, 3.270899964169385859e-09, 1.808005359013019316e-09, 3.234343374494967731e-10, 1.051345793478537414e-09, 2.501082576032498943e-10, 1.088418923766019117e-09, 2.152368723166916828e-10, 3.749164760171840583e-09
