year, CNRM-ESM2-1, NorESM2-MM, NorESM2-LM, GFDL-ESM4, TaiESM1
2.028000000000000000e+03, 1.280670281972874813e-10, 7.797273051834225901e-10, 6.363141734615015859e-10, 3.793639332132630185e-10, 3.948693377422317236e-10
2.029000000000000000e+03, 1.349175031784156178e-10, 6.725970085352046367e-10, 5.092925163770322172e-10, 8.334937822278348615e-10, 6.577503094207134889e-10
2.030000000000000000e+03, 1.685398631720870929e-10, 6.021554129770942054e-10, 4.956861618875878259e-10, 8.499733783716129434e-10, 8.688352660785072103e-10
2.031000000000000000e+03, 1.817858982069688324e-10, 1.304096655984284093e-09, 4.255244159596560340e-10, 3.221349769152230092e-10, 5.574579126209059013e-10
2.032000000000000000e+03, 1.557579107278364882e-10, 1.036833049465594347e-09, 5.368782342892622297e-10, 3.914191016506470821e-10, 4.066947203539528629e-10
2.033000000000000000e+03, 1.683040628922980883e-10, 6.562001115764620517e-10, 4.174252568737086186e-10, 9.003485444182745113e-10, 5.311962327649163831e-10
2.034000000000000000e+03, 1.302880768692818803e-10, 7.717350012661721083e-10, 3.932046613249714671e-10, 4.963699039782616518e-10, 6.979039561123847107e-10
2.035000000000000000e+03, 1.732244350071849733e-10, 7.987094634482146722e-10, 5.365887479903240868e-10, 4.697801174802467835e-10, 5.638320295140253432e-10
2.036000000000000000e+03, 1.899030250835558333e-10, 8.413749524381084315e-10, 6.847854014545631429e-10, 8.503376961486606885e-10, 9.206753610205734531e-10
2.037000000000000000e+03, 1.836703376463974509e-10, 9.181301014893192991e-10, 6.910431780562032374e-10, 9.834703247941277908e-10, 6.082389140755301118e-10
2.038000000000000000e+03, 1.073743646108580824e-10, 7.055171133686506607e-10, 4.418511411919000964e-10, 5.899782974722141541e-10, 2.979723441091871838e-10
2.039000000000000000e+03, 1.317757023025402976e-10, 4.268194484039420947e-10, 3.393669459636342142e-10, 4.514239247292223628e-10, 3.356655533197964010e-10
2.040000000000000000e+03, 1.572842079856632519e-10, 4.922456271046931180e-10, 3.431084586174516501e-10, 3.989053758653846676e-10, 3.250436268024430095e-10
2.041000000000000000e+03, 1.839800424597682383e-10, 1.947070390681534485e-10, 1.504895974996394840e-10, 1.040377345324128801e-09, 1.037692988726632419e-09
2.042000000000000000e+03, 1.671121830900083193e-10, 1.757797001370717575e-10, 4.022992264396304708e-10, 1.032815143198861096e-09, 6.519245601521349596e-10
2.043000000000000000e+03, 1.595562323220442235e-10, 3.448890909446492702e-10, 1.645316928928618749e-10, 4.736067015537489351e-10, 5.370546217185707331e-10
2.044000000000000000e+03, 1.370985136991229835e-10, 2.071266341827218662e-10, 9.034059499948565777e-11, 3.270950869665912617e-10, 1.494110008051184982e-09
2.045000000000000000e+03, 1.782358878434237842e-10, 1.079210971596008744e-10, 6.492207899776414231e-11, 1.128689452597304925e-09, 1.091767036891902031e-09
2.046000000000000000e+03, 1.391470974123310047e-10, 2.463367249924392483e-10, 6.864536502961969296e-11, 6.513006950635612914e-10, 2.947061382861612615e-10
2.047000000000000000e+03, 1.159512447157219978e-10, 2.100427432734403384e-10, 5.984053118850281630e-11, 5.379319036275085610e-10, 8.801567887511401428e-10
2.048000000000000000e+03, 1.598763151133816403e-10, 1.299070624021243850e-10, 1.214278650047040627e-10, 5.841619860504033959e-10, 7.354055518595902927e-10
2.049000000000000000e+03, 1.725156130010320726e-10, 2.099352634680788516e-10, 9.705955513904392382e-11, 1.085717724358740791e-09, 5.372592851082729618e-10
2.050000000000000000e+03, 1.334079626651927032e-10, 2.745472311001418541e-10, 1.005458082964511544e-10, 4.360257111495559137e-10, 3.239277280990041812e-10
2.051000000000000000e+03, 1.766297391055469275e-10, 3.081012234649480274e-10, 2.196904760376036141e-10, 6.772732558428162934e-10, 1.277414949632968757e-09
2.052000000000000000e+03, 1.945535567681194004e-10, 2.277915879810105778e-10, 1.746511376614292724e-10, 4.813890582749668203e-10, 8.273464447949008006e-10
2.053000000000000000e+03, 1.186387888408613156e-10, 2.648928367320108058e-10, 4.008448196124757050e-10, 5.020553086012035822e-10, 4.790345611958086843e-10
2.054000000000000000e+03, 1.353217922065479601e-10, 2.665546690656259768e-10, 3.617942607162753401e-10, 8.242673533929575309e-10, 3.706982799791294180e-10
2.055000000000000000e+03, 1.096596273229507600e-10, 3.683049279969727891e-10, 2.158073778897094249e-10, 9.464371747903492335e-10, 4.814409254477990112e-10
2.056000000000000000e+03, 9.861072876080381719e-11, 2.703232243952562131e-10, 4.736879436780176171e-10, 1.553021490491799715e-09, 5.521430640292483606e-10
2.057000000000000000e+03, 1.762477160545598884e-10, 3.815043823491450627e-10, 6.934218772504175948e-10, 6.378222403553432734e-10, 4.224332009574047366e-10
2.058000000000000000e+03, 1.484444442131973629e-10, 4.580794317024217922e-10, 5.425830356364553842e-10, 5.347338015319227208e-10, 1.801479912505853792e-09
2.059000000000000000e+03, 2.018422281344750280e-10, 3.595342729874412555e-10, 7.505736406676849977e-10, 5.364554618087441122e-10, 1.118592793003127171e-09
2.060000000000000000e+03, 1.304994557762480945e-10, 2.935555366583106310e-10, 5.702516325935335034e-10, 7.423434097737189884e-10, 4.141779091577484735e-10
2.061000000000000000e+03, 1.112591789067022308e-10, 3.392143009816443246e-10, 3.479070991697097022e-10, 7.768208821127501888e-10, 1.079877772105708180e-09
2.062000000000000000e+03, 1.936222628306749334e-10, 2.974583706451471132e-10, 6.909104333119724409e-10, 5.953369991351477303e-10, 5.810877410148137851e-10
2.063000000000000000e+03, 1.240605567535122888e-10, 4.395141724973995422e-10, 7.112671265708823429e-10, 7.159683867102974549e-10, 3.755958490134185258e-10
2.064000000000000000e+03, 1.297524724013532256e-10, 3.522521140257632808e-10, 4.841056851586014454e-10, 7.536337689487614447e-10, 1.545577929681572516e-09
2.065000000000000000e+03, 1.655213453309175413e-10, 1.944900485496911345e-10, 6.867857797903012178e-10, 7.845858801531098146e-10, 9.983002719926101832e-10
2.066000000000000000e+03, 1.170665442021548359e-10, 1.703804542792133692e-10, 4.510452529965071028e-10, 6.502172893734951400e-10, 5.658504053284042587e-10
2.067000000000000000e+03, 1.137067909021397415e-10, 2.920052593602223628e-10, 2.433101244997757067e-10, 8.057773796766873536e-10, 2.553632919894090359e-10
2.068000000000000000e+03, 1.506004723590342971e-10, 2.512921322613845065e-10, 1.616713798999001770e-10, 7.244916993425989025e-10, 1.621903084229817037e-09
2.069000000000000000e+03, 1.242206913165432312e-10, 2.351999576550681801e-10, 3.165226511083964567e-10, 8.825511754147008787e-10, 6.146694778372263436e-10
2.070000000000000000e+03, 2.085848070609227645e-10, 2.852917706180267331e-10, 2.365478509442523244e-10, 6.694214695137888023e-10, 4.282857275408974839e-10
2.071000000000000000e+03, 1.286791961207166607e-10, 3.439851407062057373e-10, 8.242581986215868479e-11, 5.028673968488186883e-10, 3.729952114315323830e-10
2.072000000000000000e+03, 1.768534191500232449e-10, 3.748556655426368507e-10, 1.235355028973124442e-10, 7.280535897392241260e-10, 1.451424610868249303e-09
2.073000000000000000e+03, 1.278421952856330154e-10, 3.450324483787827667e-10, 2.706948379838731177e-10, 6.108179499693613687e-10, 1.029132769479542587e-09
2.074000000000000000e+03, 1.230361873422906188e-10, 2.906640742513063822e-10, 3.149203327250920437e-10, 7.657770088684797202e-10, 4.811932567185916895e-10
2.075000000000000000e+03, 2.071006802902838551e-10, 4.544298459067978152e-10, 1.207442643821045751e-10, 1.055447567046816777e-09, 7.605108506524695776e-10
2.076000000000000000e+03, 1.274459711507546657e-10, 4.276709651632350882e-10, 2.012559453254826109e-10, 5.158621717500473733e-10, 4.834177708026309921e-10
2.077000000000000000e+03, 1.266681983285775885e-10, 3.495273209844837251e-10, 3.154243149096348844e-10, 2.783136671632129733e-09, 9.885326619045942767e-10
2.078000000000000000e+03, 1.398383932320900277e-10, 5.403047639322476732e-10, 1.297202815064924792e-10, 1.176190683188155477e-09, 5.850004083889476901e-10
2.079000000000000000e+03, 1.070850355846482441e-10, 3.180381197598440016e-10, 1.941085572938637996e-10, 5.760202838115274411e-10, 8.052116691582374843e-10
2.080000000000000000e+03, 1.850325682367772603e-10, 4.245342543591370775e-10, 1.344107694790928284e-10, 1.288857922997467075e-09, 1.471495806808265377e-09
2.081000000000000000e+03, 1.615264919674567771e-10, 1.647386556530661010e-09, 1.294676212794886737e-09, 6.075115848930482690e-10, 1.118783276569195689e-09
2.082000000000000000e+03, 1.076542359879937582e-10, 1.537698318924484192e-09, 9.866270520973555527e-10, 1.627142923361506301e-09, 7.804594100804545534e-10
2.083000000000000000e+03, 1.099104644496226892e-10, 1.035497550147153814e-09, 1.066177528447305571e-09, 7.675454810631993620e-10, 6.685402948486131475e-10
2.084000000000000000e+03, 1.150929218142789082e-10, 1.312985654433159402e-09, 1.081745895550115150e-09, 3.640410544394910033e-10, 9.267240452832815542e-10
2.085000000000000000e+03, 1.752906998282295738e-10, 1.085450548998321273e-09, 8.451344512140709022e-10, 9.210264766419451265e-10, 6.762463124048287136e-10
2.086000000000000000e+03, 1.154379337930050445e-10, 5.321028366588308614e-10, 4.644662108848707955e-10, 1.159479550355824017e-09, 5.572871510725677398e-10
2.087000000000000000e+03, 1.164600343167989927e-10, 5.487467722030902785e-10, 5.696632721718033993e-10, 1.037880661161531546e-09, 7.693908709792282126e-10
2.088000000000000000e+03, 1.366334767273866363e-10, 5.804815402743303971e-10, 5.887609979155305506e-10, 8.995406743996568020e-10, 5.596192221962826235e-10
2.089000000000000000e+03, 1.276674501679037299e-10, 6.144181887554063032e-10, 7.859052629014618405e-10, 7.182550341754516504e-10, 9.522360971360653962e-10
2.090000000000000000e+03, 1.511074186194846642e-10, 5.600905814371342649e-10, 6.241502424042253635e-10, 7.840069775276699078e-10, 1.098233965277664290e-09
2.091000000000000000e+03, 1.093175510388821467e-10, 2.082925517535373087e-10, 1.550651166805759405e-10, 5.929995307817180367e-10, 7.818861073851581270e-10
2.092000000000000000e+03, 1.252099465271985044e-10, 1.650806755929325196e-10, 1.425476942734402307e-10, 9.136192654636084994e-10, 4.610083152435524579e-10
2.093000000000000000e+03, 1.389821060462497702e-10, 1.158601297488987900e-10, 1.608549833545890962e-10, 7.734533445594336414e-10, 1.100142140128352072e-09
2.094000000000000000e+03, 1.890735258812438566e-10, 2.021450948499365253e-10, 1.564210448747070465e-10, 4.999806702826327785e-10, 6.257890521802674324e-10
2.095000000000000000e+03, 1.151176418983688367e-10, 9.334547624506761618e-11, 1.778595956044772502e-10, 6.543890671390251884e-10, 3.875863495625752880e-10
2.096000000000000000e+03, 1.000343405597841532e-10, 1.725798860311372356e-10, 6.933555619940703114e-11, 7.961757397160637217e-10, 1.050885483181294454e-09
2.097000000000000000e+03, 1.862736374615459143e-10, 3.727165268993367191e-10, 9.775158565160147439e-11, 1.235553222500975837e-09, 7.379493436009722644e-10
2.098000000000000000e+03, 1.008716703900892174e-10, 2.433360741720807144e-10, 1.877356433826594783e-10, 7.531883965437460290e-10, 5.723750845073049302e-10
2.099000000000000000e+03, 1.917090127932603150e-10, 1.149603501026343907e-10, 9.612302342277110010e-11, 1.083930283458194406e-09, 4.512433019766810971e-10
2.100000000000000000e+03, 1.489416844451398483e-10, 1.989285856924205951e-10, 1.628612817708315472e-10, 8.117075362054012571e-10, 5.696915354005477749e-10
