year, CESM2-WACCM, UKESM1-0-LL, CNRM-ESM2-1, IPSL-CM6A-LR
2.037000000000000000e+03, 3.752894636817608754e-10, 3.642713251526425262e-09, 8.195716650894338291e-11, -3.367739443834683363e-09
2.038000000000000000e+03, 3.726430163585402488e-10, 3.971106429665592354e-09, 8.077156770622814616e-11, -3.222124339191703438e-09
2.039000000000000000e+03, 3.673619976892351602e-10, 3.902287116185768624e-09, 7.841774592033752138e-11, -3.326076527953815939e-09
2.040000000000000000e+03, 3.632008713527144553e-10, 3.538523265632612290e-09, 7.570600463695777400e-11, -3.482119986762631931e-09
2.041000000000000000e+03, 3.524384982042649874e-10, 3.886515797506094129e-09, 5.968965219005290986e-11, -3.523553431176479210e-09
2.042000000000000000e+03, 3.520297615126167851e-10, 3.491494711825844863e-09, 5.595167357027244194e-11, -3.333530538390508042e-09
2.043000000000000000e+03, 3.496552773937399797e-10, 3.619818898871057363e-09, 5.205161834986418340e-11, -3.647755749651048187e-09
2.044000000000000000e+03, 3.482140291849297174e-10, 3.864712867420228966e-09, 4.703353862572210399e-11, -3.370606656452979033e-09
2.045000000000000000e+03, 3.482654506300820584e-10, 3.558363230244851065e-09, 4.406054560523764219e-11, -3.524154654068352091e-09
2.046000000000000000e+03, 3.461286939920877138e-10, 3.419057546346492151e-09, 4.254912194136898733e-11, -3.605491295715647099e-09
2.047000000000000000e+03, 3.424336510878580530e-10, 3.785074073506559004e-09, 4.058595329209257242e-11, -3.429019229961771327e-09
2.048000000000000000e+03, 3.412483888667545981e-10, 4.092093963234080506e-09, 3.844495681256722940e-11, -3.377232681391081089e-09
2.049000000000000000e+03, 3.399700848824426235e-10, 4.143871347075384758e-09, 3.554801936009149831e-11, -3.257470678859588890e-09
2.050000000000000000e+03, 3.399266330749197619e-10, 3.836390515419591236e-09, 3.167907110922416653e-11, -3.326001613226417388e-09
2.051000000000000000e+03, 3.343151256437275518e-10, 3.564973921541916809e-09, 3.670640127752463875e-11, -3.192745157570409354e-09
2.052000000000000000e+03, 3.303555250514982022e-10, 3.657837457112999985e-09, 3.618435136037308820e-11, -3.582913108700888431e-09
2.053000000000000000e+03, 3.279291724972032079e-10, 3.684139570513504217e-09, 3.398059394915652515e-11, -3.407082300900907732e-09
2.054000000000000000e+03, 3.263913419140523244e-10, 3.932234219669492497e-09, 3.244702156107012229e-11, -3.619052333492989408e-09
2.055000000000000000e+03, 3.236241603860011318e-10, 3.848939681855227529e-09, 3.140735171030943392e-11, -3.500460877695186870e-09
2.056000000000000000e+03, 3.584549690382622792e-10, 3.488305948030860439e-09, 6.183161344937163403e-11, -3.393368775820696613e-09
2.057000000000000000e+03, 3.613472499183092974e-10, 4.096326819232923528e-09, 6.437397124287925741e-11, -3.513774943553717258e-09
2.058000000000000000e+03, 3.608528589246534904e-10, 3.745467601176302067e-09, 6.423259454995670958e-11, -3.460369552944767918e-09
2.059000000000000000e+03, 3.602457405175141439e-10, 3.521599275148294971e-09, 6.548690419600440864e-11, -3.412021816414398084e-09
2.060000000000000000e+03, 3.611617441391577788e-10, 3.670928222607104743e-09, 6.734579067038307802e-11, -3.636917949922362542e-09
2.061000000000000000e+03, 3.753042741190538414e-10, 4.174223944946153211e-09, 4.558244595012915407e-11, -3.877097591787341674e-09
2.062000000000000000e+03, 3.754537180328953386e-10, 4.186487643050146946e-09, 4.669619166701817614e-11, -3.693149750908211364e-09
2.063000000000000000e+03, 3.808852418795879345e-10, 3.446343491613036055e-09, 5.319715065077200764e-11, -3.563208835142255651e-09
2.064000000000000000e+03, 3.806236722710452439e-10, 3.749164760171840583e-09, 8.562214241325981497e-11, -3.612944811354566009e-09
2.065000000000000000e+03, 3.802288963099710688e-10, 4.425920247286390606e-09, 1.067620668802537019e-10, -3.612385185555674425e-09
2.066000000000000000e+03, 3.766182767898900188e-10, 3.792454185766182246e-09, 9.864396390711284722e-11, -3.687066532516966072e-09
2.067000000000000000e+03, 3.786169873976857227e-10, 3.462440090531848261e-09, 1.032279102967576854e-10, -3.829132617442789002e-09
2.068000000000000000e+03, 3.769264165362639407e-10, 3.850647258749668455e-09, 1.045645577765378746e-10, -3.691791855830276149e-09
2.069000000000000000e+03, 3.783079276706800656e-10, 3.646082569001271185e-09, 1.068975720139419818e-10, -3.549543446989113846e-09
2.070000000000000000e+03, 3.787889805590146524e-10, 3.385751065929037468e-09, 1.087048380203277547e-10, -3.593923074058379447e-09
2.071000000000000000e+03, 3.816911317981506727e-10, 4.031775010618100177e-09, 1.958422829793480130e-10, -3.462576614573272583e-09
2.072000000000000000e+03, 3.764179504342508449e-10, 4.438618407812978168e-09, 2.002800862270235351e-10, -3.808345454272407078e-09
2.073000000000000000e+03, 3.760898952517391727e-10, 3.872173519804575524e-09, 2.081155480170361884e-10, -3.875794639460456870e-09
2.074000000000000000e+03, 3.808442997066273943e-10, 3.578388338953429721e-09, 2.123345671775246805e-10, -3.642755004817371675e-09
2.075000000000000000e+03, 3.707188610251048496e-10, 3.906657271500101418e-09, 2.137153501065398327e-10, -3.736716536529045707e-09
2.076000000000000000e+03, 4.411295501352222308e-10, 4.116535373664825551e-09, 1.741568470456575443e-10, -3.490579433601261388e-09
2.077000000000000000e+03, 4.437517745430336247e-10, 4.139692752122820747e-09, 1.775090832819426346e-10, -3.538352491036368402e-09
2.078000000000000000e+03, 4.510180297524941939e-10, 3.841450608577451006e-09, 1.802477737895910165e-10, -3.933589526486068138e-09
2.079000000000000000e+03, 4.546365791441523155e-10, 3.621702136492479201e-09, 1.825178020849772898e-10, -3.928648578888738223e-09
2.080000000000000000e+03, 4.536809416225282945e-10, 3.958173076764730217e-09, 1.846145499972425409e-10, -3.631782350380811175e-09
2.081000000000000000e+03, 4.818645345239089263e-10, 3.821693270480490763e-09, 2.621159577421783253e-10, -3.730240450783924725e-09
2.082000000000000000e+03, 4.778403682325635679e-10, 3.592236971858570964e-09, 2.643696994327841031e-10, -3.852806187429610115e-09
2.083000000000000000e+03, 4.716335244245847736e-10, 4.015161820264713367e-09, 2.672067131370266656e-10, -3.947036072177613469e-09
2.084000000000000000e+03, 4.569780193822219456e-10, 3.923356089126694286e-09, 2.695120874669050997e-10, -3.960078781801456460e-09
2.085000000000000000e+03, 4.470460538630980739e-10, 3.813532001514821625e-09, 2.732985373145099448e-10, -3.739852346776497821e-09
2.086000000000000000e+03, 3.736660517422786803e-10, 3.759853925964971954e-09, 1.574090685146072642e-10, -3.906758675497812442e-09
2.087000000000000000e+03, 3.615126491134831812e-10, 4.195304134852522892e-09, 1.572018227710511758e-10, -3.729101925920463083e-09
2.088000000000000000e+03, 3.478523764256453468e-10, 4.112031132025849883e-09, 1.516883700509636293e-10, -3.629539160136281978e-09
2.089000000000000000e+03, 3.398560286490400406e-10, 3.614289340723358581e-09, 1.518893039679895487e-10, -3.919578064708915749e-09
2.090000000000000000e+03, 3.318248797837372191e-10, 4.195365189020304277e-09, 1.500739824056638123e-10, -3.705666060589981930e-09
2.091000000000000000e+03, 3.085467051634181520e-10, 4.263175659606919077e-09, 1.087807653962072159e-10, -3.876741181507708181e-09
2.092000000000000000e+03, 3.028844495005151187e-10, 3.817510057414877615e-09, 1.014798748277628957e-10, -4.140427205006434430e-09
2.093000000000000000e+03, 2.989049315305032964e-10, 3.947576937086575736e-09, 9.396769857649175555e-11, -3.665044535729224261e-09
2.094000000000000000e+03, 2.954159730631353046e-10, 4.217157127496486362e-09, 8.579037458702638126e-11, -3.495571004932554160e-09
2.095000000000000000e+03, 2.929667264483019658e-10, 3.833145464220452692e-09, 7.810444706260442347e-11, -3.954170053135897765e-09
2.096000000000000000e+03, 2.849351561519343336e-10, 3.992359644059080425e-09, 6.513356997377806915e-11, -3.885262633845969034e-09
2.097000000000000000e+03, 2.836867665870869280e-10, 4.421824071209646256e-09, 6.336449118770298703e-11, -3.690792753583430247e-09
2.098000000000000000e+03, 2.807958595002383766e-10, 3.634963544037968269e-09, 6.002569692081043524e-11, -3.676248084062402818e-09
2.099000000000000000e+03, 2.795203364497811332e-10, 3.605022590763479211e-09, 5.833450839673974384e-11, -3.456021950656588699e-09
2.100000000000000000e+03, 2.809469402383579492e-10, 4.057467273290144065e-09, 5.575694863188399925e-11, -3.635542009993032347e-09
