year, CESM2-WACCM, TaiESM1, ACCESS-ESM1-5, EC-Earth3-Veg, NorESM2-LM, GFDL-ESM4, CNRM-ESM2-1, CanESM5, MIROC-ES2L, UKESM1-0-LL, NorESM2-MM, INM-CM5-0, CMCC-CM2-SR5, INM-CM4-8, MPI-ESM1-2-LR, IPSL-CM6A-LR
2.044000000000000000e+03, 9.887227338779432273e+00, 1.311849255039646245e+01, 8.674351303469622465e+00, 9.488602109681860242e+00, 9.328296737657762350e+00, 1.023914249661254239e+01, 9.238081267352423964e+00, 1.181826416937891366e+01, 6.910393684903950451e+00, 1.320827144580677448e+01, 1.041660803923986300e+01, 1.522479490675854130e+01, 1.202489792521657819e+01, 1.569036444427902488e+01, 1.261402551379156378e+01, 8.537175380529157920e+00
2.045000000000000000e+03, 1.022499067072384804e+01, 1.328077560616898722e+01, 9.286998698530304353e+00, 9.403369138441908248e+00, 9.459124235786591228e+00, 1.006485772592508354e+01, 1.002185169949829557e+01, 1.139664800828636437e+01, 6.877774079130442253e+00, 1.244631383226782972e+01, 1.092922132435936611e+01, 1.525931815595283503e+01, 1.175594092449422945e+01, 1.554434889575123435e+01, 1.264839840213723576e+01, 8.640176973218856915e+00
2.046000000000000000e+03, 1.004376327910403610e+01, 1.472640148029701557e+01, 8.837600015067879511e+00, 9.511080468444975011e+00, 9.367026357443601015e+00, 1.005557530260908017e+01, 9.219168893558988387e+00, 1.149695179838472470e+01, 7.078953444060361200e+00, 1.209701383935295382e+01, 1.068049223350605104e+01, 1.528073735261226673e+01, 1.105063909347555473e+01, 1.622029386868022627e+01, 1.287753504821045958e+01, 9.086871031288502820e+00
2.047000000000000000e+03, 1.007349442955381491e+01, 1.380700812188582915e+01, 9.395551501260209548e+00, 9.720376013439834040e+00, 9.362751979357151200e+00, 9.942643741323619722e+00, 1.006846110491673230e+01, 1.146469381405143473e+01, 6.887988829280612180e+00, 1.309768656721984570e+01, 1.051068166690548189e+01, 1.546698755369144962e+01, 1.190188940859141908e+01, 1.564328739965187864e+01, 1.259772402010824166e+01, 8.509372372271368334e+00
2.048000000000000000e+03, 1.004129216312418826e+01, 1.318435899651341714e+01, 9.516233218858603848e+00, 9.782823599748462939e+00, 9.022473606665563750e+00, 1.039134866222383735e+01, 9.306260845618146149e+00, 1.182981023781037244e+01, 6.857466323162547894e+00, 1.407009311327244738e+01, 1.083087690549326076e+01, 1.573561865695602435e+01, 1.234455743104214420e+01, 1.643224847081773277e+01, 1.287334490956200739e+01, 8.544175195077032825e+00
2.049000000000000000e+03, 9.981330580287789189e+00, 1.405496315013349928e+01, 8.689119602143684062e+00, 9.519100585097534761e+00, 9.072957354526979046e+00, 9.843328987462323099e+00, 9.667595509822326960e+00, 1.166671964457369093e+01, 6.855837299573421362e+00, 1.407176382379979707e+01, 1.081328056648606761e+01, 1.556510864028864205e+01, 1.144953480703277116e+01, 1.611095602187482001e+01, 1.297501021643418895e+01, 8.543165695370429802e+00
2.050000000000000000e+03, 1.007911892301840595e+01, 1.487260595785822481e+01, 8.384684016006568541e+00, 9.855544590186079645e+00, 9.191875302560953642e+00, 1.037752443177580197e+01, 9.546133167100769867e+00, 1.172824751221612161e+01, 7.023710169686413707e+00, 1.313357924797697329e+01, 1.059729764963420351e+01, 1.524944540941163851e+01, 1.154216200387711844e+01, 1.550819863314270819e+01, 1.278869857658585474e+01, 8.528183633165546951e+00
2.051000000000000000e+03, 9.831844518677494094e+00, 1.329228343141901370e+01, 9.031924707736253666e+00, 9.952251043146544518e+00, 9.387647009388773611e+00, 1.006576996397660473e+01, 9.823587290489232515e+00, 1.191247766524561236e+01, 6.851304200628034025e+00, 1.264473449097506119e+01, 1.067441594966414620e+01, 1.521872195763921809e+01, 1.107882708313319142e+01, 1.583133822000715973e+01, 1.260910333160437169e+01, 8.149314670915766001e+00
2.052000000000000000e+03, 9.868117335360395259e+00, 1.301787714146014174e+01, 9.061652620004508663e+00, 9.589205400949490254e+00, 9.506982854383611681e+00, 1.018665715954409201e+01, 9.679236629736871933e+00, 1.171547984539019005e+01, 6.816545201453505065e+00, 1.275185658465186833e+01, 1.100520813634617845e+01, 1.526194433903492431e+01, 1.156669104992770336e+01, 1.626249867183644682e+01, 1.211853640088259176e+01, 9.386179387417875830e+00
2.053000000000000000e+03, 1.011205029823812573e+01, 1.406615795894616205e+01, 8.891175319947464573e+00, 9.601269882086571172e+00, 8.997371350310332971e+00, 1.051704704870341978e+01, 9.981058239192062587e+00, 1.169876395781572320e+01, 6.824723570265911476e+00, 1.309448826811980204e+01, 1.099111943973985639e+01, 1.558668991724691999e+01, 1.190859985489627348e+01, 1.608957884199452337e+01, 1.319442162119384321e+01, 8.587417586788918200e+00
