year, ACCESS-ESM1-5, UKESM1-0-LL, GFDL-ESM4, MPI-ESM1-2-LR, CMCC-ESM2, CESM2-WACCM, CNRM-ESM2-1, IPSL-CM6A-LR, MIROC-ES2L
2.026000000000000000e+03, 2.777822674876277203e-10, 1.392506746216646477e-11, 1.438284686773934324e-09, 4.126262013183262144e-09, 3.006830952325547196e-10, 1.568526356718420322e-09, 6.654885107817644679e-11, 3.103548742305353475e-09, 3.255907688058379242e-09
2.027000000000000000e+03, 2.770329202722285042e-10, 1.314177315667700539e-11, 1.410388105332635652e-09, 4.116027752459806022e-09, 2.889941127974151878e-10, 1.662830408558385805e-09, 6.485400804147833961e-11, 3.177232152527936393e-09, 3.253869791006350155e-09
2.028000000000000000e+03, 2.741532415770683192e-10, 1.226062210797139448e-11, 1.465195961496875199e-09, 4.087668985560280589e-09, 2.781017969191089462e-10, 1.431238902655918514e-09, 6.316262064904630325e-11, 3.086671603484900077e-09, 3.248672692646311150e-09
2.029000000000000000e+03, 2.696877838676898648e-10, 1.262017250725820308e-11, 1.506370603636147860e-09, 4.087332497139074834e-09, 2.689905167177644509e-10, 1.465777017803987923e-09, 6.135010141162726476e-11, 3.015270711393692346e-09, 3.262237139405999302e-09
2.030000000000000000e+03, 2.649520863086843423e-10, 2.013016090346371707e-11, 1.452246267190144134e-09, 4.104534435997297024e-09, 2.619851505290604772e-10, 1.311849307847501926e-09, 5.963102140999158580e-11, 3.011778813101185718e-09, 3.264896425497618067e-09
2.031000000000000000e+03, 2.969828319681815912e-10, 1.556573390661783303e-11, 1.393435248501618190e-09, 4.107028427711251080e-09, 2.566139401609092532e-10, 1.638337570776190388e-09, 6.082926577040789244e-11, 2.750385278753134535e-09, 3.282963700063745789e-09
2.032000000000000000e+03, 2.947760829863482462e-10, 1.147391797979525415e-11, 1.424191368108785660e-09, 4.088945158392583732e-09, 2.522353353085811765e-10, 1.489540401300005251e-09, 6.125484834129827716e-11, 3.110904672956592491e-09, 3.282285165920834120e-09
2.033000000000000000e+03, 2.936023611163622485e-10, 9.764543650869435889e-12, 1.423916957861948720e-09, 4.083310403245916859e-09, 2.486799289110820831e-10, 1.451290504213865471e-09, 6.159231727595244503e-11, 3.077871604675288034e-09, 3.279222309506103615e-09
2.034000000000000000e+03, 2.944174389889673536e-10, 8.780725618213629900e-12, 1.444671807557531418e-09, 4.098008175323542840e-09, 2.458441553371349865e-10, 1.340963912388789595e-09, 6.198823996746393873e-11, 3.134912779512414935e-09, 3.279350217300266115e-09
2.035000000000000000e+03, 2.953161073126245657e-10, 8.098419452279055682e-12, 1.457735817692287857e-09, 4.118758817287726127e-09, 2.441439468864824699e-10, 1.386279035046173466e-09, 6.282239520482662051e-11, 3.341224653669465842e-09, 3.282066108875060692e-09
2.036000000000000000e+03, 2.355260407917947581e-10, 7.478364958110669973e-12, 1.461684825806043821e-09, 4.117056831722261163e-09, 2.430524474252401895e-10, 1.204326059553019041e-09, 6.215154207897919023e-11, 3.115478458079478776e-09, 3.309575576098016809e-09
2.037000000000000000e+03, 2.075850771782017672e-10, 1.558960256946191473e-11, 1.467173797879614299e-09, 4.123547792325332266e-09, 2.418821616354341975e-10, 1.462338470179479940e-09, 5.958217211088980647e-11, 3.124007861289303911e-09, 3.319723563358548839e-09
2.038000000000000000e+03, 1.917396150411785687e-10, 2.299568751586235783e-11, 1.392724309155532443e-09, 4.136675635085453054e-09, 2.407577599659549038e-10, 1.383601572556102474e-09, 5.714483019462850789e-11, 2.978634517783620373e-09, 3.333735389476126301e-09
2.039000000000000000e+03, 1.818560081404422419e-10, 2.852512771525732937e-11, 1.410556886738827757e-09, 4.152533625215763288e-09, 2.397736812896177380e-10, 1.346936687004580523e-09, 5.466715779044248805e-11, 3.082937155839221414e-09, 3.353966299474462594e-09
2.040000000000000000e+03, 1.740716800427117424e-10, 2.876749010687296605e-11, 1.443630791752685611e-09, 4.136656382274807137e-09, 2.389170253175695997e-10, 1.271193161158707205e-09, 5.217665570329375513e-11, 3.238855700666221600e-09, 3.317506832669493192e-09
2.041000000000000000e+03, 1.711277460389080030e-10, 1.700560082241281232e-11, 1.428283835498856680e-09, 4.144690652548342344e-09, 2.382273569459820625e-10, 1.239495429891438357e-09, 4.928616955285408245e-11, 3.281749191311693876e-09, 3.325141224356113031e-09
2.042000000000000000e+03, 1.657490994656588956e-10, 1.101494865338122804e-11, 1.501802855980766674e-09, 4.109499525473280258e-09, 2.376021769406416698e-10, 1.485049263356447842e-09, 4.652142733138345667e-11, 3.091454031305729901e-09, 3.306510158297355291e-09
2.043000000000000000e+03, 1.612992757645164366e-10, 8.672943100030762567e-12, 1.398275010175518168e-09, 4.123554977998788036e-09, 2.369805740285058594e-10, 1.405029831427755431e-09, 4.204711142204971996e-11, 3.406710854609279065e-09, 3.298819791618678808e-09
2.044000000000000000e+03, 1.562687562792005982e-10, 7.614079040733120702e-12, 1.417288067360131097e-09, 4.123848581601797479e-09, 2.364132417817481999e-10, 1.269469847416189806e-09, 3.707557383212582766e-11, 3.126883175569185916e-09, 3.298020848776481188e-09
2.045000000000000000e+03, 1.516584165614752714e-10, 6.927598758996074415e-12, 1.505598440260117625e-09, 4.127929954273485344e-09, 2.358828402067586039e-10, 1.498387671722113722e-09, 3.403232124804701208e-11, 3.280302193839613554e-09, 3.311958963953519794e-09
2.046000000000000000e+03, 1.424104548983483304e-10, 6.185614429411241180e-12, 1.516812944479442052e-09, 4.095405832096220697e-09, 2.353829264888487121e-10, 1.430973707052645520e-09, 3.200000741787220365e-11, 3.363053845196712182e-09, 3.298232568479135971e-09
2.047000000000000000e+03, 1.369103499495292685e-10, 5.717437642674589245e-12, 1.476724950999044104e-09, 4.082892806106716928e-09, 2.348667420940830371e-10, 1.394519469622586412e-09, 3.017880111808641601e-11, 3.187971771945367428e-09, 3.294092604678997331e-09
2.048000000000000000e+03, 1.324201744278966570e-10, 5.363553576005761298e-12, 1.436828767511408920e-09, 4.067332258155979487e-09, 2.343042784394939928e-10, 1.331331822703898568e-09, 2.756379135366241244e-11, 3.136772511615707001e-09, 3.286429601078201049e-09
2.049000000000000000e+03, 1.286738583742004801e-10, 5.088082801869237813e-12, 1.452926500102639659e-09, 4.080610913403960878e-09, 2.338149193123074631e-10, 1.384932992400553799e-09, 2.501752242460482577e-11, 3.016768166256700463e-09, 3.270788740537588201e-09
2.050000000000000000e+03, 1.255868964562614466e-10, 4.826617681827933444e-12, 1.485110905337124750e-09, 4.069620353157757814e-09, 2.330641658867986354e-10, 1.337394963097917994e-09, 2.005568653062399468e-11, 3.096805726886860253e-09, 3.260362304114846362e-09
2.051000000000000000e+03, 1.276748802231176849e-10, 4.516482099853262034e-12, 1.451363276677720858e-09, 4.086640538018421210e-09, 2.323932830075453348e-10, 1.374283842064876775e-09, 1.901208805754718229e-11, 2.964546464210243038e-09, 3.273868243691702943e-09
2.052000000000000000e+03, 1.271759634783504281e-10, 4.255871794248365964e-12, 1.417889102860129246e-09, 4.046236410474710073e-09, 2.320886873801904024e-10, 1.218248619414218877e-09, 1.805905362251039876e-11, 3.355947852487870094e-09, 3.264895694894292644e-09
2.053000000000000000e+03, 1.265893562148232664e-10, 4.038167621784748344e-12, 1.437169342416872307e-09, 3.999882509679640248e-09, 2.317594660908210174e-10, 1.382853805800494453e-09, 1.551685863554080798e-11, 3.180828335500246773e-09, 3.255673947329157265e-09
2.054000000000000000e+03, 1.267662881524399469e-10, 3.856533055525341592e-12, 1.461108641493872340e-09, 4.017614787896630851e-09, 2.313682099211070922e-10, 1.522956285089265171e-09, 1.398620014442273190e-11, 3.393846324697209593e-09, 3.236863337171745323e-09
2.055000000000000000e+03, 1.266771824669675838e-10, 3.704240902205916706e-12, 1.434411831988385335e-09, 4.063011465577592744e-09, 2.316006846130783148e-10, 1.303764171493086255e-09, 1.283388790051116809e-11, 3.276399695484926325e-09, 3.269890604375825095e-09
2.056000000000000000e+03, 1.315284928988805948e-10, 3.540784205289595638e-12, 1.470350249894468785e-09, 4.070618465055682736e-09, 2.323775618484589652e-10, 1.542815144422355001e-09, 1.295951385555447437e-11, 3.169605046862406175e-09, 3.273471383509527382e-09
2.057000000000000000e+03, 1.280059377835795925e-10, 3.408915845035580240e-12, 1.465195373443981286e-09, 4.050090033734951197e-09, 2.328815951589880924e-10, 1.514130429077765245e-09, 1.475730425731552290e-11, 3.291305836911061050e-09, 3.278958565765242708e-09
2.058000000000000000e+03, 1.257082892284490993e-10, 3.321609206990989611e-12, 1.467104964297169988e-09, 4.042351191562081299e-09, 2.331783913964508895e-10, 1.283617595336212004e-09, 1.656305499180732033e-11, 3.238061537447961403e-09, 3.286353254604284294e-09
2.059000000000000000e+03, 1.229627031922363842e-10, 3.206595340396798443e-12, 1.502521855272538424e-09, 4.051226275801116907e-09, 2.332561079838219820e-10, 1.588100713543847697e-09, 1.826927336047430464e-11, 3.190573535783098302e-09, 3.290986318129147588e-09
2.060000000000000000e+03, 1.214598807875431468e-10, 3.092285864011647506e-12, 1.537158934374865496e-09, 4.081848687591771675e-09, 2.328775932131223881e-10, 1.523250941413886108e-09, 1.988657738725952871e-11, 3.416155721678161982e-09, 3.269512462675280371e-09
2.061000000000000000e+03, 1.811201551515342241e-10, 3.143833266439134859e-12, 1.469215029294917664e-09, 4.123966061005243650e-09, 2.322697037424137859e-10, 1.269673518664110741e-09, 2.141033642403924566e-11, 3.657268831908870313e-09, 3.283456239712608042e-09
2.062000000000000000e+03, 1.676080013222227854e-10, 3.174999780610496669e-12, 1.456563728009387843e-09, 4.123023183658378516e-09, 2.319281244813881976e-10, 1.437881264122766225e-09, 2.164262925618700383e-11, 3.474263976987678182e-09, 3.296195305513507855e-09
2.063000000000000000e+03, 1.563818793347760071e-10, 3.102927565763291124e-12, 1.484263241955088279e-09, 4.125093853726540329e-09, 2.318186236476804233e-10, 1.348673815992512296e-09, 2.189919875032212658e-11, 3.345217786555843302e-09, 3.307032253907045553e-09
2.064000000000000000e+03, 1.506019617736749677e-10, 2.984899053186770856e-12, 1.472739701877480096e-09, 4.129069766942404310e-09, 2.317246616341601860e-10, 1.347903503782648083e-09, 2.249378343617827996e-11, 3.395810360477033852e-09, 3.312168956277097535e-09
2.065000000000000000e+03, 1.467203482790075349e-10, 2.998866789737427720e-12, 1.510134721727327003e-09, 4.129064213084969832e-09, 2.316410658592863632e-10, 1.340815425383428114e-09, 2.484974984667367040e-11, 3.396097893050927680e-09, 3.291681155152519518e-09
2.066000000000000000e+03, 1.436941031270569263e-10, 2.785365546843077037e-12, 1.478422437754264877e-09, 4.094969632832717418e-09, 2.316568003357709045e-10, 1.539715067167249365e-09, 2.655094598523389689e-11, 3.472278561247809526e-09, 3.290845263163328958e-09
2.067000000000000000e+03, 1.430916438621162162e-10, 2.650356203487205100e-12, 1.529211470782090862e-09, 4.096805314295093180e-09, 2.315797679344738394e-10, 1.396215019714555178e-09, 2.770377136277449227e-11, 3.614675708580456625e-09, 3.283666208393151580e-09
2.068000000000000000e+03, 1.462808621639087896e-10, 2.573997991608312255e-12, 1.434835185874964495e-09, 4.073950680831153673e-09, 2.312601139956177386e-10, 1.221891773028661875e-09, 2.917478846979956745e-11, 3.478179429085104971e-09, 3.268415323975268731e-09
2.069000000000000000e+03, 1.493430803710508298e-10, 2.656739929587553981e-12, 1.470435986909854303e-09, 4.055152781839456100e-09, 2.308728076449002218e-10, 1.214507303254790837e-09, 3.064926123850208984e-11, 3.336714083918532123e-09, 3.273249457931561793e-09
2.070000000000000000e+03, 1.509325452162665568e-10, 2.804493407678124142e-12, 1.390265984533020769e-09, 4.065818393158642099e-09, 2.309978344721047337e-10, 1.550732412468772302e-09, 3.216410328157993068e-11, 3.381642600339877677e-09, 3.293326666017005920e-09
2.071000000000000000e+03, 1.522441582270081566e-10, 3.421290051041772876e-12, 1.457000809468736555e-09, 4.041395126149656374e-09, 2.315798825956414497e-10, 1.476093108158583270e-09, 3.491279220256692397e-11, 3.250981232119094636e-09, 3.287701519254720069e-09
2.072000000000000000e+03, 1.529597421944252622e-10, 3.962212561556825686e-12, 1.465230689231522419e-09, 4.059194803414060799e-09, 2.321272426265728495e-10, 1.270153043621344299e-09, 4.225795809099607312e-11, 3.597681571432133459e-09, 3.278693282894901886e-09
2.073000000000000000e+03, 1.531891455777805726e-10, 3.691871289494894313e-12, 1.434194830702183072e-09, 4.038392364161440938e-09, 2.324031284040911866e-10, 1.473593147792422911e-09, 4.911264168535526042e-11, 3.665749668622949070e-09, 3.270057382309775808e-09
2.074000000000000000e+03, 1.533904882121444497e-10, 3.384665967040909803e-12, 1.488921518261944033e-09, 4.028265694209932645e-09, 2.323930205466924525e-10, 1.421250561484693703e-09, 5.442573797289416530e-11, 3.433252613516352801e-09, 3.272675665443882423e-09
2.075000000000000000e+03, 1.534800670973078109e-10, 3.058595985160989721e-12, 1.476509892941062203e-09, 4.037562521291495620e-09, 2.372757672229374530e-10, 1.305796344690776449e-09, 5.872154118050636735e-11, 3.528407585007621347e-09, 3.276532224486990382e-09
2.076000000000000000e+03, 1.401768697210450904e-10, 2.651286703802861708e-12, 1.431322332570989235e-09, 4.019023604111140122e-09, 2.458475832444443726e-10, 1.352490344334553191e-09, 6.344942377534958622e-11, 3.283110443393299335e-09, 3.253636248043656215e-09
2.077000000000000000e+03, 1.343944995687913934e-10, 2.400619052614732235e-12, 1.493293602259612205e-09, 4.037403401714272660e-09, 2.525703288040952120e-10, 1.273089827346010715e-09, 6.556696822081336412e-11, 3.331119743186198442e-09, 3.241196212959700836e-09
2.078000000000000000e+03, 1.315364493122380671e-10, 2.295456089024231496e-12, 1.403504445361499448e-09, 4.051181396999912797e-09, 2.577551836771831586e-10, 1.685496543537347431e-09, 6.776554366236998860e-11, 3.727131803372777545e-09, 3.258676020281474481e-09
2.079000000000000000e+03, 1.304946797664158211e-10, 2.222660971486418981e-12, 1.423052731641804752e-09, 4.105261614017364652e-09, 2.616724297271099171e-10, 1.611371816406786801e-09, 6.993785390008773117e-11, 3.722883635192016363e-09, 3.270447029823770222e-09
2.080000000000000000e+03, 1.296852275816622505e-10, 2.718155927257526012e-12, 1.448758193239374597e-09, 4.056927579295175885e-09, 2.616280556203443336e-10, 1.301751386954528779e-09, 7.209671318340956591e-11, 3.426735318396531408e-09, 3.296529121628637767e-09
2.081000000000000000e+03, 1.222999754399378429e-10, 4.959327282698990090e-12, 1.453887526841601486e-09, 4.054332223083666420e-09, 2.587901429753909930e-10, 1.571425748142329682e-09, 7.002804238432280484e-11, 3.526493834375342682e-09, 3.310858649398499761e-09
2.082000000000000000e+03, 1.184679552441449633e-10, 5.363858069687241701e-12, 1.426795923338306665e-09, 4.057258811651472691e-09, 2.565551181879071332e-10, 1.690002347160604816e-09, 7.248468219491082271e-11, 3.649862444674743569e-09, 3.277323043588114187e-09
2.083000000000000000e+03, 1.160057119770603575e-10, 5.519638789086522926e-12, 1.456251423986484392e-09, 4.040196033001876558e-09, 2.544519374894159992e-10, 1.442191957243739698e-09, 7.486950348307192649e-11, 3.744543983600236121e-09, 3.219930142053502204e-09
2.084000000000000000e+03, 1.141433570315842231e-10, 5.664890674821045143e-12, 1.424782262577619127e-09, 4.034897011109877355e-09, 2.525596309846162033e-10, 1.229456911784639793e-09, 7.736019005859744690e-11, 3.759564899366967469e-09, 3.204387592861472254e-09
2.085000000000000000e+03, 1.125776772539212584e-10, 5.650222105218395850e-12, 1.527532192447145427e-09, 3.977077400584681532e-09, 2.475337306969081367e-10, 1.375524202468539920e-09, 8.001517939722512045e-11, 3.540532252282883937e-09, 3.181723478929594624e-09
2.086000000000000000e+03, 1.127276792557863523e-10, 4.833495107797697492e-12, 1.421303952305106551e-09, 3.925322115749479669e-09, 2.402576263631789912e-10, 1.289356954199063929e-09, 8.496718440805918998e-11, 3.708338087113262507e-09, 3.171292630350420225e-09
2.087000000000000000e+03, 1.130225819682209798e-10, 4.411583617223567364e-12, 1.478789418453110546e-09, 3.946822278859056182e-09, 2.343423676039398857e-10, 1.372917205663818758e-09, 8.328516205247843475e-11, 3.530994002601426424e-09, 3.154819806727064951e-09
2.088000000000000000e+03, 1.125406545541642579e-10, 3.496259152253461124e-12, 1.427481426704507970e-09, 3.910916037794811878e-09, 2.293759565015132259e-10, 1.531185396640427392e-09, 8.165092111103850781e-11, 3.432304898984872100e-09, 3.129085205141572829e-09
2.089000000000000000e+03, 1.118297512011768858e-10, 2.958185464605851333e-12, 1.433399595153461223e-09, 3.922735925023972919e-09, 2.252184242080187279e-10, 1.270819218704399829e-09, 7.977494302607398970e-11, 3.722750896983190900e-09, 3.109245369284808520e-09
2.090000000000000000e+03, 1.110492626591599199e-10, 2.630960713708085912e-12, 1.376877792691810926e-09, 3.901237962661213815e-09, 2.217816797439351740e-10, 1.609942366924254351e-09, 7.800489648925179097e-11, 3.510539485765356553e-09, 3.000374914227779052e-09
2.091000000000000000e+03, 1.043933939907115974e-10, 2.444261727457122757e-12, 1.422728114854316833e-09, 3.842606594543542361e-09, 2.189146154668538666e-10, 1.419521173672545141e-09, 7.218577585407292206e-11, 3.684470153629075276e-09, 2.946270762950540915e-09
2.092000000000000000e+03, 1.009479785048829672e-10, 2.334777997540928081e-12, 1.412965189491207625e-09, 3.785621262755991919e-09, 2.163932297089194904e-10, 1.281807456914919476e-09, 6.447161101714288274e-11, 3.948190665412772386e-09, 2.929096214374930155e-09
2.093000000000000000e+03, 9.821509246132743745e-11, 2.221949221268729818e-12, 1.450498258823983271e-09, 3.808529537040893188e-09, 2.142086440981501708e-10, 1.415413408786462832e-09, 5.675445201464922235e-11, 3.474135280634754232e-09, 2.926030446452750730e-09
2.094000000000000000e+03, 9.624031617994564284e-11, 2.196619746281434438e-12, 1.450749143773935728e-09, 3.765686725862350100e-09, 2.123870961072423186e-10, 1.221293440269700428e-09, 4.905627326315871366e-11, 3.306144888578300680e-09, 2.903949415910363618e-09
2.095000000000000000e+03, 9.442321038924273639e-11, 2.135488814736375220e-12, 1.439865877053647346e-09, 3.704649757528194273e-09, 2.104416604287467118e-10, 1.672561496337206326e-09, 4.127997535339672561e-11, 3.765790794743369702e-09, 2.852369374713776020e-09
2.096000000000000000e+03, 9.612810386601509323e-11, 2.062281461908224983e-12, 1.462234664279825357e-09, 3.679984885785582620e-09, 2.084271071466436274e-10, 1.462261371908400775e-09, 3.942774549050602212e-11, 3.697050742500278880e-09, 2.812141536103550840e-09
2.097000000000000000e+03, 9.579478839692098605e-11, 2.009635184636107612e-12, 1.432956165813233892e-09, 3.681915905648335786e-09, 2.066639990688358010e-10, 1.313328187088905395e-09, 3.691602770920366836e-11, 3.502883681220952974e-09, 2.795794295594191259e-09
2.098000000000000000e+03, 9.501702367669217916e-11, 1.957287254766185671e-12, 1.408500019491353957e-09, 3.667828763403882132e-09, 2.050453574678585055e-10, 1.342486063542275044e-09, 3.468963218939519512e-11, 3.489867458488349271e-09, 2.775770351818372041e-09
2.099000000000000000e+03, 9.432887345791996325e-11, 1.876974142321941332e-12, 1.412821042510444529e-09, 3.633808180425256909e-09, 2.035721407059932977e-10, 1.337863001137805849e-09, 3.229199855780074383e-11, 3.260049551380490398e-09, 2.746783906616237116e-09
2.100000000000000000e+03, 9.360723996457581911e-11, 1.817491000158519930e-12, 1.345086883306431690e-09, 3.590798494953832221e-09, 1.822934063316854796e-10, 1.266041293573423205e-09, 2.994348936856272307e-11, 3.439521386175923263e-09, 2.720561477590060507e-09
