year, NorESM2-MM, NorESM2-LM, INM-CM4-8, INM-CM5-0, CanESM5, CNRM-ESM2-1, IPSL-CM6A-LR, CMCC-CM2-SR5, TaiESM1, GFDL-ESM4, EC-Earth3-Veg, MIROC-ES2L, MPI-ESM1-2-LR, ACCESS-ESM1-5, UKESM1-0-LL, CESM2-WACCM
2.066000000000000000e+03, 7.627705650094111611e+00, 7.139953251962583458e+00, 9.071285562883257825e+00, 9.364517411055144791e+00, 8.435256460650233379e+00, 6.930281057562485358e+00, 9.994372353810886622e+00, 7.869310422984435505e+00, 7.812572346089217135e+00, 6.643035107921142490e+00, 7.041046660290370518e+00, 6.414351110972531522e+00, 6.326484909930780276e+00, 7.165137876146205897e+00, 6.335848114818362298e+00, 8.092121476335707442e+00
2.067000000000000000e+03, 7.670278792514536370e+00, 7.227729660097945263e+00, 9.116906782468024772e+00, 9.115524530767642020e+00, 8.811726807705147380e+00, 6.592938882187680427e+00, 9.792925904907491486e+00, 8.280560656174699830e+00, 7.636243640993842341e+00, 6.694964077085230336e+00, 6.370164765863182588e+00, 5.629873783129010434e+00, 5.381522449464092084e+00, 7.930619755924527503e+00, 6.125947092324726562e+00, 7.035690603895860207e+00
2.068000000000000000e+03, 7.711822961768627138e+00, 7.235643164898688973e+00, 9.070421253733874423e+00, 9.277817375825376800e+00, 7.775893340069182536e+00, 6.940002889432191679e+00, 1.059008348096877050e+01, 7.897591489369637507e+00, 6.432512438216071438e+00, 6.655364755293713408e+00, 6.126854456506353408e+00, 6.778043926915901629e+00, 5.028549438043303788e+00, 8.092999838633263110e+00, 6.951327665221994856e+00, 7.062575862321217812e+00
2.069000000000000000e+03, 7.621842850407291259e+00, 7.400342339758858579e+00, 9.319669697590862611e+00, 9.515627672389141978e+00, 8.350396332105525232e+00, 6.973821210614779886e+00, 1.026730397349811952e+01, 8.083760121304933932e+00, 8.037002986388511516e+00, 6.816038956244063307e+00, 7.083289156002092746e+00, 6.534745550097161626e+00, 6.262170855308296424e+00, 7.745786438946630881e+00, 5.984555387775744251e+00, 9.206923427608820987e+00
2.070000000000000000e+03, 7.840919330174273227e+00, 8.178998594037402370e+00, 8.981696030131654851e+00, 9.425225107589767504e+00, 8.221333788087321182e+00, 6.184604779813155595e+00, 1.019855153559989880e+01, 8.246573889370088395e+00, 7.723738288700462640e+00, 7.599422457004017417e+00, 6.677546453078206490e+00, 6.708383242201679586e+00, 6.431109906441438540e+00, 7.466010839186689729e+00, 6.284463357080002588e+00, 8.271982540802479633e+00
2.071000000000000000e+03, 6.988815052752903156e+00, 8.147885909865195231e+00, 9.279781653281784060e+00, 9.319790435658163119e+00, 8.683118200574014622e+00, 6.911355328441015189e+00, 1.053596673735530409e+01, 8.357354248284021736e+00, 7.620666627538011717e+00, 6.838288742245247853e+00, 5.438680269615240093e+00, 6.411863870250531505e+00, 5.939844444262654122e+00, 8.970351767656312703e+00, 7.542617545064201678e+00, 6.914765801969533499e+00
2.072000000000000000e+03, 8.078535653802870087e+00, 7.307363119188653222e+00, 9.194007051164486910e+00, 9.162332985090094084e+00, 8.064883728378237748e+00, 6.983076144386926032e+00, 9.574629211767186732e+00, 7.842875891703608993e+00, 6.078704753043109754e+00, 7.317585487279762546e+00, 7.409816252337664721e+00, 5.994307903170629892e+00, 5.258068711329649148e+00, 8.572572977253319237e+00, 7.145193798381372474e+00, 8.815955640104750302e+00
2.073000000000000000e+03, 7.992879150741281080e+00, 6.385315810475860943e+00, 8.980921087009496873e+00, 9.466857462228631448e+00, 8.150572999757603299e+00, 7.018338760969145440e+00, 9.898050935166455844e+00, 8.290231348258455313e+00, 8.396016725270436964e+00, 7.463934394870434197e+00, 7.024095053296586677e+00, 5.980615682971445857e+00, 5.668990540311889426e+00, 7.422953425277952100e+00, 5.964208044935672248e+00, 8.355310744999497885e+00
2.074000000000000000e+03, 7.762504059058668027e+00, 6.883933498062524414e+00, 9.579093940828153464e+00, 9.520977292580310447e+00, 8.258243117162761493e+00, 6.780669203850898441e+00, 1.038926800573474729e+01, 8.525449614390840480e+00, 7.883710969325824713e+00, 6.899015365125153565e+00, 6.998656251971646647e+00, 6.704922400368869440e+00, 6.292709074464268859e+00, 8.295209228110701716e+00, 6.430346715349120501e+00, 7.215291317609426436e+00
2.075000000000000000e+03, 7.712094591971103696e+00, 7.473159788635839185e+00, 9.076695316230631860e+00, 9.258722209764535194e+00, 8.069430235125555129e+00, 6.629058334458308721e+00, 1.070276826116097091e+01, 7.932911857251794707e+00, 7.243640933723273889e+00, 7.535340722418571779e+00, 6.211227289788151751e+00, 6.208860756492345701e+00, 5.949658081050477776e+00, 8.031107979812327713e+00, 6.960131338669922840e+00, 8.628415790583289890e+00
