year, ACCESS-ESM1-5, EC-Earth3-Veg, UKESM1-0-LL, CNRM-ESM2-1, IPSL-CM6A-LR, MPI-ESM1-2-LR, CESM2-WACCM, MIROC-ES2L, CMCC-CM2-SR5
2.041000000000000000e+03, 1.551258890173210281e+00, 7.609250360552663461e-02, 4.946960764674379618e-02, 3.744765618807347624e-02, 1.145523041733441383e-01, 8.601468451635640999e-01, 3.271319257477325881e-01, 1.722528988990777998e+00, 2.117440913758390497e-01
2.042000000000000000e+03, 1.532650986754911848e+00, 7.499037595655905220e-02, 4.743667069584589502e-02, 3.357576862303442850e-02, 1.120466516657822181e-01, 8.567096039643796734e-01, 3.430635866162976555e-01, 1.721814896013001972e+00, 2.112406434859138704e-01
2.043000000000000000e+03, 1.514975596418018933e+00, 7.408993781130998602e-02, 4.603104517009429242e-02, 3.009849001594340837e-02, 1.098184472178888038e-01, 8.583537490587496155e-01, 3.364865254324456156e-01, 1.720997020849103665e+00, 2.108287043307084940e-01
2.044000000000000000e+03, 1.497566493895190698e+00, 7.333898817342274223e-02, 4.488632673291679392e-02, 2.725606518080714302e-02, 1.081541306639782068e-01, 8.586608291059791842e-01, 3.263052018564266410e-01, 1.720817857263108985e+00, 2.105355666466643128e-01
2.045000000000000000e+03, 1.480673109568860779e+00, 7.249691162567165059e-02, 4.385766812011498983e-02, 2.488600874488571327e-02, 1.068552111093224316e-01, 8.595256726468284425e-01, 3.418624345203863935e-01, 1.723608522877694282e+00, 2.103098993496358982e-01
2.046000000000000000e+03, 1.461839848349807625e+00, 7.170633640827446531e-02, 4.287616791270600775e-02, 2.259235527768111221e-02, 1.059149978534573294e-01, 8.561416235332992564e-01, 3.366209289443350405e-01, 1.723460461809001920e+00, 2.101055255903804819e-01
2.047000000000000000e+03, 1.444129312739769189e+00, 7.094987034374831969e-02, 4.198834839538902880e-02, 2.039850457323308039e-02, 1.046757866264417525e-01, 8.545492250167848747e-01, 3.335030419990018813e-01, 1.723445183814788617e+00, 2.098877014113201545e-01
2.048000000000000000e+03, 1.427001792153054893e+00, 7.011753509897840353e-02, 4.116394631599722131e-02, 1.845913913871570500e-02, 1.038358979227111817e-01, 8.530866140397820319e-01, 3.286060383484719072e-01, 1.722865470004934618e+00, 2.096265677816213924e-01
2.049000000000000000e+03, 1.410477611565897904e+00, 6.954249432642986561e-02, 4.039375932207078801e-02, 1.655854467366334529e-02, 1.030970339637913152e-01, 8.536154150386981998e-01, 3.318393499580986616e-01, 1.720895782131461216e+00, 2.094002769021310328e-01
2.050000000000000000e+03, 1.394597699176578720e+00, 6.867014861909193080e-02, 3.966418524935386852e-02, 1.538630044971741814e-02, 1.022575411772587289e-01, 8.524421204312205846e-01, 3.281302562775386122e-01, 1.718723917334056273e+00, 2.090114459231845745e-01
2.051000000000000000e+03, 1.381611561219213691e+00, 6.787971249828021747e-02, 3.896343830712933887e-02, 1.484408840175122438e-02, 1.029818587743985825e-01, 8.542868683019683163e-01, 3.285691978601791297e-01, 1.719566849055068625e+00, 2.087618801582041828e-01
2.052000000000000000e+03, 1.368710245269748604e+00, 6.747959078657009280e-02, 3.830229879383098557e-02, 1.421455563440290025e-02, 1.037857983082286911e-01, 8.503715473754308585e-01, 3.159838580515333950e-01, 1.719370417110622551e+00, 2.087468719990195898e-01
2.053000000000000000e+03, 1.356406984914745983e+00, 6.699906243441129672e-02, 3.767700197748986152e-02, 1.386372403239796366e-02, 1.047412836894820731e-01, 8.435395731929060670e-01, 3.258124311399539508e-01, 1.717966756460328481e+00, 2.085788238487937540e-01
2.054000000000000000e+03, 1.345004653795445870e+00, 6.648814831463369102e-02, 3.708423648918117432e-02, 1.360853202534807391e-02, 1.053273209484637124e-01, 8.443183596329373319e-01, 3.341241249533670188e-01, 1.715071941336950401e+00, 2.082745771405272728e-01
2.055000000000000000e+03, 1.334080638500154015e+00, 6.605276540465668256e-02, 3.652095571328613233e-02, 1.351317004986870608e-02, 1.059085966117602196e-01, 8.484066253789779299e-01, 3.177381115621746299e-01, 1.719287323717830107e+00, 2.085476900864992045e-01
2.056000000000000000e+03, 1.326026913515024885e+00, 6.536134865904061342e-02, 3.597934771183381591e-02, 1.512707755351478354e-02, 1.076039478690525852e-01, 8.499860049363330283e-01, 3.357142997242231752e-01, 1.721712137192503045e+00, 2.092283351723238927e-01
2.057000000000000000e+03, 1.315308420304603487e+00, 6.498226739002758989e-02, 3.546433654855578321e-02, 1.659865535667886041e-02, 1.085153759110911581e-01, 8.491347631382972772e-01, 3.346248620342773816e-01, 1.723571144297051161e+00, 2.095555035423156132e-01
2.058000000000000000e+03, 1.304745849297055393e+00, 6.484397505710667864e-02, 3.497530224805948246e-02, 1.783970659460225663e-02, 1.094936524597124317e-01, 8.475415700776595118e-01, 3.191721993343112906e-01, 1.726047872235099812e+00, 2.096598798175443312e-01
2.059000000000000000e+03, 1.293828176236779814e+00, 6.470340463247668816e-02, 3.449807292027852468e-02, 1.888483697839676845e-02, 1.099872448688613696e-01, 8.483801777802038036e-01, 3.404768372911883834e-01, 1.728776959320968754e+00, 2.096263404518945439e-01
2.060000000000000000e+03, 1.283304781622018442e+00, 6.466473037744337182e-02, 3.403687543168517488e-02, 1.973827334496166055e-02, 1.103003962886470041e-01, 8.512665671906398668e-01, 3.359695944985872096e-01, 1.727494358829457566e+00, 2.093785900253637700e-01
2.061000000000000000e+03, 1.302514159796298143e+00, 6.418748216497230374e-02, 3.361772755931626000e-02, 1.904535161255652143e-02, 1.102548793671269817e-01, 8.566475603207606149e-01, 3.192166763381344974e-01, 1.728994523650783766e+00, 2.089885708544007570e-01
2.062000000000000000e+03, 1.298474856086140106e+00, 6.407044388457036610e-02, 3.320945940123664480e-02, 1.840453972818704639e-02, 1.107702538948075049e-01, 8.562272703153118725e-01, 3.314086316170391511e-01, 1.731808235903446791e+00, 2.087067669943388215e-01
2.063000000000000000e+03, 1.291771185024966906e+00, 6.385032285078034997e-02, 3.279691687780710713e-02, 1.807288975948005347e-02, 1.114049942105109492e-01, 8.569532605082065269e-01, 3.257668077091991909e-01, 1.735279123854273076e+00, 2.085849056175785587e-01
2.064000000000000000e+03, 1.284899418818106209e+00, 6.370525936131492262e-02, 3.238889475933736523e-02, 1.914443360618424406e-02, 1.119660178587365690e-01, 8.584995690637692300e-01, 3.260038757513568086e-01, 1.738315682742231916e+00, 2.085232776976566615e-01
2.065000000000000000e+03, 1.277594561966401754e+00, 6.341678212724331798e-02, 3.201253274654088099e-02, 2.086585770364064035e-02, 1.127246509294078380e-01, 8.595447737702104352e-01, 3.256284532038928869e-01, 1.736518279873254578e+00, 2.084420799794808876e-01
2.066000000000000000e+03, 1.269911229581879519e+00, 6.325378705683187830e-02, 3.160900531939087738e-02, 2.257182463977552497e-02, 1.116051965860481304e-01, 8.553372068492802738e-01, 3.390818787193784489e-01, 1.736538529443487855e+00, 2.083162538169692213e-01
2.067000000000000000e+03, 1.262888523745776981e+00, 6.310932663905031992e-02, 3.122696618893898435e-02, 2.439661798647516436e-02, 1.111310792640363143e-01, 8.557610485726396821e-01, 3.288781998121183547e-01, 1.735891281237134098e+00, 2.080840243108994514e-01
2.068000000000000000e+03, 1.257742882344305091e+00, 6.292202929870835404e-02, 3.086275424115862698e-02, 2.606666581823458007e-02, 1.104797204855464954e-01, 8.539222700472741678e-01, 3.164765072785301059e-01, 1.734341322674802788e+00, 2.077866543886797979e-01
2.069000000000000000e+03, 1.253330808195707524e+00, 6.265579604405445424e-02, 3.053247214410307470e-02, 2.756806899870235111e-02, 1.100997427551202307e-01, 8.522769478932363807e-01, 3.155215581096913469e-01, 1.733200010020423898e+00, 2.075971832088322200e-01
2.070000000000000000e+03, 1.248886781438599103e+00, 6.250934584176902342e-02, 3.021928142600721970e-02, 2.903437675643034954e-02, 1.095009967606900003e-01, 8.521049159116480531e-01, 3.383388563233953872e-01, 1.736406879256074731e+00, 2.078393777765605299e-01
2.071000000000000000e+03, 1.244626530491383720e+00, 6.207467467112616488e-02, 2.998581080209637706e-02, 3.606548345799698296e-02, 1.097323120714164407e-01, 8.483934962850909756e-01, 3.324872744743507247e-01, 1.736981152635646675e+00, 2.083690511853641403e-01
2.072000000000000000e+03, 1.240315656694483071e+00, 6.174136925551485661e-02, 2.975117044687825008e-02, 4.200264158293027378e-02, 1.098315775778506143e-01, 8.499853296714542372e-01, 3.176531662324066918e-01, 1.737007861355155169e+00, 2.088376442537322464e-01
2.073000000000000000e+03, 1.235874232307169862e+00, 6.139853116837596519e-02, 2.938801197303432186e-02, 4.699918890625421480e-02, 1.098830206967183198e-01, 8.470068898568308136e-01, 3.311545816819513877e-01, 1.735641972739804917e+00, 2.091718314263639744e-01
2.074000000000000000e+03, 1.231429092571294737e+00, 6.099478885697763586e-02, 2.903243680723383013e-02, 5.115123179039207657e-02, 1.101245838142102390e-01, 8.450455956205422670e-01, 3.269411014740332133e-01, 1.735577305479562904e+00, 2.094107508570836884e-01
2.075000000000000000e+03, 1.226946445399603292e+00, 6.065978976409920620e-02, 2.867777421572027807e-02, 5.460517175350809715e-02, 1.106489000610404727e-01, 8.441083195186742660e-01, 3.182619466603435754e-01, 1.736467711330817565e+00, 2.132650486573212933e-01
2.076000000000000000e+03, 1.215972657923506839e+00, 6.045295895122657776e-02, 2.831982642969340172e-02, 5.523840933425041427e-02, 1.117269427566625062e-01, 8.418221764652956685e-01, 3.264166191935761741e-01, 1.733550596760694784e+00, 2.198000988655457733e-01
2.077000000000000000e+03, 1.205994918662553594e+00, 6.030204223113642265e-02, 2.799330037080938541e-02, 5.561304398445314490e-02, 1.129029582054035669e-01, 8.440940662617096857e-01, 3.245953868308469326e-01, 1.730132181017297599e+00, 2.250414098845087418e-01
2.078000000000000000e+03, 1.196604907791664507e+00, 6.025019592455824885e-02, 2.769200883526009779e-02, 5.571570993281082379e-02, 1.138900559922325362e-01, 8.457719109434552740e-01, 3.560226707453973405e-01, 1.730715449018068286e+00, 2.291402015867311237e-01
2.079000000000000000e+03, 1.187941939961880022e+00, 6.022760575103577874e-02, 2.739896980116595174e-02, 5.553893987384913439e-02, 1.143897379157328836e-01, 8.528935862854030159e-01, 3.530323183465261527e-01, 1.733034373937759387e+00, 2.322775847472254018e-01
2.080000000000000000e+03, 1.179610182270291574e+00, 6.036732212977024420e-02, 2.726220804911132917e-02, 5.468889243548506751e-02, 1.150835104471281956e-01, 8.476655996777098245e-01, 3.330756959757589231e-01, 1.738720402305962143e+00, 2.326415333113424633e-01
2.081000000000000000e+03, 1.168319961905763371e+00, 6.035467807255170264e-02, 2.762798887296556358e-02, 5.820299170544557255e-02, 1.195260808437272476e-01, 8.468612985901965429e-01, 3.540132663623655751e-01, 1.742772655759786238e+00, 2.310883063836099427e-01
2.082000000000000000e+03, 1.157640998708758140e+00, 6.055479153899635814e-02, 2.763000103139061012e-02, 6.127142512940449148e-02, 1.234715501899097539e-01, 8.483815738052571387e-01, 3.632155136387506533e-01, 1.741476485730651724e+00, 2.298901407499189808e-01
2.083000000000000000e+03, 1.147348033976469228e+00, 6.076457582340165364e-02, 2.755477621570908212e-02, 6.392699991208740384e-02, 1.270254046083325039e-01, 8.461980565096577367e-01, 3.461299539287502891e-01, 1.732433063244473992e+00, 2.289874606450597871e-01
2.084000000000000000e+03, 1.137363248886230860e+00, 6.122403182276087846e-02, 2.746753216917230053e-02, 6.618088185345613605e-02, 1.300048924917855120e-01, 8.450345322797478964e-01, 3.306455492760833614e-01, 1.725604110071549124e+00, 2.283289744987758718e-01
2.085000000000000000e+03, 1.127646196000155809e+00, 6.175445997802796877e-02, 2.731591514711024724e-02, 6.835821102991888887e-02, 1.328528055897800486e-01, 8.387805427004603187e-01, 3.395298780420358264e-01, 1.717703241379620493e+00, 2.248994423926344299e-01
2.086000000000000000e+03, 1.118919512222073864e+00, 6.154290896897921664e-02, 2.690884760663338204e-02, 6.460677176717007086e-02, 1.313372000736124090e-01, 8.310328796595646272e-01, 3.274682769209781852e-01, 1.712597133161938734e+00, 2.193651112457935815e-01
2.087000000000000000e+03, 1.110735808047115469e+00, 6.137494821495204783e-02, 2.653937906825454621e-02, 6.109240492431845110e-02, 1.301051016857202869e-01, 8.313819031866811482e-01, 3.278870831218000381e-01, 1.707306388629068250e+00, 2.148566467558282456e-01
2.088000000000000000e+03, 1.102613946612410079e+00, 6.124279120286693634e-02, 2.609942829100955070e-02, 5.771491601360093787e-02, 1.288816925764721122e-01, 8.249882672460476796e-01, 3.343046405168847990e-01, 1.701062625773590131e+00, 2.111882717595062187e-01
2.089000000000000000e+03, 1.094608932838737392e+00, 6.099240116338817963e-02, 2.571215908955899049e-02, 5.465034592493901722e-02, 1.275629883928400266e-01, 8.236466484689741741e-01, 3.123962932158426686e-01, 1.693843451404098532e+00, 2.081691908516108969e-01
2.090000000000000000e+03, 1.086723821094106368e+00, 6.089625014783801166e-02, 2.535305067010747496e-02, 5.146076669607115017e-02, 1.261409462829283235e-01, 8.191292410702997184e-01, 3.325069172593408395e-01, 1.673616442523545134e+00, 2.055317259576159850e-01
2.091000000000000000e+03, 1.076109966674445362e+00, 6.006656308377861242e-02, 2.501207649190646809e-02, 4.737110302018322089e-02, 1.209462464164749174e-01, 8.102812478823541165e-01, 3.151437935159515091e-01, 1.655244393609349496e+00, 2.032511787844902273e-01
2.092000000000000000e+03, 1.065990015125791723e+00, 5.943748105327541914e-02, 2.469129280546691202e-02, 4.379716992783825452e-02, 1.166201051492635060e-01, 8.006837333733712869e-01, 3.021302113045774562e-01, 1.642296469412267035e+00, 2.013389370689760705e-01
2.093000000000000000e+03, 1.055917789608801671e+00, 5.856329413243990117e-02, 2.437881513491046981e-02, 4.075308581617813342e-02, 1.129108429487097193e-01, 7.994955555335201414e-01, 3.084665164631982814e-01, 1.633565513308315564e+00, 1.996937151497668594e-01
2.094000000000000000e+03, 1.046087688414056194e+00, 5.784856111092287478e-02, 2.408809711490768335e-02, 3.821319799663916439e-02, 1.100748979062253358e-01, 7.926672228854650948e-01, 2.926430212583654988e-01, 1.625131212053770868e+00, 1.983044783082177076e-01
2.095000000000000000e+03, 1.036368288449307951e+00, 5.720428206346283434e-02, 2.379913524653293894e-02, 3.674058461804856346e-02, 1.073603254052570843e-01, 7.828539784771870735e-01, 3.219021230642500342e-01, 1.611648904810105032e+00, 1.968418462194832519e-01
2.096000000000000000e+03, 1.028412710730889357e+00, 5.608215566021954035e-02, 2.351446440332592355e-02, 3.496067691548858380e-02, 1.049276243238076167e-01, 7.758825380836761321e-01, 3.052198427712194406e-01, 1.598256315689720486e+00, 1.953738589505325807e-01
2.097000000000000000e+03, 1.020213507861997826e+00, 5.504227590509522955e-02, 2.324007201486457883e-02, 3.332410748841160841e-02, 1.029662578399693773e-01, 7.736051269578340106e-01, 2.931978805987522918e-01, 1.587444009221000041e+00, 1.941400460610453182e-01
2.098000000000000000e+03, 1.012045104796094996e+00, 5.417868332360982475e-02, 2.297120658202810722e-02, 3.177629319428239979e-02, 1.010909762752157104e-01, 7.692624392871102446e-01, 2.937291700689782514e-01, 1.577354257062509202e+00, 1.930723770187494082e-01
2.099000000000000000e+03, 1.004048365406406074e+00, 5.359907449909767641e-02, 2.270375831130528113e-02, 3.040806462235048913e-02, 9.976648078356185889e-02, 7.625604565918007172e-01, 2.921023792438652289e-01, 1.566509840993963731e+00, 1.921308321723468882e-01
2.100000000000000000e+03, 9.961669355098420331e-01, 5.291120022767981101e-02, 2.244458859492348343e-02, 2.937638917786390344e-02, 9.874134172614107419e-02, 7.557451385885022299e-01, 2.882661653228263954e-01, 1.556351853172740274e+00, 1.765259012536537220e-01
