year, EC-Earth3-Veg, NorESM2-MM, CMCC-ESM2, CNRM-ESM2-1, TaiESM1, CESM2-WACCM, UKESM1-0-LL, MPI-ESM1-2-LR, NorESM2-LM, IPSL-CM6A-LR
2.065000000000000000e+03, 6.890242798228501773e-10, 1.739345790023917574e-09, 2.787027782986419979e-10, 1.067620668802537019e-10, 4.270328031894457832e-10, 3.787200175730579220e-10, 2.998866774114849981e-12, 2.301857126056743565e-09, 1.179721734769142071e-09, 1.251450099212491524e-10
2.066000000000000000e+03, 6.945005972325606738e-10, 1.921538919458641837e-09, 2.735208291944059874e-10, 9.864396390711284722e-11, 4.298562827967808091e-10, 3.751684016992266379e-10, 2.785365448710248997e-12, 2.300224744689176635e-09, 1.142664355711051407e-09, 1.005006320061928864e-10
2.067000000000000000e+03, 7.097731760035686057e-10, 1.634161773455589708e-09, 2.750792169988588546e-10, 1.032279102967576854e-10, 4.304352040603415455e-10, 3.771210248898372777e-10, 2.650356129339743521e-12, 2.291534775126468179e-09, 1.336933268155540616e-09, 1.053222904386383772e-10
2.068000000000000000e+03, 7.140051720816464259e-10, 1.644515365764422579e-09, 2.787223488568437033e-10, 1.045645577765378746e-10, 4.303412371380846140e-10, 3.754517345089268130e-10, 2.573997984144224168e-12, 2.268919830836547116e-09, 1.392467434053983829e-09, 1.056208388880997749e-10
2.069000000000000000e+03, 6.876912203366862767e-10, 1.714494789515527737e-09, 2.785486367924325109e-10, 1.068975720139419818e-10, 4.294848360124185913e-10, 3.767937195920801466e-10, 2.656739924030552202e-12, 2.247128849070339071e-09, 1.285856388967121066e-09, 1.030517265725824173e-10
2.070000000000000000e+03, 7.039503399531598626e-10, 1.510044809501157784e-09, 2.959231599342034815e-10, 1.087048380203277547e-10, 4.253575402069606606e-10, 3.772523175967386171e-10, 2.804493415622606660e-12, 2.250950467007409635e-09, 1.111904207258581376e-09, 1.033928269725789511e-10
2.071000000000000000e+03, 6.473110522519878800e-10, 1.615874034262874549e-09, 2.973399523248350695e-10, 1.958422829793480130e-10, 4.253435681054680546e-10, 3.800790661254157913e-10, 3.421290079806112319e-12, 2.245044187586512985e-09, 1.458247526989457511e-09, 1.065969924504113797e-10
2.072000000000000000e+03, 6.522940775983718811e-10, 1.641178040615925993e-09, 2.942871094036787995e-10, 2.002800862270235351e-10, 4.217316556368362524e-10, 3.748873680085483590e-10, 3.962212574727376344e-12, 2.224472210146888658e-09, 1.541346761221830859e-09, 1.075920210900453923e-10
2.073000000000000000e+03, 6.323472213280025077e-10, 1.674379561552198284e-09, 2.935006924922507686e-10, 2.081155480170361884e-10, 4.163102037459553819e-10, 3.745481664400757017e-10, 3.691871257153091213e-12, 2.207380449026130508e-09, 1.337245844430775980e-09, 1.091978830715546717e-10
2.074000000000000000e+03, 6.319348824260230600e-10, 1.715093149172860012e-09, 2.951611590485176021e-10, 2.123345671775246805e-10, 4.191196817065413473e-10, 3.791952515083221562e-10, 3.384665925801621243e-12, 2.195050360707194482e-09, 1.183693749806154597e-09, 1.123974833883746055e-10
2.075000000000000000e+03, 6.408789321379635336e-10, 1.618137409874920364e-09, 3.668562625161554169e-10, 2.137153501065398327e-10, 5.028054357615839248e-10, 3.692394218332673739e-10, 3.058596030222990489e-12, 2.223616844242884198e-09, 1.191057004854338475e-09, 1.149940705510080691e-10
2.076000000000000000e+03, 6.566376812785999807e-10, 1.668299522199828988e-09, 3.701863267171746921e-10, 1.741568470456575443e-10, 5.129062252125432066e-10, 4.384747216615677485e-10, 2.651286711321281183e-12, 2.240245831590993635e-09, 1.329104818021701878e-09, 1.554928538037362815e-10
2.077000000000000000e+03, 6.464496707018608413e-10, 1.693131622708880129e-09, 3.777431959857311755e-10, 1.775090832819426346e-10, 5.201802919259306236e-10, 4.411593128068367987e-10, 2.400619026311092344e-12, 2.245380652930488485e-09, 1.297254921474860384e-09, 1.574410006831192346e-10
2.078000000000000000e+03, 6.315976294972275882e-10, 1.629801019215901116e-09, 3.848175515505487818e-10, 1.802477737895910165e-10, 5.266113686571427995e-10, 4.483773446980797154e-10, 2.295456106168226622e-12, 2.250635915663267429e-09, 1.329862757879113343e-09, 1.593555664454299540e-10
2.079000000000000000e+03, 6.467204808930154875e-10, 1.540032931095871136e-09, 3.876962208399356650e-10, 1.825178020849772898e-10, 5.322084273435149444e-10, 4.519933215183392947e-10, 2.222660974095536868e-12, 2.240905185230085069e-09, 1.362301477458960422e-09, 1.615294636712239188e-10
2.080000000000000000e+03, 6.545272895218418751e-10, 1.782357945947323511e-09, 3.560009609192456565e-10, 1.846145499972425409e-10, 5.427526941317129811e-10, 4.511007049684053824e-10, 2.718155927916054676e-12, 2.235461884103106335e-09, 1.348403697639822885e-09, 1.663176081971619526e-10
2.081000000000000000e+03, 6.379477748485192090e-10, 1.715393184952716319e-09, 3.494457167154227227e-10, 2.621159577421783253e-10, 5.424543530472113307e-10, 4.788172963955872344e-10, 4.959327267757979691e-12, 2.240093020573032757e-09, 1.296923924854016596e-09, 1.826765708200476598e-10
2.082000000000000000e+03, 6.602135539473148089e-10, 1.624179441227905010e-09, 3.408019633645356825e-10, 2.643696994327841031e-10, 5.478420697501176917e-10, 4.748933808967882365e-10, 5.363858030503244528e-12, 2.216453565292954484e-09, 1.293219689202711080e-09, 1.859312607101282243e-10
2.083000000000000000e+03, 6.535527685259911520e-10, 1.761631096615978456e-09, 3.382602381414962993e-10, 2.672067131370266656e-10, 5.474980594650585377e-10, 4.687995427081311049e-10, 5.519638812330096998e-12, 2.209236281770067339e-09, 1.356928944304836940e-09, 1.891072665337100808e-10
2.084000000000000000e+03, 6.848149734150847953e-10, 1.754531204505857637e-09, 3.462562982405202086e-10, 2.695120874669050997e-10, 5.466969275284383629e-10, 4.543912237980628815e-10, 5.664890670589065536e-12, 2.203921770280921084e-09, 1.218177321421792447e-09, 1.898312881566172130e-10
2.085000000000000000e+03, 6.963275692125565695e-10, 1.771063029372145242e-09, 2.860851194393486824e-10, 2.732985373145099448e-10, 4.570687052560004833e-10, 4.446041865508414588e-10, 5.650221818002397727e-12, 2.152872485743158126e-09, 1.469868682999172983e-09, 1.931155662623357177e-10
2.086000000000000000e+03, 5.991346797338178706e-10, 1.594740244346213165e-09, 2.721935448572963939e-10, 1.574090685146072642e-10, 4.498269531739255591e-10, 3.724204817750188663e-10, 4.833494907145437191e-12, 2.111047698625324417e-09, 1.674897652044090423e-09, 1.380691312668688256e-10
2.087000000000000000e+03, 6.128489799774432125e-10, 1.760708608325895239e-09, 2.626904414907302644e-10, 1.572018227710511758e-10, 4.382368205672837501e-10, 3.603335731791283389e-10, 4.411583600781069865e-12, 2.076851646108358024e-09, 1.703954695082659767e-09, 1.394812290439018594e-10
2.088000000000000000e+03, 6.162553172388917297e-10, 1.810825738100857511e-09, 2.622467585436050574e-10, 1.516883700509636293e-10, 4.318482267464442277e-10, 3.467932951025153312e-10, 3.496259143463028910e-12, 2.048624272419635331e-09, 1.552100557944029414e-09, 1.392124730393835191e-10
2.089000000000000000e+03, 5.906364011120040536e-10, 1.647487665309460370e-09, 2.579280796594909309e-10, 1.518893039679895487e-10, 4.265945658253036774e-10, 3.388300969541220872e-10, 2.958185464205433717e-12, 2.031489301213565534e-09, 1.251744268815524365e-09, 1.391324624840493972e-10
2.090000000000000000e+03, 5.938440222732466008e-10, 1.619385523950008931e-09, 2.551291690450889501e-10, 1.500739824056638123e-10, 3.842227554665712371e-10, 3.308492515775242824e-10, 2.630960763479054654e-12, 1.998320020085641181e-09, 1.358480152277329032e-09, 1.390817722733307583e-10
