year, CMCC-CM2-SR5, INM-CM5-0, CESM2-WACCM, EC-Earth3-Veg, NorESM2-MM, MIROC-ES2L, ACCESS-ESM1-5, CanESM5, MPI-ESM1-2-LR, NorESM2-LM, TaiESM1, CNRM-ESM2-1, UKESM1-0-LL, IPSL-CM6A-LR, GFDL-ESM4, INM-CM4-8
2.049000000000000000e+03, 2.855276607585308284e+02, 2.840107550649253199e+02, 2.843979093688759576e+02, 2.830789017318797391e+02, 2.843557782893084891e+02, 2.842597796637819556e+02, 2.843985980508297189e+02, 2.860038938624123830e+02, 2.831516541443305641e+02, 2.846197319845502420e+02, 2.851438873805438448e+02, 2.834712136619739908e+02, 2.837733153252249849e+02, 2.842413094094081885e+02, 2.818366683560066690e+02, 2.844145976553875812e+02
2.050000000000000000e+03, 2.855935662016893275e+02, 2.842246298114619094e+02, 2.851813574611307445e+02, 2.822651424141420762e+02, 2.833460491410342570e+02, 2.839567253227355081e+02, 2.847678974308714146e+02, 2.858467746540566736e+02, 2.839381709579053563e+02, 2.842792122806074531e+02, 2.853308832493943328e+02, 2.849807932233251790e+02, 2.842531224412273332e+02, 2.829077869064322499e+02, 2.819807886677461966e+02, 2.839791907476163715e+02
2.051000000000000000e+03, 2.860128066367840347e+02, 2.846724659558900612e+02, 2.844366197625661812e+02, 2.834280862536043060e+02, 2.836031576324838284e+02, 2.840562397452497407e+02, 2.847750532114015414e+02, 2.853342775265545015e+02, 2.844604998912963083e+02, 2.847544089636063518e+02, 2.860437518705347770e+02, 2.836118070204228729e+02, 2.846789298881541868e+02, 2.840471956647185721e+02, 2.822524935257374068e+02, 2.846949610639459252e+02
2.052000000000000000e+03, 2.855224877250165036e+02, 2.845594971897689902e+02, 2.853117925451734322e+02, 2.831722579222336549e+02, 2.842057938398873489e+02, 2.851339742380321240e+02, 2.845958680529730600e+02, 2.862067676331241159e+02, 2.840786822410001946e+02, 2.841695428797361274e+02, 2.851366101362997938e+02, 2.847912783867873259e+02, 2.837346880633175488e+02, 2.838019776570625368e+02, 2.825651644397750601e+02, 2.841473172246782610e+02
2.053000000000000000e+03, 2.857182237416364501e+02, 2.840041015502952177e+02, 2.854196212456884041e+02, 2.834828042470489891e+02, 2.837723445511649629e+02, 2.850978169349217524e+02, 2.844720470108355244e+02, 2.861678188996231142e+02, 2.839989741855057446e+02, 2.845506918759388668e+02, 2.859648025576197483e+02, 2.843945007823689366e+02, 2.838732925131477032e+02, 2.839400556157248161e+02, 2.822210805010967078e+02, 2.833208743977323820e+02
2.054000000000000000e+03, 2.858731127665292320e+02, 2.846830235395325417e+02, 2.849465702504826936e+02, 2.834061897157291128e+02, 2.835828085052275469e+02, 2.844637681084607834e+02, 2.849122995664528162e+02, 2.843503244747936947e+02, 2.835645059922871383e+02, 2.844103960543575340e+02, 2.855417905010526169e+02, 2.827794038750323580e+02, 2.850070939676521675e+02, 2.848679047776449806e+02, 2.818637873135680820e+02, 2.840719445858208019e+02
2.055000000000000000e+03, 2.856669446851810221e+02, 2.837531981238150252e+02, 2.849376807889238421e+02, 2.839283680688276377e+02, 2.845960653518493473e+02, 2.850803217969197476e+02, 2.849987720821839616e+02, 2.859530732554177916e+02, 2.840107778186650194e+02, 2.846467564332382381e+02, 2.856851991322501476e+02, 2.838486145720612512e+02, 2.855188969395109666e+02, 2.838723743134890469e+02, 2.824300291998387138e+02, 2.835743980301555780e+02
2.056000000000000000e+03, 2.861794580677646991e+02, 2.839279629630913178e+02, 2.856101541201133500e+02, 2.833435603213094396e+02, 2.841707249449985966e+02, 2.847887977076154584e+02, 2.857665268754639669e+02, 2.862537096656278663e+02, 2.827369381554294705e+02, 2.848024317851251226e+02, 2.867195201090112278e+02, 2.841251772366240402e+02, 2.851161292713507009e+02, 2.840519947812426835e+02, 2.821207225712424815e+02, 2.848431505817530365e+02
2.057000000000000000e+03, 2.859991430595868565e+02, 2.851439206343172259e+02, 2.855387951508701008e+02, 2.843269628277171819e+02, 2.836092562909091157e+02, 2.848404270387721340e+02, 2.854343008738733261e+02, 2.868610046883200653e+02, 2.825211561803891414e+02, 2.843907950287068616e+02, 2.866280831196065719e+02, 2.842492525820498486e+02, 2.849122382429208642e+02, 2.836056989563068669e+02, 2.827831420518834875e+02, 2.849516289651665488e+02
2.058000000000000000e+03, 2.858102130275951254e+02, 2.843890203919535224e+02, 2.853248823788269988e+02, 2.838855044598300310e+02, 2.845704681959150548e+02, 2.856268571260673639e+02, 2.850845286436915558e+02, 2.864335381555305275e+02, 2.842390308084890762e+02, 2.841867777775780723e+02, 2.858741803965082227e+02, 2.831659611886500443e+02, 2.847513112751860831e+02, 2.833720955823789041e+02, 2.829017826993043627e+02, 2.851413364042275589e+02
2.059000000000000000e+03, 2.857163227038541322e+02, 2.847911550531322860e+02, 2.855505072881807678e+02, 2.840878845612822943e+02, 2.843079191504231176e+02, 2.854051464821242234e+02, 2.853103850021943799e+02, 2.860722243163000371e+02, 2.840817605054042474e+02, 2.845469412814675820e+02, 2.858553064790312987e+02, 2.843674055801028544e+02, 2.844382100733933498e+02, 2.841502946964008061e+02, 2.828948137814662687e+02, 2.842100740195827484e+02
2.060000000000000000e+03, 2.858685045435855159e+02, 2.852143839929863702e+02, 2.856163541235179082e+02, 2.838612885160337669e+02, 2.848998202509450834e+02, 2.850264311204305159e+02, 2.855900418313942737e+02, 2.866405051415859475e+02, 2.844210251096807838e+02, 2.850358606972779398e+02, 2.859360582063606557e+02, 2.834725388797116921e+02, 2.841871102645013138e+02, 2.839290733252886412e+02, 2.826367463417836916e+02, 2.844375237414501498e+02
