year, NorESM2-LM, CESM2-WACCM, NorESM2-MM, CNRM-ESM2-1, UKESM1-0-LL, EC-Earth3-Veg, IPSL-CM6A-LR, INM-CM5-0, CMCC-CM2-SR5, INM-CM4-8, MPI-ESM1-2-LR, TaiESM1, ACCESS-ESM1-5, CanESM5, MIROC-ES2L, GFDL-ESM4
2.039000000000000000e+03, 2.137844100046020213e+00, 2.497201432243815855e+00, 2.391201626368695710e+00, 3.379277600124622971e+00, 3.161205031141684163e+00, 2.846105287241260662e+00, 2.824062025374326712e+00, 2.624348468962271141e+00, 2.535817206784798383e+00, 2.362689275730616600e+00, 3.458165679763509193e+00, 1.435364592515611326e+00, 3.177911051336876014e+00, 4.258707154298352116e+00, 4.366703599189974305e+00, 2.542748803786214040e+00
2.040000000000000000e+03, 2.387159298378219496e+00, 2.467055327848902024e+00, 2.452642508230169494e+00, 3.335539964345742625e+00, 3.099429246479883382e+00, 2.853776316355083775e+00, 2.832742202698620204e+00, 2.956614405892549868e+00, 2.391809060922918562e+00, 2.364123478353328700e+00, 3.510067447920983241e+00, 1.317789470483682335e+00, 3.222542220286259251e+00, 4.305384105963615760e+00, 3.993293924651575733e+00, 2.452445293785848968e+00
2.041000000000000000e+03, 2.406063021827307136e+00, 2.605718946440705341e+00, 2.323697367978169837e+00, 2.980038124254112741e+00, 2.983740793174575856e+00, 2.748700262341134071e+00, 2.870156663161702149e+00, 2.517163943306679030e+00, 2.208674958371836805e+00, 2.495297352601323571e+00, 3.553139962229798776e+00, 1.291277988697229873e+00, 3.161454322692687224e+00, 4.504150081825534002e+00, 4.284738760957734982e+00, 2.796997909760484013e+00
2.042000000000000000e+03, 2.318345658219914007e+00, 2.505198550731489338e+00, 2.375659169912222257e+00, 3.309691411695662833e+00, 3.355341367112004480e+00, 2.382608307881340259e+00, 2.780642643547427184e+00, 2.691117813485828236e+00, 2.286219427662337100e+00, 2.398580193533821348e+00, 3.650602442714250717e+00, 1.124903927763016176e+00, 3.240667185315300181e+00, 4.494081856621929383e+00, 4.163782860572427857e+00, 2.725840983060877409e+00
2.043000000000000000e+03, 2.431859616634492571e+00, 2.435973656713172453e+00, 2.379368476801029697e+00, 3.163091668324999883e+00, 3.269027462162735542e+00, 2.905988542837935285e+00, 2.770788519846559161e+00, 2.465480041581582960e+00, 2.334649783044987714e+00, 2.355754145501751218e+00, 3.405424141615399414e+00, 1.531975012186690632e+00, 3.001100601486741404e+00, 4.267552229832609179e+00, 4.426660378702931276e+00, 2.511673236153940891e+00
2.044000000000000000e+03, 2.133139662724181651e+00, 2.535976430086730460e+00, 2.374547473961212685e+00, 3.316328225158688525e+00, 3.160548037234862662e+00, 2.601066268813406079e+00, 2.660667361274228426e+00, 2.847880524607006691e+00, 2.727691370231115187e+00, 2.540305665704329474e+00, 3.658884217586097609e+00, 1.485878137146157130e+00, 3.197220528008024143e+00, 4.498943010691918154e+00, 4.142484708702414586e+00, 2.741607709170023277e+00
2.045000000000000000e+03, 2.208637175059842139e+00, 2.615990210709443264e+00, 2.428439706932326025e+00, 3.093975177373265772e+00, 2.996374749099486312e+00, 2.588714338086529843e+00, 2.969469261293578466e+00, 2.748656341877000475e+00, 2.279215750653424966e+00, 2.356152845419389408e+00, 3.648905290671148105e+00, 1.231371712254381023e+00, 3.211515620549550309e+00, 4.597506961853623508e+00, 4.241706680415426867e+00, 2.649488868354803905e+00
2.046000000000000000e+03, 2.384572247882952301e+00, 2.621041710729660412e+00, 2.462806568153210751e+00, 3.194043475023082390e+00, 3.386652363189346815e+00, 2.718379615267923377e+00, 2.930387644127028679e+00, 2.948427145293575968e+00, 2.062603270111486253e+00, 2.495524940477258369e+00, 3.553711449687872115e+00, 1.205008753233367980e+00, 3.280050616356850579e+00, 4.445684407532105809e+00, 4.104152549926944005e+00, 2.875266423930779691e+00
2.047000000000000000e+03, 2.399150251294241087e+00, 2.616397457314290964e+00, 2.425731282077809414e+00, 3.344782385076004783e+00, 3.161453148598333929e+00, 2.615403385707431916e+00, 2.738626452158101632e+00, 2.579290416585593437e+00, 2.224676277036875760e+00, 2.427470993318700199e+00, 3.398190991573415864e+00, 1.373068068438826783e+00, 3.300860937218522473e+00, 4.670152083772968865e+00, 4.095845348966672184e+00, 2.843530636877074524e+00
2.048000000000000000e+03, 2.346212299016968927e+00, 2.674340197195828939e+00, 2.499640440472997494e+00, 3.258015521992348340e+00, 3.341319715827965720e+00, 2.431428058738692499e+00, 2.746999115485241116e+00, 2.856060852689971785e+00, 2.817379300855535451e+00, 2.490369349986785164e+00, 3.524152061342197051e+00, 1.488455984882882666e+00, 3.231866715474314145e+00, 4.666419318356776813e+00, 4.340728363695956382e+00, 2.696318902162526676e+00
2.049000000000000000e+03, 2.395353054077561605e+00, 2.580398346933040710e+00, 2.529171468382783505e+00, 3.450895072448529888e+00, 3.037439236000823772e+00, 2.910602992400121547e+00, 3.025442816316455286e+00, 3.096698537143095731e+00, 1.994091724177978531e+00, 2.474006706014673096e+00, 3.525180105363452832e+00, 1.330865962203926056e+00, 3.344092138618000476e+00, 4.774402135902076516e+00, 4.424238408544384882e+00, 2.713877054099799846e+00
2.050000000000000000e+03, 2.434594384789487087e+00, 2.641565831418927424e+00, 2.333317897881939107e+00, 2.939515701676219450e+00, 3.226742652543553191e+00, 2.859575389042462223e+00, 2.714929832073099014e+00, 2.847668416381444967e+00, 2.307025893062051747e+00, 2.503692682865138686e+00, 3.333289101592607384e+00, 1.403172205347345436e+00, 3.145143962553355266e+00, 4.951068210673017944e+00, 4.148819938806534324e+00, 2.859194054330482349e+00
2.051000000000000000e+03, 2.122327203954596619e+00, 2.558307402662856944e+00, 2.469274481451631864e+00, 3.432554596517078949e+00, 3.012284588443221889e+00, 2.795191525134574917e+00, 2.870100763625503593e+00, 2.875795659351021882e+00, 2.342419685628209791e+00, 2.486340847721425273e+00, 3.406380125152991933e+00, 1.151096263258335695e+00, 3.385618230153436325e+00, 4.550325018118074105e+00, 4.352144324438386391e+00, 2.515710216405004918e+00
